dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
3.280833,0.000002,1.000000,0.000000,-0.000001,1.000000
6.561667,0.000014,1.000000,0.000000,-0.000006,1.000000
9.842500,0.000047,1.000000,0.000000,-0.000019,1.000000
13.123333,0.000110,1.000000,0.000000,-0.000045,1.000000
16.404167,0.000215,1.000000,0.000000,-0.000087,1.000000
19.685000,0.000370,1.000000,0.000001,-0.000151,1.000000
22.965833,0.000587,1.000000,0.000001,-0.000239,1.000000
26.246667,0.000873,1.000000,0.000001,-0.000356,1.000000
29.527500,0.001239,1.000000,0.000001,-0.000504,1.000000
32.808333,0.001693,1.000000,0.000002,-0.000689,1.000000
36.089167,0.002244,1.000000,0.000002,-0.000914,1.000000
39.370000,0.002901,1.000000,0.000002,-0.001181,0.999999
42.650833,0.003670,1.000000,0.000003,-0.001494,0.999999
45.931667,0.004559,1.000000,0.000003,-0.001856,0.999998
49.212500,0.005575,1.000000,0.000003,-0.002270,0.999997
52.493333,0.006725,1.000000,0.000004,-0.002738,0.999996
55.774167,0.008013,1.000000,0.000004,-0.003263,0.999995
59.055000,0.009447,1.000000,0.000005,-0.003846,0.999993
62.335833,0.011029,1.000000,0.000005,-0.004491,0.999990
65.616667,0.012765,1.000000,0.000006,-0.005198,0.999986
68.897500,0.014658,1.000000,0.000006,-0.005968,0.999982
72.178333,0.016710,1.000000,0.000007,-0.006804,0.999977
75.459167,0.018924,1.000000,0.000007,-0.007705,0.999970
78.740000,0.021302,1.000000,0.000007,-0.008673,0.999962
82.020833,0.023844,1.000000,0.000008,-0.009708,0.999953
85.301667,0.026551,1.000000,0.000009,-0.010811,0.999942
88.582500,0.029423,1.000000,0.000009,-0.011980,0.999928
91.863333,0.032458,1.000000,0.000009,-0.013216,0.999913
95.144167,0.035655,1.000000,0.000010,-0.014517,0.999895
98.425000,0.039012,1.000000,0.000010,-0.015884,0.999874
101.705833,0.042525,1.000000,0.000011,-0.017314,0.999850
104.986667,0.046192,1.000000,0.000011,-0.018807,0.999823
108.267500,0.050008,1.000000,0.000012,-0.020361,0.999793
111.548333,0.053969,1.000000,0.000012,-0.021973,0.999759
114.829167,0.058068,1.000000,0.000013,-0.023642,0.999720
118.110000,0.062301,1.000000,0.000013,-0.025365,0.999678
121.390833,0.066662,1.000000,0.000013,-0.027140,0.999632
124.671667,0.071142,1.000000,0.000014,-0.028963,0.999580
127.952500,0.075735,1.000000,0.000014,-0.030833,0.999525
131.233333,0.080433,1.000000,0.000014,-0.032745,0.999464
134.514167,0.085228,1.000000,0.000015,-0.034696,0.999398
137.795000,0.090112,1.000000,0.000015,-0.036683,0.999327
141.075833,0.095075,1.000000,0.000015,-0.038702,0.999251
