dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.080000,1.000000,0.000000,0.106667,0.994295
1.000000,0.079999,1.000000,-0.000000,0.106666,0.994295
2.000000,0.079996,1.000000,-0.000000,0.106661,0.994295
3.000000,0.079986,1.000000,-0.000000,0.106647,0.994297
4.000000,0.079966,1.000000,-0.000000,0.106620,0.994300
5.000000,0.079935,1.000000,-0.000000,0.106576,0.994305
6.000000,0.079887,1.000000,-0.000001,0.106511,0.994312
7.000000,0.079821,1.000000,-0.000001,0.106420,0.994321
8.000000,0.079734,1.000000,-0.000001,0.106300,0.994334
9.000000,0.079622,1.000000,-0.000001,0.106146,0.994351
10.000000,0.079484,1.000000,-0.000002,0.105955,0.994371
11.000000,0.079316,1.000000,-0.000002,0.105723,0.994396
12.000000,0.079116,1.000000,-0.000002,0.105447,0.994425
13.000000,0.078882,1.000000,-0.000003,0.105124,0.994459
14.000000,0.078610,1.000000,-0.000003,0.104750,0.994499
15.000000,0.078301,1.000000,-0.000003,0.104323,0.994543
16.000000,0.077950,1.000000,-0.000004,0.103840,0.994594
17.000000,0.077557,1.000000,-0.000004,0.103298,0.994650
18.000000,0.077121,1.000000,-0.000005,0.102695,0.994713
19.000000,0.076638,1.000000,-0.000005,0.102030,0.994781
20.000000,0.076109,1.000000,-0.000006,0.101300,0.994856
21.000000,0.075532,1.000000,-0.000006,0.100504,0.994937
22.000000,0.074907,1.000000,-0.000007,0.099641,0.995023
23.000000,0.074232,1.000000,-0.000007,0.098709,0.995116
24.000000,0.073507,1.000000,-0.000007,0.097709,0.995215
25.000000,0.072732,1.000000,-0.000008,0.096640,0.995319
26.000000,0.071907,1.000000,-0.000009,0.095501,0.995429
27.000000,0.071032,1.000000,-0.000009,0.094292,0.995545
28.000000,0.070107,1.000000,-0.000009,0.093015,0.995665
29.000000,0.069132,1.000000,-0.000010,0.091669,0.995790
30.000000,0.068109,1.000000,-0.000010,0.090256,0.995919
31.000000,0.067038,1.000000,-0.000011,0.088777,0.996052
32.000000,0.065921,1.000000,-0.000011,0.087232,0.996188
33.000000,0.064757,1.000000,-0.000012,0.085625,0.996327
34.000000,0.063550,1.000000,-0.000012,0.083957,0.996469
35.000000,0.062301,1.000000,-0.000013,0.082230,0.996613
36.000000,0.061010,1.000000,-0.000013,0.080447,0.996759
37.000000,0.059682,1.000000,-0.000013,0.078609,0.996905
38.000000,0.058316,1.000000,-0.000014,0.076721,0.997053
39.000000,0.056916,1.000000,-0.000014,0.074785,0.997200
40.000000,0.055484,1.000000,-0.000014,0.072805,0.997346
41.000000,0.054022,1.000000,-0.000015,0.070783,0.997492
42.000000,0.052534,1.000000,-0.000015,0.068723,0.997636
43.000000,0.051021,1.000000,-0.000015,0.066630,0.997778
44.000000,0.049487,1.000000,-0.000015,0.064507,0.997917
45.000000,0.047935,1.000000,-0.000016,0.062358,0.998054
46.000000,0.046366,1.000000,-0.000016,0.060188,0.998187
47.000000,0.044786,1.000000,-0.000016,0.057999,0.998317
48.000000,0.043196,1.000000,-0.000016,0.055798,0.998442
49.000000,0.041599,1.000000,-0.000016,0.053587,0.998563
50.000000,0.040000,1.000000,-0.000016,0.051372,0.998680
51.000000,0.038401,1.000000,-0.000016,0.049156,0.998791
52.000000,0.036804,1.000000,-0.000016,0.046945,0.998897
53.000000,0.035214,1.000000,-0.000016,0.044742,0.998999
54.000000,0.033634,1.000000,-0.000016,0.042552,0.999094
55.000000,0.032065,1.000000,-0.000016,0.040379,0.999184
56.000000,0.030513,1.000000,-0.000015,0.038228,0.999269
57.000000,0.028979,1.000000,-0.000015,0.036102,0.999348
58.000000,0.027466,1.000000,-0.000015,0.034005,0.999422
59.000000,0.025978,1.000000,-0.000015,0.031942,0.999490
60.000000,0.024516,1.000000,-0.000014,0.029916,0.999552
61.000000,0.023084,1.000000,-0.000014,0.027931,0.999610
62.000000,0.021684,1.000000,-0.000014,0.025990,0.999662
63.000000,0.020318,1.000000,-0.000013,0.024096,0.999710
64.000000,0.018990,1.000000,-0.000013,0.022254,0.999752
65.000000,0.017699,1.000000,-0.000013,0.020465,0.999791
66.000000,0.016450,1.000000,-0.000012,0.018732,0.999825
67.000000,0.015243,1.000000,-0.000012,0.017058,0.999855
68.000000,0.014079,1.000000,-0.000011,0.015445,0.999881
69.000000,0.012962,1.000000,-0.000011,0.013895,0.999903
70.000000,0.011891,1.000000,-0.000010,0.012410,0.999923
71.000000,0.010868,1.000000,-0.000010,0.010991,0.999940
72.000000,0.009893,1.000000,-0.000009,0.009640,0.999954
73.000000,0.008968,1.000000,-0.000009,0.008357,0.999965
74.000000,0.008093,1.000000,-0.000009,0.007143,0.999974
75.000000,0.007268,1.000000,-0.000008,0.005998,0.999982
76.000000,0.006493,1.000000,-0.000007,0.004924,0.999988
77.000000,0.005768,1.000000,-0.000007,0.003919,0.999992
78.000000,0.005093,1.000000,-0.000007,0.002983,0.999996
79.000000,0.004468,1.000000,-0.000006,0.002115,0.999998
80.000000,0.003891,1.000000,-0.000006,0.001315,0.999999
81.000000,0.003362,1.000000,-0.000005,0.000582,1.000000
82.000000,0.002879,1.000000,-0.000005,-0.000087,1.000000
83.000000,0.002443,1.000000,-0.000004,-0.000693,1.000000
84.000000,0.002050,1.000000,-0.000004,-0.001238,0.999999
85.000000,0.001699,1.000000,-0.000003,-0.001724,0.999999
