dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.262467,1.000000,0.000000,0.106667,0.994295
3.280833,0.262465,1.000000,-0.000000,0.106666,0.994295
6.561667,0.262453,1.000000,-0.000000,0.106661,0.994295
9.842500,0.262420,1.000000,-0.000000,0.106647,0.994297
13.123333,0.262356,1.000000,-0.000000,0.106620,0.994300
16.404167,0.262252,1.000000,-0.000000,0.106576,0.994305
19.685000,0.262096,1.000000,-0.000001,0.106511,0.994312
22.965833,0.261880,1.000000,-0.000001,0.106420,0.994321
26.246667,0.261594,1.000000,-0.000001,0.106300,0.994334
29.527500,0.261228,1.000000,-0.000001,0.106146,0.994351
32.808333,0.260773,1.000000,-0.000002,0.105955,0.994371
36.089167,0.260222,1.000000,-0.000002,0.105723,0.994396
39.370000,0.259566,1.000000,-0.000002,0.105447,0.994425
42.650833,0.258797,1.000000,-0.000003,0.105124,0.994459
45.931667,0.257908,1.000000,-0.000003,0.104750,0.994499
49.212500,0.256892,1.000000,-0.000003,0.104323,0.994543
52.493333,0.255742,1.000000,-0.000004,0.103840,0.994594
55.774167,0.254453,1.000000,-0.000004,0.103298,0.994650
59.055000,0.253020,1.000000,-0.000005,0.102695,0.994713
62.335833,0.251437,1.000000,-0.000005,0.102030,0.994781
65.616667,0.249702,1.000000,-0.000006,0.101300,0.994856
68.897500,0.247809,1.000000,-0.000006,0.100504,0.994937
72.178333,0.245757,1.000000,-0.000007,0.099641,0.995023
75.459167,0.243543,1.000000,-0.000007,0.098709,0.995116
78.740000,0.241165,1.000000,-0.000007,0.097709,0.995215
82.020833,0.238623,1.000000,-0.000008,0.096640,0.995319
85.301667,0.235916,1.000000,-0.000009,0.095501,0.995429
88.582500,0.233044,1.000000,-0.000009,0.094292,0.995545
91.863333,0.230009,1.000000,-0.000009,0.093015,0.995665
95.144167,0.226812,1.000000,-0.000010,0.091669,0.995790
98.425000,0.223455,1.000000,-0.000010,0.090256,0.995919
101.705833,0.219941,1.000000,-0.000011,0.088777,0.996052
104.986667,0.216275,1.000000,-0.000011,0.087232,0.996188
108.267500,0.212459,1.000000,-0.000012,0.085625,0.996327
111.548333,0.208498,1.000000,-0.000012,0.083957,0.996469
114.829167,0.204398,1.000000,-0.000013,0.082230,0.996613
118.110000,0.200165,1.000000,-0.000013,0.080447,0.996759
121.390833,0.195805,1.000000,-0.000013,0.078609,0.996905
124.671667,0.191325,1.000000,-0.000014,0.076721,0.997053
127.952500,0.186732,1.000000,-0.000014,0.074785,0.997200
131.233333,0.182033,1.000000,-0.000014,0.072805,0.997346
134.514167,0.177238,1.000000,-0.000015,0.070783,0.997492
137.795000,0.172355,1.000000,-0.000015,0.068723,0.997636
141.075833,0.167392,1.000000,-0.000015,0.066630,0.997778
144.356667,0.162359,1.000000,-0.000015,0.064507,0.997917
147.637500,0.157265,1.000000,-0.000016,0.062358,0.998054
150.918333,0.152120,1.000000,-0.000016,0.060188,0.998187
154.199167,0.146935,1.000000,-0.000016,0.057999,0.998317
157.480000,0.141718,1.000000,-0.000016,0.055798,0.998442
160.760833,0.136481,1.000000,-0.000016,0.053587,0.998563
164.041667,0.131233,1.000000,-0.000016,0.051372,0.998680
167.322500,0.125986,1.000000,-0.000016,0.049156,0.998791
170.603333,0.120748,1.000000,-0.000016,0.046945,0.998897
173.884167,0.115532,1.000000,-0.000016,0.044742,0.998999
177.165000,0.110346,1.000000,-0.000016,0.042552,0.999094
180.445833,0.105201,1.000000,-0.000016,0.040379,0.999184
183.726667,0.100108,1.000000,-0.000015,0.038228,0.999269
187.007500,0.095075,1.000000,-0.000015,0.036102,0.999348
190.288333,0.090112,1.000000,-0.000015,0.034005,0.999422
193.569167,0.085228,1.000000,-0.000015,0.031942,0.999490
196.850000,0.080433,1.000000,-0.000014,0.029916,0.999552
200.130833,0.075735,1.000000,-0.000014,0.027931,0.999610
203.411667,0.071142,1.000000,-0.000014,0.025990,0.999662
206.692500,0.066662,1.000000,-0.000013,0.024096,0.999710
209.973333,0.062301,1.000000,-0.000013,0.022254,0.999752
213.254167,0.058068,1.000000,-0.000013,0.020465,0.999791
216.535000,0.053969,1.000000,-0.000012,0.018732,0.999825
219.815833,0.050008,1.000000,-0.000012,0.017058,0.999855
223.096667,0.046192,1.000000,-0.000011,0.015445,0.999881
226.377500,0.042525,1.000000,-0.000011,0.013895,0.999903
229.658333,0.039012,1.000000,-0.000010,0.012410,0.999923
232.939167,0.035655,1.000000,-0.000010,0.010991,0.999940
236.220000,0.032458,1.000000,-0.000009,0.009640,0.999954
239.500833,0.029423,1.000000,-0.000009,0.008357,0.999965
242.781667,0.026551,1.000000,-0.000009,0.007143,0.999974
246.062500,0.023844,1.000000,-0.000008,0.005998,0.999982
249.343333,0.021302,1.000000,-0.000007,0.004924,0.999988
252.624167,0.018924,1.000000,-0.000007,0.003919,0.999992
255.905000,0.016710,1.000000,-0.000007,0.002983,0.999996
259.185833,0.014658,1.000000,-0.000006,0.002115,0.999998
262.466667,0.012765,1.000000,-0.000006,0.001315,0.999999
265.747500,0.011029,1.000000,-0.000005,0.000582,1.000000
269.028333,0.009447,1.000000,-0.000005,-0.000087,1.000000
272.309167,0.008013,1.000000,-0.000004,-0.000693,1.000000
275.590000,0.006725,1.000000,-0.000004,-0.001238,0.999999
278.870833,0.005575,1.000000,-0.000003,-0.001724,0.999999
282.151667,0.004559,1.000000,-0.000003,-0.002154,0.999998
285.432500,0.003670,1.000000,-0.000003,-0.002530,0.999997
288.713333,0.002901,1.000000,-0.000002,-0.002855,0.999996
291.994167,0.002244,1.000000,-0.000002,-0.003132,0.999995
295.275000,0.001693,1.000000,-0.000002,-0.003365,0.999994
298.555833,0.001239,1.000000,-0.000001,-0.003557,0.999994
301.836667,0.000873,1.000000,-0.000001,-0.003712,0.999993
305.117500,0.000587,1.000000,-0.000001,-0.003833,0.999993
308.398333,0.000370,1.000000,-0.000001,-0.003924,0.999992
311.679167,0.000215,1.000000,-0.000000,-0.003990,0.999992
314.960000,0.000110,1.000000,-0.000000,-0.004034,0.999992
318.240833,0.000047,1.000000,-0.000000,-0.004061,0.999992
321.521667,0.000014,1.000000,-0.000000,-0.004075,0.999992
324.802500,0.000002,1.000000,-0.000000,-0.004080,0.999992
328.083333,0.000000,1.000000,0.000000,-0.004081,0.999992
