DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.049213,1.000000,0.000000,0.000000,0.000000,0.999800,-0.020000,0.000000,0.020000,0.999800
3.280840,3.280839,-0.001640,0.049213,1.000000,-0.001000,0.000000,0.001000,0.999799,-0.020000,0.000020,0.020000,0.999800
6.561680,6.561675,-0.006562,0.049213,0.999998,-0.002000,0.000000,0.001999,0.999798,-0.020000,0.000040,0.019999,0.999800
9.842520,9.842505,-0.014764,0.049216,0.999996,-0.002999,0.000000,0.002998,0.999796,-0.019998,0.000060,0.019998,0.999800
13.123360,13.123325,-0.026247,0.049222,0.999992,-0.003997,0.000000,0.003997,0.999792,-0.019993,0.000080,0.019993,0.999800
16.404199,16.404131,-0.041012,0.049235,0.999988,-0.004995,0.000000,0.004994,0.999788,-0.019983,0.000100,0.019983,0.999800
19.685039,19.684921,-0.059059,0.049258,0.999982,-0.005992,0.000000,0.005991,0.999783,-0.019966,0.000120,0.019966,0.999801
22.965879,22.965692,-0.080390,0.049294,0.999976,-0.006989,0.000000,0.006987,0.999777,-0.019939,0.000140,0.019938,0.999801
26.246719,26.246439,-0.105007,0.049348,0.999968,-0.007985,0.000000,0.007983,0.999770,-0.019898,0.000159,0.019897,0.999802
29.527559,29.527160,-0.132914,0.049423,0.999960,-0.008981,0.000000,0.008979,0.999763,-0.019841,0.000179,0.019840,0.999803
32.808399,32.807851,-0.164116,0.049526,0.999950,-0.009977,0.000000,0.009975,0.999755,-0.019763,0.000198,0.019762,0.999805
36.089239,36.088510,-0.198619,0.049659,0.999940,-0.010975,0.000000,0.010973,0.999746,-0.019663,0.000217,0.019661,0.999807
39.370079,39.369132,-0.236433,0.049829,0.999928,-0.011974,0.000000,0.011971,0.999738,-0.019534,0.000235,0.019533,0.999809
42.650919,42.649713,-0.277570,0.050040,0.999916,-0.012975,0.000000,0.012973,0.999728,-0.019376,0.000253,0.019374,0.999812
45.931759,45.930252,-0.322042,0.050296,0.999902,-0.013980,0.000000,0.013977,0.999718,-0.019182,0.000270,0.019180,0.999816
49.212598,49.210743,-0.369867,0.050602,0.999888,-0.014989,0.000000,0.014986,0.999708,-0.018951,0.000286,0.018948,0.999820
52.493438,52.491183,-0.421065,0.050964,0.999872,-0.016003,0.000000,0.016000,0.999698,-0.018678,0.000301,0.018675,0.999826
55.774278,55.771569,-0.475662,0.051384,0.999855,-0.017024,0.000000,0.017021,0.999687,-0.018360,0.000315,0.018358,0.999831
59.055118,59.051895,-0.533683,0.051868,0.999837,-0.018053,0.000000,0.018050,0.999675,-0.017995,0.000328,0.017992,0.999838
62.335958,62.332159,-0.595162,0.052420,0.999818,-0.019091,0.000000,0.019088,0.999663,-0.017579,0.000339,0.017575,0.999845
65.616798,65.612355,-0.660136,0.053041,0.999797,-0.020140,0.000000,0.020137,0.999651,-0.017109,0.000348,0.017105,0.999854
68.897638,68.892480,-0.728645,0.053737,0.999775,-0.021201,0.000000,0.021198,0.999638,-0.016583,0.000355,0.016580,0.999862
72.178478,72.172527,-0.800737,0.054510,0.999752,-0.022277,0.000000,0.022274,0.999624,-0.016000,0.000360,0.015996,0.999872
75.459318,75.452493,-0.876462,0.055363,0.999727,-0.023368,0.000000,0.023366,0.999609,-0.015356,0.000363,0.015352,0.999882
78.740157,78.732371,-0.955877,0.056297,0.999700,-0.024477,0.000000,0.024474,0.999593,-0.014651,0.000363,0.014646,0.999893
82.020997,82.012156,-1.039045,0.057315,0.999672,-0.025605,0.000000,0.025603,0.999576,-0.013882,0.000360,0.013878,0.999904
85.301837,85.291843,-1.126033,0.058417,0.999642,-0.026755,0.000000,0.026752,0.999557,-0.013050,0.000354,0.013045,0.999915
88.582677,88.571423,-1.216914,0.059605,0.999610,-0.027927,0.000000,0.027925,0.999536,-0.012153,0.000344,0.012148,0.999926
91.863517,91.850892,-1.311768,0.060879,0.999576,-0.029124,0.000000,0.029122,0.999513,-0.011191,0.000330,0.011186,0.999937
95.144357,95.130240,-1.410679,0.062239,0.999539,-0.030348,0.000000,0.030346,0.999488,-0.010164,0.000313,0.010159,0.999948
98.425197,98.409461,-1.513738,0.063685,0.999501,-0.031601,0.000000,0.031599,0.999459,-0.009072,0.000291,0.009067,0.999959
101.706037,101.688545,-1.621041,0.065216,0.999459,-0.032884,0.000000,0.032883,0.999428,-0.007915,0.000264,0.007911,0.999969
104.986877,104.967485,-1.732690,0.066831,0.999415,-0.034199,0.000000,0.034198,0.999393,-0.006696,0.000232,0.006692,0.999978
108.267717,108.246269,-1.848792,0.068529,0.999368,-0.035549,0.000000,0.035548,0.999353,-0.005414,0.000195,0.005411,0.999985
111.548556,111.524889,-1.969460,0.070306,0.999318,-0.036934,0.000000,0.036934,0.999309,-0.004072,0.000153,0.004069,0.999992
114.829396,114.803333,-2.094812,0.072161,0.999264,-0.038357,0.000000,0.038357,0.999261,-0.002671,0.000104,0.002669,0.999996
118.110236,118.081590,-2.224972,0.074091,0.999207,-0.039819,0.000000,0.039819,0.999206,-0.001214,0.000049,0.001213,0.999999
121.391076,121.359647,-2.360067,0.076092,0.999146,-0.041323,0.000000,0.041323,0.999146,0.000298,-0.000012,-0.000297,1.000000
124.671916,124.637491,-2.500231,0.078162,0.999081,-0.042868,0.000000,0.042868,0.999079,0.001861,-0.000081,-0.001859,0.999998
127.952756,127.915108,-2.645602,0.080295,0.999011,-0.044458,0.000000,0.044457,0.999005,0.003472,-0.000157,-0.003468,0.999994
131.233596,131.192484,-2.796320,0.082489,0.998937,-0.046092,0.000000,0.046091,0.998924,0.005129,-0.000240,-0.005123,0.999987
134.514436,134.469602,-2.952532,0.084739,0.998858,-0.047773,0.000000,0.047772,0.998835,0.006827,-0.000331,-0.006819,0.999977
137.795276,137.746447,-3.114386,0.087039,0.998774,-0.049501,0.000000,0.049499,0.998737,0.008564,-0.000430,-0.008554,0.999963
141.076115,141.023000,-3.282037,0.089385,0.998684,-0.051278,0.000000,0.051275,0.998631,0.010336,-0.000537,-0.010322,0.999947
144.356955,144.299244,-3.455638,0.091771,0.998589,-0.053105,0.000000,0.053101,0.998515,0.012138,-0.000653,-0.012120,0.999926
147.637795,147.575158,-3.635349,0.094193,0.998487,-0.054981,0.000000,0.054976,0.998390,0.013967,-0.000778,-0.013945,0.999902
150.918635,150.850721,-3.821329,0.096644,0.998379,-0.056909,0.000000,0.056902,0.998254,0.015817,-0.000912,-0.015791,0.999875
154.199475,154.125914,-4.013742,0.099119,0.998265,-0.058888,0.000000,0.058879,0.998108,0.017686,-0.001055,-0.017655,0.999844
157.480315,157.400711,-4.212751,0.101612,0.998143,-0.060919,0.000000,0.060908,0.997952,0.019568,-0.001207,-0.019531,0.999809
160.761155,160.675092,-4.418522,0.104116,0.998013,-0.063003,0.000000,0.062988,0.997784,0.021460,-0.001368,-0.021416,0.999770
164.041995,163.949029,-4.631219,0.106627,0.997876,-0.065139,0.000000,0.065121,0.997604,0.023355,-0.001539,-0.023305,0.999727
167.322835,167.222498,-4.851010,0.109138,0.997731,-0.067327,0.000000,0.067306,0.997413,0.025251,-0.001719,-0.025192,0.999681
170.603675,170.495471,-5.078059,0.111643,0.997577,-0.069568,0.000000,0.069542,0.997210,0.027142,-0.001909,-0.027075,0.999632
173.884514,173.767921,-5.312533,0.114136,0.997415,-0.071860,0.000000,0.071830,0.996995,0.029024,-0.002108,-0.028947,0.999579
177.165354,177.039818,-5.554596,0.116611,0.997243,-0.074205,0.000000,0.074170,0.996767,0.030892,-0.002315,-0.030805,0.999523
180.446194,180.311132,-5.804410,0.119062,0.997062,-0.076601,0.000000,0.076560,0.996527,0.032742,-0.002532,-0.032644,0.999464
183.727034,183.581833,-6.062139,0.121483,0.996871,-0.079047,0.000000,0.079000,0.996275,0.034570,-0.002758,-0.034460,0.999402
187.007874,186.851887,-6.327940,0.123870,0.996670,-0.081543,0.000000,0.081489,0.996010,0.036371,-0.002992,-0.036248,0.999338
190.288714,190.121262,-6.601971,0.126216,0.996458,-0.084089,0.000000,0.084028,0.995733,0.038141,-0.003234,-0.038004,0.999272
193.569554,193.389923,-6.884385,0.128516,0.996236,-0.086682,0.000000,0.086613,0.995444,0.039877,-0.003484,-0.039724,0.999205
196.850394,196.657835,-7.175335,0.130765,0.996003,-0.089322,0.000000,0.089245,0.995142,0.041574,-0.003742,-0.041405,0.999135
