DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.050000,1.000000,0.000000,0.000000,0.000000,0.997775,-0.066667,0.000000,0.066667,0.997775
1.000000,0.999998,-0.001667,0.050000,0.999994,-0.003333,0.000000,0.003326,0.997770,-0.066667,0.000222,0.066666,0.997775
2.000000,1.999985,-0.006667,0.050000,0.999978,-0.006667,0.000000,0.006652,0.997753,-0.066666,0.000444,0.066665,0.997775
3.000000,2.999950,-0.015000,0.049999,0.999950,-0.010001,0.000000,0.009979,0.997726,-0.066664,0.000667,0.066661,0.997775
4.000000,3.999881,-0.026666,0.049997,0.999911,-0.013336,0.000000,0.013306,0.997687,-0.066660,0.000889,0.066654,0.997776
5.000000,4.999769,-0.041665,0.049993,0.999861,-0.016671,0.000000,0.016634,0.997638,-0.066650,0.001111,0.066641,0.997776
6.000000,5.999600,-0.059997,0.049986,0.999800,-0.020006,0.000000,0.019962,0.997578,-0.066633,0.001332,0.066619,0.997778
7.000000,6.999365,-0.081660,0.049975,0.999728,-0.023342,0.000000,0.023291,0.997508,-0.066605,0.001554,0.066587,0.997779
8.000000,7.999052,-0.106654,0.049959,0.999644,-0.026678,0.000000,0.026619,0.997427,-0.066565,0.001775,0.066541,0.997782
9.000000,8.998650,-0.134978,0.049936,0.999549,-0.030014,0.000000,0.029948,0.997336,-0.066508,0.001994,0.066478,0.997786
10.000000,9.998149,-0.166628,0.049905,0.999444,-0.033350,0.000000,0.033276,0.997236,-0.066431,0.002213,0.066394,0.997791
11.000000,10.997537,-0.201604,0.049864,0.999327,-0.036683,0.000000,0.036603,0.997126,-0.066330,0.002430,0.066285,0.997798
12.000000,11.996802,-0.239902,0.049812,0.999199,-0.040015,0.000000,0.039928,0.997007,-0.066202,0.002645,0.066149,0.997806
13.000000,12.995936,-0.281518,0.049748,0.999060,-0.043344,0.000000,0.043250,0.996879,-0.066043,0.002858,0.065982,0.997817
14.000000,13.994925,-0.326448,0.049670,0.998910,-0.046670,0.000000,0.046568,0.996742,-0.065850,0.003068,0.065779,0.997830
15.000000,14.993761,-0.374685,0.049576,0.998750,-0.049990,0.000000,0.049882,0.996597,-0.065619,0.003274,0.065538,0.997845
16.000000,15.992431,-0.426222,0.049466,0.998578,-0.053305,0.000000,0.053191,0.996444,-0.065347,0.003476,0.065255,0.997863
17.000000,16.990927,-0.481053,0.049338,0.998396,-0.056612,0.000000,0.056492,0.996283,-0.065030,0.003673,0.064926,0.997883
18.000000,17.989236,-0.539168,0.049191,0.998204,-0.059911,0.000000,0.059785,0.996115,-0.064665,0.003864,0.064550,0.997907
19.000000,18.987350,-0.600556,0.049023,0.998001,-0.063199,0.000000,0.063069,0.995939,-0.064250,0.004049,0.064122,0.997934
20.000000,19.985257,-0.665206,0.048833,0.997788,-0.066476,0.000000,0.066341,0.995756,-0.063781,0.004227,0.063641,0.997964
21.000000,20.982949,-0.733103,0.048621,0.997565,-0.069740,0.000000,0.069601,0.995567,-0.063257,0.004397,0.063104,0.997997
22.000000,21.980416,-0.804235,0.048385,0.997333,-0.072990,0.000000,0.072846,0.995372,-0.062674,0.004559,0.062508,0.998034
