DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.164042,1.000000,0.000000,0.000000,0.000000,0.997775,-0.066667,0.000000,0.066667,0.997775
3.280833,3.280827,-0.005468,0.164042,0.999994,-0.003333,0.000000,0.003326,0.997770,-0.066667,0.000222,0.066666,0.997775
6.561667,6.561618,-0.021872,0.164041,0.999978,-0.006667,0.000000,0.006652,0.997753,-0.066666,0.000444,0.066665,0.997775
9.842500,9.842336,-0.049212,0.164039,0.999950,-0.010001,0.000000,0.009979,0.997726,-0.066664,0.000667,0.066661,0.997775
13.123333,13.122944,-0.087487,0.164032,0.999911,-0.013336,0.000000,0.013306,0.997687,-0.066660,0.000889,0.066654,0.997776
16.404167,16.403407,-0.136697,0.164019,0.999861,-0.016671,0.000000,0.016634,0.997638,-0.066650,0.001111,0.066641,0.997776
19.685000,19.683688,-0.196840,0.163997,0.999800,-0.020006,0.000000,0.019962,0.997578,-0.066633,0.001332,0.066619,0.997778
22.965833,22.963750,-0.267913,0.163960,0.999728,-0.023342,0.000000,0.023291,0.997508,-0.066605,0.001554,0.066587,0.997779
26.246667,26.243556,-0.349914,0.163907,0.999644,-0.026678,0.000000,0.026619,0.997427,-0.066565,0.001775,0.066541,0.997782
29.527500,29.523072,-0.442839,0.163831,0.999549,-0.030014,0.000000,0.029948,0.997336,-0.066508,0.001994,0.066478,0.997786
32.808333,32.802260,-0.546680,0.163728,0.999444,-0.033350,0.000000,0.033276,0.997236,-0.066431,0.002213,0.066394,0.997791
36.089167,36.081085,-0.661430,0.163595,0.999327,-0.036683,0.000000,0.036603,0.997126,-0.066330,0.002430,0.066285,0.997798
39.370000,39.359509,-0.787079,0.163425,0.999199,-0.040015,0.000000,0.039928,0.997007,-0.066202,0.002645,0.066149,0.997806
42.650833,42.637499,-0.923614,0.163215,0.999060,-0.043344,0.000000,0.043250,0.996879,-0.066043,0.002858,0.065982,0.997817
45.931667,45.915018,-1.071020,0.162958,0.998910,-0.046670,0.000000,0.046568,0.996742,-0.065850,0.003068,0.065779,0.997830
49.212500,49.192030,-1.229277,0.162652,0.998750,-0.049990,0.000000,0.049882,0.996597,-0.065619,0.003274,0.065538,0.997845
52.493333,52.468502,-1.398365,0.162290,0.998578,-0.053305,0.000000,0.053191,0.996444,-0.065347,0.003476,0.065255,0.997863
55.774167,55.744398,-1.578255,0.161870,0.998396,-0.056612,0.000000,0.056492,0.996283,-0.065030,0.003673,0.064926,0.997883
59.055000,59.019685,-1.768920,0.161386,0.998204,-0.059911,0.000000,0.059785,0.996115,-0.064665,0.003864,0.064550,0.997907
62.335833,62.294330,-1.970324,0.160835,0.998001,-0.063199,0.000000,0.063069,0.995939,-0.064250,0.004049,0.064122,0.997934
65.616667,65.568298,-2.182429,0.160213,0.997788,-0.066476,0.000000,0.066341,0.995756,-0.063781,0.004227,0.063641,0.997964
68.897500,68.841559,-2.405190,0.159517,0.997565,-0.069740,0.000000,0.069601,0.995567,-0.063257,0.004397,0.063104,0.997997
72.178333,72.114080,-2.638560,0.158744,0.997333,-0.072990,0.000000,0.072846,0.995372,-0.062674,0.004559,0.062508,0.998034
75.459167,75.385832,-2.882484,0.157891,0.997091,-0.076222,0.000000,0.076075,0.995171,-0.062032,0.004711,0.061852,0.998074
78.740000,78.656784,-3.136904,0.156957,0.996840,-0.079437,0.000000,0.079287,0.994964,-0.061328,0.004853,0.061135,0.998118
82.020833,81.926908,-3.401754,0.155940,0.996580,-0.082631,0.000000,0.082479,0.994751,-0.060561,0.004985,0.060355,0.998165
85.301667,85.196177,-3.676964,0.154837,0.996312,-0.085803,0.000000,0.085650,0.994533,-0.059730,0.005104,0.059511,0.998215
88.582500,88.464564,-3.962459,0.153650,0.996036,-0.088952,0.000000,0.088798,0.994311,-0.058834,0.005211,0.058603,0.998268
91.863333,91.732043,-4.258156,0.152375,0.995752,-0.092075,0.000000,0.091920,0.994083,-0.057874,0.005306,0.057630,0.998324
95.144167,94.998591,-4.563968,0.151015,0.995461,-0.095170,0.000000,0.095016,0.993851,-0.056848,0.005386,0.056592,0.998383
98.425000,98.264186,-4.879802,0.149569,0.995163,-0.098235,0.000000,0.098083,0.993615,-0.055758,0.005452,0.055490,0.998444
101.705833,101.528805,-5.205559,0.148038,0.994859,-0.101270,0.000000,0.101119,0.993375,-0.054603,0.005504,0.054325,0.998508
104.986667,104.792430,-5.541135,0.146423,0.994549,-0.104271,0.000000,0.104122,0.993131,-0.053385,0.005540,0.053097,0.998574
108.267500,108.055043,-5.886419,0.144726,0.994233,-0.107237,0.000000,0.107092,0.992883,-0.052105,0.005560,0.051808,0.998642
111.548333,111.316625,-6.241295,0.142949,0.993913,-0.110167,0.000000,0.110025,0.992632,-0.050765,0.005565,0.050459,0.998711
114.829167,114.577164,-6.605644,0.141094,0.993588,-0.113058,0.000000,0.112920,0.992377,-0.049366,0.005553,0.049053,0.998781
118.110000,117.836644,-6.979339,0.139164,0.993260,-0.115909,0.000000,0.115776,0.992119,-0.047910,0.005525,0.047591,0.998852
121.390833,121.095055,-7.362250,0.137162,0.992928,-0.118718,0.000000,0.118590,0.991859,-0.046401,0.005480,0.046076,0.998923
124.671667,124.352385,-7.754240,0.135093,0.992593,-0.121485,0.000000,0.121362,0.991595,-0.044839,0.005419,0.044511,0.998994
127.952500,127.608628,-8.155170,0.132959,0.992256,-0.124206,0.000000,0.124090,0.991329,-0.043229,0.005341,0.042898,0.999065
131.233333,130.863776,-8.564895,0.130765,0.991918,-0.126882,0.000000,0.126772,0.991060,-0.041574,0.005247,0.041242,0.999135
134.514167,134.117823,-8.983268,0.128516,0.991578,-0.129511,0.000000,0.129408,0.990789,-0.039877,0.005137,0.039545,0.999205
137.795000,137.370767,-9.410138,0.126216,0.991238,-0.132091,0.000000,0.131995,0.990516,-0.038141,0.005011,0.037810,0.999272
141.075833,140.622605,-9.845348,0.123870,0.990897,-0.134623,0.000000,0.134534,0.990241,-0.036371,0.004870,0.036043,0.999338
144.356667,143.873338,-10.288742,0.121483,0.990557,-0.137104,0.000000,0.137022,0.989965,-0.034570,0.004715,0.034247,0.999402
147.637500,147.122966,-10.740159,0.119062,0.990217,-0.139534,0.000000,0.139459,0.989686,-0.032742,0.004545,0.032425,0.999464
150.918333,150.371493,-11.199436,0.116611,0.989879,-0.141913,0.000000,0.141845,0.989407,-0.030892,0.004361,0.030583,0.999523
154.199167,153.618923,-11.666410,0.114136,0.989543,-0.144239,0.000000,0.144179,0.989126,-0.029024,0.004165,0.028723,0.999579
157.480000,156.865261,-12.140914,0.111643,0.989209,-0.146513,0.000000,0.146459,0.988844,-0.027142,0.003956,0.026852,0.999632
160.760833,160.110514,-12.622781,0.109138,0.988877,-0.148735,0.000000,0.148687,0.988562,-0.025251,0.003737,0.024973,0.999681
164.041667,163.354690,-13.111843,0.106627,0.988549,-0.150903,0.000000,0.150862,0.988279,-0.023355,0.003507,0.023091,0.999727
167.322500,166.597800,-13.607934,0.104116,0.988223,-0.153018,0.000000,0.152983,0.987996,-0.021460,0.003267,0.021209,0.999770
170.603333,169.839852,-14.110885,0.101611,0.987902,-0.155081,0.000000,0.155051,0.987713,-0.019568,0.003020,0.019334,0.999809
173.884167,173.080859,-14.620528,0.099118,0.987584,-0.157091,0.000000,0.157066,0.987430,-0.017686,0.002765,0.017469,0.999844
177.165000,176.320833,-15.136699,0.096644,0.987271,-0.159048,0.000000,0.159029,0.987147,-0.015817,0.002504,0.015618,0.999875
180.445833,179.559787,-15.659231,0.094192,0.986962,-0.160954,0.000000,0.160939,0.986866,-0.013967,0.002238,0.013786,0.999902
183.726667,182.797735,-16.187962,0.091771,0.986658,-0.162809,0.000000,0.162797,0.986585,-0.012138,0.001967,0.011977,0.999926
187.007500,186.034692,-16.722731,0.089384,0.986358,-0.164613,0.000000,0.164604,0.986305,-0.010336,0.001694,0.010196,0.999947
