DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.050000,1.000000,0.000000,0.000000,0.000000,0.997775,-0.066667,0.000000,0.066667,0.997775
1.000000,0.999998,-0.001667,0.050000,0.999994,-0.003333,0.000000,0.003326,0.997770,-0.066667,0.000222,0.066666,0.997775
2.000000,1.999985,-0.006667,0.050000,0.999978,-0.006667,0.000000,0.006652,0.997753,-0.066666,0.000444,0.066665,0.997775
3.000000,2.999950,-0.015000,0.049999,0.999950,-0.010001,0.000000,0.009979,0.997726,-0.066664,0.000667,0.066661,0.997775
4.000000,3.999881,-0.026666,0.049997,0.999911,-0.013335,0.000000,0.013306,0.997687,-0.066660,0.000889,0.066654,0.997776
5.000000,4.999769,-0.041665,0.049993,0.999861,-0.016670,0.000000,0.016633,0.997638,-0.066650,0.001111,0.066641,0.997776
6.000000,5.999600,-0.059996,0.049986,0.999800,-0.020006,0.000000,0.019961,0.997578,-0.066633,0.001332,0.066619,0.997778
7.000000,6.999365,-0.081659,0.049975,0.999728,-0.023341,0.000000,0.023290,0.997508,-0.066605,0.001554,0.066587,0.997779
8.000000,7.999052,-0.106651,0.049959,0.999644,-0.026677,0.000000,0.026617,0.997427,-0.066565,0.001774,0.066541,0.997782
9.000000,8.998650,-0.134972,0.049936,0.999550,-0.030011,0.000000,0.029945,0.997336,-0.066508,0.001994,0.066478,0.997786
10.000000,9.998149,-0.166619,0.049905,0.999444,-0.033344,0.000000,0.033270,0.997236,-0.066431,0.002213,0.066394,0.997791
11.000000,10.997537,-0.201587,0.049864,0.999327,-0.036674,0.000000,0.036594,0.997126,-0.066330,0.002430,0.066285,0.997798
12.000000,11.996803,-0.239874,0.049812,0.999200,-0.040002,0.000000,0.039914,0.997008,-0.066202,0.002644,0.066149,0.997806
13.000000,12.995937,-0.281474,0.049748,0.999061,-0.043325,0.000000,0.043230,0.996880,-0.066043,0.002857,0.065982,0.997817
14.000000,13.994928,-0.326379,0.049670,0.998912,-0.046642,0.000000,0.046540,0.996744,-0.065850,0.003066,0.065779,0.997830
15.000000,14.993765,-0.374583,0.049576,0.998752,-0.049951,0.000000,0.049844,0.996599,-0.065619,0.003271,0.065538,0.997845
16.000000,15.992438,-0.426075,0.049466,0.998581,-0.053252,0.000000,0.053138,0.996447,-0.065347,0.003472,0.065255,0.997863
17.000000,16.990937,-0.480846,0.049338,0.998400,-0.056542,0.000000,0.056423,0.996287,-0.065030,0.003668,0.064927,0.997883
18.000000,17.989251,-0.538881,0.049191,0.998209,-0.059820,0.000000,0.059695,0.996120,-0.064665,0.003858,0.064550,0.997907
19.000000,18.987371,-0.600166,0.049023,0.998008,-0.063083,0.000000,0.062953,0.995946,-0.064250,0.004042,0.064123,0.997934
20.000000,19.985287,-0.664685,0.048833,0.997798,-0.066330,0.000000,0.066195,0.995766,-0.063781,0.004218,0.063642,0.997964
21.000000,20.982990,-0.732419,0.048621,0.997578,-0.069558,0.000000,0.069419,0.995580,-0.063257,0.004386,0.063105,0.997997
22.000000,21.980471,-0.803347,0.048385,0.997349,-0.072765,0.000000,0.072622,0.995388,-0.062674,0.004545,0.062509,0.998034
