DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.164042,1.000000,0.000000,0.000000,0.000000,0.997775,-0.066667,0.000000,0.066667,0.997775
3.280833,3.280827,-0.005468,0.164042,0.999994,-0.003333,0.000000,0.003326,0.997770,-0.066667,0.000222,0.066666,0.997775
6.561667,6.561618,-0.021872,0.164041,0.999978,-0.006667,0.000000,0.006652,0.997753,-0.066666,0.000444,0.066665,0.997775
9.842500,9.842336,-0.049212,0.164039,0.999950,-0.010001,0.000000,0.009979,0.997726,-0.066664,0.000667,0.066661,0.997775
13.123333,13.122944,-0.087487,0.164032,0.999911,-0.013335,0.000000,0.013306,0.997687,-0.066660,0.000889,0.066654,0.997776
16.404167,16.403407,-0.136696,0.164019,0.999861,-0.016670,0.000000,0.016633,0.997638,-0.066650,0.001111,0.066641,0.997776
19.685000,19.683688,-0.196838,0.163997,0.999800,-0.020006,0.000000,0.019961,0.997578,-0.066633,0.001332,0.066619,0.997778
22.965833,22.963750,-0.267909,0.163960,0.999728,-0.023341,0.000000,0.023290,0.997508,-0.066605,0.001554,0.066587,0.997779
26.246667,26.243557,-0.349906,0.163907,0.999644,-0.026677,0.000000,0.026617,0.997427,-0.066565,0.001774,0.066541,0.997782
29.527500,29.523072,-0.442821,0.163831,0.999550,-0.030011,0.000000,0.029945,0.997336,-0.066508,0.001994,0.066478,0.997786
32.808333,32.802261,-0.546648,0.163728,0.999444,-0.033344,0.000000,0.033270,0.997236,-0.066431,0.002213,0.066394,0.997791
36.089167,36.081086,-0.661374,0.163595,0.999327,-0.036674,0.000000,0.036594,0.997126,-0.066330,0.002430,0.066285,0.997798
39.370000,39.359513,-0.786987,0.163425,0.999200,-0.040002,0.000000,0.039914,0.997008,-0.066202,0.002644,0.066149,0.997806
42.650833,42.637504,-0.923468,0.163215,0.999061,-0.043325,0.000000,0.043230,0.996880,-0.066043,0.002857,0.065982,0.997817
45.931667,45.915027,-1.070795,0.162958,0.998912,-0.046642,0.000000,0.046540,0.996744,-0.065850,0.003066,0.065779,0.997830
49.212500,49.192045,-1.228944,0.162652,0.998752,-0.049951,0.000000,0.049844,0.996599,-0.065619,0.003271,0.065538,0.997845
52.493333,52.468524,-1.397882,0.162290,0.998581,-0.053252,0.000000,0.053138,0.996447,-0.065347,0.003472,0.065255,0.997863
55.774167,55.744431,-1.577574,0.161870,0.998400,-0.056542,0.000000,0.056423,0.996287,-0.065030,0.003668,0.064927,0.997883
59.055000,59.019733,-1.767978,0.161386,0.998209,-0.059820,0.000000,0.059695,0.996120,-0.064665,0.003858,0.064550,0.997907
62.335833,62.294398,-1.969045,0.160835,0.998008,-0.063083,0.000000,0.062953,0.995946,-0.064250,0.004042,0.064123,0.997934
65.616667,65.568395,-2.180721,0.160213,0.997798,-0.066330,0.000000,0.066195,0.995766,-0.063781,0.004218,0.063642,0.997964
68.897500,68.841692,-2.402945,0.159517,0.997578,-0.069558,0.000000,0.069419,0.995580,-0.063257,0.004386,0.063105,0.997997
72.178333,72.114261,-2.635649,0.158744,0.997349,-0.072765,0.000000,0.072622,0.995388,-0.062674,0.004545,0.062509,0.998034
75.459167,75.386073,-2.878755,0.157891,0.997112,-0.075948,0.000000,0.075801,0.995192,-0.062032,0.004694,0.061854,0.998074
78.740000,78.657103,-3.132182,0.156957,0.996866,-0.079105,0.000000,0.078956,0.994990,-0.061328,0.004833,0.061137,0.998118
82.020833,81.927323,-3.395838,0.155940,0.996613,-0.082233,0.000000,0.082082,0.994784,-0.060561,0.004961,0.060357,0.998165
85.301667,85.196712,-3.669623,0.154837,0.996353,-0.085331,0.000000,0.085178,0.994574,-0.059730,0.005076,0.059514,0.998215
88.582500,88.465245,-3.953431,0.153650,0.996086,-0.088394,0.000000,0.088241,0.994360,-0.058834,0.005179,0.058606,0.998268
91.863333,91.732904,-4.247146,0.152375,0.995812,-0.091422,0.000000,0.091269,0.994143,-0.057874,0.005268,0.057633,0.998324
95.144167,94.999668,-4.550644,0.151015,0.995533,-0.094410,0.000000,0.094257,0.993923,-0.056848,0.005343,0.056596,0.998383
98.425000,98.265521,-4.863794,0.149569,0.995250,-0.097357,0.000000,0.097206,0.993701,-0.055758,0.005403,0.055495,0.998444
101.705833,101.530448,-5.186457,0.148038,0.994961,-0.100260,0.000000,0.100110,0.993477,-0.054603,0.005448,0.054331,0.998508
104.986667,104.794436,-5.518483,0.146423,0.994669,-0.103116,0.000000,0.102969,0.993251,-0.053385,0.005478,0.053104,0.998574
108.267500,108.057474,-5.859719,0.144726,0.994374,-0.105922,0.000000,0.105779,0.993024,-0.052105,0.005492,0.051815,0.998642
111.548333,111.319554,-6.209999,0.142949,0.994077,-0.108677,0.000000,0.108537,0.992795,-0.050765,0.005489,0.050467,0.998711
114.829167,114.580669,-6.569154,0.141094,0.993778,-0.111379,0.000000,0.111243,0.992566,-0.049366,0.005470,0.049062,0.998781
118.110000,117.840814,-6.937005,0.139164,0.993478,-0.114023,0.000000,0.113892,0.992337,-0.047910,0.005434,0.047601,0.998852
121.390833,121.099988,-7.313367,0.137162,0.993178,-0.116609,0.000000,0.116484,0.992108,-0.046401,0.005382,0.046087,0.998923
124.671667,124.358190,-7.698048,0.135093,0.992878,-0.119135,0.000000,0.119015,0.991879,-0.044839,0.005313,0.044523,0.998994
127.952500,127.615423,-8.090850,0.132959,0.992579,-0.121598,0.000000,0.121485,0.991652,-0.043229,0.005228,0.042912,0.999065
131.233333,130.871692,-8.491569,0.130765,0.992283,-0.123997,0.000000,0.123890,0.991425,-0.041574,0.005127,0.041257,0.999135
134.514167,134.127003,-8.899995,0.128516,0.991988,-0.126329,0.000000,0.126229,0.991199,-0.039877,0.005010,0.039561,0.999205
137.795000,137.381365,-9.315913,0.126216,0.991697,-0.128594,0.000000,0.128501,0.990976,-0.038141,0.004878,0.037828,0.999272
141.075833,140.634790,-9.739105,0.123870,0.991410,-0.130790,0.000000,0.130704,0.990754,-0.036371,0.004731,0.036062,0.999338
144.356667,143.887290,-10.169346,0.121483,0.991127,-0.132916,0.000000,0.132836,0.990535,-0.034570,0.004570,0.034266,0.999402
147.637500,147.138880,-10.606409,0.119062,0.990850,-0.134970,0.000000,0.134897,0.990318,-0.032742,0.004395,0.032446,0.999464
150.918333,150.389578,-11.050064,0.116611,0.990578,-0.136951,0.000000,0.136886,0.990105,-0.030892,0.004208,0.030604,0.999523
154.199167,153.639401,-11.500078,0.114136,0.990312,-0.138860,0.000000,0.138801,0.989895,-0.029024,0.004008,0.028746,0.999579
157.480000,156.888370,-11.956216,0.111643,0.990053,-0.140695,0.000000,0.140643,0.989688,-0.027142,0.003798,0.026875,0.999632
160.760833,160.136508,-12.418241,0.109138,0.989801,-0.142456,0.000000,0.142410,0.989486,-0.025251,0.003578,0.024996,0.999681
164.041667,163.383837,-12.885916,0.106627,0.989557,-0.144142,0.000000,0.144103,0.989287,-0.023355,0.003349,0.023114,0.999727
167.322500,166.630382,-13.359002,0.104116,0.989321,-0.145754,0.000000,0.145720,0.989093,-0.021460,0.003112,0.021233,0.999770
170.603333,169.876169,-13.837261,0.101611,0.989093,-0.147292,0.000000,0.147264,0.988904,-0.019568,0.002868,0.019357,0.999809
173.884167,173.121224,-14.320458,0.099118,0.988874,-0.148756,0.000000,0.148733,0.988719,-0.017686,0.002618,0.017491,0.999844
177.165000,176.365577,-14.808355,0.096644,0.988664,-0.150146,0.000000,0.150128,0.988540,-0.015817,0.002363,0.015640,0.999875
180.445833,179.609254,-15.300719,0.094192,0.988463,-0.151464,0.000000,0.151450,0.988366,-0.013967,0.002105,0.013807,0.999902
183.726667,182.852286,-15.797318,0.091771,0.988271,-0.152710,0.000000,0.152699,0.988198,-0.012138,0.001845,0.011997,0.999926
187.007500,186.094702,-16.297923,0.089384,0.988089,-0.153885,0.000000,0.153877,0.988036,-0.010336,0.001583,0.010214,0.999947
