DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.049213,1.000000,0.000000,0.000000,0.000000,0.999800,-0.020000,0.000000,0.020000,0.999800
3.280840,3.280840,-0.000000,0.049213,1.000000,0.000000,0.000000,-0.000000,0.999800,-0.020000,0.000000,0.020000,0.999800
6.561680,6.561680,-0.000000,0.049213,1.000000,0.000000,0.000000,-0.000000,0.999800,-0.020000,0.000000,0.020000,0.999800
9.842520,9.842520,-0.000000,0.049216,1.000000,0.000001,0.000000,-0.000001,0.999800,-0.019998,0.000000,0.019998,0.999800
13.123360,13.123360,-0.000000,0.049222,1.000000,0.000003,0.000000,-0.000003,0.999800,-0.019993,0.000000,0.019993,0.999800
16.404199,16.404199,-0.000002,0.049235,1.000000,0.000005,0.000000,-0.000005,0.999800,-0.019983,0.000000,0.019983,0.999800
19.685039,19.685039,-0.000005,0.049258,1.000000,0.000007,0.000000,-0.000007,0.999801,-0.019966,0.000000,0.019966,0.999801
22.965879,22.965879,-0.000013,0.049294,1.000000,0.000010,0.000000,-0.000010,0.999801,-0.019939,0.000000,0.019939,0.999801
26.246719,26.246719,-0.000029,0.049348,1.000000,0.000013,0.000000,-0.000013,0.999802,-0.019898,0.000000,0.019898,0.999802
29.527559,29.527559,-0.000058,0.049423,1.000000,0.000015,0.000000,-0.000015,0.999803,-0.019841,0.000000,0.019841,0.999803
32.808399,32.808399,-0.000107,0.049526,1.000000,0.000017,0.000000,-0.000017,0.999805,-0.019763,0.000000,0.019763,0.999805
36.089239,36.089239,-0.000186,0.049659,1.000000,0.000016,0.000000,-0.000016,0.999807,-0.019663,0.000001,0.019663,0.999807
39.370079,39.370079,-0.000308,0.049829,1.000000,0.000012,0.000000,-0.000012,0.999809,-0.019534,0.000001,0.019534,0.999809
42.650919,42.650919,-0.000489,0.050040,1.000000,0.000005,0.000000,-0.000005,0.999812,-0.019376,0.000001,0.019376,0.999812
45.931759,45.931759,-0.000750,0.050296,1.000000,-0.000008,0.000000,0.000008,0.999816,-0.019182,0.000002,0.019182,0.999816
49.212598,49.212598,-0.001113,0.050602,1.000000,-0.000028,0.000000,0.000028,0.999820,-0.018951,0.000002,0.018951,0.999820
52.493438,52.493438,-0.001610,0.050964,1.000000,-0.000056,0.000000,0.000056,0.999826,-0.018678,0.000003,0.018678,0.999826
55.774278,55.774278,-0.002274,0.051384,1.000000,-0.000094,0.000000,0.000094,0.999831,-0.018360,0.000004,0.018360,0.999831
59.055118,59.055118,-0.003145,0.051868,1.000000,-0.000144,0.000000,0.000144,0.999838,-0.017995,0.000005,0.017995,0.999838
62.335958,62.335958,-0.004270,0.052420,1.000000,-0.000208,0.000000,0.000208,0.999845,-0.017579,0.000007,0.017579,0.999845
65.616798,65.616797,-0.005700,0.053041,1.000000,-0.000288,0.000000,0.000288,0.999854,-0.017109,0.000008,0.017109,0.999854
68.897638,68.897636,-0.007496,0.053737,1.000000,-0.000386,0.000000,0.000386,0.999862,-0.016583,0.000010,0.016583,0.999862
72.178478,72.178476,-0.009724,0.054510,1.000000,-0.000504,0.000000,0.000504,0.999872,-0.016000,0.000012,0.016000,0.999872
75.459318,75.459314,-0.012456,0.055363,1.000000,-0.000646,0.000000,0.000646,0.999882,-0.015356,0.000014,0.015356,0.999882
78.740157,78.740152,-0.015775,0.056297,1.000000,-0.000812,0.000000,0.000812,0.999892,-0.014651,0.000016,0.014651,0.999893
82.020997,82.020990,-0.019770,0.057315,0.999999,-0.001007,0.000000,0.001007,0.999903,-0.013882,0.000018,0.013882,0.999904
85.301837,85.301826,-0.024536,0.058417,0.999999,-0.001232,0.000000,0.001232,0.999914,-0.013050,0.000021,0.013050,0.999915
88.582677,88.582661,-0.030180,0.059605,0.999999,-0.001490,0.000000,0.001490,0.999925,-0.012153,0.000023,0.012153,0.999926
91.863517,91.863495,-0.036815,0.060879,0.999998,-0.001784,0.000000,0.001784,0.999936,-0.011191,0.000024,0.011191,0.999937
95.144357,95.144325,-0.044561,0.062239,0.999998,-0.002116,0.000000,0.002116,0.999946,-0.010164,0.000026,0.010164,0.999948
98.425197,98.425153,-0.053548,0.063685,0.999997,-0.002489,0.000000,0.002488,0.999956,-0.009072,0.000027,0.009072,0.999959
101.706037,101.705976,-0.063915,0.065216,0.999996,-0.002905,0.000000,0.002905,0.999964,-0.007915,0.000027,0.007915,0.999969
104.986877,104.986795,-0.075806,0.066831,0.999994,-0.003367,0.000000,0.003367,0.999972,-0.006696,0.000026,0.006696,0.999978
108.267717,108.267606,-0.089376,0.068529,0.999992,-0.003879,0.000000,0.003878,0.999978,-0.005414,0.000024,0.005414,0.999985
111.548556,111.548410,-0.104786,0.070306,0.999990,-0.004441,0.000000,0.004441,0.999982,-0.004072,0.000020,0.004072,0.999992
114.829396,114.829204,-0.122205,0.072161,0.999987,-0.005057,0.000000,0.005057,0.999984,-0.002671,0.000015,0.002671,0.999996
118.110236,118.109985,-0.141811,0.074091,0.999984,-0.005728,0.000000,0.005728,0.999983,-0.001214,0.000008,0.001214,0.999999
121.391076,121.390751,-0.163787,0.076092,0.999979,-0.006458,0.000000,0.006458,0.999979,0.000298,-0.000002,-0.000298,1.000000
124.671916,124.671499,-0.188323,0.078162,0.999974,-0.007248,0.000000,0.007248,0.999972,0.001861,-0.000015,-0.001860,0.999998
127.952756,127.952225,-0.215616,0.080295,0.999967,-0.008100,0.000000,0.008100,0.999961,0.003472,-0.000030,-0.003472,0.999994
131.233596,131.232926,-0.245870,0.082489,0.999959,-0.009016,0.000000,0.009016,0.999946,0.005129,-0.000050,-0.005128,0.999987
134.514436,134.513595,-0.279294,0.084739,0.999950,-0.009999,0.000000,0.009998,0.999927,0.006827,-0.000073,-0.006827,0.999977
137.795276,137.794228,-0.316101,0.087039,0.999939,-0.011048,0.000000,0.011048,0.999902,0.008564,-0.000101,-0.008564,0.999963
141.076115,141.074819,-0.356511,0.089385,0.999926,-0.012167,0.000000,0.012166,0.999873,0.010336,-0.000133,-0.010335,0.999947
144.356955,144.355360,-0.400746,0.091771,0.999911,-0.013356,0.000000,0.013355,0.999837,0.012138,-0.000171,-0.012137,0.999926
147.637795,147.635845,-0.449035,0.094193,0.999893,-0.014617,0.000000,0.014615,0.999796,0.013967,-0.000215,-0.013965,0.999902
150.918635,150.916264,-0.501607,0.096644,0.999873,-0.015950,0.000000,0.015948,0.999748,0.015817,-0.000264,-0.015815,0.999875
154.199475,154.196606,-0.558697,0.099119,0.999849,-0.017356,0.000000,0.017353,0.999693,0.017686,-0.000320,-0.017683,0.999844
157.480315,157.476863,-0.620538,0.101612,0.999823,-0.018836,0.000000,0.018832,0.999631,0.019568,-0.000383,-0.019565,0.999809
160.761155,160.757022,-0.687369,0.104116,0.999792,-0.020390,0.000000,0.020385,0.999562,0.021460,-0.000454,-0.021455,0.999770
164.041995,164.037070,-0.759428,0.106627,0.999758,-0.022019,0.000000,0.022013,0.999485,0.023355,-0.000532,-0.023349,0.999727
167.322835,167.316993,-0.836953,0.109138,0.999719,-0.023723,0.000000,0.023715,0.999400,0.025251,-0.000618,-0.025243,0.999681
170.603675,170.596777,-0.920184,0.111643,0.999675,-0.025501,0.000000,0.025491,0.999307,0.027142,-0.000713,-0.027133,0.999632
173.884514,173.876404,-1.009358,0.114136,0.999626,-0.027353,0.000000,0.027342,0.999205,0.029024,-0.000816,-0.029012,0.999579
177.165354,177.155857,-1.104714,0.116611,0.999571,-0.029279,0.000000,0.029265,0.999094,0.030892,-0.000928,-0.030878,0.999523
180.446194,180.435118,-1.206484,0.119062,0.999511,-0.031279,0.000000,0.031262,0.998975,0.032742,-0.001048,-0.032725,0.999464
183.727034,183.714166,-1.314904,0.121483,0.999444,-0.033350,0.000000,0.033330,0.998846,0.034570,-0.001178,-0.034550,0.999402
187.007874,186.992978,-1.430202,0.123870,0.999370,-0.035493,0.000000,0.035470,0.998709,0.036371,-0.001317,-0.036347,0.999338
190.288714,190.271533,-1.552605,0.126216,0.999289,-0.037706,0.000000,0.037679,0.998562,0.038141,-0.001465,-0.038113,0.999272
193.569554,193.549807,-1.682337,0.128516,0.999200,-0.039988,0.000000,0.039956,0.998405,0.039877,-0.001622,-0.039844,0.999205
196.850394,196.827772,-1.819614,0.130765,0.999103,-0.042337,0.000000,0.042301,0.998240,0.041574,-0.001788,-0.041536,0.999135
200.131234,200.105404,-1.964651,0.132959,0.998998,-0.044752,0.000000,0.044710,0.998064,0.043229,-0.001963,-0.043185,0.999065
203.412073,203.382673,-2.117654,0.135093,0.998884,-0.047230,0.000000,0.047183,0.997879,0.044839,-0.002146,-0.044788,0.998994
206.692913,206.659551,-2.278827,0.137163,0.998761,-0.049771,0.000000,0.049717,0.997685,0.046401,-0.002338,-0.046342,0.998923
209.973753,209.936007,-2.448365,0.139164,0.998628,-0.052371,0.000000,0.052311,0.997481,0.047910,-0.002538,-0.047843,0.998852
213.254593,213.212008,-2.626457,0.141094,0.998485,-0.055029,0.000000,0.054962,0.997267,0.049366,-0.002745,-0.049290,0.998781
216.535433,216.487523,-2.813286,0.142949,0.998332,-0.057742,0.000000,0.057668,0.997044,0.050765,-0.002959,-0.050679,0.998711
219.816273,219.762518,-3.009026,0.144726,0.998168,-0.060508,0.000000,0.060426,0.996812,0.052105,-0.003180,-0.052008,0.998642
223.097113,223.036957,-3.213845,0.146423,0.997993,-0.063325,0.000000,0.063235,0.996570,0.053385,-0.003408,-0.053276,0.998574
226.377953,226.310805,-3.427902,0.148038,0.997807,-0.066190,0.000000,0.066091,0.996318,0.054603,-0.003640,-0.054482,0.998508
229.658793,229.584026,-3.651350,0.149569,0.997610,-0.069100,0.000000,0.068993,0.996058,0.055758,-0.003878,-0.055623,0.998444
232.939633,232.856582,-3.884332,0.151015,0.997401,-0.072053,0.000000,0.071937,0.995788,0.056848,-0.004120,-0.056699,0.998383
236.220472,236.128436,-4.126983,0.152376,0.997180,-0.075046,0.000000,0.074921,0.995509,0.057874,-0.004366,-0.057709,0.998324
239.501312,239.399548,-4.379431,0.153650,0.996947,-0.078077,0.000000,0.077942,0.995220,0.058834,-0.004616,-0.058653,0.998268
242.782152,242.669879,-4.641793,0.154838,0.996702,-0.081143,0.000000,0.080998,0.994923,0.059730,-0.004867,-0.059531,0.998215
246.062992,245.939391,-4.914181,0.155940,0.996445,-0.084240,0.000000,0.084086,0.994617,0.060561,-0.005121,-0.060344,0.998165
249.343832,249.208043,-5.196697,0.156958,0.996176,-0.087368,0.000000,0.087203,0.994301,0.061328,-0.005376,-0.061091,0.998118
252.624672,252.475795,-5.489433,0.157892,0.995894,-0.090522,0.000000,0.090347,0.993977,0.062032,-0.005632,-0.061775,0.998074
255.905512,255.742608,-5.792477,0.158744,0.995600,-0.093700,0.000000,0.093516,0.993643,0.062674,-0.005888,-0.062397,0.998034
259.186352,259.008441,-6.105905,0.159517,0.995294,-0.096900,0.000000,0.096706,0.993301,0.063257,-0.006144,-0.062958,0.997997
262.467192,262.273253,-6.429789,0.160213,0.994975,-0.100120,0.000000,0.099916,0.992950,0.063781,-0.006399,-0.063460,0.997964
265.748031,265.537005,-6.764189,0.160835,0.994644,-0.103356,0.000000,0.103143,0.992589,0.064250,-0.006652,-0.063905,0.997934
269.028871,268.799657,-7.109163,0.161386,0.994301,-0.106608,0.000000,0.106385,0.992220,0.064665,-0.006904,-0.064296,0.997907
272.309711,272.061167,-7.464759,0.161870,0.993946,-0.109872,0.000000,0.109639,0.991842,0.065030,-0.007154,-0.064635,0.997883
275.590551,275.321498,-7.831018,0.162291,0.993578,-0.113147,0.000000,0.112905,0.991455,0.065347,-0.007402,-0.064927,0.997863
278.871391,278.580609,-8.207977,0.162652,0.993199,-0.116430,0.000000,0.116179,0.991058,0.065619,-0.007647,-0.065172,0.997845
282.152231,281.838460,-8.595665,0.162959,0.992808,-0.119720,0.000000,0.119461,0.990653,0.065850,-0.007889,-0.065376,0.997830
285.433071,285.095014,-8.994108,0.163215,0.992405,-0.123016,0.000000,0.122748,0.990238,0.066043,-0.008129,-0.065541,0.997817
288.713911,288.350232,-9.403325,0.163425,0.991990,-0.126316,0.000000,0.126039,0.989814,0.066202,-0.008366,-0.065671,0.997806
