DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.015000,1.000000,0.000000,0.000000,0.000000,0.999800,-0.020000,0.000000,0.020000,0.999800
1.000000,1.000000,-0.000000,0.015000,1.000000,0.000000,0.000000,-0.000000,0.999800,-0.020000,0.000000,0.020000,0.999800
2.000000,2.000000,-0.000000,0.015000,1.000000,0.000000,0.000000,-0.000000,0.999800,-0.020000,0.000000,0.020000,0.999800
3.000000,3.000000,-0.000000,0.015001,1.000000,0.000001,0.000000,-0.000001,0.999800,-0.019998,0.000000,0.019998,0.999800
4.000000,4.000000,-0.000000,0.015003,1.000000,0.000003,0.000000,-0.000003,0.999800,-0.019993,0.000000,0.019993,0.999800
5.000000,5.000000,-0.000001,0.015007,1.000000,0.000005,0.000000,-0.000005,0.999800,-0.019983,0.000000,0.019983,0.999800
6.000000,6.000000,-0.000002,0.015014,1.000000,0.000007,0.000000,-0.000007,0.999801,-0.019966,0.000000,0.019966,0.999801
7.000000,7.000000,-0.000004,0.015025,1.000000,0.000010,0.000000,-0.000010,0.999801,-0.019939,0.000000,0.019939,0.999801
8.000000,8.000000,-0.000009,0.015041,1.000000,0.000013,0.000000,-0.000013,0.999802,-0.019898,0.000000,0.019898,0.999802
9.000000,9.000000,-0.000018,0.015064,1.000000,0.000015,0.000000,-0.000015,0.999803,-0.019841,0.000000,0.019841,0.999803
10.000000,10.000000,-0.000033,0.015095,1.000000,0.000017,0.000000,-0.000017,0.999805,-0.019763,0.000000,0.019763,0.999805
11.000000,11.000000,-0.000057,0.015136,1.000000,0.000016,0.000000,-0.000016,0.999807,-0.019663,0.000001,0.019663,0.999807
12.000000,12.000000,-0.000094,0.015188,1.000000,0.000012,0.000000,-0.000012,0.999809,-0.019534,0.000001,0.019534,0.999809
13.000000,13.000000,-0.000149,0.015252,1.000000,0.000005,0.000000,-0.000005,0.999812,-0.019376,0.000001,0.019376,0.999812
14.000000,14.000000,-0.000228,0.015330,1.000000,-0.000008,0.000000,0.000008,0.999816,-0.019182,0.000002,0.019182,0.999816
15.000000,15.000000,-0.000339,0.015424,1.000000,-0.000028,0.000000,0.000028,0.999820,-0.018951,0.000002,0.018951,0.999820
16.000000,16.000000,-0.000491,0.015534,1.000000,-0.000056,0.000000,0.000056,0.999826,-0.018678,0.000003,0.018678,0.999826
17.000000,17.000000,-0.000693,0.015662,1.000000,-0.000094,0.000000,0.000094,0.999831,-0.018360,0.000004,0.018360,0.999831
18.000000,18.000000,-0.000959,0.015809,1.000000,-0.000144,0.000000,0.000144,0.999838,-0.017995,0.000005,0.017995,0.999838
19.000000,19.000000,-0.001301,0.015977,1.000000,-0.000208,0.000000,0.000208,0.999845,-0.017579,0.000007,0.017579,0.999845
20.000000,20.000000,-0.001737,0.016167,1.000000,-0.000288,0.000000,0.000288,0.999854,-0.017109,0.000008,0.017109,0.999854
21.000000,21.000000,-0.002285,0.016379,1.000000,-0.000386,0.000000,0.000386,0.999862,-0.016583,0.000010,0.016583,0.999862
22.000000,21.999999,-0.002964,0.016615,1.000000,-0.000504,0.000000,0.000504,0.999872,-0.016000,0.000012,0.016000,0.999872
23.000000,22.999999,-0.003797,0.016875,1.000000,-0.000646,0.000000,0.000646,0.999882,-0.015356,0.000014,0.015356,0.999882
24.000000,23.999998,-0.004808,0.017159,1.000000,-0.000812,0.000000,0.000812,0.999892,-0.014651,0.000016,0.014651,0.999893
25.000000,24.999998,-0.006026,0.017469,0.999999,-0.001007,0.000000,0.001007,0.999903,-0.013882,0.000018,0.013882,0.999904
26.000000,25.999997,-0.007479,0.017805,0.999999,-0.001232,0.000000,0.001232,0.999914,-0.013050,0.000021,0.013050,0.999915
27.000000,26.999995,-0.009199,0.018168,0.999999,-0.001490,0.000000,0.001490,0.999925,-0.012153,0.000023,0.012153,0.999926
28.000000,27.999993,-0.011221,0.018556,0.999998,-0.001784,0.000000,0.001784,0.999936,-0.011191,0.000024,0.011191,0.999937
29.000000,28.999990,-0.013582,0.018970,0.999998,-0.002116,0.000000,0.002116,0.999946,-0.010164,0.000026,0.010164,0.999948
30.000000,29.999987,-0.016321,0.019411,0.999997,-0.002489,0.000000,0.002488,0.999956,-0.009072,0.000027,0.009072,0.999959
31.000000,30.999982,-0.019481,0.019878,0.999996,-0.002905,0.000000,0.002905,0.999964,-0.007915,0.000027,0.007915,0.999969
32.000000,31.999975,-0.023106,0.020370,0.999994,-0.003367,0.000000,0.003367,0.999972,-0.006696,0.000026,0.006696,0.999978
33.000000,32.999966,-0.027242,0.020887,0.999992,-0.003879,0.000000,0.003878,0.999978,-0.005414,0.000024,0.005414,0.999985
34.000000,33.999955,-0.031939,0.021429,0.999990,-0.004441,0.000000,0.004441,0.999982,-0.004072,0.000020,0.004072,0.999992
35.000000,34.999941,-0.037248,0.021995,0.999987,-0.005057,0.000000,0.005057,0.999984,-0.002671,0.000015,0.002671,0.999996
36.000000,35.999923,-0.043224,0.022583,0.999984,-0.005728,0.000000,0.005728,0.999983,-0.001214,0.000008,0.001214,0.999999
37.000000,36.999901,-0.049922,0.023193,0.999979,-0.006458,0.000000,0.006458,0.999979,0.000298,-0.000002,-0.000298,1.000000
38.000000,37.999873,-0.057401,0.023824,0.999974,-0.007248,0.000000,0.007248,0.999972,0.001861,-0.000015,-0.001860,0.999998
39.000000,38.999838,-0.065720,0.024474,0.999967,-0.008100,0.000000,0.008100,0.999961,0.003472,-0.000030,-0.003472,0.999994
40.000000,39.999796,-0.074941,0.025143,0.999959,-0.009016,0.000000,0.009016,0.999946,0.005129,-0.000050,-0.005128,0.999987
41.000000,40.999744,-0.085129,0.025828,0.999950,-0.009999,0.000000,0.009998,0.999927,0.006827,-0.000073,-0.006827,0.999977
42.000000,41.999681,-0.096348,0.026529,0.999939,-0.011048,0.000000,0.011048,0.999902,0.008564,-0.000101,-0.008564,0.999963
43.000000,42.999605,-0.108664,0.027244,0.999926,-0.012167,0.000000,0.012166,0.999873,0.010336,-0.000133,-0.010335,0.999947
