DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.049213,1.000000,0.000000,0.000000,0.000000,0.999800,-0.020000,0.000000,0.020000,0.999800
3.280840,3.280839,0.001640,0.049213,0.999999,0.001000,0.000000,-0.001000,0.999799,-0.020000,-0.000020,0.020000,0.999800
6.561680,6.561675,0.006562,0.049213,0.999998,0.002000,0.000000,-0.002000,0.999798,-0.020000,-0.000040,0.020000,0.999800
9.842520,9.842505,0.014764,0.049216,0.999995,0.003001,0.000000,-0.003001,0.999795,-0.020001,-0.000060,0.020001,0.999800
13.123360,13.123325,0.026247,0.049222,0.999992,0.004003,0.000000,-0.004002,0.999792,-0.020004,-0.000080,0.020004,0.999800
16.404199,16.404131,0.041012,0.049235,0.999987,0.005006,0.000000,-0.005005,0.999787,-0.020009,-0.000100,0.020009,0.999800
19.685039,19.684921,0.059059,0.049258,0.999982,0.006010,0.000000,-0.006009,0.999782,-0.020018,-0.000120,0.020018,0.999800
22.965879,22.965692,0.080390,0.049294,0.999975,0.007016,0.000000,-0.007014,0.999775,-0.020033,-0.000140,0.020033,0.999799
26.246719,26.246439,0.105007,0.049348,0.999968,0.008024,0.000000,-0.008022,0.999767,-0.020055,-0.000161,0.020054,0.999799
29.527559,29.527160,0.132914,0.049423,0.999959,0.009035,0.000000,-0.009033,0.999757,-0.020086,-0.000181,0.020085,0.999798
32.808399,32.807851,0.164116,0.049526,0.999950,0.010049,0.000000,-0.010047,0.999747,-0.020127,-0.000202,0.020126,0.999797
36.089239,36.088510,0.198619,0.049659,0.999939,0.011067,0.000000,-0.011064,0.999735,-0.020182,-0.000222,0.020181,0.999796
39.370079,39.369132,0.236433,0.049829,0.999927,0.012089,0.000000,-0.012087,0.999722,-0.020251,-0.000244,0.020249,0.999795
42.650919,42.649713,0.277570,0.050040,0.999914,0.013117,0.000000,-0.013114,0.999707,-0.020336,-0.000265,0.020335,0.999793
45.931759,45.930252,0.322042,0.050296,0.999900,0.014151,0.000000,-0.014148,0.999691,-0.020441,-0.000288,0.020439,0.999791
49.212598,49.210743,0.369867,0.050602,0.999885,0.015192,0.000000,-0.015188,0.999673,-0.020565,-0.000310,0.020563,0.999789
52.493438,52.491183,0.421065,0.050964,0.999868,0.016241,0.000000,-0.016237,0.999654,-0.020712,-0.000334,0.020710,0.999785
55.774278,55.771569,0.475662,0.051384,0.999850,0.017299,0.000000,-0.017295,0.999632,-0.020883,-0.000358,0.020880,0.999782
59.055118,59.051895,0.533683,0.051868,0.999831,0.018368,0.000000,-0.018364,0.999609,-0.021080,-0.000384,0.021077,0.999778
62.335958,62.332159,0.595162,0.052420,0.999811,0.019448,0.000000,-0.019444,0.999584,-0.021304,-0.000411,0.021300,0.999773
65.616798,65.612355,0.660136,0.053041,0.999789,0.020541,0.000000,-0.020536,0.999557,-0.021557,-0.000438,0.021553,0.999768
68.897638,68.892480,0.728645,0.053737,0.999766,0.021649,0.000000,-0.021644,0.999527,-0.021840,-0.000468,0.021835,0.999761
72.178478,72.172527,0.800737,0.054510,0.999741,0.022772,0.000000,-0.022766,0.999495,-0.022155,-0.000499,0.022149,0.999755
75.459318,75.452493,0.876462,0.055363,0.999714,0.023912,0.000000,-0.023906,0.999461,-0.022502,-0.000532,0.022495,0.999747
78.740157,78.732371,0.955877,0.056297,0.999686,0.025072,0.000000,-0.025065,0.999424,-0.022881,-0.000567,0.022874,0.999738
82.020997,82.012156,1.039045,0.057315,0.999655,0.026251,0.000000,-0.026244,0.999384,-0.023295,-0.000604,0.023287,0.999729
85.301837,85.291843,1.126033,0.058417,0.999623,0.027452,0.000000,-0.027445,0.999341,-0.023744,-0.000644,0.023735,0.999718
88.582677,88.571423,1.216914,0.059605,0.999589,0.028677,0.000000,-0.028669,0.999295,-0.024227,-0.000686,0.024217,0.999706
91.863517,91.850892,1.311768,0.060879,0.999552,0.029927,0.000000,-0.029917,0.999246,-0.024745,-0.000731,0.024734,0.999694
95.144357,95.130240,1.410679,0.062239,0.999513,0.031203,0.000000,-0.031193,0.999193,-0.025298,-0.000779,0.025286,0.999680
98.425197,98.409461,1.513738,0.063685,0.999471,0.032508,0.000000,-0.032497,0.999137,-0.025886,-0.000830,0.025873,0.999665
101.706037,101.688545,1.621041,0.065216,0.999427,0.033842,0.000000,-0.033830,0.999076,-0.026509,-0.000884,0.026494,0.999649
104.986877,104.967485,1.732690,0.066831,0.999380,0.035208,0.000000,-0.035195,0.999011,-0.027166,-0.000943,0.027149,0.999631
108.267717,108.246269,1.848792,0.068529,0.999330,0.036607,0.000000,-0.036593,0.998942,-0.027856,-0.001005,0.027838,0.999612
111.548556,111.524889,1.969460,0.070306,0.999276,0.038041,0.000000,-0.038025,0.998868,-0.028579,-0.001071,0.028558,0.999592
114.829396,114.803333,2.094812,0.072161,0.999219,0.039510,0.000000,-0.039493,0.998789,-0.029333,-0.001142,0.029311,0.999570
118.110236,118.081590,2.224972,0.074091,0.999158,0.041017,0.000000,-0.040998,0.998705,-0.030118,-0.001217,0.030093,0.999546
121.391076,121.359647,2.360067,0.076092,0.999094,0.042563,0.000000,-0.042542,0.998616,-0.030931,-0.001297,0.030904,0.999522
124.671916,124.637491,2.500231,0.078162,0.999025,0.044149,0.000000,-0.044126,0.998521,-0.031773,-0.001382,0.031743,0.999495
