DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.050000,1.000000,0.000000,0.000000,0.000000,0.997775,-0.066667,0.000000,0.066667,0.997775
1.000000,0.999998,0.001667,0.050000,0.999994,0.003333,0.000000,-0.003326,0.997770,-0.066667,-0.000222,0.066666,0.997775
2.000000,1.999985,0.006667,0.050000,0.999978,0.006666,0.000000,-0.006651,0.997753,-0.066666,-0.000444,0.066665,0.997775
3.000000,2.999950,0.015000,0.049999,0.999950,0.009999,0.000000,-0.009976,0.997726,-0.066665,-0.000667,0.066662,0.997775
4.000000,3.999881,0.026666,0.049997,0.999911,0.013330,0.000000,-0.013300,0.997687,-0.066663,-0.000889,0.066657,0.997776
5.000000,4.999769,0.041665,0.049993,0.999861,0.016660,0.000000,-0.016623,0.997637,-0.066658,-0.001111,0.066648,0.997776
6.000000,5.999600,0.059997,0.049986,0.999800,0.019989,0.000000,-0.019944,0.997577,-0.066648,-0.001333,0.066635,0.997777
7.000000,6.999365,0.081660,0.049975,0.999728,0.023315,0.000000,-0.023264,0.997506,-0.066634,-0.001554,0.066616,0.997778
8.000000,7.999052,0.106654,0.049959,0.999645,0.026639,0.000000,-0.026580,0.997425,-0.066612,-0.001776,0.066588,0.997779
9.000000,8.998650,0.134978,0.049936,0.999551,0.029961,0.000000,-0.029894,0.997333,-0.066581,-0.001997,0.066551,0.997781
10.000000,9.998149,0.166628,0.049905,0.999446,0.033278,0.000000,-0.033204,0.997231,-0.066540,-0.002217,0.066503,0.997784
11.000000,10.997537,0.201604,0.049864,0.999330,0.036592,0.000000,-0.036511,0.997119,-0.066485,-0.002436,0.066441,0.997787
12.000000,11.996802,0.239902,0.049812,0.999204,0.039900,0.000000,-0.039812,0.996997,-0.066416,-0.002654,0.066363,0.997792
13.000000,12.995936,0.281518,0.049748,0.999066,0.043203,0.000000,-0.043108,0.996866,-0.066331,-0.002870,0.066269,0.997798
14.000000,13.994925,0.326448,0.049670,0.998918,0.046499,0.000000,-0.046397,0.996725,-0.066227,-0.003085,0.066155,0.997805
15.000000,14.993761,0.374685,0.049576,0.998760,0.049787,0.000000,-0.049678,0.996575,-0.066103,-0.003298,0.066020,0.997813
16.000000,15.992431,0.426222,0.049466,0.998591,0.053067,0.000000,-0.052951,0.996417,-0.065956,-0.003508,0.065862,0.997823
17.000000,16.990927,0.481053,0.049338,0.998412,0.056337,0.000000,-0.056215,0.996249,-0.065785,-0.003715,0.065680,0.997834
18.000000,17.989236,0.539168,0.049191,0.998223,0.059596,0.000000,-0.059468,0.996073,-0.065589,-0.003919,0.065471,0.997847
19.000000,18.987350,0.600556,0.049023,0.998023,0.062843,0.000000,-0.062708,0.995889,-0.065365,-0.004119,0.065235,0.997861
20.000000,19.985257,0.665206,0.048833,0.997815,0.066076,0.000000,-0.065936,0.995697,-0.065112,-0.004315,0.064969,0.997878
21.000000,20.982949,0.733103,0.048621,0.997596,0.069294,0.000000,-0.069148,0.995498,-0.064830,-0.004507,0.064673,0.997896
22.000000,21.980416,0.804235,0.048385,0.997369,0.072496,0.000000,-0.072345,0.995291,-0.064516,-0.004693,0.064345,0.997917
