DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.164042,1.000000,0.000000,0.000000,0.000000,0.997775,-0.066667,0.000000,0.066667,0.997775
3.280833,3.280827,0.005468,0.164042,0.999994,0.003333,0.000000,-0.003326,0.997770,-0.066667,-0.000222,0.066666,0.997775
6.561667,6.561618,0.021872,0.164041,0.999978,0.006666,0.000000,-0.006651,0.997753,-0.066666,-0.000444,0.066665,0.997775
9.842500,9.842336,0.049212,0.164039,0.999950,0.009999,0.000000,-0.009976,0.997726,-0.066665,-0.000667,0.066662,0.997775
13.123333,13.122944,0.087487,0.164032,0.999911,0.013330,0.000000,-0.013300,0.997687,-0.066663,-0.000889,0.066657,0.997776
16.404167,16.403407,0.136697,0.164019,0.999861,0.016660,0.000000,-0.016623,0.997637,-0.066658,-0.001111,0.066648,0.997776
19.685000,19.683688,0.196840,0.163997,0.999800,0.019989,0.000000,-0.019944,0.997577,-0.066648,-0.001333,0.066635,0.997777
22.965833,22.963750,0.267913,0.163960,0.999728,0.023315,0.000000,-0.023264,0.997506,-0.066634,-0.001554,0.066616,0.997778
26.246667,26.243556,0.349914,0.163907,0.999645,0.026639,0.000000,-0.026580,0.997425,-0.066612,-0.001776,0.066588,0.997779
29.527500,29.523072,0.442839,0.163831,0.999551,0.029961,0.000000,-0.029894,0.997333,-0.066581,-0.001997,0.066551,0.997781
32.808333,32.802260,0.546680,0.163728,0.999446,0.033278,0.000000,-0.033204,0.997231,-0.066540,-0.002217,0.066503,0.997784
36.089167,36.081085,0.661430,0.163595,0.999330,0.036592,0.000000,-0.036511,0.997119,-0.066485,-0.002436,0.066441,0.997787
39.370000,39.359509,0.787079,0.163425,0.999204,0.039900,0.000000,-0.039812,0.996997,-0.066416,-0.002654,0.066363,0.997792
42.650833,42.637499,0.923614,0.163215,0.999066,0.043203,0.000000,-0.043108,0.996866,-0.066331,-0.002870,0.066269,0.997798
45.931667,45.915018,1.071020,0.162958,0.998918,0.046499,0.000000,-0.046397,0.996725,-0.066227,-0.003085,0.066155,0.997805
49.212500,49.192030,1.229277,0.162652,0.998760,0.049787,0.000000,-0.049678,0.996575,-0.066103,-0.003298,0.066020,0.997813
52.493333,52.468502,1.398365,0.162290,0.998591,0.053067,0.000000,-0.052951,0.996417,-0.065956,-0.003508,0.065862,0.997823
55.774167,55.744398,1.578255,0.161870,0.998412,0.056337,0.000000,-0.056215,0.996249,-0.065785,-0.003715,0.065680,0.997834
59.055000,59.019685,1.768920,0.161386,0.998223,0.059596,0.000000,-0.059468,0.996073,-0.065589,-0.003919,0.065471,0.997847
62.335833,62.294330,1.970324,0.160835,0.998023,0.062843,0.000000,-0.062708,0.995889,-0.065365,-0.004119,0.065235,0.997861
65.616667,65.568298,2.182429,0.160213,0.997815,0.066076,0.000000,-0.065936,0.995697,-0.065112,-0.004315,0.064969,0.997878
68.897500,68.841559,2.405190,0.159517,0.997596,0.069294,0.000000,-0.069148,0.995498,-0.064830,-0.004507,0.064673,0.997896
72.178333,72.114080,2.638560,0.158744,0.997369,0.072496,0.000000,-0.072345,0.995291,-0.064516,-0.004693,0.064345,0.997917
75.459167,75.385832,2.882484,0.157891,0.997132,0.075679,0.000000,-0.075524,0.995077,-0.064170,-0.004874,0.063985,0.997939
78.740000,78.656784,3.136904,0.156957,0.996887,0.078844,0.000000,-0.078683,0.994857,-0.063791,-0.005048,0.063591,0.997963
82.020833,81.926908,3.401754,0.155940,0.996633,0.081987,0.000000,-0.081822,0.994630,-0.063378,-0.005217,0.063163,0.997990
85.301667,85.196177,3.676964,0.154837,0.996372,0.085108,0.000000,-0.084939,0.994397,-0.062930,-0.005378,0.062700,0.998018
88.582500,88.464564,3.962459,0.153650,0.996102,0.088204,0.000000,-0.088032,0.994158,-0.062448,-0.005532,0.062202,0.998048
91.863333,91.732043,4.258156,0.152375,0.995826,0.091275,0.000000,-0.091100,0.993914,-0.061930,-0.005677,0.061670,0.998080
95.144167,94.998591,4.563968,0.151015,0.995542,0.094318,0.000000,-0.094140,0.993665,-0.061378,-0.005815,0.061102,0.998115
98.425000,98.264186,4.879802,0.149569,0.995252,0.097332,0.000000,-0.097152,0.993411,-0.060791,-0.005944,0.060500,0.998151
101.705833,101.528805,5.205559,0.148038,0.994956,0.100316,0.000000,-0.100134,0.993153,-0.060169,-0.006065,0.059863,0.998188
104.986667,104.792430,5.541135,0.146423,0.994654,0.103267,0.000000,-0.103084,0.992891,-0.059513,-0.006176,0.059192,0.998228
108.267500,108.055043,5.886419,0.144726,0.994346,0.106184,0.000000,-0.106000,0.992625,-0.058824,-0.006277,0.058488,0.998268
111.548333,111.316625,6.241295,0.142949,0.994034,0.109066,0.000000,-0.108882,0.992355,-0.058102,-0.006369,0.057752,0.998311
114.829167,114.577164,6.605644,0.141094,0.993718,0.111911,0.000000,-0.111727,0.992083,-0.057349,-0.006451,0.056985,0.998354
118.110000,117.836644,6.979339,0.139164,0.993398,0.114718,0.000000,-0.114535,0.991808,-0.056565,-0.006523,0.056188,0.998399
121.390833,121.095055,7.362250,0.137162,0.993075,0.117486,0.000000,-0.117303,0.991530,-0.055752,-0.006584,0.055362,0.998445
124.671667,124.352385,7.754240,0.135093,0.992748,0.120212,0.000000,-0.120031,0.991250,-0.054911,-0.006636,0.054509,0.998491
127.952500,127.608628,8.155170,0.132959,0.992419,0.122897,0.000000,-0.122717,0.990969,-0.054045,-0.006677,0.053631,0.998539
131.233333,130.863776,8.564895,0.130765,0.992089,0.125538,0.000000,-0.125361,0.990686,-0.053153,-0.006709,0.052728,0.998586
134.514167,134.117823,8.983268,0.128516,0.991757,0.128135,0.000000,-0.127960,0.990403,-0.052240,-0.006730,0.051804,0.998635
137.795000,137.370767,9.410138,0.126216,0.991424,0.130687,0.000000,-0.130515,0.990118,-0.051305,-0.006741,0.050860,0.998683
141.075833,140.622605,9.845348,0.123870,0.991090,0.133193,0.000000,-0.133024,0.989833,-0.050352,-0.006743,0.049899,0.998732
144.356667,143.873338,10.288742,0.121483,0.990757,0.135651,0.000000,-0.135486,0.989548,-0.049382,-0.006735,0.048921,0.998780
147.637500,147.122966,10.740159,0.119062,0.990423,0.138063,0.000000,-0.137901,0.989263,-0.048398,-0.006718,0.047930,0.998828
150.918333,150.371493,11.199436,0.116611,0.990091,0.140426,0.000000,-0.140268,0.988978,-0.047402,-0.006692,0.046928,0.998876
154.199167,153.618923,11.666410,0.114136,0.989760,0.142740,0.000000,-0.142587,0.988694,-0.046397,-0.006657,0.045917,0.998923
157.480000,156.865261,12.140914,0.111643,0.989431,0.145006,0.000000,-0.144856,0.988411,-0.045384,-0.006615,0.044899,0.998970
160.760833,160.110514,12.622781,0.109138,0.989103,0.147222,0.000000,-0.147077,0.988130,-0.044366,-0.006565,0.043877,0.999015
164.041667,163.354690,13.111843,0.106627,0.988778,0.149389,0.000000,-0.149249,0.987849,-0.043345,-0.006508,0.042854,0.999060
167.322500,166.597800,13.607934,0.104116,0.988456,0.151507,0.000000,-0.151371,0.987570,-0.042325,-0.006444,0.041831,0.999104
170.603333,169.839852,14.110885,0.101611,0.988137,0.153575,0.000000,-0.153444,0.987294,-0.041306,-0.006375,0.040812,0.999147
173.884167,173.080859,14.620528,0.099118,0.987821,0.155595,0.000000,-0.155468,0.987019,-0.040293,-0.006300,0.039798,0.999188
177.165000,176.320833,15.136699,0.096644,0.987509,0.157565,0.000000,-0.157444,0.986746,-0.039287,-0.006219,0.038792,0.999228
180.445833,179.559787,15.659231,0.094192,0.987200,0.159488,0.000000,-0.159371,0.986476,-0.038291,-0.006135,0.037796,0.999267
183.726667,182.797735,16.187962,0.091771,0.986895,0.161362,0.000000,-0.161250,0.986208,-0.037306,-0.006047,0.036813,0.999304
187.007500,186.034692,16.722731,0.089384,0.986595,0.163190,0.000000,-0.163082,0.985943,-0.036336,-0.005956,0.035845,0.999340
