DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.164042,1.000000,0.000000,0.000000,0.000000,0.997775,-0.066667,0.000000,0.066667,0.997775
3.280840,3.280834,0.005468,0.164042,0.999994,0.003333,0.000000,-0.003326,0.997770,-0.066667,-0.000222,0.066666,0.997775
6.561680,6.561631,0.021872,0.164041,0.999978,0.006666,0.000000,-0.006651,0.997753,-0.066666,-0.000444,0.066665,0.997775
9.842520,9.842356,0.049212,0.164039,0.999950,0.009999,0.000000,-0.009976,0.997726,-0.066665,-0.000667,0.066662,0.997775
13.123360,13.122971,0.087487,0.164033,0.999911,0.013330,0.000000,-0.013300,0.997687,-0.066663,-0.000889,0.066657,0.997776
16.404199,16.403440,0.136697,0.164020,0.999861,0.016660,0.000000,-0.016623,0.997637,-0.066658,-0.001111,0.066648,0.997776
19.685039,19.683727,0.196838,0.163997,0.999800,0.019988,0.000000,-0.019944,0.997577,-0.066648,-0.001333,0.066635,0.997777
22.965879,22.963796,0.267910,0.163961,0.999728,0.023314,0.000000,-0.023262,0.997506,-0.066634,-0.001554,0.066616,0.997778
26.246719,26.243609,0.349906,0.163907,0.999645,0.026637,0.000000,-0.026578,0.997425,-0.066612,-0.001776,0.066588,0.997779
29.527559,29.523131,0.442822,0.163831,0.999551,0.029957,0.000000,-0.029891,0.997333,-0.066581,-0.001996,0.066551,0.997781
32.808399,32.802327,0.546649,0.163729,0.999446,0.033272,0.000000,-0.033199,0.997231,-0.066540,-0.002216,0.066503,0.997784
36.089239,36.081158,0.661376,0.163595,0.999331,0.036583,0.000000,-0.036502,0.997120,-0.066485,-0.002435,0.066441,0.997787
39.370079,39.359591,0.786988,0.163425,0.999204,0.039886,0.000000,-0.039798,0.996998,-0.066416,-0.002653,0.066363,0.997792
42.650919,42.637590,0.923470,0.163215,0.999067,0.043183,0.000000,-0.043088,0.996867,-0.066331,-0.002869,0.066269,0.997798
45.931759,45.915118,1.070797,0.162959,0.998920,0.046471,0.000000,-0.046369,0.996727,-0.066227,-0.003083,0.066155,0.997805
49.212598,49.192143,1.228946,0.162652,0.998762,0.049748,0.000000,-0.049640,0.996577,-0.066103,-0.003295,0.066020,0.997813
52.493438,52.468629,1.397885,0.162291,0.998594,0.053015,0.000000,-0.052899,0.996419,-0.065956,-0.003504,0.065863,0.997823
55.774278,55.744543,1.577577,0.161870,0.998416,0.056268,0.000000,-0.056146,0.996253,-0.065785,-0.003711,0.065680,0.997834
59.055118,59.019851,1.767981,0.161386,0.998228,0.059506,0.000000,-0.059377,0.996079,-0.065589,-0.003913,0.065472,0.997847
62.335958,62.294523,1.969049,0.160835,0.998031,0.062727,0.000000,-0.062593,0.995896,-0.065365,-0.004112,0.065235,0.997861
65.616798,65.568526,2.180726,0.160213,0.997824,0.065930,0.000000,-0.065790,0.995707,-0.065112,-0.004306,0.064970,0.997878
68.897638,68.841829,2.402950,0.159517,0.997609,0.069112,0.000000,-0.068966,0.995510,-0.064830,-0.004495,0.064674,0.997896
72.178478,72.114405,2.635654,0.158744,0.997385,0.072271,0.000000,-0.072120,0.995307,-0.064516,-0.004679,0.064346,0.997917
75.459318,75.386224,2.878761,0.157892,0.997153,0.075405,0.000000,-0.075249,0.995098,-0.064170,-0.004856,0.063986,0.997939
78.740157,78.657260,3.132188,0.156958,0.996913,0.078512,0.000000,-0.078352,0.994883,-0.063791,-0.005027,0.063592,0.997963
82.020997,81.927487,3.395845,0.155940,0.996666,0.081589,0.000000,-0.081425,0.994662,-0.063378,-0.005191,0.063165,0.997990
85.301837,85.196882,3.669630,0.154838,0.996412,0.084635,0.000000,-0.084468,0.994437,-0.062930,-0.005348,0.062702,0.998018
88.582677,88.465422,3.953439,0.153650,0.996152,0.087647,0.000000,-0.087476,0.994207,-0.062448,-0.005497,0.062205,0.998048
91.863517,91.733087,4.247154,0.152376,0.995885,0.090622,0.000000,-0.090448,0.993974,-0.061930,-0.005637,0.061673,0.998080
95.144357,94.999858,4.550653,0.151015,0.995614,0.093559,0.000000,-0.093382,0.993737,-0.061378,-0.005769,0.061106,0.998115
98.425197,98.265718,4.863804,0.149569,0.995337,0.096454,0.000000,-0.096275,0.993497,-0.060791,-0.005891,0.060505,0.998151
101.706037,101.530651,5.186467,0.148038,0.995057,0.099305,0.000000,-0.099125,0.993254,-0.060169,-0.006004,0.059869,0.998188
104.986877,104.794646,5.518495,0.146423,0.994773,0.102111,0.000000,-0.101930,0.993010,-0.059513,-0.006107,0.059199,0.998228
108.267717,108.057690,5.859731,0.144726,0.994486,0.104869,0.000000,-0.104687,0.992764,-0.058824,-0.006200,0.058496,0.998268
