DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.050000,1.000000,0.000000,0.000000,0.000000,0.997775,-0.066667,0.000000,0.066667,0.997775
1.000000,0.999998,0.001667,0.050000,0.999994,0.003333,0.000000,-0.003326,0.997770,-0.066667,-0.000222,0.066666,0.997775
2.000000,1.999985,0.006667,0.050000,0.999978,0.006666,0.000000,-0.006651,0.997753,-0.066666,-0.000444,0.066665,0.997775
3.000000,2.999950,0.015000,0.049999,0.999950,0.009999,0.000000,-0.009976,0.997726,-0.066665,-0.000667,0.066662,0.997775
4.000000,3.999881,0.026666,0.049997,0.999911,0.013330,0.000000,-0.013300,0.997687,-0.066663,-0.000889,0.066657,0.997776
5.000000,4.999769,0.041665,0.049993,0.999861,0.016660,0.000000,-0.016623,0.997637,-0.066658,-0.001111,0.066648,0.997776
6.000000,5.999600,0.059996,0.049986,0.999800,0.019988,0.000000,-0.019944,0.997577,-0.066648,-0.001333,0.066635,0.997777
7.000000,6.999365,0.081659,0.049975,0.999728,0.023314,0.000000,-0.023262,0.997506,-0.066634,-0.001554,0.066616,0.997778
8.000000,7.999052,0.106651,0.049959,0.999645,0.026637,0.000000,-0.026578,0.997425,-0.066612,-0.001776,0.066588,0.997779
9.000000,8.998650,0.134972,0.049936,0.999551,0.029957,0.000000,-0.029891,0.997333,-0.066581,-0.001996,0.066551,0.997781
10.000000,9.998149,0.166619,0.049905,0.999446,0.033272,0.000000,-0.033199,0.997231,-0.066540,-0.002216,0.066503,0.997784
11.000000,10.997537,0.201587,0.049864,0.999331,0.036583,0.000000,-0.036502,0.997120,-0.066485,-0.002435,0.066441,0.997787
12.000000,11.996803,0.239874,0.049812,0.999204,0.039886,0.000000,-0.039798,0.996998,-0.066416,-0.002653,0.066363,0.997792
13.000000,12.995937,0.281474,0.049748,0.999067,0.043183,0.000000,-0.043088,0.996867,-0.066331,-0.002869,0.066269,0.997798
14.000000,13.994928,0.326379,0.049670,0.998920,0.046471,0.000000,-0.046369,0.996727,-0.066227,-0.003083,0.066155,0.997805
15.000000,14.993765,0.374583,0.049576,0.998762,0.049748,0.000000,-0.049640,0.996577,-0.066103,-0.003295,0.066020,0.997813
16.000000,15.992438,0.426075,0.049466,0.998594,0.053015,0.000000,-0.052899,0.996419,-0.065956,-0.003504,0.065863,0.997823
17.000000,16.990937,0.480846,0.049338,0.998416,0.056268,0.000000,-0.056146,0.996253,-0.065785,-0.003711,0.065680,0.997834
18.000000,17.989251,0.538881,0.049191,0.998228,0.059506,0.000000,-0.059377,0.996079,-0.065589,-0.003913,0.065472,0.997847
19.000000,18.987371,0.600166,0.049023,0.998031,0.062727,0.000000,-0.062593,0.995896,-0.065365,-0.004112,0.065235,0.997861
20.000000,19.985287,0.664685,0.048833,0.997824,0.065930,0.000000,-0.065790,0.995707,-0.065112,-0.004306,0.064970,0.997878
21.000000,20.982990,0.732419,0.048621,0.997609,0.069112,0.000000,-0.068966,0.995510,-0.064830,-0.004495,0.064674,0.997896
22.000000,21.980471,0.803347,0.048385,0.997385,0.072271,0.000000,-0.072120,0.995307,-0.064516,-0.004679,0.064346,0.997917
