DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.164042,1.000000,0.000000,0.000000,0.000000,0.997775,-0.066667,0.000000,0.066667,0.997775
3.280833,3.280827,0.005468,0.164042,0.999994,0.003333,0.000000,-0.003326,0.997770,-0.066667,-0.000222,0.066666,0.997775
6.561667,6.561618,0.021872,0.164041,0.999978,0.006666,0.000000,-0.006651,0.997753,-0.066666,-0.000444,0.066665,0.997775
9.842500,9.842336,0.049212,0.164039,0.999950,0.009999,0.000000,-0.009976,0.997726,-0.066665,-0.000667,0.066662,0.997775
13.123333,13.122944,0.087487,0.164032,0.999911,0.013330,0.000000,-0.013300,0.997687,-0.066663,-0.000889,0.066657,0.997776
16.404167,16.403407,0.136696,0.164019,0.999861,0.016660,0.000000,-0.016623,0.997637,-0.066658,-0.001111,0.066648,0.997776
19.685000,19.683688,0.196838,0.163997,0.999800,0.019988,0.000000,-0.019944,0.997577,-0.066648,-0.001333,0.066635,0.997777
22.965833,22.963750,0.267909,0.163960,0.999728,0.023314,0.000000,-0.023262,0.997506,-0.066634,-0.001554,0.066616,0.997778
26.246667,26.243557,0.349906,0.163907,0.999645,0.026637,0.000000,-0.026578,0.997425,-0.066612,-0.001776,0.066588,0.997779
29.527500,29.523072,0.442821,0.163831,0.999551,0.029957,0.000000,-0.029891,0.997333,-0.066581,-0.001996,0.066551,0.997781
32.808333,32.802261,0.546648,0.163728,0.999446,0.033272,0.000000,-0.033199,0.997231,-0.066540,-0.002216,0.066503,0.997784
36.089167,36.081086,0.661374,0.163595,0.999331,0.036583,0.000000,-0.036502,0.997120,-0.066485,-0.002435,0.066441,0.997787
39.370000,39.359513,0.786987,0.163425,0.999204,0.039886,0.000000,-0.039798,0.996998,-0.066416,-0.002653,0.066363,0.997792
42.650833,42.637504,0.923468,0.163215,0.999067,0.043183,0.000000,-0.043088,0.996867,-0.066331,-0.002869,0.066269,0.997798
45.931667,45.915027,1.070795,0.162958,0.998920,0.046471,0.000000,-0.046369,0.996727,-0.066227,-0.003083,0.066155,0.997805
49.212500,49.192045,1.228944,0.162652,0.998762,0.049748,0.000000,-0.049640,0.996577,-0.066103,-0.003295,0.066020,0.997813
52.493333,52.468524,1.397882,0.162290,0.998594,0.053015,0.000000,-0.052899,0.996419,-0.065956,-0.003504,0.065863,0.997823
55.774167,55.744431,1.577574,0.161870,0.998416,0.056268,0.000000,-0.056146,0.996253,-0.065785,-0.003711,0.065680,0.997834
59.055000,59.019733,1.767978,0.161386,0.998228,0.059506,0.000000,-0.059377,0.996079,-0.065589,-0.003913,0.065472,0.997847
62.335833,62.294398,1.969045,0.160835,0.998031,0.062727,0.000000,-0.062593,0.995896,-0.065365,-0.004112,0.065235,0.997861
65.616667,65.568395,2.180721,0.160213,0.997824,0.065930,0.000000,-0.065790,0.995707,-0.065112,-0.004306,0.064970,0.997878
68.897500,68.841692,2.402945,0.159517,0.997609,0.069112,0.000000,-0.068966,0.995510,-0.064830,-0.004495,0.064674,0.997896
72.178333,72.114261,2.635649,0.158744,0.997385,0.072271,0.000000,-0.072120,0.995307,-0.064516,-0.004679,0.064346,0.997917
75.459167,75.386073,2.878755,0.157891,0.997153,0.075405,0.000000,-0.075249,0.995098,-0.064170,-0.004856,0.063986,0.997939
78.740000,78.657103,3.132182,0.156957,0.996913,0.078512,0.000000,-0.078352,0.994883,-0.063791,-0.005027,0.063592,0.997963
82.020833,81.927323,3.395838,0.155940,0.996666,0.081589,0.000000,-0.081425,0.994662,-0.063378,-0.005191,0.063165,0.997990
85.301667,85.196712,3.669623,0.154837,0.996412,0.084635,0.000000,-0.084468,0.994437,-0.062930,-0.005348,0.062702,0.998018
88.582500,88.465245,3.953431,0.153650,0.996152,0.087647,0.000000,-0.087476,0.994207,-0.062448,-0.005497,0.062205,0.998048
91.863333,91.732904,4.247146,0.152375,0.995885,0.090622,0.000000,-0.090448,0.993974,-0.061930,-0.005637,0.061673,0.998080
95.144167,94.999668,4.550644,0.151015,0.995614,0.093559,0.000000,-0.093382,0.993737,-0.061378,-0.005769,0.061106,0.998115
98.425000,98.265521,4.863794,0.149569,0.995337,0.096454,0.000000,-0.096275,0.993497,-0.060791,-0.005891,0.060505,0.998151
101.705833,101.530448,5.186457,0.148038,0.995057,0.099305,0.000000,-0.099125,0.993254,-0.060169,-0.006004,0.059869,0.998188
104.986667,104.794436,5.518483,0.146423,0.994773,0.102111,0.000000,-0.101930,0.993010,-0.059513,-0.006107,0.059199,0.998228
108.267500,108.057474,5.859719,0.144726,0.994486,0.104869,0.000000,-0.104687,0.992764,-0.058824,-0.006200,0.058496,0.998268
111.548333,111.319554,6.209999,0.142949,0.994197,0.107577,0.000000,-0.107395,0.992517,-0.058102,-0.006282,0.057762,0.998311
114.829167,114.580669,6.569154,0.141094,0.993906,0.110232,0.000000,-0.110050,0.992270,-0.057349,-0.006355,0.056996,0.998354
118.110000,117.840814,6.937005,0.139164,0.993614,0.112832,0.000000,-0.112652,0.992023,-0.056565,-0.006416,0.056200,0.998399
121.390833,121.099988,7.313367,0.137162,0.993322,0.115377,0.000000,-0.115197,0.991777,-0.055752,-0.006467,0.055376,0.998445
124.671667,124.358190,7.698048,0.135093,0.993030,0.117863,0.000000,-0.117685,0.991532,-0.054911,-0.006507,0.054525,0.998491
127.952500,127.615423,8.090850,0.132959,0.992739,0.120288,0.000000,-0.120113,0.991288,-0.054045,-0.006536,0.053648,0.998539
131.233333,130.871692,8.491569,0.130765,0.992450,0.122652,0.000000,-0.122479,0.991047,-0.053153,-0.006555,0.052748,0.998586
134.514167,134.127003,8.899995,0.128516,0.992163,0.124953,0.000000,-0.124783,0.990808,-0.052240,-0.006563,0.051826,0.998635
137.795000,137.381365,9.315913,0.126216,0.991878,0.127189,0.000000,-0.127022,0.990572,-0.051305,-0.006562,0.050884,0.998683
141.075833,140.634790,9.739105,0.123870,0.991598,0.129359,0.000000,-0.129195,0.990340,-0.050352,-0.006550,0.049924,0.998732
144.356667,143.887290,10.169346,0.121483,0.991321,0.131462,0.000000,-0.131302,0.990112,-0.049382,-0.006528,0.048949,0.998780
147.637500,147.138880,10.606409,0.119062,0.991049,0.133497,0.000000,-0.133341,0.989888,-0.048398,-0.006497,0.047960,0.998828
150.918333,150.389578,11.050064,0.116611,0.990782,0.135463,0.000000,-0.135311,0.989669,-0.047402,-0.006457,0.046961,0.998876
154.199167,153.639401,11.500078,0.114136,0.990521,0.137360,0.000000,-0.137212,0.989455,-0.046397,-0.006408,0.045952,0.998923
157.480000,156.888370,11.956216,0.111643,0.990266,0.139186,0.000000,-0.139042,0.989246,-0.045384,-0.006351,0.044937,0.998970
160.760833,160.136508,12.418241,0.109138,0.990018,0.140942,0.000000,-0.140803,0.989043,-0.044366,-0.006287,0.043918,0.999015
164.041667,163.383837,12.885916,0.106627,0.989777,0.142627,0.000000,-0.142492,0.988846,-0.043345,-0.006215,0.042897,0.999060
167.322500,166.630382,13.359002,0.104116,0.989543,0.144241,0.000000,-0.144112,0.988656,-0.042325,-0.006137,0.041877,0.999104
170.603333,169.876169,13.837261,0.101611,0.989316,0.145784,0.000000,-0.145660,0.988472,-0.041306,-0.006053,0.040861,0.999147
173.884167,173.121224,14.320458,0.099118,0.989098,0.147258,0.000000,-0.147138,0.988295,-0.040293,-0.005964,0.039849,0.999188
177.165000,176.365577,14.808355,0.096644,0.988888,0.148661,0.000000,-0.148547,0.988125,-0.039287,-0.005870,0.038846,0.999228
180.445833,179.609254,15.300719,0.094192,0.988687,0.149996,0.000000,-0.149886,0.987962,-0.038291,-0.005772,0.037853,0.999267
183.726667,182.852286,15.797318,0.091771,0.988494,0.151261,0.000000,-0.151156,0.987806,-0.037306,-0.005670,0.036873,0.999304
187.007500,186.094702,16.297923,0.089384,0.988310,0.152459,0.000000,-0.152359,0.987657,-0.036336,-0.005566,0.035907,0.999340
