DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.049212,1.000000,0.000000,0.000000,0.000000,0.999800,-0.020000,0.000000,0.020000,0.999800
3.280833,3.280833,0.000000,0.049213,1.000000,0.000000,0.000000,-0.000000,0.999800,-0.020000,-0.000000,0.020000,0.999800
6.561667,6.561667,0.000000,0.049213,1.000000,0.000000,0.000000,-0.000000,0.999800,-0.020000,-0.000000,0.020000,0.999800
9.842500,9.842500,0.000000,0.049216,1.000000,0.000001,0.000000,-0.000001,0.999800,-0.020001,-0.000000,0.020001,0.999800
13.123333,13.123333,0.000000,0.049222,1.000000,0.000003,0.000000,-0.000003,0.999800,-0.020004,-0.000000,0.020004,0.999800
16.404167,16.404167,0.000002,0.049235,1.000000,0.000006,0.000000,-0.000006,0.999800,-0.020009,-0.000000,0.020009,0.999800
19.685000,19.685000,0.000005,0.049257,1.000000,0.000010,0.000000,-0.000010,0.999800,-0.020018,-0.000000,0.020018,0.999800
22.965833,22.965833,0.000013,0.049294,1.000000,0.000017,0.000000,-0.000017,0.999799,-0.020033,-0.000000,0.020033,0.999799
26.246667,26.246667,0.000029,0.049348,1.000000,0.000026,0.000000,-0.000026,0.999799,-0.020055,-0.000000,0.020055,0.999799
29.527500,29.527500,0.000058,0.049423,1.000000,0.000038,0.000000,-0.000038,0.999798,-0.020086,-0.000000,0.020086,0.999798
32.808333,32.808333,0.000107,0.049526,1.000000,0.000055,0.000000,-0.000055,0.999797,-0.020127,-0.000000,0.020127,0.999797
36.089167,36.089167,0.000186,0.049659,1.000000,0.000076,0.000000,-0.000076,0.999796,-0.020182,-0.000001,0.020182,0.999796
39.370000,39.370000,0.000308,0.049829,1.000000,0.000103,0.000000,-0.000103,0.999795,-0.020251,-0.000001,0.020251,0.999795
42.650833,42.650833,0.000489,0.050040,1.000000,0.000137,0.000000,-0.000137,0.999793,-0.020336,-0.000001,0.020336,0.999793
45.931667,45.931667,0.000750,0.050296,1.000000,0.000179,0.000000,-0.000179,0.999791,-0.020441,-0.000002,0.020441,0.999791
49.212500,49.212500,0.001113,0.050602,1.000000,0.000231,0.000000,-0.000231,0.999788,-0.020565,-0.000003,0.020565,0.999789
52.493333,52.493333,0.001610,0.050964,1.000000,0.000294,0.000000,-0.000294,0.999785,-0.020712,-0.000004,0.020712,0.999785
55.774167,55.774167,0.002274,0.051384,1.000000,0.000369,0.000000,-0.000369,0.999782,-0.020883,-0.000005,0.020883,0.999782
59.055000,59.055000,0.003145,0.051868,1.000000,0.000459,0.000000,-0.000459,0.999778,-0.021080,-0.000006,0.021080,0.999778
62.335833,62.335833,0.004270,0.052419,1.000000,0.000565,0.000000,-0.000565,0.999773,-0.021304,-0.000008,0.021304,0.999773
65.616667,65.616666,0.005700,0.053041,1.000000,0.000689,0.000000,-0.000689,0.999767,-0.021557,-0.000011,0.021557,0.999768
68.897500,68.897499,0.007496,0.053737,1.000000,0.000833,0.000000,-0.000833,0.999761,-0.021840,-0.000013,0.021840,0.999761
72.178333,72.178331,0.009724,0.054510,1.000000,0.001000,0.000000,-0.000999,0.999754,-0.022155,-0.000017,0.022155,0.999755
75.459167,75.459163,0.012456,0.055363,0.999999,0.001190,0.000000,-0.001190,0.999746,-0.022502,-0.000021,0.022501,0.999747
78.740000,78.739995,0.015775,0.056297,0.999999,0.001407,0.000000,-0.001407,0.999737,-0.022881,-0.000025,0.022881,0.999738
82.020833,82.020826,0.019770,0.057314,0.999999,0.001653,0.000000,-0.001653,0.999727,-0.023295,-0.000031,0.023295,0.999729
85.301667,85.301656,0.024536,0.058417,0.999998,0.001930,0.000000,-0.001929,0.999716,-0.023744,-0.000038,0.023744,0.999718
88.582500,88.582484,0.030180,0.059605,0.999997,0.002240,0.000000,-0.002240,0.999704,-0.024227,-0.000045,0.024227,0.999706
91.863333,91.863311,0.036815,0.060879,0.999997,0.002587,0.000000,-0.002586,0.999690,-0.024745,-0.000054,0.024745,0.999694
95.144167,95.144135,0.044561,0.062239,0.999996,0.002971,0.000000,-0.002970,0.999676,-0.025298,-0.000064,0.025298,0.999680
98.425000,98.424956,0.053548,0.063685,0.999994,0.003396,0.000000,-0.003395,0.999659,-0.025886,-0.000076,0.025886,0.999665
101.705833,101.705773,0.063915,0.065216,0.999993,0.003864,0.000000,-0.003863,0.999641,-0.026509,-0.000090,0.026509,0.999649
104.986667,104.986585,0.075806,0.066831,0.999990,0.004377,0.000000,-0.004376,0.999621,-0.027166,-0.000105,0.027165,0.999631
108.267500,108.267390,0.089376,0.068528,0.999988,0.004938,0.000000,-0.004936,0.999600,-0.027856,-0.000123,0.027856,0.999612
111.548333,111.548187,0.104786,0.070306,0.999985,0.005548,0.000000,-0.005546,0.999576,-0.028579,-0.000143,0.028578,0.999592
114.829167,114.828974,0.122205,0.072161,0.999981,0.006210,0.000000,-0.006208,0.999550,-0.029333,-0.000165,0.029332,0.999570
118.110000,118.109748,0.141811,0.074090,0.999976,0.006927,0.000000,-0.006924,0.999522,-0.030118,-0.000191,0.030117,0.999546
121.390833,121.390508,0.163786,0.076092,0.999970,0.007699,0.000000,-0.007695,0.999492,-0.030931,-0.000219,0.030931,0.999522
124.671667,124.671250,0.188322,0.078161,0.999964,0.008529,0.000000,-0.008525,0.999459,-0.031773,-0.000251,0.031772,0.999495
127.952500,127.951970,0.215616,0.080295,0.999956,0.009419,0.000000,-0.009414,0.999423,-0.032641,-0.000286,0.032639,0.999467
131.233333,131.232663,0.245870,0.082489,0.999946,0.010371,0.000000,-0.010365,0.999384,-0.033533,-0.000325,0.033531,0.999438
134.514167,134.513326,0.279293,0.084738,0.999935,0.011386,0.000000,-0.011379,0.999342,-0.034447,-0.000368,0.034445,0.999407
137.795000,137.793953,0.316100,0.087039,0.999922,0.012465,0.000000,-0.012457,0.999296,-0.035382,-0.000416,0.035380,0.999374
141.075833,141.074537,0.356510,0.089384,0.999907,0.013610,0.000000,-0.013601,0.999247,-0.036336,-0.000468,0.036333,0.999340
144.356667,144.355072,0.400746,0.091771,0.999890,0.014822,0.000000,-0.014812,0.999194,-0.037306,-0.000526,0.037303,0.999304
147.637500,147.635549,0.449034,0.094192,0.999870,0.016102,0.000000,-0.016090,0.999137,-0.038291,-0.000588,0.038286,0.999267
150.918333,150.915962,0.501606,0.096644,0.999848,0.017451,0.000000,-0.017438,0.999076,-0.039287,-0.000656,0.039282,0.999228
154.199167,154.196298,0.558695,0.099118,0.999822,0.018870,0.000000,-0.018855,0.999010,-0.040293,-0.000730,0.040287,0.999188
157.480000,157.476548,0.620537,0.101611,0.999793,0.020359,0.000000,-0.020342,0.998939,-0.041306,-0.000810,0.041299,0.999147
160.760833,160.756700,0.687368,0.104116,0.999760,0.021919,0.000000,-0.021900,0.998864,-0.042325,-0.000895,0.042315,0.999104
164.041667,164.036742,0.759426,0.106627,0.999723,0.023550,0.000000,-0.023528,0.998783,-0.043345,-0.000988,0.043334,0.999060
167.322500,167.316659,0.836951,0.109138,0.999681,0.025252,0.000000,-0.025227,0.998697,-0.044366,-0.001086,0.044352,0.999015
170.603333,170.596435,0.920182,0.111643,0.999635,0.027024,0.000000,-0.026996,0.998605,-0.045384,-0.001192,0.045368,0.998970
173.884167,173.876056,1.009356,0.114136,0.999583,0.028867,0.000000,-0.028836,0.998507,-0.046397,-0.001304,0.046378,0.998923
177.165000,177.155503,1.104711,0.116611,0.999526,0.030781,0.000000,-0.030746,0.998403,-0.047402,-0.001423,0.047381,0.998876
180.445833,180.434757,1.206482,0.119062,0.999463,0.032764,0.000000,-0.032725,0.998292,-0.048398,-0.001550,0.048374,0.998828
183.726667,183.713798,1.314901,0.121483,0.999394,0.034816,0.000000,-0.034773,0.998174,-0.049382,-0.001683,0.049354,0.998780
187.007500,186.992604,1.430199,0.123870,0.999318,0.036935,0.000000,-0.036888,0.998050,-0.050352,-0.001823,0.050319,0.998732
190.288333,190.271153,1.552602,0.126216,0.999234,0.039122,0.000000,-0.039070,0.997918,-0.051305,-0.001971,0.051267,0.998683
193.569167,193.549419,1.682333,0.128516,0.999144,0.041374,0.000000,-0.041318,0.997779,-0.052240,-0.002125,0.052196,0.998635
196.850000,196.827379,1.819610,0.130765,0.999045,0.043691,0.000000,-0.043629,0.997633,-0.053153,-0.002286,0.053104,0.998586
200.130833,200.105004,1.964647,0.132959,0.998938,0.046070,0.000000,-0.046003,0.997478,-0.054045,-0.002454,0.053989,0.998539
203.411667,203.382267,2.117650,0.135093,0.998823,0.048510,0.000000,-0.048437,0.997316,-0.054911,-0.002629,0.054849,0.998491
206.692500,206.659138,2.278823,0.137162,0.998698,0.051010,0.000000,-0.050931,0.997145,-0.055752,-0.002809,0.055681,0.998445
209.973333,209.935587,2.448360,0.139164,0.998564,0.053568,0.000000,-0.053482,0.996965,-0.056565,-0.002996,0.056486,0.998399
213.254167,213.211582,2.626452,0.141094,0.998421,0.056181,0.000000,-0.056088,0.996777,-0.057349,-0.003189,0.057260,0.998354
216.535000,216.487090,2.813280,0.142949,0.998267,0.058847,0.000000,-0.058748,0.996581,-0.058102,-0.003387,0.058003,0.998311
219.815833,219.762078,3.009020,0.144726,0.998103,0.061565,0.000000,-0.061459,0.996375,-0.058824,-0.003590,0.058714,0.998268
223.096667,223.036511,3.213838,0.146423,0.997929,0.064333,0.000000,-0.064219,0.996160,-0.059513,-0.003799,0.059392,0.998228
226.377500,226.310353,3.427895,0.148038,0.997743,0.067147,0.000000,-0.067025,0.995935,-0.060169,-0.004011,0.060035,0.998188
229.658333,229.583567,3.651343,0.149569,0.997547,0.070005,0.000000,-0.069876,0.995702,-0.060791,-0.004228,0.060644,0.998151
232.939167,232.856116,3.884324,0.151015,0.997339,0.072906,0.000000,-0.072769,0.995458,-0.061378,-0.004449,0.061217,0.998115
236.220000,236.127963,4.126975,0.152375,0.997119,0.075847,0.000000,-0.075702,0.995205,-0.061930,-0.004672,0.061754,0.998080
239.500833,239.399069,4.379422,0.153650,0.996888,0.078825,0.000000,-0.078671,0.994943,-0.062448,-0.004899,0.062255,0.998048
242.781667,242.669394,4.641784,0.154837,0.996646,0.081838,0.000000,-0.081676,0.994670,-0.062930,-0.005128,0.062721,0.998018
246.062500,245.938899,4.914171,0.155940,0.996391,0.084884,0.000000,-0.084713,0.994388,-0.063378,-0.005359,0.063151,0.997990
249.343333,249.207544,5.196686,0.156957,0.996124,0.087960,0.000000,-0.087781,0.994095,-0.063791,-0.005592,0.063545,0.997963
252.624167,252.475290,5.489422,0.157891,0.995845,0.091064,0.000000,-0.090876,0.993793,-0.064170,-0.005826,0.063905,0.997939
255.905000,255.742097,5.792465,0.158744,0.995554,0.094193,0.000000,-0.093997,0.993480,-0.064516,-0.006061,0.064231,0.997917
259.185833,259.007923,6.105893,0.159517,0.995251,0.097346,0.000000,-0.097141,0.993157,-0.064830,-0.006296,0.064523,0.997896
262.466667,262.272729,6.429776,0.160213,0.994935,0.100519,0.000000,-0.100306,0.992824,-0.065112,-0.006532,0.064784,0.997878
265.747500,265.536474,6.764176,0.160835,0.994607,0.103712,0.000000,-0.103490,0.992480,-0.065365,-0.006767,0.065014,0.997861
269.028333,268.799119,7.109149,0.161386,0.994268,0.106921,0.000000,-0.106691,0.992127,-0.065589,-0.007003,0.065214,0.997847
272.309167,272.060623,7.464744,0.161870,0.993915,0.110145,0.000000,-0.109907,0.991762,-0.065785,-0.007237,0.065386,0.997834
275.590000,275.320947,7.831002,0.162290,0.993551,0.113383,0.000000,-0.113136,0.991388,-0.065956,-0.007470,0.065531,0.997823
278.870833,278.580051,8.207960,0.162652,0.993175,0.116632,0.000000,-0.116377,0.991003,-0.066103,-0.007703,0.065652,0.997813
282.151667,281.837897,8.595648,0.162958,0.992787,0.119890,0.000000,-0.119627,0.990608,-0.066227,-0.007934,0.065750,0.997805
285.432500,285.094444,8.994090,0.163215,0.992387,0.123157,0.000000,-0.122886,0.990202,-0.066331,-0.008164,0.065827,0.997798
288.713333,288.349655,9.403307,0.163425,0.991975,0.126430,0.000000,-0.126151,0.989785,-0.066416,-0.008393,0.065884,0.997792
291.994167,291.603492,9.823313,0.163595,0.991552,0.129709,0.000000,-0.129422,0.989358,-0.066485,-0.008621,0.065924,0.997787
295.275000,294.855916,10.254121,0.163728,0.991117,0.132993,0.000000,-0.132698,0.988920,-0.066540,-0.008847,0.065949,0.997784
298.555833,298.106890,10.695738,0.163831,0.990670,0.136280,0.000000,-0.135977,0.988472,-0.066581,-0.009072,0.065960,0.997781
301.836667,301.356376,11.148168,0.163907,0.990212,0.139569,0.000000,-0.139259,0.988013,-0.066612,-0.009296,0.065960,0.997779
305.117500,304.604339,11.611416,0.163960,0.989743,0.142860,0.000000,-0.142542,0.987543,-0.066634,-0.009518,0.065950,0.997778
308.398333,307.850740,12.085479,0.163997,0.989262,0.146152,0.000000,-0.145827,0.987063,-0.066648,-0.009740,0.065933,0.997777
