dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.049213,1.000000,0.000000,0.020000,0.999800
3.280840,0.049213,1.000000,0.000000,0.020000,0.999800
6.561680,0.049213,1.000000,0.000000,0.020000,0.999800
9.842520,0.049216,1.000000,0.000001,0.019999,0.999800
13.123360,0.049222,1.000000,0.000003,0.019998,0.999800
16.404199,0.049235,1.000000,0.000005,0.019996,0.999800
19.685039,0.049258,1.000000,0.000009,0.019992,0.999800
22.965879,0.049294,1.000000,0.000014,0.019986,0.999800
26.246719,0.049348,1.000000,0.000020,0.019976,0.999800
29.527559,0.049423,1.000000,0.000027,0.019963,0.999801
32.808399,0.049526,1.000000,0.000036,0.019945,0.999801
36.089239,0.049659,1.000000,0.000046,0.019921,0.999802
39.370079,0.049829,1.000000,0.000058,0.019891,0.999802
42.650919,0.050040,1.000000,0.000071,0.019854,0.999803
45.931759,0.050296,1.000000,0.000086,0.019808,0.999804
49.212598,0.050602,1.000000,0.000102,0.019754,0.999805
52.493438,0.050964,1.000000,0.000119,0.019690,0.999806
55.774278,0.051384,1.000000,0.000138,0.019616,0.999808
59.055118,0.051868,1.000000,0.000158,0.019530,0.999809
62.335958,0.052420,1.000000,0.000179,0.019432,0.999811
65.616798,0.053041,1.000000,0.000201,0.019322,0.999813
68.897638,0.053737,1.000000,0.000224,0.019199,0.999816
72.178478,0.054510,1.000000,0.000248,0.019062,0.999818
75.459318,0.055363,1.000000,0.000272,0.018911,0.999821
78.740157,0.056297,1.000000,0.000297,0.018746,0.999824
82.020997,0.057315,1.000000,0.000323,0.018566,0.999828
85.301837,0.058417,1.000000,0.000349,0.018371,0.999831
88.582677,0.059605,1.000000,0.000375,0.018160,0.999835
91.863517,0.060879,1.000000,0.000401,0.017935,0.999839
95.144357,0.062239,1.000000,0.000428,0.017694,0.999843
98.425197,0.063685,1.000000,0.000454,0.017438,0.999848
101.706037,0.065216,1.000000,0.000480,0.017167,0.999853
104.986877,0.066831,1.000000,0.000505,0.016881,0.999858
108.267717,0.068529,1.000000,0.000530,0.016581,0.999863
111.548556,0.070306,1.000000,0.000554,0.016266,0.999868
114.829396,0.072161,1.000000,0.000577,0.015938,0.999873
118.110236,0.074091,1.000000,0.000599,0.015596,0.999878
121.391076,0.076092,1.000000,0.000621,0.015242,0.999884
124.671916,0.078162,1.000000,0.000641,0.014875,0.999889
127.952756,0.080295,1.000000,0.000660,0.014497,0.999895
131.233596,0.082489,1.000000,0.000677,0.014109,0.999900
134.514436,0.084739,1.000000,0.000694,0.013711,0.999906
137.795276,0.087039,1.000000,0.000708,0.013304,0.999912
141.076115,0.089385,1.000000,0.000721,0.012888,0.999917
144.356955,0.091771,1.000000,0.000733,0.012466,0.999922
147.637795,0.094193,1.000000,0.000743,0.012037,0.999928
150.918635,0.096644,1.000000,0.000751,0.011603,0.999933
154.199475,0.099119,1.000000,0.000757,0.011165,0.999938
157.480315,0.101612,1.000000,0.000762,0.010724,0.999942
160.761155,0.104116,1.000000,0.000765,0.010280,0.999947
164.041995,0.106627,1.000000,0.000766,0.009836,0.999952
167.322835,0.109138,1.000000,0.000765,0.009391,0.999956
170.603675,0.111643,1.000000,0.000762,0.008948,0.999960
173.884514,0.114136,1.000000,0.000757,0.008506,0.999964
177.165354,0.116611,1.000000,0.000751,0.008068,0.999967
180.446194,0.119062,1.000000,0.000743,0.007634,0.999971
183.727034,0.121483,1.000000,0.000733,0.007205,0.999974
187.007874,0.123870,1.000000,0.000721,0.006783,0.999977
190.288714,0.126216,1.000000,0.000708,0.006368,0.999980
193.569554,0.128516,1.000000,0.000694,0.005960,0.999982
196.850394,0.130765,1.000000,0.000677,0.005562,0.999985
200.131234,0.132959,1.000000,0.000660,0.005174,0.999987
203.412073,0.135093,1.000000,0.000641,0.004796,0.999988
206.692913,0.137163,1.000000,0.000621,0.004429,0.999990
209.973753,0.139164,1.000000,0.000599,0.004075,0.999992
213.254593,0.141094,1.000000,0.000577,0.003733,0.999993
216.535433,0.142949,1.000000,0.000554,0.003405,0.999994
219.816273,0.144726,1.000000,0.000530,0.003090,0.999995
223.097113,0.146423,1.000000,0.000505,0.002790,0.999996
226.377953,0.148038,1.000000,0.000480,0.002504,0.999997
229.658793,0.149569,1.000000,0.000454,0.002233,0.999998
232.939633,0.151015,1.000000,0.000428,0.001977,0.999998
236.220472,0.152376,1.000000,0.000401,0.001736,0.999998
239.501312,0.153650,1.000000,0.000375,0.001510,0.999999
242.782152,0.154838,1.000000,0.000349,0.001300,0.999999
246.062992,0.155940,1.000000,0.000323,0.001105,0.999999
249.343832,0.156958,1.000000,0.000297,0.000925,1.000000
252.624672,0.157892,1.000000,0.000272,0.000759,1.000000
255.905512,0.158744,1.000000,0.000248,0.000608,1.000000
259.186352,0.159517,1.000000,0.000224,0.000472,1.000000
262.467192,0.160213,1.000000,0.000201,0.000348,1.000000
265.748031,0.160835,1.000000,0.000179,0.000238,1.000000
269.028871,0.161386,1.000000,0.000158,0.000141,1.000000
272.309711,0.161870,1.000000,0.000138,0.000055,1.000000
275.590551,0.162291,1.000000,0.000119,-0.000020,1.000000
278.871391,0.162652,1.000000,0.000102,-0.000084,1.000000
282.152231,0.162959,1.000000,0.000086,-0.000138,1.000000
285.433071,0.163215,1.000000,0.000071,-0.000183,1.000000
288.713911,0.163425,1.000000,0.000058,-0.000220,1.000000
291.994751,0.163595,1.000000,0.000046,-0.000251,1.000000
295.275591,0.163729,1.000000,0.000036,-0.000274,1.000000
298.556430,0.163831,1.000000,0.000027,-0.000292,1.000000
301.837270,0.163907,1.000000,0.000020,-0.000306,1.000000
305.118110,0.163961,1.000000,0.000014,-0.000315,1.000000
308.398950,0.163997,1.000000,0.000009,-0.000322,1.000000
311.679790,0.164020,1.000000,0.000005,-0.000326,1.000000
314.960630,0.164033,1.000000,0.000003,-0.000328,1.000000
318.241470,0.164039,1.000000,0.000001,-0.000329,1.000000
