dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.049212,1.000000,0.000000,0.020000,0.999800
3.280833,0.049213,1.000000,0.000000,0.020000,0.999800
6.561667,0.049213,1.000000,0.000000,0.020000,0.999800
9.842500,0.049216,1.000000,0.000001,0.019999,0.999800
13.123333,0.049222,1.000000,0.000003,0.019998,0.999800
16.404167,0.049235,1.000000,0.000005,0.019996,0.999800
19.685000,0.049257,1.000000,0.000009,0.019992,0.999800
22.965833,0.049294,1.000000,0.000014,0.019986,0.999800
26.246667,0.049348,1.000000,0.000020,0.019976,0.999800
29.527500,0.049423,1.000000,0.000027,0.019963,0.999801
32.808333,0.049526,1.000000,0.000036,0.019945,0.999801
36.089167,0.049659,1.000000,0.000046,0.019921,0.999802
39.370000,0.049829,1.000000,0.000058,0.019891,0.999802
42.650833,0.050040,1.000000,0.000071,0.019854,0.999803
45.931667,0.050296,1.000000,0.000086,0.019808,0.999804
49.212500,0.050602,1.000000,0.000102,0.019754,0.999805
52.493333,0.050964,1.000000,0.000119,0.019690,0.999806
55.774167,0.051384,1.000000,0.000138,0.019616,0.999808
59.055000,0.051868,1.000000,0.000158,0.019530,0.999809
62.335833,0.052419,1.000000,0.000179,0.019432,0.999811
65.616667,0.053041,1.000000,0.000201,0.019322,0.999813
68.897500,0.053737,1.000000,0.000224,0.019199,0.999816
72.178333,0.054510,1.000000,0.000248,0.019062,0.999818
75.459167,0.055363,1.000000,0.000272,0.018911,0.999821
78.740000,0.056297,1.000000,0.000297,0.018746,0.999824
82.020833,0.057314,1.000000,0.000323,0.018566,0.999828
85.301667,0.058417,1.000000,0.000349,0.018371,0.999831
88.582500,0.059605,1.000000,0.000375,0.018160,0.999835
91.863333,0.060879,1.000000,0.000401,0.017935,0.999839
95.144167,0.062239,1.000000,0.000428,0.017694,0.999843
98.425000,0.063685,1.000000,0.000454,0.017438,0.999848
101.705833,0.065216,1.000000,0.000480,0.017167,0.999853
104.986667,0.066831,1.000000,0.000505,0.016881,0.999858
108.267500,0.068528,1.000000,0.000530,0.016581,0.999863
111.548333,0.070306,1.000000,0.000554,0.016266,0.999868
114.829167,0.072161,1.000000,0.000577,0.015938,0.999873
118.110000,0.074090,1.000000,0.000599,0.015596,0.999878
121.390833,0.076092,1.000000,0.000621,0.015242,0.999884
124.671667,0.078161,1.000000,0.000641,0.014875,0.999889
127.952500,0.080295,1.000000,0.000660,0.014497,0.999895
131.233333,0.082489,1.000000,0.000677,0.014109,0.999900
134.514167,0.084738,1.000000,0.000694,0.013711,0.999906
137.795000,0.087039,1.000000,0.000708,0.013304,0.999912
141.075833,0.089384,1.000000,0.000721,0.012888,0.999917
144.356667,0.091771,1.000000,0.000733,0.012466,0.999922
147.637500,0.094192,1.000000,0.000743,0.012037,0.999928
150.918333,0.096644,1.000000,0.000751,0.011603,0.999933
154.199167,0.099118,1.000000,0.000757,0.011165,0.999938
157.480000,0.101611,1.000000,0.000762,0.010724,0.999942
160.760833,0.104116,1.000000,0.000765,0.010280,0.999947
164.041667,0.106627,1.000000,0.000766,0.009836,0.999952
167.322500,0.109138,1.000000,0.000765,0.009391,0.999956
170.603333,0.111643,1.000000,0.000762,0.008948,0.999960
173.884167,0.114136,1.000000,0.000757,0.008506,0.999964
177.165000,0.116611,1.000000,0.000751,0.008068,0.999967
180.445833,0.119062,1.000000,0.000743,0.007634,0.999971
183.726667,0.121483,1.000000,0.000733,0.007205,0.999974
187.007500,0.123870,1.000000,0.000721,0.006783,0.999977
190.288333,0.126216,1.000000,0.000708,0.006368,0.999980
193.569167,0.128516,1.000000,0.000694,0.005960,0.999982
196.850000,0.130765,1.000000,0.000677,0.005562,0.999985
200.130833,0.132959,1.000000,0.000660,0.005174,0.999987
203.411667,0.135093,1.000000,0.000641,0.004796,0.999988
206.692500,0.137162,1.000000,0.000621,0.004429,0.999990
209.973333,0.139164,1.000000,0.000599,0.004075,0.999992
213.254167,0.141094,1.000000,0.000577,0.003733,0.999993
216.535000,0.142949,1.000000,0.000554,0.003405,0.999994
219.815833,0.144726,1.000000,0.000530,0.003090,0.999995
223.096667,0.146423,1.000000,0.000505,0.002790,0.999996
226.377500,0.148038,1.000000,0.000480,0.002504,0.999997
229.658333,0.149569,1.000000,0.000454,0.002233,0.999998
232.939167,0.151015,1.000000,0.000428,0.001977,0.999998
236.220000,0.152375,1.000000,0.000401,0.001736,0.999998
239.500833,0.153650,1.000000,0.000375,0.001510,0.999999
242.781667,0.154837,1.000000,0.000349,0.001300,0.999999
246.062500,0.155940,1.000000,0.000323,0.001105,0.999999
249.343333,0.156957,1.000000,0.000297,0.000925,1.000000
252.624167,0.157891,1.000000,0.000272,0.000759,1.000000
255.905000,0.158744,1.000000,0.000248,0.000608,1.000000
259.185833,0.159517,1.000000,0.000224,0.000472,1.000000
262.466667,0.160213,1.000000,0.000201,0.000348,1.000000
265.747500,0.160835,1.000000,0.000179,0.000238,1.000000
269.028333,0.161386,1.000000,0.000158,0.000141,1.000000
272.309167,0.161870,1.000000,0.000138,0.000055,1.000000
275.590000,0.162290,1.000000,0.000119,-0.000020,1.000000
278.870833,0.162652,1.000000,0.000102,-0.000084,1.000000
282.151667,0.162958,1.000000,0.000086,-0.000138,1.000000
285.432500,0.163215,1.000000,0.000071,-0.000183,1.000000
288.713333,0.163425,1.000000,0.000058,-0.000220,1.000000
291.994167,0.163595,1.000000,0.000046,-0.000251,1.000000
295.275000,0.163728,1.000000,0.000036,-0.000274,1.000000
298.555833,0.163831,1.000000,0.000027,-0.000292,1.000000
301.836667,0.163907,1.000000,0.000020,-0.000306,1.000000
305.117500,0.163960,1.000000,0.000014,-0.000315,1.000000
308.398333,0.163997,1.000000,0.000009,-0.000322,1.000000
311.679167,0.164019,1.000000,0.000005,-0.000326,1.000000
314.960000,0.164032,1.000000,0.000003,-0.000328,1.000000
318.240833,0.164039,1.000000,0.000001,-0.000329,1.000000
321.521667,0.164041,1.000000,0.000000,-0.000330,1.000000
324.802500,0.164042,1.000000,0.000000,-0.000330,1.000000
328.083333,0.164042,1.000000,0.000000,-0.000330,1.000000
