dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.164042,1.000000,0.000000,0.066667,0.997775
3.280840,0.164042,1.000000,-0.000000,0.066667,0.997775
6.561680,0.164041,1.000000,-0.000000,0.066666,0.997775
9.842520,0.164039,1.000000,-0.000001,0.066665,0.997775
13.123360,0.164033,1.000000,-0.000003,0.066663,0.997776
16.404199,0.164020,1.000000,-0.000005,0.066658,0.997776
19.685039,0.163997,1.000000,-0.000009,0.066648,0.997777
22.965879,0.163961,1.000000,-0.000014,0.066634,0.997778
26.246719,0.163907,1.000000,-0.000020,0.066612,0.997779
29.527559,0.163831,1.000000,-0.000027,0.066581,0.997781
32.808399,0.163729,1.000000,-0.000036,0.066540,0.997784
36.089239,0.163595,1.000000,-0.000046,0.066485,0.997787
39.370079,0.163425,1.000000,-0.000058,0.066416,0.997792
42.650919,0.163215,1.000000,-0.000071,0.066331,0.997798
45.931759,0.162959,1.000000,-0.000086,0.066227,0.997805
49.212598,0.162652,1.000000,-0.000102,0.066103,0.997813
52.493438,0.162291,1.000000,-0.000119,0.065956,0.997823
55.774278,0.161870,1.000000,-0.000138,0.065785,0.997834
59.055118,0.161386,1.000000,-0.000158,0.065589,0.997847
62.335958,0.160835,1.000000,-0.000179,0.065365,0.997861
65.616798,0.160213,1.000000,-0.000201,0.065112,0.997878
68.897638,0.159517,1.000000,-0.000224,0.064830,0.997896
72.178478,0.158744,1.000000,-0.000248,0.064516,0.997917
75.459318,0.157892,1.000000,-0.000272,0.064170,0.997939
78.740157,0.156958,1.000000,-0.000297,0.063791,0.997963
82.020997,0.155940,1.000000,-0.000323,0.063378,0.997990
85.301837,0.154838,1.000000,-0.000349,0.062930,0.998018
88.582677,0.153650,1.000000,-0.000375,0.062448,0.998048
91.863517,0.152376,1.000000,-0.000401,0.061930,0.998080
95.144357,0.151015,1.000000,-0.000428,0.061378,0.998115
98.425197,0.149569,1.000000,-0.000454,0.060791,0.998151
101.706037,0.148038,1.000000,-0.000480,0.060169,0.998188
104.986877,0.146423,1.000000,-0.000505,0.059513,0.998228
108.267717,0.144726,1.000000,-0.000530,0.058824,0.998268
111.548556,0.142949,1.000000,-0.000554,0.058102,0.998311
114.829396,0.141094,1.000000,-0.000577,0.057349,0.998354
118.110236,0.139164,1.000000,-0.000599,0.056565,0.998399
121.391076,0.137163,1.000000,-0.000621,0.055752,0.998445
124.671916,0.135093,1.000000,-0.000641,0.054911,0.998491
127.952756,0.132959,1.000000,-0.000660,0.054045,0.998539
131.233596,0.130765,1.000000,-0.000677,0.053153,0.998586
134.514436,0.128516,1.000000,-0.000694,0.052240,0.998635
137.795276,0.126216,1.000000,-0.000708,0.051305,0.998683
141.076115,0.123870,1.000000,-0.000721,0.050352,0.998732
144.356955,0.121483,1.000000,-0.000733,0.049382,0.998780
147.637795,0.119062,1.000000,-0.000743,0.048398,0.998828
150.918635,0.116611,1.000000,-0.000751,0.047402,0.998876
154.199475,0.114136,1.000000,-0.000757,0.046397,0.998923
157.480315,0.111643,1.000000,-0.000762,0.045384,0.998970
160.761155,0.109138,1.000000,-0.000765,0.044366,0.999015
164.041995,0.106627,1.000000,-0.000766,0.043345,0.999060
167.322835,0.104116,1.000000,-0.000765,0.042325,0.999104
170.603675,0.101612,1.000000,-0.000762,0.041306,0.999147
173.884514,0.099119,1.000000,-0.000757,0.040293,0.999188
177.165354,0.096644,1.000000,-0.000751,0.039287,0.999228
180.446194,0.094193,1.000000,-0.000743,0.038291,0.999267
183.727034,0.091771,1.000000,-0.000733,0.037306,0.999304
187.007874,0.089385,1.000000,-0.000721,0.036336,0.999340
190.288714,0.087039,1.000000,-0.000708,0.035382,0.999374
193.569554,0.084739,1.000000,-0.000694,0.034447,0.999407
196.850394,0.082489,1.000000,-0.000677,0.033533,0.999438
200.131234,0.080295,1.000000,-0.000660,0.032641,0.999467
203.412073,0.078162,1.000000,-0.000641,0.031773,0.999495
206.692913,0.076092,1.000000,-0.000621,0.030931,0.999522
209.973753,0.074091,1.000000,-0.000599,0.030118,0.999546
213.254593,0.072161,1.000000,-0.000577,0.029333,0.999570
216.535433,0.070306,1.000000,-0.000554,0.028579,0.999592
219.816273,0.068529,1.000000,-0.000530,0.027856,0.999612
223.097113,0.066831,1.000000,-0.000505,0.027166,0.999631
226.377953,0.065216,1.000000,-0.000480,0.026509,0.999649
229.658793,0.063685,1.000000,-0.000454,0.025886,0.999665
232.939633,0.062239,1.000000,-0.000428,0.025298,0.999680
236.220472,0.060879,1.000000,-0.000401,0.024745,0.999694
239.501312,0.059605,1.000000,-0.000375,0.024227,0.999706
242.782152,0.058417,1.000000,-0.000349,0.023744,0.999718
246.062992,0.057315,1.000000,-0.000323,0.023295,0.999729
249.343832,0.056297,1.000000,-0.000297,0.022881,0.999738
252.624672,0.055363,1.000000,-0.000272,0.022502,0.999747
255.905512,0.054510,1.000000,-0.000248,0.022155,0.999755
259.186352,0.053737,1.000000,-0.000224,0.021840,0.999761
262.467192,0.053041,1.000000,-0.000201,0.021557,0.999768
265.748031,0.052420,1.000000,-0.000179,0.021304,0.999773
269.028871,0.051868,1.000000,-0.000158,0.021080,0.999778
272.309711,0.051384,1.000000,-0.000138,0.020883,0.999782
275.590551,0.050964,1.000000,-0.000119,0.020712,0.999785
278.871391,0.050602,1.000000,-0.000102,0.020565,0.999789
282.152231,0.050296,1.000000,-0.000086,0.020441,0.999791
285.433071,0.050040,1.000000,-0.000071,0.020336,0.999793
288.713911,0.049829,1.000000,-0.000058,0.020251,0.999795
291.994751,0.049659,1.000000,-0.000046,0.020182,0.999796
295.275591,0.049526,1.000000,-0.000036,0.020127,0.999797
298.556430,0.049423,1.000000,-0.000027,0.020086,0.999798
301.837270,0.049348,1.000000,-0.000020,0.020055,0.999799
305.118110,0.049294,1.000000,-0.000014,0.020033,0.999799
308.398950,0.049258,1.000000,-0.000009,0.020018,0.999800
311.679790,0.049235,1.000000,-0.000005,0.020009,0.999800
314.960630,0.049222,1.000000,-0.000003,0.020004,0.999800
318.241470,0.049216,1.000000,-0.000001,0.020001,0.999800
321.522310,0.049213,1.000000,-0.000000,0.020000,0.999800
324.803150,0.049213,1.000000,-0.000000,0.020000,0.999800
328.083990,0.049213,1.000000,-0.000000,0.020000,0.999800
