dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.049213,1.000000,0.000000,0.020000,0.999800
3.280840,0.049213,1.000000,0.000000,0.020000,0.999800
6.561680,0.049213,1.000000,0.000000,0.020000,0.999800
9.842520,0.049216,1.000000,0.000001,0.019998,0.999800
13.123360,0.049222,1.000000,0.000003,0.019993,0.999800
16.404199,0.049235,1.000000,0.000005,0.019983,0.999800
19.685039,0.049258,1.000000,0.000009,0.019966,0.999801
22.965879,0.049294,1.000000,0.000014,0.019939,0.999801
26.246719,0.049348,1.000000,0.000020,0.019898,0.999802
29.527559,0.049423,1.000000,0.000027,0.019841,0.999803
32.808399,0.049526,1.000000,0.000036,0.019763,0.999805
36.089239,0.049659,1.000000,0.000046,0.019663,0.999807
39.370079,0.049829,1.000000,0.000058,0.019534,0.999809
42.650919,0.050040,1.000000,0.000071,0.019376,0.999812
45.931759,0.050296,1.000000,0.000086,0.019182,0.999816
49.212598,0.050602,1.000000,0.000102,0.018951,0.999820
52.493438,0.050964,1.000000,0.000119,0.018678,0.999826
55.774278,0.051384,1.000000,0.000138,0.018360,0.999831
59.055118,0.051868,1.000000,0.000158,0.017995,0.999838
62.335958,0.052420,1.000000,0.000179,0.017579,0.999845
65.616798,0.053041,1.000000,0.000201,0.017109,0.999854
68.897638,0.053737,1.000000,0.000224,0.016583,0.999862
72.178478,0.054510,1.000000,0.000248,0.016000,0.999872
75.459318,0.055363,1.000000,0.000272,0.015356,0.999882
78.740157,0.056297,1.000000,0.000297,0.014651,0.999893
82.020997,0.057315,1.000000,0.000323,0.013882,0.999904
85.301837,0.058417,1.000000,0.000349,0.013050,0.999915
88.582677,0.059605,1.000000,0.000375,0.012153,0.999926
91.863517,0.060879,1.000000,0.000401,0.011191,0.999937
95.144357,0.062239,1.000000,0.000428,0.010164,0.999948
98.425197,0.063685,1.000000,0.000454,0.009072,0.999959
101.706037,0.065216,1.000000,0.000480,0.007915,0.999969
104.986877,0.066831,1.000000,0.000505,0.006696,0.999978
108.267717,0.068529,1.000000,0.000530,0.005414,0.999985
111.548556,0.070306,1.000000,0.000554,0.004072,0.999992
114.829396,0.072161,1.000000,0.000577,0.002671,0.999996
118.110236,0.074091,1.000000,0.000599,0.001214,0.999999
121.391076,0.076092,1.000000,0.000621,-0.000298,1.000000
124.671916,0.078162,1.000000,0.000641,-0.001861,0.999998
127.952756,0.080295,1.000000,0.000660,-0.003472,0.999994
131.233596,0.082489,1.000000,0.000677,-0.005129,0.999987
134.514436,0.084739,1.000000,0.000694,-0.006827,0.999977
137.795276,0.087039,1.000000,0.000708,-0.008564,0.999963
141.076115,0.089385,1.000000,0.000721,-0.010336,0.999947
144.356955,0.091771,1.000000,0.000733,-0.012138,0.999926
147.637795,0.094193,1.000000,0.000743,-0.013967,0.999902
150.918635,0.096644,1.000000,0.000751,-0.015817,0.999875
154.199475,0.099119,1.000000,0.000757,-0.017686,0.999844
157.480315,0.101612,1.000000,0.000762,-0.019568,0.999809
160.761155,0.104116,1.000000,0.000765,-0.021460,0.999770
164.041995,0.106627,1.000000,0.000766,-0.023355,0.999727
167.322835,0.109138,1.000000,0.000765,-0.025251,0.999681
170.603675,0.111643,1.000000,0.000762,-0.027142,0.999632
173.884514,0.114136,1.000000,0.000757,-0.029024,0.999579
177.165354,0.116611,1.000000,0.000751,-0.030892,0.999523
180.446194,0.119062,1.000000,0.000743,-0.032742,0.999464
183.727034,0.121483,1.000000,0.000733,-0.034570,0.999402
187.007874,0.123870,1.000000,0.000721,-0.036371,0.999338
190.288714,0.126216,1.000000,0.000708,-0.038141,0.999272
193.569554,0.128516,1.000000,0.000694,-0.039877,0.999205
196.850394,0.130765,1.000000,0.000677,-0.041574,0.999135
200.131234,0.132959,1.000000,0.000660,-0.043229,0.999065
203.412073,0.135093,1.000000,0.000641,-0.044839,0.998994
206.692913,0.137163,1.000000,0.000621,-0.046401,0.998923
209.973753,0.139164,1.000000,0.000599,-0.047910,0.998852
213.254593,0.141094,1.000000,0.000577,-0.049366,0.998781
216.535433,0.142949,1.000000,0.000554,-0.050765,0.998711
219.816273,0.144726,1.000000,0.000530,-0.052105,0.998642
223.097113,0.146423,1.000000,0.000505,-0.053385,0.998574
226.377953,0.148038,1.000000,0.000480,-0.054603,0.998508
229.658793,0.149569,1.000000,0.000454,-0.055758,0.998444
232.939633,0.151015,1.000000,0.000428,-0.056848,0.998383
236.220472,0.152376,1.000000,0.000401,-0.057874,0.998324
239.501312,0.153650,1.000000,0.000375,-0.058834,0.998268
242.782152,0.154838,1.000000,0.000349,-0.059730,0.998215
246.062992,0.155940,1.000000,0.000323,-0.060561,0.998165
249.343832,0.156958,1.000000,0.000297,-0.061328,0.998118
252.624672,0.157892,1.000000,0.000272,-0.062032,0.998074
255.905512,0.158744,1.000000,0.000248,-0.062674,0.998034
259.186352,0.159517,1.000000,0.000224,-0.063257,0.997997
262.467192,0.160213,1.000000,0.000201,-0.063781,0.997964
265.748031,0.160835,1.000000,0.000179,-0.064250,0.997934
269.028871,0.161386,1.000000,0.000158,-0.064665,0.997907
272.309711,0.161870,1.000000,0.000138,-0.065030,0.997883
275.590551,0.162291,1.000000,0.000119,-0.065347,0.997863
278.871391,0.162652,1.000000,0.000102,-0.065619,0.997845
282.152231,0.162959,1.000000,0.000086,-0.065850,0.997830
285.433071,0.163215,1.000000,0.000071,-0.066043,0.997817
288.713911,0.163425,1.000000,0.000058,-0.066202,0.997806
291.994751,0.163595,1.000000,0.000046,-0.066330,0.997798
295.275591,0.163729,1.000000,0.000036,-0.066431,0.997791
298.556430,0.163831,1.000000,0.000027,-0.066508,0.997786
301.837270,0.163907,1.000000,0.000020,-0.066565,0.997782
305.118110,0.163961,1.000000,0.000014,-0.066605,0.997779
308.398950,0.163997,1.000000,0.000009,-0.066633,0.997778
311.679790,0.164020,1.000000,0.000005,-0.066650,0.997776
