dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.015000,1.000000,0.000000,0.020000,0.999800
1.000000,0.015000,1.000000,0.000000,0.020000,0.999800
2.000000,0.015000,1.000000,0.000000,0.020000,0.999800
3.000000,0.015001,1.000000,0.000001,0.019998,0.999800
4.000000,0.015003,1.000000,0.000003,0.019993,0.999800
5.000000,0.015007,1.000000,0.000005,0.019983,0.999800
6.000000,0.015014,1.000000,0.000009,0.019966,0.999801
7.000000,0.015025,1.000000,0.000014,0.019939,0.999801
8.000000,0.015041,1.000000,0.000020,0.019898,0.999802
9.000000,0.015064,1.000000,0.000027,0.019841,0.999803
10.000000,0.015095,1.000000,0.000036,0.019763,0.999805
11.000000,0.015136,1.000000,0.000046,0.019663,0.999807
12.000000,0.015188,1.000000,0.000058,0.019534,0.999809
13.000000,0.015252,1.000000,0.000071,0.019376,0.999812
14.000000,0.015330,1.000000,0.000086,0.019182,0.999816
15.000000,0.015424,1.000000,0.000102,0.018951,0.999820
16.000000,0.015534,1.000000,0.000119,0.018678,0.999826
17.000000,0.015662,1.000000,0.000138,0.018360,0.999831
18.000000,0.015809,1.000000,0.000158,0.017995,0.999838
19.000000,0.015977,1.000000,0.000179,0.017579,0.999845
20.000000,0.016167,1.000000,0.000201,0.017109,0.999854
21.000000,0.016379,1.000000,0.000224,0.016583,0.999862
22.000000,0.016615,1.000000,0.000248,0.016000,0.999872
23.000000,0.016875,1.000000,0.000272,0.015356,0.999882
24.000000,0.017159,1.000000,0.000297,0.014651,0.999893
25.000000,0.017469,1.000000,0.000323,0.013882,0.999904
26.000000,0.017805,1.000000,0.000349,0.013050,0.999915
27.000000,0.018168,1.000000,0.000375,0.012153,0.999926
28.000000,0.018556,1.000000,0.000401,0.011191,0.999937
29.000000,0.018970,1.000000,0.000428,0.010164,0.999948
30.000000,0.019411,1.000000,0.000454,0.009072,0.999959
31.000000,0.019878,1.000000,0.000480,0.007915,0.999969
32.000000,0.020370,1.000000,0.000505,0.006696,0.999978
33.000000,0.020887,1.000000,0.000530,0.005414,0.999985
34.000000,0.021429,1.000000,0.000554,0.004072,0.999992
35.000000,0.021995,1.000000,0.000577,0.002671,0.999996
36.000000,0.022583,1.000000,0.000599,0.001214,0.999999
37.000000,0.023193,1.000000,0.000621,-0.000298,1.000000
38.000000,0.023824,1.000000,0.000641,-0.001861,0.999998
39.000000,0.024474,1.000000,0.000660,-0.003472,0.999994
40.000000,0.025143,1.000000,0.000677,-0.005129,0.999987
41.000000,0.025828,1.000000,0.000694,-0.006827,0.999977
42.000000,0.026529,1.000000,0.000708,-0.008564,0.999963
43.000000,0.027244,1.000000,0.000721,-0.010336,0.999947
44.000000,0.027972,1.000000,0.000733,-0.012138,0.999926
45.000000,0.028710,1.000000,0.000743,-0.013967,0.999902
46.000000,0.029457,1.000000,0.000751,-0.015817,0.999875
47.000000,0.030211,1.000000,0.000757,-0.017686,0.999844
48.000000,0.030971,1.000000,0.000762,-0.019568,0.999809
49.000000,0.031735,1.000000,0.000765,-0.021460,0.999770
50.000000,0.032500,1.000000,0.000766,-0.023355,0.999727
51.000000,0.033265,1.000000,0.000765,-0.025251,0.999681
52.000000,0.034029,1.000000,0.000762,-0.027142,0.999632
53.000000,0.034789,1.000000,0.000757,-0.029024,0.999579
54.000000,0.035543,1.000000,0.000751,-0.030892,0.999523
55.000000,0.036290,1.000000,0.000743,-0.032742,0.999464
56.000000,0.037028,1.000000,0.000733,-0.034570,0.999402
57.000000,0.037756,1.000000,0.000721,-0.036371,0.999338
58.000000,0.038471,1.000000,0.000708,-0.038141,0.999272
59.000000,0.039172,1.000000,0.000694,-0.039877,0.999205
60.000000,0.039857,1.000000,0.000677,-0.041574,0.999135
61.000000,0.040526,1.000000,0.000660,-0.043229,0.999065
62.000000,0.041176,1.000000,0.000641,-0.044839,0.998994
63.000000,0.041807,1.000000,0.000621,-0.046401,0.998923
64.000000,0.042417,1.000000,0.000599,-0.047910,0.998852
65.000000,0.043005,1.000000,0.000577,-0.049366,0.998781
66.000000,0.043571,1.000000,0.000554,-0.050765,0.998711
67.000000,0.044113,1.000000,0.000530,-0.052105,0.998642
68.000000,0.044630,1.000000,0.000505,-0.053385,0.998574
69.000000,0.045122,1.000000,0.000480,-0.054603,0.998508
70.000000,0.045589,1.000000,0.000454,-0.055758,0.998444
71.000000,0.046030,1.000000,0.000428,-0.056848,0.998383
72.000000,0.046444,1.000000,0.000401,-0.057874,0.998324
73.000000,0.046832,1.000000,0.000375,-0.058834,0.998268
74.000000,0.047195,1.000000,0.000349,-0.059730,0.998215
75.000000,0.047531,1.000000,0.000323,-0.060561,0.998165
76.000000,0.047841,1.000000,0.000297,-0.061328,0.998118
77.000000,0.048125,1.000000,0.000272,-0.062032,0.998074
78.000000,0.048385,1.000000,0.000248,-0.062674,0.998034
79.000000,0.048621,1.000000,0.000224,-0.063257,0.997997
80.000000,0.048833,1.000000,0.000201,-0.063781,0.997964
81.000000,0.049023,1.000000,0.000179,-0.064250,0.997934
82.000000,0.049191,1.000000,0.000158,-0.064665,0.997907
83.000000,0.049338,1.000000,0.000138,-0.065030,0.997883
84.000000,0.049466,1.000000,0.000119,-0.065347,0.997863
85.000000,0.049576,1.000000,0.000102,-0.065619,0.997845
86.000000,0.049670,1.000000,0.000086,-0.065850,0.997830
87.000000,0.049748,1.000000,0.000071,-0.066043,0.997817
88.000000,0.049812,1.000000,0.000058,-0.066202,0.997806
89.000000,0.049864,1.000000,0.000046,-0.066330,0.997798
90.000000,0.049905,1.000000,0.000036,-0.066431,0.997791
91.000000,0.049936,1.000000,0.000027,-0.066508,0.997786
92.000000,0.049959,1.000000,0.000020,-0.066565,0.997782
93.000000,0.049975,1.000000,0.000014,-0.066605,0.997779
94.000000,0.049986,1.000000,0.000009,-0.066633,0.997778
95.000000,0.049993,1.000000,0.000005,-0.066650,0.997776
96.000000,0.049997,1.000000,0.000003,-0.066660,0.997776
97.000000,0.049999,1.000000,0.000001,-0.066664,0.997775
98.000000,0.050000,1.000000,0.000000,-0.066666,0.997775
99.000000,0.050000,1.000000,0.000000,-0.066667,0.997775
