dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.015000,1.000000,0.000000,0.020000,0.999800
1.000000,0.015000,1.000000,0.000000,0.020000,0.999800
2.000000,0.015000,1.000000,0.000000,0.020000,0.999800
3.000000,0.015001,1.000000,0.000001,0.019999,0.999800
4.000000,0.015003,1.000000,0.000003,0.019998,0.999800
5.000000,0.015007,1.000000,0.000005,0.019996,0.999800
6.000000,0.015014,1.000000,0.000009,0.019992,0.999800
7.000000,0.015025,1.000000,0.000014,0.019986,0.999800
8.000000,0.015041,1.000000,0.000020,0.019976,0.999800
9.000000,0.015064,1.000000,0.000027,0.019963,0.999801
10.000000,0.015095,1.000000,0.000036,0.019945,0.999801
11.000000,0.015136,1.000000,0.000046,0.019921,0.999802
12.000000,0.015188,1.000000,0.000058,0.019891,0.999802
13.000000,0.015252,1.000000,0.000071,0.019854,0.999803
14.000000,0.015330,1.000000,0.000086,0.019808,0.999804
15.000000,0.015424,1.000000,0.000102,0.019754,0.999805
16.000000,0.015534,1.000000,0.000119,0.019690,0.999806
17.000000,0.015662,1.000000,0.000138,0.019616,0.999808
18.000000,0.015809,1.000000,0.000158,0.019530,0.999809
19.000000,0.015977,1.000000,0.000179,0.019432,0.999811
20.000000,0.016167,1.000000,0.000201,0.019322,0.999813
21.000000,0.016379,1.000000,0.000224,0.019199,0.999816
22.000000,0.016615,1.000000,0.000248,0.019062,0.999818
23.000000,0.016875,1.000000,0.000272,0.018911,0.999821
24.000000,0.017159,1.000000,0.000297,0.018746,0.999824
25.000000,0.017469,1.000000,0.000323,0.018566,0.999828
26.000000,0.017805,1.000000,0.000349,0.018371,0.999831
27.000000,0.018168,1.000000,0.000375,0.018160,0.999835
28.000000,0.018556,1.000000,0.000401,0.017935,0.999839
29.000000,0.018970,1.000000,0.000428,0.017694,0.999843
30.000000,0.019411,1.000000,0.000454,0.017438,0.999848
31.000000,0.019878,1.000000,0.000480,0.017167,0.999853
32.000000,0.020370,1.000000,0.000505,0.016881,0.999858
33.000000,0.020887,1.000000,0.000530,0.016581,0.999863
34.000000,0.021429,1.000000,0.000554,0.016266,0.999868
35.000000,0.021995,1.000000,0.000577,0.015938,0.999873
36.000000,0.022583,1.000000,0.000599,0.015596,0.999878
37.000000,0.023193,1.000000,0.000621,0.015242,0.999884
38.000000,0.023824,1.000000,0.000641,0.014875,0.999889
39.000000,0.024474,1.000000,0.000660,0.014497,0.999895
40.000000,0.025143,1.000000,0.000677,0.014109,0.999900
41.000000,0.025828,1.000000,0.000694,0.013711,0.999906
42.000000,0.026529,1.000000,0.000708,0.013304,0.999912
43.000000,0.027244,1.000000,0.000721,0.012888,0.999917
44.000000,0.027972,1.000000,0.000733,0.012466,0.999922
45.000000,0.028710,1.000000,0.000743,0.012037,0.999928
46.000000,0.029457,1.000000,0.000751,0.011603,0.999933
47.000000,0.030211,1.000000,0.000757,0.011165,0.999938
48.000000,0.030971,1.000000,0.000762,0.010724,0.999942
49.000000,0.031735,1.000000,0.000765,0.010280,0.999947
50.000000,0.032500,1.000000,0.000766,0.009836,0.999952
51.000000,0.033265,1.000000,0.000765,0.009391,0.999956
52.000000,0.034029,1.000000,0.000762,0.008948,0.999960
53.000000,0.034789,1.000000,0.000757,0.008506,0.999964
54.000000,0.035543,1.000000,0.000751,0.008068,0.999967
55.000000,0.036290,1.000000,0.000743,0.007634,0.999971
56.000000,0.037028,1.000000,0.000733,0.007205,0.999974
57.000000,0.037756,1.000000,0.000721,0.006783,0.999977
58.000000,0.038471,1.000000,0.000708,0.006368,0.999980
59.000000,0.039172,1.000000,0.000694,0.005960,0.999982
60.000000,0.039857,1.000000,0.000677,0.005562,0.999985
61.000000,0.040526,1.000000,0.000660,0.005174,0.999987
62.000000,0.041176,1.000000,0.000641,0.004796,0.999988
63.000000,0.041807,1.000000,0.000621,0.004429,0.999990
64.000000,0.042417,1.000000,0.000599,0.004075,0.999992
65.000000,0.043005,1.000000,0.000577,0.003733,0.999993
66.000000,0.043571,1.000000,0.000554,0.003405,0.999994
67.000000,0.044113,1.000000,0.000530,0.003090,0.999995
68.000000,0.044630,1.000000,0.000505,0.002790,0.999996
69.000000,0.045122,1.000000,0.000480,0.002504,0.999997
70.000000,0.045589,1.000000,0.000454,0.002233,0.999998
71.000000,0.046030,1.000000,0.000428,0.001977,0.999998
72.000000,0.046444,1.000000,0.000401,0.001736,0.999998
73.000000,0.046832,1.000000,0.000375,0.001510,0.999999
74.000000,0.047195,1.000000,0.000349,0.001300,0.999999
75.000000,0.047531,1.000000,0.000323,0.001105,0.999999
76.000000,0.047841,1.000000,0.000297,0.000925,1.000000
77.000000,0.048125,1.000000,0.000272,0.000759,1.000000
78.000000,0.048385,1.000000,0.000248,0.000608,1.000000
79.000000,0.048621,1.000000,0.000224,0.000472,1.000000
80.000000,0.048833,1.000000,0.000201,0.000348,1.000000
81.000000,0.049023,1.000000,0.000179,0.000238,1.000000
82.000000,0.049191,1.000000,0.000158,0.000141,1.000000
83.000000,0.049338,1.000000,0.000138,0.000055,1.000000
84.000000,0.049466,1.000000,0.000119,-0.000020,1.000000
85.000000,0.049576,1.000000,0.000102,-0.000084,1.000000
86.000000,0.049670,1.000000,0.000086,-0.000138,1.000000
87.000000,0.049748,1.000000,0.000071,-0.000183,1.000000
88.000000,0.049812,1.000000,0.000058,-0.000220,1.000000
89.000000,0.049864,1.000000,0.000046,-0.000251,1.000000
90.000000,0.049905,1.000000,0.000036,-0.000274,1.000000
91.000000,0.049936,1.000000,0.000027,-0.000292,1.000000
92.000000,0.049959,1.000000,0.000020,-0.000306,1.000000
93.000000,0.049975,1.000000,0.000014,-0.000315,1.000000
94.000000,0.049986,1.000000,0.000009,-0.000322,1.000000
95.000000,0.049993,1.000000,0.000005,-0.000326,1.000000
96.000000,0.049997,1.000000,0.000003,-0.000328,1.000000
97.000000,0.049999,1.000000,0.000001,-0.000329,1.000000
98.000000,0.050000,1.000000,0.000000,-0.000330,1.000000
99.000000,0.050000,1.000000,0.000000,-0.000330,1.000000
100.000000,0.050000,1.000000,0.000000,-0.000330,1.000000
