dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.049212,1.000000,0.000000,0.020000,0.999800
3.280833,0.049213,1.000000,0.000000,0.020000,0.999800
6.561667,0.049213,1.000000,0.000000,0.020000,0.999800
9.842500,0.049216,1.000000,0.000001,0.020001,0.999800
13.123333,0.049222,1.000000,0.000003,0.020004,0.999800
16.404167,0.049235,1.000000,0.000005,0.020009,0.999800
19.685000,0.049257,1.000000,0.000009,0.020018,0.999800
22.965833,0.049294,1.000000,0.000014,0.020033,0.999799
26.246667,0.049348,1.000000,0.000020,0.020055,0.999799
29.527500,0.049423,1.000000,0.000027,0.020086,0.999798
32.808333,0.049526,1.000000,0.000036,0.020127,0.999797
36.089167,0.049659,1.000000,0.000046,0.020182,0.999796
39.370000,0.049829,1.000000,0.000058,0.020251,0.999795
42.650833,0.050040,1.000000,0.000071,0.020336,0.999793
45.931667,0.050296,1.000000,0.000086,0.020441,0.999791
49.212500,0.050602,1.000000,0.000102,0.020565,0.999789
52.493333,0.050964,1.000000,0.000119,0.020712,0.999785
55.774167,0.051384,1.000000,0.000138,0.020883,0.999782
59.055000,0.051868,1.000000,0.000158,0.021080,0.999778
62.335833,0.052419,1.000000,0.000179,0.021304,0.999773
65.616667,0.053041,1.000000,0.000201,0.021557,0.999768
68.897500,0.053737,1.000000,0.000224,0.021840,0.999761
72.178333,0.054510,1.000000,0.000248,0.022155,0.999755
75.459167,0.055363,1.000000,0.000272,0.022502,0.999747
78.740000,0.056297,1.000000,0.000297,0.022881,0.999738
82.020833,0.057314,1.000000,0.000323,0.023295,0.999729
85.301667,0.058417,1.000000,0.000349,0.023744,0.999718
88.582500,0.059605,1.000000,0.000375,0.024227,0.999706
91.863333,0.060879,1.000000,0.000401,0.024745,0.999694
95.144167,0.062239,1.000000,0.000428,0.025298,0.999680
98.425000,0.063685,1.000000,0.000454,0.025886,0.999665
101.705833,0.065216,1.000000,0.000480,0.026509,0.999649
104.986667,0.066831,1.000000,0.000505,0.027166,0.999631
108.267500,0.068528,1.000000,0.000530,0.027856,0.999612
111.548333,0.070306,1.000000,0.000554,0.028579,0.999592
114.829167,0.072161,1.000000,0.000577,0.029333,0.999570
118.110000,0.074090,1.000000,0.000599,0.030118,0.999546
121.390833,0.076092,1.000000,0.000621,0.030931,0.999522
124.671667,0.078161,1.000000,0.000641,0.031773,0.999495
127.952500,0.080295,1.000000,0.000660,0.032641,0.999467
131.233333,0.082489,1.000000,0.000677,0.033533,0.999438
134.514167,0.084738,1.000000,0.000694,0.034447,0.999407
137.795000,0.087039,1.000000,0.000708,0.035382,0.999374
141.075833,0.089384,1.000000,0.000721,0.036336,0.999340
144.356667,0.091771,1.000000,0.000733,0.037306,0.999304
147.637500,0.094192,1.000000,0.000743,0.038291,0.999267
150.918333,0.096644,1.000000,0.000751,0.039287,0.999228
154.199167,0.099118,1.000000,0.000757,0.040293,0.999188
157.480000,0.101611,1.000000,0.000762,0.041306,0.999147
160.760833,0.104116,1.000000,0.000765,0.042325,0.999104
164.041667,0.106627,1.000000,0.000766,0.043345,0.999060
167.322500,0.109138,1.000000,0.000765,0.044366,0.999015
170.603333,0.111643,1.000000,0.000762,0.045384,0.998970
173.884167,0.114136,1.000000,0.000757,0.046397,0.998923
177.165000,0.116611,1.000000,0.000751,0.047402,0.998876
180.445833,0.119062,1.000000,0.000743,0.048398,0.998828
183.726667,0.121483,1.000000,0.000733,0.049382,0.998780
187.007500,0.123870,1.000000,0.000721,0.050352,0.998732
190.288333,0.126216,1.000000,0.000708,0.051305,0.998683
193.569167,0.128516,1.000000,0.000694,0.052240,0.998635
196.850000,0.130765,1.000000,0.000677,0.053153,0.998586
200.130833,0.132959,1.000000,0.000660,0.054045,0.998539
203.411667,0.135093,1.000000,0.000641,0.054911,0.998491
206.692500,0.137162,1.000000,0.000621,0.055752,0.998445
209.973333,0.139164,1.000000,0.000599,0.056565,0.998399
213.254167,0.141094,1.000000,0.000577,0.057349,0.998354
216.535000,0.142949,1.000000,0.000554,0.058102,0.998311
219.815833,0.144726,1.000000,0.000530,0.058824,0.998268
223.096667,0.146423,1.000000,0.000505,0.059513,0.998228
226.377500,0.148038,1.000000,0.000480,0.060169,0.998188
229.658333,0.149569,1.000000,0.000454,0.060791,0.998151
232.939167,0.151015,1.000000,0.000428,0.061378,0.998115
236.220000,0.152375,1.000000,0.000401,0.061930,0.998080
239.500833,0.153650,1.000000,0.000375,0.062448,0.998048
242.781667,0.154837,1.000000,0.000349,0.062930,0.998018
246.062500,0.155940,1.000000,0.000323,0.063378,0.997990
249.343333,0.156957,1.000000,0.000297,0.063791,0.997963
252.624167,0.157891,1.000000,0.000272,0.064170,0.997939
255.905000,0.158744,1.000000,0.000248,0.064516,0.997917
259.185833,0.159517,1.000000,0.000224,0.064830,0.997896
262.466667,0.160213,1.000000,0.000201,0.065112,0.997878
265.747500,0.160835,1.000000,0.000179,0.065365,0.997861
269.028333,0.161386,1.000000,0.000158,0.065589,0.997847
272.309167,0.161870,1.000000,0.000138,0.065785,0.997834
275.590000,0.162290,1.000000,0.000119,0.065956,0.997823
278.870833,0.162652,1.000000,0.000102,0.066103,0.997813
282.151667,0.162958,1.000000,0.000086,0.066227,0.997805
285.432500,0.163215,1.000000,0.000071,0.066331,0.997798
288.713333,0.163425,1.000000,0.000058,0.066416,0.997792
291.994167,0.163595,1.000000,0.000046,0.066485,0.997787
295.275000,0.163728,1.000000,0.000036,0.066540,0.997784
298.555833,0.163831,1.000000,0.000027,0.066581,0.997781
301.836667,0.163907,1.000000,0.000020,0.066612,0.997779
305.117500,0.163960,1.000000,0.000014,0.066634,0.997778
308.398333,0.163997,1.000000,0.000009,0.066648,0.997777
311.679167,0.164019,1.000000,0.000005,0.066658,0.997776
314.960000,0.164032,1.000000,0.000003,0.066663,0.997776
318.240833,0.164039,1.000000,0.000001,0.066665,0.997775
321.521667,0.164041,1.000000,0.000000,0.066666,0.997775
324.802500,0.164042,1.000000,0.000000,0.066667,0.997775
328.083333,0.164042,1.000000,0.000000,0.066667,0.997775
