dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.164042,1.000000,0.000000,0.066667,0.997775
3.280840,0.164042,1.000000,-0.000000,0.066667,0.997775
6.561680,0.164041,1.000000,-0.000000,0.066666,0.997775
9.842520,0.164039,1.000000,-0.000001,0.066665,0.997775
13.123360,0.164033,1.000000,-0.000003,0.066661,0.997776
16.404199,0.164020,1.000000,-0.000005,0.066653,0.997776
19.685039,0.163997,1.000000,-0.000009,0.066640,0.997777
22.965879,0.163961,1.000000,-0.000014,0.066618,0.997779
26.246719,0.163907,1.000000,-0.000020,0.066586,0.997781
29.527559,0.163831,1.000000,-0.000027,0.066541,0.997784
32.808399,0.163729,1.000000,-0.000036,0.066480,0.997788
36.089239,0.163595,1.000000,-0.000046,0.066401,0.997793
39.370079,0.163425,1.000000,-0.000058,0.066300,0.997800
42.650919,0.163215,1.000000,-0.000071,0.066174,0.997808
45.931759,0.162959,1.000000,-0.000086,0.066022,0.997818
49.212598,0.162652,1.000000,-0.000102,0.065839,0.997830
52.493438,0.162291,1.000000,-0.000119,0.065624,0.997844
55.774278,0.161870,1.000000,-0.000138,0.065374,0.997861
59.055118,0.161386,1.000000,-0.000158,0.065086,0.997880
62.335958,0.160835,1.000000,-0.000179,0.064758,0.997901
65.616798,0.160213,1.000000,-0.000201,0.064387,0.997925
68.897638,0.159517,1.000000,-0.000224,0.063973,0.997952
72.178478,0.158744,1.000000,-0.000248,0.063513,0.997981
75.459318,0.157892,1.000000,-0.000272,0.063005,0.998013
78.740157,0.156958,1.000000,-0.000297,0.062449,0.998048
82.020997,0.155940,1.000000,-0.000323,0.061843,0.998086
85.301837,0.154838,1.000000,-0.000349,0.061187,0.998126
88.582677,0.153650,1.000000,-0.000375,0.060479,0.998169
91.863517,0.152376,1.000000,-0.000401,0.059721,0.998215
95.144357,0.151015,1.000000,-0.000428,0.058910,0.998263
98.425197,0.149569,1.000000,-0.000454,0.058049,0.998314
101.706037,0.148038,1.000000,-0.000480,0.057137,0.998366
104.986877,0.146423,1.000000,-0.000505,0.056175,0.998421
108.267717,0.144726,1.000000,-0.000530,0.055164,0.998477
111.548556,0.142949,1.000000,-0.000554,0.054106,0.998535
114.829396,0.141094,1.000000,-0.000577,0.053001,0.998594
118.110236,0.139164,1.000000,-0.000599,0.051851,0.998655
121.391076,0.137163,1.000000,-0.000621,0.050658,0.998716
124.671916,0.135093,1.000000,-0.000641,0.049425,0.998778
127.952756,0.132959,1.000000,-0.000660,0.048154,0.998840
131.233596,0.130765,1.000000,-0.000677,0.046846,0.998902
134.514436,0.128516,1.000000,-0.000694,0.045506,0.998964
137.795276,0.126216,1.000000,-0.000708,0.044135,0.999026
141.076115,0.123870,1.000000,-0.000721,0.042737,0.999086
144.356955,0.121483,1.000000,-0.000733,0.041314,0.999146
147.637795,0.119062,1.000000,-0.000743,0.039871,0.999205
150.918635,0.116611,1.000000,-0.000751,0.038410,0.999262
154.199475,0.114136,1.000000,-0.000757,0.036934,0.999318
157.480315,0.111643,1.000000,-0.000762,0.035448,0.999372
160.761155,0.109138,1.000000,-0.000765,0.033954,0.999423
164.041995,0.106627,1.000000,-0.000766,0.032457,0.999473
167.322835,0.104116,1.000000,-0.000765,0.030960,0.999521
170.603675,0.101612,1.000000,-0.000762,0.029466,0.999566
173.884514,0.099119,1.000000,-0.000757,0.027980,0.999608
177.165354,0.096644,1.000000,-0.000751,0.026504,0.999649
180.446194,0.094193,1.000000,-0.000743,0.025042,0.999686
183.727034,0.091771,1.000000,-0.000733,0.023598,0.999722
187.007874,0.089385,1.000000,-0.000721,0.022174,0.999754
190.288714,0.087039,1.000000,-0.000708,0.020775,0.999784
193.569554,0.084739,1.000000,-0.000694,0.019403,0.999812
196.850394,0.082489,1.000000,-0.000677,0.018061,0.999837
200.131234,0.080295,1.000000,-0.000660,0.016753,0.999860
203.412073,0.078162,1.000000,-0.000641,0.015480,0.999880
206.692913,0.076092,1.000000,-0.000621,0.014245,0.999899
209.973753,0.074091,1.000000,-0.000599,0.013051,0.999915
213.254593,0.072161,1.000000,-0.000577,0.011900,0.999929
216.535433,0.070306,1.000000,-0.000554,0.010794,0.999942
219.816273,0.068529,1.000000,-0.000530,0.009733,0.999953
223.097113,0.066831,1.000000,-0.000505,0.008721,0.999962
226.377953,0.065216,1.000000,-0.000480,0.007758,0.999970
229.658793,0.063685,1.000000,-0.000454,0.006844,0.999977
232.939633,0.062239,1.000000,-0.000428,0.005981,0.999982
236.220472,0.060879,1.000000,-0.000401,0.005170,0.999987
239.501312,0.059605,1.000000,-0.000375,0.004410,0.999990
242.782152,0.058417,1.000000,-0.000349,0.003701,0.999993
246.062992,0.057315,1.000000,-0.000323,0.003043,0.999995
249.343832,0.056297,1.000000,-0.000297,0.002436,0.999997
252.624672,0.055363,1.000000,-0.000272,0.001879,0.999998
255.905512,0.054510,1.000000,-0.000248,0.001371,0.999999
259.186352,0.053737,1.000000,-0.000224,0.000909,1.000000
262.467192,0.053041,1.000000,-0.000201,0.000494,1.000000
265.748031,0.052420,1.000000,-0.000179,0.000123,1.000000
269.028871,0.051868,1.000000,-0.000158,-0.000206,1.000000
272.309711,0.051384,1.000000,-0.000138,-0.000494,1.000000
275.590551,0.050964,1.000000,-0.000119,-0.000745,1.000000
278.871391,0.050602,1.000000,-0.000102,-0.000961,1.000000
282.152231,0.050296,1.000000,-0.000086,-0.001144,0.999999
285.433071,0.050040,1.000000,-0.000071,-0.001297,0.999999
288.713911,0.049829,1.000000,-0.000058,-0.001422,0.999999
291.994751,0.049659,1.000000,-0.000046,-0.001524,0.999999
295.275591,0.049526,1.000000,-0.000036,-0.001603,0.999999
298.556430,0.049423,1.000000,-0.000027,-0.001664,0.999999
301.837270,0.049348,1.000000,-0.000020,-0.001710,0.999999
305.118110,0.049294,1.000000,-0.000014,-0.001742,0.999998
308.398950,0.049258,1.000000,-0.000009,-0.001763,0.999998
311.679790,0.049235,1.000000,-0.000005,-0.001777,0.999998
314.960630,0.049222,1.000000,-0.000003,-0.001785,0.999998
318.241470,0.049216,1.000000,-0.000001,-0.001788,0.999998
321.522310,0.049213,1.000000,-0.000000,-0.001790,0.999998
324.803150,0.049213,1.000000,-0.000000,-0.001790,0.999998
328.083990,0.049213,1.000000,-0.000000,-0.001790,0.999998
