dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.050000,1.000000,0.000000,0.066667,0.997775
1.000000,0.050000,1.000000,-0.000000,0.066667,0.997775
2.000000,0.050000,1.000000,-0.000000,0.066666,0.997775
3.000000,0.049999,1.000000,-0.000001,0.066665,0.997775
4.000000,0.049997,1.000000,-0.000003,0.066663,0.997776
5.000000,0.049993,1.000000,-0.000005,0.066658,0.997776
6.000000,0.049986,1.000000,-0.000009,0.066648,0.997777
7.000000,0.049975,1.000000,-0.000014,0.066634,0.997778
8.000000,0.049959,1.000000,-0.000020,0.066612,0.997779
9.000000,0.049936,1.000000,-0.000027,0.066581,0.997781
10.000000,0.049905,1.000000,-0.000036,0.066540,0.997784
11.000000,0.049864,1.000000,-0.000046,0.066485,0.997787
12.000000,0.049812,1.000000,-0.000058,0.066416,0.997792
13.000000,0.049748,1.000000,-0.000071,0.066331,0.997798
14.000000,0.049670,1.000000,-0.000086,0.066227,0.997805
15.000000,0.049576,1.000000,-0.000102,0.066103,0.997813
16.000000,0.049466,1.000000,-0.000119,0.065956,0.997823
17.000000,0.049338,1.000000,-0.000138,0.065785,0.997834
18.000000,0.049191,1.000000,-0.000158,0.065589,0.997847
19.000000,0.049023,1.000000,-0.000179,0.065365,0.997861
20.000000,0.048833,1.000000,-0.000201,0.065112,0.997878
21.000000,0.048621,1.000000,-0.000224,0.064830,0.997896
22.000000,0.048385,1.000000,-0.000248,0.064516,0.997917
23.000000,0.048125,1.000000,-0.000272,0.064170,0.997939
24.000000,0.047841,1.000000,-0.000297,0.063791,0.997963
25.000000,0.047531,1.000000,-0.000323,0.063378,0.997990
26.000000,0.047195,1.000000,-0.000349,0.062930,0.998018
27.000000,0.046832,1.000000,-0.000375,0.062448,0.998048
28.000000,0.046444,1.000000,-0.000401,0.061930,0.998080
29.000000,0.046030,1.000000,-0.000428,0.061378,0.998115
30.000000,0.045589,1.000000,-0.000454,0.060791,0.998151
31.000000,0.045122,1.000000,-0.000480,0.060169,0.998188
32.000000,0.044630,1.000000,-0.000505,0.059513,0.998228
33.000000,0.044113,1.000000,-0.000530,0.058824,0.998268
34.000000,0.043571,1.000000,-0.000554,0.058102,0.998311
35.000000,0.043005,1.000000,-0.000577,0.057349,0.998354
36.000000,0.042417,1.000000,-0.000599,0.056565,0.998399
37.000000,0.041807,1.000000,-0.000621,0.055752,0.998445
