dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280839,-0.001641,0.999999,-0.001000
6.561680,6.561675,-0.006565,0.999998,-0.002002
9.842520,9.842505,-0.014779,0.999995,-0.003006
13.123360,13.123324,-0.026295,0.999992,-0.004015
16.404199,16.404131,-0.041128,0.999987,-0.005028
19.685039,19.684920,-0.059297,0.999982,-0.006049
22.965879,22.965689,-0.080827,0.999975,-0.007077
26.246719,26.246434,-0.105745,0.999967,-0.008115
29.527559,29.527152,-0.134084,0.999958,-0.009162
32.808399,32.807837,-0.165878,0.999948,-0.010221
36.089239,36.088487,-0.201167,0.999936,-0.011293
39.370079,39.369097,-0.239995,0.999923,-0.012379
42.650919,42.649663,-0.282409,0.999909,-0.013479
45.931759,45.930179,-0.328457,0.999893,-0.014595
49.212598,49.210642,-0.378194,0.999876,-0.015728
52.493438,52.491046,-0.431677,0.999858,-0.016878
55.774278,55.771385,-0.488966,0.999837,-0.018048
59.055118,59.051655,-0.550124,0.999815,-0.019237
62.335958,62.331849,-0.615216,0.999791,-0.020447
65.616798,65.611961,-0.684314,0.999765,-0.021678
68.897638,68.891984,-0.757487,0.999737,-0.022932
72.178478,72.171913,-0.834811,0.999707,-0.024209
75.459318,75.451738,-0.916364,0.999675,-0.025510
78.740157,78.731454,-1.002225,0.999640,-0.026835
82.020997,82.011052,-1.092477,0.999603,-0.028186
85.301837,85.290524,-1.187204,0.999563,-0.029564
88.582677,88.569861,-1.286493,0.999520,-0.030968
91.863517,91.849054,-1.390434,0.999475,-0.032399
95.144357,95.128093,-1.499118,0.999427,-0.033859
98.425197,98.406968,-1.612638,0.999375,-0.035348
101.706037,101.685668,-1.731090,0.999320,-0.036865
104.986877,104.964183,-1.854570,0.999262,-0.038413
108.267717,108.242501,-1.983177,0.999200,-0.039991
111.548556,111.520610,-2.117012,0.999134,-0.041600
114.829396,114.798497,-2.256177,0.999065,-0.043240
118.110236,118.076148,-2.400774,0.998991,-0.044912
121.391076,121.353551,-2.550908,0.998913,-0.046616
124.671916,124.630690,-2.706686,0.998830,-0.048352
127.952756,127.907550,-2.868214,0.998743,-0.050121
131.233596,131.184117,-3.035601,0.998651,-0.051923
134.514436,134.460374,-3.208955,0.998554,-0.053759
137.795276,137.736303,-3.388386,0.998452,-0.055628
141.076115,141.011887,-3.574006,0.998344,-0.057531
144.356955,144.287108,-3.765925,0.998230,-0.059468
147.637795,147.561948,-3.964256,0.998111,-0.061440
150.918635,150.836385,-4.169110,0.997985,-0.063445
154.199475,154.110401,-4.380602,0.997854,-0.065486
157.480315,157.383973,-4.598843,0.997715,-0.067560
160.761155,160.657081,-4.823948,0.997570,-0.069669
164.041995,163.929701,-5.056029,0.997418,-0.071813
167.322835,167.201811,-5.295200,0.997259,-0.073991
170.603675,170.473387,-5.541575,0.997092,-0.076204
173.884514,173.744403,-5.795267,0.996918,-0.078452
177.165354,177.014834,-6.056388,0.996736,-0.080733
180.446194,180.284654,-6.325051,0.996545,-0.083049
183.727034,183.553837,-6.601368,0.996347,-0.085399
187.007874,186.822354,-6.885451,0.996140,-0.087783
190.288714,190.090176,-7.177411,0.995924,-0.090201
193.569554,193.357275,-7.477356,0.995699,-0.092652
196.850394,196.623621,-7.785398,0.995464,-0.095136
200.131234,199.889183,-8.101644,0.995221,-0.097653
203.412073,203.153930,-8.426201,0.994967,-0.100202
206.692913,206.417828,-8.759175,0.994704,-0.102784
209.973753,209.680846,-9.100671,0.994430,-0.105397
213.254593,212.942949,-9.450793,0.994146,-0.108042
216.535433,216.204104,-9.809643,0.993852,-0.110718
219.816273,219.464275,-10.177321,0.993547,-0.113424
223.097113,222.723427,-10.553926,0.993231,-0.116160
226.377953,225.981524,-10.939556,0.992903,-0.118925
229.658793,229.238528,-11.334305,0.992565,-0.121719
232.939633,232.494402,-11.738268,0.992214,-0.124541
236.220472,235.749108,-12.151536,0.991853,-0.127391
239.501312,239.002608,-12.574199,0.991479,-0.130268
242.782152,242.254861,-13.006342,0.991093,-0.133171
246.062992,245.505830,-13.448053,0.990695,-0.136100
249.343832,248.755472,-13.899412,0.990285,-0.139053
252.624672,252.003749,-14.360501,0.989862,-0.142031
255.905512,255.250618,-14.831397,0.989427,-0.145031
259.186352,258.496038,-15.312175,0.988979,-0.148054
262.467192,261.739969,-15.802906,0.988519,-0.151099
265.748031,264.982367,-16.303661,0.988045,-0.154164
269.028871,268.223191,-16.814505,0.987559,-0.157250
272.309711,271.462398,-17.335503,0.987060,-0.160354
275.590551,274.699946,-17.866714,0.986547,-0.163476
278.871391,277.935792,-18.408196,0.986022,-0.166614
282.152231,281.169893,-18.960002,0.985484,-0.169769
285.433071,284.402207,-19.522184,0.984933,-0.172939
288.713911,287.632691,-20.094787,0.984368,-0.176122
291.994751,290.861302,-20.677855,0.983791,-0.179318
295.275591,294.087999,-21.271429,0.983201,-0.182526
298.556430,297.312738,-21.875544,0.982598,-0.185744
301.837270,300.535479,-22.490232,0.981983,-0.188972
305.118110,303.756180,-23.115523,0.981354,-0.192207
308.398950,306.974799,-23.751440,0.980714,-0.195449
311.679790,310.191297,-24.398005,0.980061,-0.198697
314.960630,313.405633,-25.055233,0.979396,-0.201949
318.241470,316.617767,-25.723136,0.978719,-0.205205
321.522310,319.827661,-26.401722,0.978031,-0.208462
324.803150,323.035277,-27.090995,0.977331,-0.211719
328.083990,326.240579,-27.790954,0.976619,-0.214975
