dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,-0.001641,0.999999,-0.001000
6.561667,6.561662,-0.006565,0.999998,-0.002002
9.842500,9.842485,-0.014779,0.999995,-0.003006
13.123333,13.123298,-0.026295,0.999992,-0.004015
16.404167,16.404098,-0.041128,0.999987,-0.005028
19.685000,19.684881,-0.059297,0.999982,-0.006049
22.965833,22.965643,-0.080827,0.999975,-0.007077
26.246667,26.246382,-0.105745,0.999967,-0.008115
29.527500,29.527093,-0.134083,0.999958,-0.009162
32.808333,32.807772,-0.165878,0.999948,-0.010221
36.089167,36.088415,-0.201167,0.999936,-0.011293
39.370000,39.369018,-0.239995,0.999923,-0.012379
42.650833,42.649577,-0.282408,0.999909,-0.013479
45.931667,45.930087,-0.328456,0.999893,-0.014595
49.212500,49.210544,-0.378194,0.999876,-0.015728
52.493333,52.490941,-0.431676,0.999858,-0.016878
55.774167,55.771274,-0.488965,0.999837,-0.018048
59.055000,59.051537,-0.550123,0.999815,-0.019237
62.335833,62.331724,-0.615215,0.999791,-0.020447
65.616667,65.611829,-0.684312,0.999765,-0.021678
68.897500,68.891846,-0.757485,0.999737,-0.022932
72.178333,72.171768,-0.834810,0.999707,-0.024209
75.459167,75.451587,-0.916362,0.999675,-0.025510
78.740000,78.731297,-1.002223,0.999640,-0.026835
82.020833,82.010888,-1.092474,0.999603,-0.028186
85.301667,85.290354,-1.187201,0.999563,-0.029564
88.582500,88.569684,-1.286490,0.999520,-0.030968
91.863333,91.848870,-1.390431,0.999475,-0.032399
95.144167,95.127903,-1.499115,0.999427,-0.033859
98.425000,98.406771,-1.612635,0.999375,-0.035348
101.705833,101.685465,-1.731087,0.999320,-0.036865
104.986667,104.963974,-1.854566,0.999262,-0.038413
108.267500,108.242285,-1.983173,0.999200,-0.039991
111.548333,111.520387,-2.117008,0.999134,-0.041600
114.829167,114.798267,-2.256172,0.999065,-0.043240
118.110000,118.075912,-2.400769,0.998991,-0.044912
121.390833,121.353308,-2.550903,0.998913,-0.046616
124.671667,124.630440,-2.706681,0.998830,-0.048352
127.952500,127.907295,-2.868208,0.998743,-0.050121
131.233333,131.183855,-3.035595,0.998651,-0.051923
134.514167,134.460105,-3.208948,0.998554,-0.053759
137.795000,137.736027,-3.388379,0.998452,-0.055628
141.075833,141.011605,-3.573999,0.998344,-0.057531
144.356667,144.286820,-3.765918,0.998230,-0.059468
147.637500,147.561652,-3.964248,0.998111,-0.061440
150.918333,150.836083,-4.169102,0.997985,-0.063445
154.199167,154.110092,-4.380593,0.997854,-0.065486
157.480000,157.383658,-4.598834,0.997715,-0.067560
160.760833,160.656760,-4.823938,0.997570,-0.069669
164.041667,163.929373,-5.056019,0.997418,-0.071813
167.322500,167.201477,-5.295190,0.997259,-0.073991
170.603333,170.473046,-5.541564,0.997092,-0.076204
173.884167,173.744055,-5.795255,0.996918,-0.078452
177.165000,177.014480,-6.056376,0.996736,-0.080733
180.445833,180.284294,-6.325038,0.996545,-0.083049
183.726667,183.553470,-6.601355,0.996347,-0.085399
187.007500,186.821980,-6.885437,0.996140,-0.087783
190.288333,190.089796,-7.177396,0.995924,-0.090201
193.569167,193.356889,-7.477342,0.995699,-0.092652
196.850000,196.623228,-7.785383,0.995464,-0.095136
200.130833,199.888783,-8.101628,0.995221,-0.097653
203.411667,203.153523,-8.426184,0.994967,-0.100202
206.692500,206.417415,-8.759157,0.994704,-0.102784
209.973333,209.680426,-9.100653,0.994430,-0.105397
213.254167,212.942523,-9.450774,0.994146,-0.108042
216.535000,216.203671,-9.809623,0.993852,-0.110718
219.815833,219.463836,-10.177300,0.993547,-0.113424
223.096667,222.722982,-10.553905,0.993231,-0.116160
226.377500,225.981072,-10.939534,0.992903,-0.118925
229.658333,229.238069,-11.334283,0.992565,-0.121719
232.939167,232.493937,-11.738245,0.992214,-0.124541
236.220000,235.748637,-12.151512,0.991853,-0.127391
239.500833,239.002130,-12.574173,0.991479,-0.130268
242.781667,242.254377,-13.006316,0.991093,-0.133171
246.062500,245.505339,-13.448026,0.990695,-0.136100
249.343333,248.754975,-13.899385,0.990285,-0.139053
252.624167,252.003245,-14.360473,0.989862,-0.142031
255.905000,255.250107,-14.831367,0.989427,-0.145031
259.185833,258.495521,-15.312144,0.988979,-0.148054
262.466667,261.739445,-15.802874,0.988519,-0.151099
265.747500,264.981837,-16.303628,0.988045,-0.154164
269.028333,268.222654,-16.814472,0.987559,-0.157250
272.309167,271.461855,-17.335469,0.987060,-0.160354
275.590000,274.699396,-17.866679,0.986547,-0.163476
278.870833,277.935236,-18.408159,0.986022,-0.166614
282.151667,281.169330,-18.959964,0.985484,-0.169769
285.432500,284.401638,-19.522144,0.984933,-0.172939
288.713333,287.632115,-20.094746,0.984368,-0.176122
291.994167,290.860720,-20.677814,0.983791,-0.179318
295.275000,294.087411,-21.271386,0.983201,-0.182526
298.555833,297.312144,-21.875500,0.982598,-0.185744
301.836667,300.534878,-22.490187,0.981983,-0.188972
305.117500,303.755572,-23.115477,0.981354,-0.192207
308.398333,306.974185,-23.751393,0.980714,-0.195449
311.679167,310.190677,-24.397956,0.980061,-0.198697
314.960000,313.405006,-25.055183,0.979396,-0.201949
318.240833,316.617134,-25.723084,0.978719,-0.205205
321.521667,319.827021,-26.401669,0.978031,-0.208462
324.802500,323.034631,-27.090941,0.977331,-0.211719
328.083333,326.239926,-27.790898,0.976619,-0.214975
