dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280827,-0.005468,0.999994,-0.003333
6.561667,6.561618,-0.021869,0.999978,-0.006665
9.842500,9.842336,-0.049197,0.999950,-0.009994
13.123333,13.122945,-0.087439,0.999911,-0.013318
16.404167,16.403409,-0.136581,0.999862,-0.016637
19.685000,19.683692,-0.196601,0.999801,-0.019950
22.965833,22.963758,-0.267476,0.999730,-0.023254
26.246667,26.243572,-0.349176,0.999648,-0.026549
29.527500,29.523100,-0.441669,0.999555,-0.029833
32.808333,32.802307,-0.544918,0.999452,-0.033106
36.089167,36.081159,-0.658883,0.999339,-0.036365
39.370000,39.359622,-0.783519,0.999215,-0.039611
42.650833,42.637665,-0.918778,0.999082,-0.042841
45.931667,45.915254,-1.064609,0.998939,-0.046055
49.212500,49.192359,-1.220956,0.998786,-0.049252
52.493333,52.468947,-1.387762,0.998625,-0.052430
55.774167,55.744990,-1.564963,0.998454,-0.055589
59.055000,59.020458,-1.752496,0.998274,-0.058728
62.335833,62.295322,-1.950293,0.998086,-0.061845
65.616667,65.569555,-2.158282,0.997889,-0.064941
68.897500,68.843129,-2.376388,0.997684,-0.068013
72.178333,72.116019,-2.604537,0.997472,-0.071062
75.459167,75.388199,-2.842648,0.997252,-0.074086
78.740000,78.659645,-3.090638,0.997025,-0.077085
82.020833,81.930334,-3.348425,0.996790,-0.080057
85.301667,85.200243,-3.615919,0.996549,-0.083003
88.582500,88.469351,-3.893033,0.996302,-0.085921
91.863333,91.737638,-4.179675,0.996048,-0.088811
95.144167,95.005083,-4.475751,0.995789,-0.091672
98.425000,98.271669,-4.781165,0.995525,-0.094504
101.705833,101.537377,-5.095820,0.995255,-0.097305
104.986667,104.802192,-5.419617,0.994980,-0.100076
108.267500,108.066098,-5.752454,0.994700,-0.102816
111.548333,111.329080,-6.094228,0.994417,-0.105525
114.829167,114.591124,-6.444836,0.994129,-0.108201
118.110000,117.852219,-6.804172,0.993838,-0.110845
121.390833,121.112352,-7.172128,0.993543,-0.113456
124.671667,124.371514,-7.548596,0.993245,-0.116034
127.952500,127.629693,-7.933467,0.992945,-0.118578
131.233333,130.886883,-8.326630,0.992642,-0.121089
134.514167,134.143075,-8.727974,0.992336,-0.123565
137.795000,137.398262,-9.137386,0.992029,-0.126007
141.075833,140.652439,-9.554753,0.991721,-0.128415
144.356667,143.905600,-9.979962,0.991410,-0.130787
147.637500,147.157742,-10.412899,0.991099,-0.133125
150.918333,150.408862,-10.853447,0.990787,-0.135428
154.199167,153.658957,-11.301493,0.990475,-0.137695
157.480000,156.908026,-11.756920,0.990162,-0.139928
160.760833,160.156068,-12.219613,0.989849,-0.142125
164.041667,163.403084,-12.689456,0.989536,-0.144286
167.322500,166.649074,-13.166332,0.989224,-0.146413
170.603333,169.894041,-13.650128,0.988912,-0.148504
173.884167,173.137985,-14.140726,0.988601,-0.150560
177.165000,176.380912,-14.638011,0.988291,-0.152580
180.445833,179.622823,-15.141869,0.987982,-0.154566
183.726667,182.863725,-15.652184,0.987675,-0.156517
187.007500,186.103621,-16.168843,0.987370,-0.158433
190.288333,189.342517,-16.691732,0.987066,-0.160315
193.569167,192.580420,-17.220739,0.986764,-0.162163
196.850000,195.817336,-17.755752,0.986464,-0.163976
200.130833,199.053273,-18.296659,0.986167,-0.165756
203.411667,202.288237,-18.843351,0.985872,-0.167503
206.692500,205.522237,-19.395718,0.985579,-0.169216
209.973333,208.755280,-19.953654,0.985289,-0.170897
213.254167,211.987377,-20.517051,0.985002,-0.172545
216.535000,215.218535,-21.085804,0.984717,-0.174162
219.815833,218.448765,-21.659810,0.984435,-0.175747
223.096667,221.678075,-22.238966,0.984157,-0.177302
226.377500,224.906475,-22.823172,0.983881,-0.178826
229.658333,228.133976,-23.412329,0.983608,-0.180320
232.939167,231.360587,-24.006339,0.983338,-0.181785
236.220000,234.586318,-24.605108,0.983072,-0.183221
239.500833,237.811179,-25.208542,0.982808,-0.184629
242.781667,241.035182,-25.816549,0.982548,-0.186009
246.062500,244.258335,-26.429042,0.982291,-0.187363
249.343333,247.480650,-27.045932,0.982037,-0.188690
252.624167,250.702136,-27.667136,0.981786,-0.189992
255.905000,253.922803,-28.292570,0.981538,-0.191270
259.185833,257.142662,-28.922157,0.981292,-0.192523
262.466667,260.361720,-29.555817,0.981050,-0.193753
265.747500,263.579989,-30.193478,0.980811,-0.194962
269.028333,266.797477,-30.835067,0.980574,-0.196148
272.309167,270.014194,-31.480515,0.980340,-0.197314
275.590000,273.230146,-32.129757,0.980109,-0.198461
278.870833,276.445343,-32.782729,0.979880,-0.199589
282.151667,279.659793,-33.439372,0.979653,-0.200699
285.432500,282.873502,-34.099629,0.979428,-0.201792
288.713333,286.086478,-34.763447,0.979206,-0.202870
291.994167,289.298726,-35.430776,0.978985,-0.203933
295.275000,292.510252,-36.101570,0.978766,-0.204982
298.555833,295.721062,-36.775784,0.978548,-0.206018
301.836667,298.931160,-37.453380,0.978332,-0.207043
305.117500,302.140550,-38.134323,0.978116,-0.208058
308.398333,305.349235,-38.818580,0.977902,-0.209064
311.679167,308.557218,-39.506123,0.977688,-0.210062
314.960000,311.764499,-40.196928,0.977475,-0.211053
318.240833,314.971080,-40.890976,0.977261,-0.212039
321.521667,318.176962,-41.588250,0.977048,-0.213020
324.802500,321.382142,-42.288739,0.976834,-0.213998
328.083333,324.586620,-42.992435,0.976619,-0.214975
