dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,-0.001667,0.999994,-0.003333
2.000000,1.999985,-0.006665,0.999978,-0.006664
3.000000,2.999950,-0.014993,0.999950,-0.009991
4.000000,3.999882,-0.026645,0.999911,-0.013312
5.000000,4.999769,-0.041615,0.999862,-0.016625
6.000000,5.999602,-0.059893,0.999801,-0.019929
7.000000,6.999368,-0.081469,0.999730,-0.023221
8.000000,7.999059,-0.106330,0.999649,-0.026500
9.000000,8.998663,-0.134463,0.999557,-0.029764
10.000000,9.998169,-0.165852,0.999455,-0.033011
11.000000,10.997569,-0.200478,0.999343,-0.036239
12.000000,11.996852,-0.238324,0.999222,-0.039448
13.000000,12.996009,-0.279368,0.999091,-0.042636
14.000000,13.995031,-0.323587,0.998951,-0.045800
15.000000,14.993908,-0.370959,0.998802,-0.048940
16.000000,15.992631,-0.421458,0.998644,-0.052054
17.000000,16.991194,-0.475058,0.998479,-0.055140
18.000000,17.989586,-0.531729,0.998305,-0.058198
19.000000,18.987801,-0.591444,0.998124,-0.061226
20.000000,19.985831,-0.654171,0.997936,-0.064222
21.000000,20.983670,-0.719878,0.997740,-0.067186
22.000000,21.981310,-0.788532,0.997539,-0.070117
23.000000,22.978746,-0.860100,0.997331,-0.073012
24.000000,23.975970,-0.934545,0.997118,-0.075872
25.000000,24.972979,-1.011832,0.996899,-0.078695
26.000000,25.969766,-1.091922,0.996675,-0.081479
27.000000,26.966328,-1.174777,0.996447,-0.084225
28.000000,27.962658,-1.260358,0.996214,-0.086931
29.000000,28.958755,-1.348625,0.995978,-0.089595
30.000000,29.954614,-1.439535,0.995739,-0.092219
31.000000,30.950232,-1.533048,0.995496,-0.094800
32.000000,31.945606,-1.629120,0.995251,-0.097337
33.000000,32.940734,-1.727708,0.995004,-0.099831
34.000000,33.935614,-1.828767,0.994756,-0.102280
35.000000,34.930245,-1.932253,0.994506,-0.104684
36.000000,35.924625,-2.038120,0.994255,-0.107042
37.000000,36.918753,-2.146321,0.994003,-0.109353
38.000000,37.912630,-2.256811,0.993751,-0.111618
39.000000,38.906256,-2.369542,0.993500,-0.113835
40.000000,39.899630,-2.484466,0.993249,-0.116005
41.000000,40.892753,-2.601535,0.992999,-0.118126
42.000000,41.885627,-2.720702,0.992750,-0.120199
43.000000,42.878254,-2.841917,0.992503,-0.122223
44.000000,43.870634,-2.965131,0.992258,-0.124197
45.000000,44.862769,-3.090295,0.992015,-0.126123
46.000000,45.854664,-3.217359,0.991774,-0.127998
47.000000,46.846319,-3.346275,0.991537,-0.129824
48.000000,47.837739,-3.476991,0.991303,-0.131601
49.000000,48.828926,-3.609459,0.991072,-0.133327
50.000000,49.819884,-3.743628,0.990845,-0.135003
51.000000,50.810618,-3.879449,0.990622,-0.136630
52.000000,51.801130,-4.016871,0.990403,-0.138206
53.000000,52.791426,-4.155845,0.990189,-0.139733
54.000000,53.781510,-4.296321,0.989980,-0.141210
55.000000,54.771387,-4.438249,0.989775,-0.142638
56.000000,55.761062,-4.581580,0.989575,-0.144016
57.000000,56.750539,-4.726265,0.989381,-0.145346
58.000000,57.739825,-4.872255,0.989192,-0.146626
59.000000,58.728925,-5.019501,0.989009,-0.147858
60.000000,59.717844,-5.167956,0.988831,-0.149043
61.000000,60.706589,-5.317571,0.988659,-0.150179
62.000000,61.695164,-5.468298,0.988493,-0.151268
63.000000,62.683576,-5.620092,0.988333,-0.152311
64.000000,63.671831,-5.772904,0.988179,-0.153307
65.000000,64.659935,-5.926691,0.988031,-0.154258
66.000000,65.647895,-6.081405,0.987889,-0.155163
67.000000,66.635715,-6.237002,0.987753,-0.156024
68.000000,67.623403,-6.393438,0.987624,-0.156841
69.000000,68.610965,-6.550670,0.987501,-0.157616
70.000000,69.598406,-6.708655,0.987383,-0.158347
71.000000,70.585734,-6.867351,0.987273,-0.159038
72.000000,71.572953,-7.026717,0.987168,-0.159687
73.000000,72.560071,-7.186712,0.987069,-0.160297
74.000000,73.547093,-7.347298,0.986976,-0.160868
75.000000,74.534025,-7.508435,0.986889,-0.161400
76.000000,75.520873,-7.670086,0.986808,-0.161896
77.000000,76.507643,-7.832214,0.986732,-0.162356
78.000000,77.494340,-7.994785,0.986662,-0.162780
79.000000,78.480969,-8.157764,0.986598,-0.163171
80.000000,79.467537,-8.321116,0.986539,-0.163529
81.000000,80.454048,-8.484811,0.986484,-0.163855
82.000000,81.440507,-8.648817,0.986435,-0.164151
83.000000,82.426920,-8.813104,0.986391,-0.164418
84.000000,83.413290,-8.977644,0.986351,-0.164657
85.000000,84.399623,-9.142409,0.986315,-0.164870
86.000000,85.385922,-9.307375,0.986284,-0.165057
87.000000,86.372192,-9.472516,0.986257,-0.165221
88.000000,87.358437,-9.637809,0.986233,-0.165362
89.000000,88.344659,-9.803233,0.986213,-0.165483
90.000000,89.330863,-9.968768,0.986196,-0.165584
91.000000,90.317052,-10.134395,0.986182,-0.165667
92.000000,91.303227,-10.300097,0.986170,-0.165735
93.000000,92.289393,-10.465859,0.986162,-0.165787
94.000000,93.275551,-10.631668,0.986155,-0.165827
95.000000,94.261704,-10.797510,0.986150,-0.165856
96.000000,95.247852,-10.963377,0.986147,-0.165876
97.000000,96.233997,-11.129259,0.986145,-0.165887
98.000000,97.220141,-11.295149,0.986144,-0.165894
99.000000,98.206285,-11.461044,0.986143,-0.165896
100.000000,99.192428,-11.626940,0.986143,-0.165896
