dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,-0.000000,1.000000,-0.000000
6.561667,6.561667,-0.000004,1.000000,-0.000003
9.842500,9.842500,-0.000022,1.000000,-0.000009
13.123333,13.123333,-0.000069,1.000000,-0.000021
16.404167,16.404167,-0.000167,1.000000,-0.000041
19.685000,19.685000,-0.000346,1.000000,-0.000070
22.965833,22.965833,-0.000638,1.000000,-0.000110
26.246667,26.246667,-0.001084,1.000000,-0.000164
29.527500,29.527500,-0.001729,1.000000,-0.000232
32.808333,32.808333,-0.002625,1.000000,-0.000317
36.089167,36.089166,-0.003827,1.000000,-0.000419
39.370000,39.369999,-0.005397,1.000000,-0.000541
42.650833,42.650832,-0.007403,1.000000,-0.000685
45.931667,45.931664,-0.009915,1.000000,-0.000851
49.212500,49.212496,-0.013011,0.999999,-0.001041
52.493333,52.493327,-0.016771,0.999999,-0.001256
55.774167,55.774157,-0.021282,0.999999,-0.001498
59.055000,59.054986,-0.026634,0.999998,-0.001769
62.335833,62.335814,-0.032922,0.999998,-0.002069
65.616667,65.616639,-0.040245,0.999997,-0.002400
68.897500,68.897461,-0.048705,0.999996,-0.002763
72.178333,72.178280,-0.058410,0.999995,-0.003159
75.459167,75.459095,-0.069470,0.999994,-0.003589
78.740000,78.739904,-0.082000,0.999992,-0.004055
82.020833,82.020707,-0.096118,0.999990,-0.004557
85.301667,85.301502,-0.111945,0.999987,-0.005097
88.582500,88.582288,-0.129605,0.999984,-0.005675
91.863333,91.863063,-0.149227,0.999980,-0.006293
95.144167,95.143824,-0.170941,0.999976,-0.006951
98.425000,98.424570,-0.194881,0.999971,-0.007650
101.705833,101.705297,-0.221183,0.999965,-0.008391
104.986667,104.986004,-0.249987,0.999958,-0.009175
108.267500,108.266687,-0.281433,0.999950,-0.010002
111.548333,111.547342,-0.315667,0.999941,-0.010874
114.829167,114.827964,-0.352833,0.999930,-0.011790
118.110000,118.108551,-0.393081,0.999919,-0.012752
121.390833,121.389096,-0.436560,0.999905,-0.013760
124.671667,124.669594,-0.483422,0.999890,-0.014815
127.952500,127.950040,-0.533822,0.999873,-0.015917
131.233333,131.230427,-0.587914,0.999854,-0.017066
134.514167,134.510749,-0.645855,0.999833,-0.018263
137.795000,137.790997,-0.707803,0.999810,-0.019509
141.075833,141.071164,-0.773917,0.999784,-0.020803
144.356667,144.351241,-0.844358,0.999755,-0.022146
147.637500,147.631218,-0.919286,0.999723,-0.023538
150.918333,150.911086,-0.998863,0.999688,-0.024980
154.199167,154.190833,-1.083252,0.999650,-0.026472
157.480000,157.470449,-1.172617,0.999608,-0.028013
160.760833,160.749921,-1.267119,0.999562,-0.029604
164.041667,164.029235,-1.366923,0.999512,-0.031245
167.322500,167.308379,-1.472192,0.999457,-0.032936
170.603333,170.587337,-1.583090,0.999399,-0.034676
173.884167,173.866094,-1.699781,0.999335,-0.036467
177.165000,177.144633,-1.822428,0.999266,-0.038307
180.445833,180.422939,-1.951192,0.999192,-0.040196
183.726667,183.700991,-2.086237,0.999112,-0.042135
187.007500,186.978772,-2.227724,0.999026,-0.044123
190.288333,190.256261,-2.375813,0.998934,-0.046160
193.569167,193.533437,-2.530664,0.998836,-0.048245
196.850000,196.810279,-2.692436,0.998730,-0.050379
200.130833,200.086764,-2.861285,0.998618,-0.052560
203.411667,203.362868,-3.037367,0.998498,-0.054788
206.692500,206.638566,-3.220836,0.998371,-0.057063
209.973333,209.913834,-3.411846,0.998235,-0.059384
213.254167,213.188644,-3.610547,0.998092,-0.061751
216.535000,216.462968,-3.817087,0.997939,-0.064163
219.815833,219.736780,-4.031614,0.997778,-0.066620
223.096667,223.010048,-4.254271,0.997608,-0.069120
226.377500,226.282743,-4.485202,0.997429,-0.071663
229.658333,229.554833,-4.724546,0.997240,-0.074248
232.939167,232.826287,-4.972440,0.997041,-0.076875
236.220000,236.097071,-5.229018,0.996832,-0.079542
239.500833,239.367152,-5.494413,0.996612,-0.082249
242.781667,242.636495,-5.768751,0.996381,-0.084994
246.062500,245.905063,-6.052159,0.996140,-0.087778
249.343333,249.172822,-6.344758,0.995888,-0.090597
252.624167,252.439733,-6.646667,0.995624,-0.093453
255.905000,255.705760,-6.958001,0.995348,-0.096343
259.185833,258.970863,-7.278871,0.995061,-0.099266
262.466667,262.235005,-7.609385,0.994762,-0.102221
265.747500,265.498145,-7.949646,0.994450,-0.105207
269.028333,268.760243,-8.299754,0.994127,-0.108223
272.309167,272.021259,-8.659803,0.993790,-0.111268
275.590000,275.281151,-9.029884,0.993442,-0.114339
278.870833,278.539879,-9.410084,0.993080,-0.117436
282.151667,281.797400,-9.800484,0.992706,-0.120557
285.432500,285.053673,-10.201162,0.992320,-0.123700
288.713333,288.308656,-10.612188,0.991920,-0.126865
291.994167,291.562307,-11.033631,0.991507,-0.130050
295.275000,294.814584,-11.465552,0.991082,-0.133252
298.555833,298.065444,-11.908008,0.990644,-0.136472
301.836667,301.314845,-12.361049,0.990193,-0.139705
305.117500,304.562747,-12.824722,0.989730,-0.142952
308.398333,307.809107,-13.299067,0.989254,-0.146210
311.679167,311.053885,-13.784117,0.988765,-0.149478
314.960000,314.297040,-14.279902,0.988264,-0.152754
318.240833,317.538532,-14.786444,0.987751,-0.156035
321.521667,320.778323,-15.303758,0.987227,-0.159321
324.802500,324.016373,-15.831856,0.986691,-0.162608
328.083333,327.252646,-16.370741,0.986143,-0.165896
