dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,1.000000,0.000500,0.999999,0.001000
2.000000,1.999999,0.002001,0.999998,0.002002
3.000000,2.999995,0.004505,0.999995,0.003006
4.000000,3.999989,0.008015,0.999992,0.004015
5.000000,4.999979,0.012536,0.999987,0.005028
6.000000,5.999964,0.018074,0.999982,0.006049
7.000000,6.999942,0.024636,0.999975,0.007077
8.000000,7.999913,0.032231,0.999967,0.008115
9.000000,8.999876,0.040869,0.999958,0.009162
10.000000,9.999829,0.050560,0.999948,0.010221
11.000000,10.999771,0.061316,0.999936,0.011293
12.000000,11.999701,0.073151,0.999923,0.012379
13.000000,12.999617,0.086078,0.999909,0.013479
14.000000,13.999519,0.100114,0.999893,0.014595
15.000000,14.999404,0.115274,0.999876,0.015728
16.000000,15.999271,0.131575,0.999858,0.016878
17.000000,16.999118,0.149037,0.999837,0.018048
18.000000,17.998944,0.167678,0.999815,0.019237
19.000000,18.998747,0.187518,0.999791,0.020447
20.000000,19.998526,0.208579,0.999765,0.021678
21.000000,20.998277,0.230882,0.999737,0.022932
22.000000,21.997999,0.254451,0.999707,0.024209
23.000000,22.997690,0.279308,0.999675,0.025510
24.000000,23.997347,0.305478,0.999640,0.026835
25.000000,24.996969,0.332987,0.999603,0.028186
26.000000,25.996552,0.361860,0.999563,0.029564
27.000000,26.996094,0.392123,0.999520,0.030968
28.000000,27.995592,0.423804,0.999475,0.032399
29.000000,28.995043,0.456931,0.999427,0.033859
30.000000,29.994444,0.491532,0.999375,0.035348
31.000000,30.993792,0.527636,0.999320,0.036865
32.000000,31.993083,0.565273,0.999262,0.038413
33.000000,32.992314,0.604472,0.999200,0.039991
34.000000,33.991482,0.645265,0.999134,0.041600
35.000000,34.990582,0.687683,0.999065,0.043240
36.000000,35.989610,0.731756,0.998991,0.044912
37.000000,36.988562,0.777517,0.998913,0.046616
38.000000,37.987434,0.824998,0.998830,0.048352
39.000000,38.986221,0.874232,0.998743,0.050121
40.000000,39.984919,0.925251,0.998651,0.051923
41.000000,40.983522,0.978089,0.998554,0.053759
42.000000,41.982025,1.032780,0.998452,0.055628
43.000000,42.980423,1.089357,0.998344,0.057531
44.000000,43.978711,1.147854,0.998230,0.059468
45.000000,44.976882,1.208305,0.998111,0.061440
46.000000,45.974930,1.270745,0.997985,0.063445
47.000000,46.972850,1.335207,0.997854,0.065486
48.000000,47.970635,1.401727,0.997715,0.067560
49.000000,48.968278,1.470339,0.997570,0.069669
50.000000,49.965773,1.541078,0.997418,0.071813
51.000000,50.963112,1.613977,0.997259,0.073991
52.000000,51.960288,1.689072,0.997092,0.076204
53.000000,52.957294,1.766397,0.996918,0.078452
54.000000,53.954121,1.845987,0.996736,0.080733
55.000000,54.950763,1.927876,0.996545,0.083049
56.000000,55.947209,2.012097,0.996347,0.085399
57.000000,56.943453,2.098686,0.996140,0.087783
58.000000,57.939486,2.187675,0.995924,0.090201
59.000000,58.935298,2.279098,0.995699,0.092652
60.000000,59.930880,2.372989,0.995464,0.095136
61.000000,60.926223,2.469381,0.995221,0.097653
62.000000,61.921318,2.568306,0.994967,0.100202
63.000000,62.916154,2.669796,0.994704,0.102784
64.000000,63.910722,2.773885,0.994430,0.105397
65.000000,64.905011,2.880602,0.994146,0.108042
66.000000,65.899011,2.989979,0.993852,0.110718
67.000000,66.892711,3.102047,0.993547,0.113424
68.000000,67.886101,3.216837,0.993231,0.116160
69.000000,68.879168,3.334377,0.992903,0.118925
70.000000,69.871903,3.454696,0.992565,0.121719
71.000000,70.864294,3.577824,0.992214,0.124541
72.000000,71.856328,3.703788,0.991853,0.127391
73.000000,72.847995,3.832616,0.991479,0.130268
74.000000,73.839282,3.964333,0.991093,0.133171
75.000000,74.830177,4.098967,0.990695,0.136100
76.000000,75.820668,4.236541,0.990285,0.139053
77.000000,76.810743,4.377081,0.989862,0.142031
78.000000,77.800388,4.520610,0.989427,0.145031
79.000000,78.789592,4.667151,0.988979,0.148054
80.000000,79.778342,4.816726,0.988519,0.151099
81.000000,80.766625,4.969356,0.988045,0.154164
82.000000,81.754429,5.125061,0.987559,0.157250
83.000000,82.741739,5.283861,0.987060,0.160354
84.000000,83.728543,5.445775,0.986547,0.163476
85.000000,84.714829,5.610818,0.986022,0.166614
86.000000,85.700583,5.779009,0.985484,0.169769
87.000000,86.685793,5.950362,0.984933,0.172939
88.000000,87.670444,6.124891,0.984368,0.176122
89.000000,88.654525,6.302610,0.983791,0.179318
90.000000,89.638022,6.483531,0.983201,0.182526
91.000000,90.620923,6.667666,0.982598,0.185744
92.000000,91.603214,6.855023,0.981983,0.188972
93.000000,92.584884,7.045611,0.981354,0.192207
94.000000,93.565919,7.239439,0.980714,0.195449
95.000000,94.546307,7.436512,0.980061,0.198697
96.000000,95.526037,7.636835,0.979396,0.201949
97.000000,96.505095,7.840412,0.978719,0.205205
98.000000,97.483471,8.047245,0.978031,0.208462
99.000000,98.461153,8.257335,0.977331,0.211719
100.000000,99.438128,8.470683,0.976619,0.214975
