dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,0.001667,0.999994,0.003333
2.000000,1.999985,0.006666,0.999978,0.006665
3.000000,2.999950,0.014995,0.999950,0.009994
4.000000,3.999882,0.026652,0.999911,0.013318
5.000000,4.999769,0.041630,0.999862,0.016637
6.000000,5.999601,0.059924,0.999801,0.019950
7.000000,6.999367,0.081527,0.999730,0.023254
8.000000,7.999057,0.106429,0.999648,0.026549
9.000000,8.998659,0.134621,0.999555,0.029833
10.000000,9.998163,0.166091,0.999452,0.033106
11.000000,10.997559,0.200828,0.999339,0.036365
12.000000,11.996837,0.238817,0.999215,0.039611
13.000000,12.995986,0.280044,0.999082,0.042841
14.000000,13.994997,0.324493,0.998939,0.046055
15.000000,14.993861,0.372148,0.998786,0.049252
16.000000,15.992567,0.422991,0.998625,0.052430
17.000000,16.991107,0.477002,0.998454,0.055589
18.000000,17.989472,0.534162,0.998274,0.058728
19.000000,18.987652,0.594450,0.998086,0.061845
20.000000,19.985640,0.657846,0.997889,0.064941
21.000000,20.983428,0.724325,0.997684,0.068013
22.000000,21.981007,0.793864,0.997472,0.071062
23.000000,22.978369,0.866441,0.997252,0.074086
24.000000,23.975508,0.942028,0.997025,0.077085
25.000000,24.972416,1.020602,0.996790,0.080057
26.000000,25.969086,1.102134,0.996549,0.083003
27.000000,26.965512,1.186599,0.996302,0.085921
28.000000,27.961688,1.273968,0.996048,0.088811
29.000000,28.957607,1.364212,0.995789,0.091672
30.000000,29.953265,1.457302,0.995525,0.094504
31.000000,30.948654,1.553209,0.995255,0.097305
32.000000,31.943772,1.651903,0.994980,0.100076
33.000000,32.938612,1.753351,0.994700,0.102816
34.000000,33.933171,1.857525,0.994417,0.105525
35.000000,34.927445,1.964390,0.994129,0.108201
36.000000,35.921428,2.073916,0.993838,0.110845
37.000000,36.915119,2.186069,0.993543,0.113456
38.000000,37.908513,2.300817,0.993245,0.116034
39.000000,38.901608,2.418125,0.992945,0.118578
40.000000,39.894402,2.537962,0.992642,0.121089
41.000000,40.886891,2.660292,0.992336,0.123565
42.000000,41.879074,2.785081,0.992029,0.126007
43.000000,42.870949,2.912295,0.991721,0.128415
44.000000,43.862515,3.041899,0.991410,0.130787
45.000000,44.853770,3.173858,0.991099,0.133125
46.000000,45.844713,3.308137,0.990787,0.135428
47.000000,46.835344,3.444702,0.990475,0.137695
48.000000,47.825662,3.583516,0.990162,0.139928
49.000000,48.815667,3.724545,0.989849,0.142125
50.000000,49.805360,3.867754,0.989536,0.144286
51.000000,50.794739,4.013106,0.989224,0.146413
52.000000,51.783807,4.160567,0.988912,0.148504
53.000000,52.772563,4.310102,0.988601,0.150560
54.000000,53.761009,4.461675,0.988291,0.152580
55.000000,54.749146,4.615251,0.987982,0.154566
56.000000,55.736975,4.770795,0.987675,0.156517
57.000000,56.724497,4.928273,0.987370,0.158433
58.000000,57.711715,5.087650,0.987066,0.160315
59.000000,58.698630,5.248892,0.986764,0.162163
60.000000,59.685244,5.411964,0.986464,0.163976
61.000000,60.671559,5.576833,0.986167,0.165756
62.000000,61.657578,5.743465,0.985872,0.167503
63.000000,62.643303,5.911827,0.985579,0.169216
64.000000,63.628737,6.081886,0.985289,0.170897
65.000000,64.613882,6.253610,0.985002,0.172545
66.000000,65.598741,6.426966,0.984717,0.174162
67.000000,66.583317,6.601923,0.984435,0.175747
68.000000,67.567612,6.778451,0.984157,0.177302
69.000000,68.551631,6.956517,0.983881,0.178826
70.000000,69.535375,7.136092,0.983608,0.180320
71.000000,70.518848,7.317147,0.983338,0.181785
72.000000,71.502053,7.499652,0.983072,0.183221
73.000000,72.484992,7.683579,0.982808,0.184629
74.000000,73.467670,7.868900,0.982548,0.186009
75.000000,74.450090,8.055588,0.982291,0.187363
76.000000,75.432253,8.243617,0.982037,0.188690
77.000000,76.414164,8.432960,0.981786,0.189992
78.000000,77.395825,8.623593,0.981538,0.191270
79.000000,78.377240,8.815491,0.981292,0.192523
80.000000,79.358411,9.008631,0.981050,0.193753
81.000000,80.339341,9.202990,0.980811,0.194962
82.000000,81.320034,9.398547,0.980574,0.196148
83.000000,82.300491,9.595280,0.980340,0.197314
84.000000,83.280715,9.793169,0.980109,0.198461
85.000000,84.260709,9.992196,0.979880,0.199589
86.000000,85.240475,10.192341,0.979653,0.200699
87.000000,86.220016,10.393588,0.979428,0.201792
88.000000,87.199333,10.595920,0.979206,0.202870
89.000000,88.178428,10.799322,0.978985,0.203933
90.000000,89.157303,11.003780,0.978766,0.204982
91.000000,90.135960,11.209281,0.978548,0.206018
92.000000,91.114400,11.415813,0.978332,0.207043
93.000000,92.092624,11.623365,0.978116,0.208058
94.000000,93.070633,11.831927,0.977902,0.209064
95.000000,94.048428,12.041490,0.977688,0.210062
96.000000,95.026009,12.252048,0.977475,0.211053
97.000000,96.003377,12.463594,0.977261,0.212039
98.000000,96.980532,12.676124,0.977048,0.213020
99.000000,97.957473,12.889633,0.976834,0.213998
100.000000,98.934200,13.104120,0.976619,0.214975
