dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280827,0.005468,0.999994,0.003333
6.561667,6.561618,0.021868,0.999978,0.006664
9.842500,9.842336,0.049190,0.999950,0.009991
13.123333,13.122945,0.087419,0.999911,0.013312
16.404167,16.403409,0.136531,0.999862,0.016625
19.685000,19.683693,0.196498,0.999801,0.019929
22.965833,22.963761,0.267285,0.999730,0.023221
26.246667,26.243579,0.348851,0.999649,0.026500
29.527500,29.523112,0.441151,0.999557,0.029764
32.808333,32.802328,0.544131,0.999455,0.033011
36.089167,36.081192,0.657736,0.999343,0.036239
39.370000,39.359674,0.781901,0.999222,0.039448
42.650833,42.637741,0.916559,0.999091,0.042636
45.931667,45.915364,1.061637,0.998951,0.045800
49.212500,49.192512,1.217056,0.998802,0.048940
52.493333,52.469158,1.382735,0.998644,0.052054
55.774167,55.745274,1.558585,0.998479,0.055140
59.055000,59.020833,1.744515,0.998305,0.058198
62.335833,62.295811,1.940429,0.998124,0.061226
65.616667,65.570182,2.146225,0.997936,0.064222
68.897500,68.843924,2.361799,0.997740,0.067186
72.178333,72.117015,2.587043,0.997539,0.070117
75.459167,75.389435,2.821845,0.997331,0.073012
78.740000,78.661163,3.066087,0.997118,0.075872
82.020833,81.932182,3.319651,0.996899,0.078695
85.301667,85.202475,3.582413,0.996675,0.081479
88.582500,88.472026,3.854248,0.996447,0.084225
91.863333,91.740822,4.135025,0.996214,0.086931
95.144167,95.008849,4.424612,0.995978,0.089595
98.425000,98.276095,4.722875,0.995739,0.092219
101.705833,101.542551,5.029675,0.995496,0.094800
104.986667,104.808208,5.344871,0.995251,0.097337
108.267500,108.073057,5.668321,0.995004,0.099831
111.548333,111.337093,5.999880,0.994756,0.102280
114.829167,114.600311,6.339400,0.994506,0.104684
118.110000,117.862706,6.686731,0.994255,0.107042
121.390833,121.124277,7.041722,0.994003,0.109353
124.671667,124.385022,7.404220,0.993751,0.111618
127.952500,127.644941,7.774071,0.993500,0.113835
131.233333,130.904036,8.151118,0.993249,0.116005
134.514167,134.162308,8.535204,0.992999,0.118126
137.795000,137.419763,8.926170,0.992750,0.120199
141.075833,140.676404,9.323855,0.992503,0.122223
144.356667,143.932237,9.728100,0.992258,0.124197
147.637500,147.187269,10.138742,0.992015,0.126123
150.918333,150.441509,10.555620,0.991774,0.127998
154.199167,153.694966,10.978570,0.991537,0.129824
157.480000,156.947648,11.407430,0.991303,0.131601
160.760833,160.199568,11.842034,0.991072,0.133327
164.041667,163.450737,12.282221,0.990845,0.135003
167.322500,166.701168,12.727826,0.990622,0.136630
170.603333,169.950874,13.178684,0.990403,0.138206
173.884167,173.199870,13.634634,0.990189,0.139733
177.165000,176.448171,14.095512,0.989980,0.141210
180.445833,179.695792,14.561154,0.989775,0.142638
183.726667,182.942750,15.031400,0.989575,0.144016
187.007500,186.189061,15.506088,0.989381,0.145346
190.288333,189.434744,15.985056,0.989192,0.146626
193.569167,192.679815,16.468147,0.989009,0.147858
196.850000,195.924294,16.955202,0.988831,0.149043
200.130833,199.168199,17.446063,0.988659,0.150179
203.411667,202.411550,17.940575,0.988493,0.151268
206.692500,205.654366,18.438584,0.988333,0.152311
209.973333,208.896666,18.939937,0.988179,0.153307
213.254167,212.138471,19.444484,0.988031,0.154258
216.535000,215.379801,19.952075,0.987889,0.155163
219.815833,218.620675,20.462564,0.987753,0.156024
223.096667,221.861115,20.975805,0.987624,0.156841
226.377500,225.101140,21.491657,0.987501,0.157616
229.658333,228.340771,22.009980,0.987383,0.158347
232.939167,231.580028,22.530635,0.987273,0.159038
236.220000,234.818931,23.053487,0.987168,0.159687
239.500833,238.057500,23.578405,0.987069,0.160297
242.781667,241.295755,24.105259,0.986976,0.160868
246.062500,244.533714,24.633923,0.986889,0.161400
249.343333,247.771398,25.164273,0.986808,0.161896
252.624167,251.008824,25.696190,0.986732,0.162356
255.905000,254.246012,26.229558,0.986662,0.162780
259.185833,257.482980,26.764262,0.986598,0.163171
262.466667,260.719744,27.300195,0.986539,0.163529
265.747500,263.956323,27.837250,0.986484,0.163855
269.028333,267.192730,28.375326,0.986435,0.164151
272.309167,270.428986,28.914325,0.986391,0.164418
275.590000,273.665103,29.454153,0.986351,0.164657
278.870833,276.901096,29.994722,0.986315,0.164870
282.151667,280.136980,30.535946,0.986284,0.165057
285.432500,283.372767,31.077746,0.986257,0.165221
288.713333,286.608471,31.620046,0.986233,0.165362
291.994167,289.844103,32.162775,0.986213,0.165483
295.275000,293.079674,32.705867,0.986196,0.165584
298.555833,296.315194,33.249261,0.986182,0.165667
301.836667,299.550672,33.792902,0.986170,0.165735
305.117500,302.786117,34.336740,0.986162,0.165787
308.398333,306.021538,34.880730,0.986155,0.165827
311.679167,309.256939,35.424831,0.986150,0.165856
314.960000,312.492327,35.969011,0.986147,0.165876
318.240833,315.727706,36.513243,0.986145,0.165887
321.521667,318.963080,37.057503,0.986144,0.165894
324.802500,322.198453,37.601776,0.986143,0.165896
328.083333,325.433826,38.146054,0.986143,0.165896
