dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280834,0.005468,0.999994,0.003333
6.561680,6.561631,0.021868,0.999978,0.006664
9.842520,9.842356,0.049190,0.999950,0.009991
13.123360,13.122971,0.087419,0.999911,0.013312
16.404199,16.403442,0.136531,0.999862,0.016625
19.685039,19.683733,0.196498,0.999801,0.019929
22.965879,22.963807,0.267285,0.999730,0.023221
26.246719,26.243631,0.348852,0.999649,0.026500
29.527559,29.523171,0.441151,0.999557,0.029764
32.808399,32.802393,0.544132,0.999455,0.033011
36.089239,36.081264,0.657737,0.999343,0.036239
39.370079,39.359752,0.781902,0.999222,0.039448
42.650919,42.637826,0.916561,0.999091,0.042636
45.931759,45.915455,1.061639,0.998951,0.045800
49.212598,49.192611,1.217059,0.998802,0.048940
52.493438,52.469263,1.382738,0.998644,0.052054
55.774278,55.745386,1.558588,0.998479,0.055140
59.055118,59.020951,1.744519,0.998305,0.058198
62.335958,62.295935,1.940433,0.998124,0.061226
65.616798,65.570313,2.146229,0.997936,0.064222
68.897638,68.844062,2.361804,0.997740,0.067186
72.178478,72.117160,2.587049,0.997539,0.070117
75.459318,75.389585,2.821850,0.997331,0.073012
78.740157,78.661320,3.066093,0.997118,0.075872
82.020997,81.932346,3.319658,0.996899,0.078695
85.301837,85.202645,3.582420,0.996675,0.081479
88.582677,88.472203,3.854255,0.996447,0.084225
91.863517,91.741005,4.135033,0.996214,0.086931
95.144357,95.009039,4.424621,0.995978,0.089595
98.425197,98.276292,4.722884,0.995739,0.092219
101.706037,101.542755,5.029685,0.995496,0.094800
104.986877,104.808418,5.344882,0.995251,0.097337
108.267717,108.073273,5.668333,0.995004,0.099831
111.548556,111.337316,5.999892,0.994756,0.102280
114.829396,114.600540,6.339412,0.994506,0.104684
118.110236,117.862942,6.686744,0.994255,0.107042
121.391076,121.124519,7.041736,0.994003,0.109353
124.671916,124.385271,7.404235,0.993751,0.111618
127.952756,127.645196,7.774087,0.993500,0.113835
131.233596,130.904298,8.151135,0.993249,0.116005
134.514436,134.162577,8.535221,0.992999,0.118126
137.795276,137.420038,8.926187,0.992750,0.120199
141.076115,140.676685,9.323874,0.992503,0.122223
144.356955,143.932525,9.728119,0.992258,0.124197
147.637795,147.187564,10.138763,0.992015,0.126123
150.918635,150.441810,10.555641,0.991774,0.127998
154.199475,153.695273,10.978592,0.991537,0.129824
157.480315,156.947962,11.407452,0.991303,0.131601
160.761155,160.199888,11.842058,0.991072,0.133327
164.041995,163.451064,12.282245,0.990845,0.135003
167.322835,166.701501,12.727851,0.990622,0.136630
170.603675,169.951214,13.178711,0.990403,0.138206
173.884514,173.200217,13.634661,0.990189,0.139733
177.165354,176.448524,14.095540,0.989980,0.141210
180.446194,179.696151,14.561183,0.989775,0.142638
183.727034,182.943116,15.031430,0.989575,0.144016
187.007874,186.189434,15.506119,0.989381,0.145346
190.288714,189.435123,15.985088,0.989192,0.146626
193.569554,192.680201,16.468180,0.989009,0.147858
196.850394,195.924686,16.955236,0.988831,0.149043
200.131234,199.168598,17.446098,0.988659,0.150179
203.412073,202.411955,17.940611,0.988493,0.151268
206.692913,205.654777,18.438621,0.988333,0.152311
209.973753,208.897084,18.939975,0.988179,0.153307
213.254593,212.138895,19.444523,0.988031,0.154258
216.535433,215.380231,19.952115,0.987889,0.155163
219.816273,218.621113,20.462605,0.987753,0.156024
223.097113,221.861559,20.975847,0.987624,0.156841
226.377953,225.101591,21.491700,0.987501,0.157616
229.658793,228.341228,22.010024,0.987383,0.158347
232.939633,231.580491,22.530680,0.987273,0.159038
236.220472,234.819401,23.053533,0.987168,0.159687
239.501312,238.057976,23.578452,0.987069,0.160297
242.782152,241.296237,24.105307,0.986976,0.160868
246.062992,244.534203,24.633972,0.986889,0.161400
249.343832,247.771893,25.164324,0.986808,0.161896
252.624672,251.009326,25.696242,0.986732,0.162356
255.905512,254.246521,26.229610,0.986662,0.162780
259.186352,257.483495,26.764316,0.986598,0.163171
262.467192,260.720266,27.300250,0.986539,0.163529
265.748031,263.956850,27.837306,0.986484,0.163855
269.028871,267.193265,28.375382,0.986435,0.164151
272.309711,270.429527,28.914382,0.986391,0.164418
275.590551,273.665650,29.454212,0.986351,0.164657
278.871391,276.901650,29.994782,0.986315,0.164870
282.152231,280.137540,30.536007,0.986284,0.165057
285.433071,283.373334,31.077808,0.986257,0.165221
288.713911,286.609044,31.620109,0.986233,0.165362
291.994751,289.844683,32.162839,0.986213,0.165483
295.275591,293.080260,32.705932,0.986196,0.165584
298.556430,296.315787,33.249328,0.986182,0.165667
301.837270,299.551271,33.792970,0.986170,0.165735
305.118110,302.786723,34.336809,0.986162,0.165787
308.398950,306.022150,34.880799,0.986155,0.165827
311.679790,309.257558,35.424902,0.986150,0.165856
314.960630,312.492952,35.969083,0.986147,0.165876
318.241470,315.728338,36.513316,0.986145,0.165887
321.522310,318.963718,37.057577,0.986144,0.165894
324.803150,322.199098,37.601852,0.986143,0.165896
328.083990,325.434476,38.146130,0.986143,0.165896
