dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280840,0.000000,1.000000,0.000000
6.561680,6.561680,0.000004,1.000000,0.000003
9.842520,9.842520,0.000022,1.000000,0.000009
13.123360,13.123360,0.000069,1.000000,0.000021
16.404199,16.404199,0.000167,1.000000,0.000041
19.685039,19.685039,0.000346,1.000000,0.000070
22.965879,22.965879,0.000638,1.000000,0.000110
26.246719,26.246719,0.001084,1.000000,0.000164
29.527559,29.527559,0.001729,1.000000,0.000232
32.808399,32.808399,0.002625,1.000000,0.000317
36.089239,36.089238,0.003827,1.000000,0.000419
39.370079,39.370078,0.005397,1.000000,0.000541
42.650919,42.650917,0.007403,1.000000,0.000685
45.931759,45.931756,0.009915,1.000000,0.000851
49.212598,49.212594,0.013011,0.999999,0.001041
52.493438,52.493432,0.016771,0.999999,0.001256
55.774278,55.774269,0.021282,0.999999,0.001498
59.055118,59.055104,0.026634,0.999998,0.001769
62.335958,62.335938,0.032922,0.999998,0.002069
65.616798,65.616770,0.040245,0.999997,0.002400
68.897638,68.897599,0.048705,0.999996,0.002763
72.178478,72.178424,0.058410,0.999995,0.003159
75.459318,75.459246,0.069471,0.999994,0.003589
78.740157,78.740061,0.082001,0.999992,0.004055
82.020997,82.020871,0.096118,0.999990,0.004557
85.301837,85.301673,0.111945,0.999987,0.005097
88.582677,88.582465,0.129605,0.999984,0.005675
91.863517,91.863246,0.149227,0.999980,0.006293
95.144357,95.144014,0.170941,0.999976,0.006951
98.425197,98.424767,0.194881,0.999971,0.007650
101.706037,101.705501,0.221183,0.999965,0.008391
104.986877,104.986214,0.249987,0.999958,0.009175
108.267717,108.266904,0.281434,0.999950,0.010002
111.548556,111.547565,0.315667,0.999941,0.010874
114.829396,114.828194,0.352834,0.999930,0.011790
118.110236,118.108787,0.393082,0.999919,0.012752
121.391076,121.389338,0.436561,0.999905,0.013760
124.671916,124.669843,0.483423,0.999890,0.014815
127.952756,127.950296,0.533823,0.999873,0.015917
131.233596,131.230690,0.587915,0.999854,0.017066
134.514436,134.511018,0.645856,0.999833,0.018263
137.795276,137.791273,0.707804,0.999810,0.019509
141.076115,141.071446,0.773919,0.999784,0.020803
144.356955,144.351530,0.844359,0.999755,0.022146
147.637795,147.631513,0.919288,0.999723,0.023538
150.918635,150.911388,0.998865,0.999688,0.024980
154.199475,154.191142,1.083255,0.999650,0.026472
157.480315,157.470764,1.172619,0.999608,0.028013
160.761155,160.750242,1.267121,0.999562,0.029604
164.041995,164.029563,1.366925,0.999512,0.031245
167.322835,167.308713,1.472195,0.999457,0.032936
170.603675,170.587678,1.583094,0.999399,0.034676
173.884514,173.866441,1.699785,0.999335,0.036467
177.165354,177.144988,1.822431,0.999266,0.038307
180.446194,180.423300,1.951196,0.999192,0.040196
183.727034,183.701359,2.086242,0.999112,0.042135
187.007874,186.979146,2.227729,0.999026,0.044123
190.288714,190.256641,2.375818,0.998934,0.046160
193.569554,193.533824,2.530669,0.998836,0.048245
196.850394,196.810672,2.692441,0.998730,0.050379
200.131234,200.087164,2.861290,0.998618,0.052560
203.412073,203.363274,3.037373,0.998498,0.054788
206.692913,206.638980,3.220843,0.998371,0.057063
209.973753,209.914254,3.411853,0.998235,0.059384
213.254593,213.189070,3.610554,0.998092,0.061751
216.535433,216.463401,3.817095,0.997939,0.064163
219.816273,219.737219,4.031622,0.997778,0.066620
223.097113,223.010494,4.254280,0.997608,0.069120
226.377953,226.283195,4.485211,0.997429,0.071663
229.658793,229.555292,4.724556,0.997240,0.074248
232.939633,232.826753,4.972450,0.997041,0.076875
236.220472,236.097543,5.229029,0.996832,0.079542
239.501312,239.367631,5.494424,0.996612,0.082249
242.782152,242.636980,5.768762,0.996381,0.084994
246.062992,245.905555,6.052171,0.996140,0.087778
249.343832,249.173320,6.344770,0.995888,0.090597
252.624672,252.440238,6.646680,0.995624,0.093453
255.905512,255.706271,6.958015,0.995348,0.096343
259.186352,258.971381,7.278886,0.995061,0.099266
262.467192,262.235529,7.609400,0.994762,0.102221
265.748031,265.498676,7.949662,0.994450,0.105207
269.028871,268.760780,8.299770,0.994127,0.108223
272.309711,272.021803,8.659820,0.993790,0.111268
275.590551,275.281702,9.029902,0.993442,0.114339
278.871391,278.540436,9.410103,0.993080,0.117436
282.152231,281.797964,9.800504,0.992706,0.120557
285.433071,285.054243,10.201182,0.992320,0.123700
288.713911,288.309233,10.612210,0.991920,0.126865
291.994751,291.562890,11.033653,0.991507,0.130050
295.275591,294.815173,11.465575,0.991082,0.133252
298.556430,298.066040,11.908031,0.990644,0.136472
301.837270,301.315448,12.361074,0.990193,0.139705
305.118110,304.563356,12.824748,0.989730,0.142952
308.398950,307.809723,13.299093,0.989254,0.146210
311.679790,311.054507,13.784145,0.988765,0.149478
314.960630,314.297669,14.279930,0.988264,0.152754
318.241470,317.539168,14.786473,0.987751,0.156035
321.522310,320.778965,15.303789,0.987227,0.159321
324.803150,324.017021,15.831888,0.986691,0.162608
328.083990,327.253300,16.370773,0.986143,0.165896
