dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,1.000000,-0.000500,1.000000,-0.001000
2.000000,1.999999,-0.002000,0.999998,-0.002000
3.000000,2.999996,-0.004500,0.999996,-0.003000
4.000000,3.999989,-0.008000,0.999992,-0.004000
5.000000,4.999979,-0.012500,0.999988,-0.005000
6.000000,5.999964,-0.018000,0.999982,-0.006000
7.000000,6.999943,-0.024500,0.999976,-0.007000
8.000000,7.999915,-0.032000,0.999968,-0.008000
9.000000,8.999879,-0.040500,0.999960,-0.009000
10.000000,9.999833,-0.050000,0.999950,-0.010000
11.000000,10.999778,-0.060499,0.999940,-0.011000
12.000000,11.999712,-0.071999,0.999928,-0.012000
13.000000,12.999634,-0.084499,0.999916,-0.013000
14.000000,13.999543,-0.097998,0.999902,-0.014000
15.000000,14.999438,-0.112498,0.999888,-0.014999
16.000000,15.999317,-0.127997,0.999872,-0.015999
17.000000,16.999181,-0.144497,0.999856,-0.016999
18.000000,17.999028,-0.161996,0.999838,-0.017999
19.000000,18.998857,-0.180495,0.999820,-0.018999
20.000000,19.998667,-0.199993,0.999800,-0.019999
21.000000,20.998457,-0.220492,0.999780,-0.020998
22.000000,21.998225,-0.241990,0.999758,-0.021998
23.000000,22.997972,-0.264488,0.999736,-0.022998
24.000000,23.997696,-0.287986,0.999712,-0.023998
25.000000,24.997396,-0.312484,0.999688,-0.024997
26.000000,25.997071,-0.337981,0.999662,-0.025997
27.000000,26.996720,-0.364478,0.999636,-0.026997
28.000000,27.996341,-0.391974,0.999608,-0.027996
29.000000,28.995935,-0.420471,0.999580,-0.028996
30.000000,29.995500,-0.449966,0.999550,-0.029996
31.000000,30.995035,-0.480462,0.999520,-0.030995
32.000000,31.994539,-0.511956,0.999488,-0.031995
33.000000,32.994011,-0.544451,0.999456,-0.032994
34.000000,33.993450,-0.577944,0.999422,-0.033993
35.000000,34.992855,-0.612437,0.999388,-0.034993
36.000000,35.992225,-0.647930,0.999352,-0.035992
37.000000,36.991558,-0.684422,0.999316,-0.036992
38.000000,37.990855,-0.721913,0.999278,-0.037991
39.000000,38.990114,-0.760404,0.999240,-0.038990
40.000000,39.989334,-0.799893,0.999200,-0.039989
41.000000,40.988514,-0.840382,0.999160,-0.040989
42.000000,41.987653,-0.881870,0.999118,-0.041988
43.000000,42.986750,-0.924358,0.999076,-0.042987
44.000000,43.985804,-0.967844,0.999032,-0.043986
45.000000,44.984814,-1.012329,0.998988,-0.044985
46.000000,45.983779,-1.057813,0.998942,-0.045984
47.000000,46.982698,-1.104297,0.998896,-0.046983
48.000000,47.981570,-1.151779,0.998848,-0.047982
49.000000,48.980394,-1.200260,0.998800,-0.048980
50.000000,49.979169,-1.249740,0.998750,-0.049979
51.000000,50.977894,-1.300218,0.998700,-0.050978
52.000000,51.976569,-1.351695,0.998648,-0.051977
53.000000,52.975191,-1.404171,0.998596,-0.052975
54.000000,53.973760,-1.457646,0.998542,-0.053974
55.000000,54.972275,-1.512119,0.998488,-0.054972
56.000000,55.970735,-1.567590,0.998432,-0.055971
57.000000,56.969140,-1.624060,0.998376,-0.056969
58.000000,57.967487,-1.681529,0.998318,-0.057967
59.000000,58.965776,-1.739995,0.998260,-0.058966
60.000000,59.964006,-1.799460,0.998201,-0.059964
61.000000,60.962177,-1.859923,0.998140,-0.060962
62.000000,61.960286,-1.921384,0.998079,-0.061960
63.000000,62.958334,-1.983844,0.998016,-0.062958
64.000000,63.956318,-2.047301,0.997953,-0.063956
65.000000,64.954239,-2.111756,0.997888,-0.064954
66.000000,65.952094,-2.177210,0.997823,-0.065952
67.000000,66.949884,-2.243660,0.997756,-0.066950
68.000000,67.947607,-2.311109,0.997689,-0.067948
69.000000,68.945262,-2.379556,0.997620,-0.068945
70.000000,69.942847,-2.449000,0.997551,-0.069943
71.000000,70.940363,-2.519441,0.997481,-0.070940
72.000000,71.937808,-2.590880,0.997409,-0.071938
73.000000,72.935181,-2.663317,0.997337,-0.072935
74.000000,73.932481,-2.736751,0.997263,-0.073932
75.000000,74.929707,-2.811182,0.997189,-0.074930
76.000000,75.926858,-2.886610,0.997113,-0.075927
77.000000,76.923934,-2.963036,0.997037,-0.076924
78.000000,77.920932,-3.040458,0.996960,-0.077921
79.000000,78.917852,-3.118877,0.996881,-0.078918
80.000000,79.914694,-3.198294,0.996802,-0.079915
81.000000,80.911456,-3.278707,0.996721,-0.080911
82.000000,81.908136,-3.360117,0.996640,-0.081908
83.000000,82.904735,-3.442523,0.996557,-0.082905
84.000000,83.901251,-3.525926,0.996474,-0.083901
85.000000,84.897683,-3.610325,0.996390,-0.084898
86.000000,85.894030,-3.695721,0.996304,-0.085894
87.000000,86.890291,-3.782114,0.996218,-0.086890
88.000000,87.886465,-3.869502,0.996130,-0.087886
89.000000,88.882552,-3.957886,0.996042,-0.088883
90.000000,89.878549,-4.047267,0.995953,-0.089879
91.000000,90.874457,-4.137643,0.995862,-0.090874
92.000000,91.870274,-4.229016,0.995771,-0.091870
93.000000,92.865998,-4.321384,0.995679,-0.092866
94.000000,93.861630,-4.414748,0.995585,-0.093862
95.000000,94.857169,-4.509107,0.995491,-0.094857
96.000000,95.852612,-4.604462,0.995396,-0.095853
97.000000,96.847959,-4.700812,0.995299,-0.096848
98.000000,97.843210,-4.798158,0.995202,-0.097843
99.000000,98.838363,-4.896499,0.995104,-0.098838
100.000000,99.833417,-4.995835,0.995004,-0.099833
