dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,-0.001640,1.000000,-0.001000
6.561667,6.561662,-0.006562,0.999998,-0.002000
9.842500,9.842485,-0.014764,0.999996,-0.003000
13.123333,13.123298,-0.026247,0.999992,-0.004000
16.404167,16.404098,-0.041010,0.999988,-0.005000
19.685000,19.684882,-0.059055,0.999982,-0.006000
22.965833,22.965646,-0.080380,0.999976,-0.007000
26.246667,26.246387,-0.104986,0.999968,-0.008000
29.527500,29.527101,-0.132873,0.999960,-0.009000
32.808333,32.807787,-0.164040,0.999950,-0.010000
36.089167,36.088439,-0.198488,0.999940,-0.011000
39.370000,39.369055,-0.236217,0.999928,-0.012000
42.650833,42.649632,-0.277227,0.999916,-0.013000
45.931667,45.930166,-0.321516,0.999902,-0.014000
49.212500,49.210655,-0.369087,0.999888,-0.014999
52.493333,52.491094,-0.419938,0.999872,-0.015999
55.774167,55.771480,-0.474069,0.999856,-0.016999
59.055000,59.051811,-0.531481,0.999838,-0.017999
62.335833,62.332083,-0.592173,0.999820,-0.018999
65.616667,65.612292,-0.656145,0.999800,-0.019999
68.897500,68.892436,-0.723397,0.999780,-0.020998
72.178333,72.172511,-0.793930,0.999758,-0.021998
75.459167,75.452514,-0.867742,0.999736,-0.022998
78.740000,78.732441,-0.944835,0.999712,-0.023998
82.020833,82.012290,-1.025207,0.999688,-0.024997
85.301667,85.292056,-1.108859,0.999662,-0.025997
88.582500,88.571738,-1.195791,0.999636,-0.026997
91.863333,91.851330,-1.286003,0.999608,-0.027996
95.144167,95.130831,-1.379494,0.999580,-0.028996
98.425000,98.410237,-1.476264,0.999550,-0.029996
101.705833,101.689544,-1.576314,0.999520,-0.030995
104.986667,104.968750,-1.679643,0.999488,-0.031995
108.267500,108.247851,-1.786252,0.999456,-0.032994
111.548333,111.526843,-1.896139,0.999422,-0.033993
114.829167,114.805724,-2.009305,0.999388,-0.034993
118.110000,118.084490,-2.125750,0.999352,-0.035992
121.390833,121.363138,-2.245474,0.999316,-0.036992
124.671667,124.641665,-2.368477,0.999278,-0.037991
127.952500,127.920067,-2.494758,0.999240,-0.038990
131.233333,131.198341,-2.624317,0.999200,-0.039989
134.514167,134.476483,-2.757154,0.999160,-0.040989
137.795000,137.754492,-2.893270,0.999118,-0.041988
141.075833,141.032362,-3.032663,0.999076,-0.042987
144.356667,144.310092,-3.175334,0.999032,-0.043986
147.637500,147.587677,-3.321283,0.998988,-0.044985
150.918333,150.865115,-3.470510,0.998942,-0.045984
154.199167,154.142402,-3.623013,0.998896,-0.046983
157.480000,157.419535,-3.778794,0.998848,-0.047982
160.760833,160.696510,-3.937852,0.998800,-0.048980
164.041667,163.973325,-4.100187,0.998750,-0.049979
167.322500,167.249975,-4.265799,0.998700,-0.050978
170.603333,170.526458,-4.434687,0.998648,-0.051977
173.884167,173.802771,-4.606852,0.998596,-0.052975
177.165000,177.078910,-4.782293,0.998542,-0.053974
180.445833,180.354872,-4.961010,0.998488,-0.054972
183.726667,183.630654,-5.143002,0.998432,-0.055971
187.007500,186.906252,-5.328271,0.998376,-0.056969
190.288333,190.181663,-5.516815,0.998318,-0.057967
193.569167,193.456884,-5.708634,0.998260,-0.058966
196.850000,196.731911,-5.903729,0.998201,-0.059964
200.130833,200.006742,-6.102098,0.998140,-0.060962
203.411667,203.281373,-6.303742,0.998079,-0.061960
206.692500,206.555800,-6.508661,0.998016,-0.062958
209.973333,209.830021,-6.716854,0.997953,-0.063956
213.254167,213.104032,-6.928321,0.997888,-0.064954
216.535000,216.377830,-7.143062,0.997823,-0.065952
219.815833,219.651411,-7.361076,0.997756,-0.066950
223.096667,222.924773,-7.582364,0.997689,-0.067948
226.377500,226.197912,-7.806926,0.997620,-0.068945
229.658333,229.470825,-8.034760,0.997551,-0.069943
232.939167,232.743508,-8.265867,0.997481,-0.070940
236.220000,236.015959,-8.500247,0.997409,-0.071938
239.500833,239.288173,-8.737899,0.997337,-0.072935
242.781667,242.560149,-8.978823,0.997263,-0.073932
246.062500,245.831881,-9.223019,0.997189,-0.074930
249.343333,249.103368,-9.470487,0.997113,-0.075927
252.624167,252.374606,-9.721226,0.997037,-0.076924
255.905000,255.645591,-9.975236,0.996960,-0.077921
259.185833,258.916321,-10.232517,0.996881,-0.078918
262.466667,262.186792,-10.493069,0.996802,-0.079915
265.747500,265.457000,-10.756890,0.996721,-0.080911
269.028333,268.726944,-11.023982,0.996640,-0.081908
272.309167,271.996618,-11.294344,0.996557,-0.082905
275.590000,275.266020,-11.567976,0.996474,-0.083901
278.870833,278.535148,-11.844876,0.996390,-0.084898
282.151667,281.803996,-12.125046,0.996304,-0.085894
285.432500,285.072563,-12.408484,0.996218,-0.086890
288.713333,288.340845,-12.695191,0.996130,-0.087886
291.994167,291.608838,-12.985166,0.996042,-0.088883
295.275000,294.876540,-13.278408,0.995953,-0.089879
298.555833,298.143947,-13.574919,0.995862,-0.090874
301.836667,301.411056,-13.874696,0.995771,-0.091870
305.117500,304.677863,-14.177741,0.995679,-0.092866
308.398333,307.944366,-14.484052,0.995585,-0.093862
311.679167,311.210561,-14.793629,0.995491,-0.094857
314.960000,314.476444,-15.106473,0.995396,-0.095853
318.240833,317.742013,-15.422582,0.995299,-0.096848
321.521667,321.007265,-15.741957,0.995202,-0.097843
324.802500,324.272195,-16.064597,0.995104,-0.098838
328.083333,327.536801,-16.390501,0.995004,-0.099833
