dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280839,0.001640,1.000000,0.001000
6.561680,6.561675,0.006562,0.999998,0.002000
9.842520,9.842505,0.014764,0.999996,0.003000
13.123360,13.123325,0.026247,0.999992,0.004000
16.404199,16.404131,0.041010,0.999988,0.005000
19.685039,19.684921,0.059055,0.999982,0.006000
22.965879,22.965692,0.080380,0.999976,0.007000
26.246719,26.246439,0.104986,0.999968,0.008000
29.527559,29.527160,0.132873,0.999960,0.009000
32.808399,32.807852,0.164041,0.999950,0.010000
36.089239,36.088511,0.198489,0.999940,0.011000
39.370079,39.369134,0.236218,0.999928,0.012000
42.650919,42.649717,0.277227,0.999916,0.013000
45.931759,45.930258,0.321517,0.999902,0.014000
49.212598,49.210753,0.369088,0.999888,0.014999
52.493438,52.491199,0.419939,0.999872,0.015999
55.774278,55.771592,0.474070,0.999856,0.016999
59.055118,59.051929,0.531482,0.999838,0.017999
62.335958,62.332208,0.592174,0.999820,0.018999
65.616798,65.612424,0.656146,0.999800,0.019999
68.897638,68.892574,0.723399,0.999780,0.020998
72.178478,72.172655,0.793931,0.999758,0.021998
75.459318,75.452665,0.867744,0.999736,0.022998
78.740157,78.732599,0.944837,0.999712,0.023998
82.020997,82.012454,1.025209,0.999688,0.024997
85.301837,85.292227,1.108861,0.999662,0.025997
88.582677,88.571915,1.195793,0.999636,0.026997
91.863517,91.851514,1.286005,0.999608,0.027996
95.144357,95.131021,1.379496,0.999580,0.028996
98.425197,98.410434,1.476267,0.999550,0.029996
101.706037,101.689748,1.576317,0.999520,0.030995
104.986877,104.968960,1.679647,0.999488,0.031995
108.267717,108.248067,1.786255,0.999456,0.032994
111.548556,111.527066,1.896143,0.999422,0.033993
114.829396,114.805953,2.009309,0.999388,0.034993
118.110236,118.084726,2.125755,0.999352,0.035992
121.391076,121.363381,2.245479,0.999316,0.036992
124.671916,124.641914,2.368481,0.999278,0.037991
127.952756,127.920322,2.494763,0.999240,0.038990
131.233596,131.198603,2.624322,0.999200,0.039989
134.514436,134.476752,2.757160,0.999160,0.040989
137.795276,137.754767,2.893275,0.999118,0.041988
141.076115,141.032645,3.032669,0.999076,0.042987
144.356955,144.310381,3.175341,0.999032,0.043986
147.637795,147.587973,3.321290,0.998988,0.044985
150.918635,150.865417,3.470517,0.998942,0.045984
154.199475,154.142710,3.623021,0.998896,0.046983
157.480315,157.419849,3.778802,0.998848,0.047982
160.761155,160.696831,3.937860,0.998800,0.048980
164.041995,163.973652,4.100196,0.998750,0.049979
167.322835,167.250310,4.265808,0.998700,0.050978
170.603675,170.526800,4.434696,0.998648,0.051977
173.884514,173.803119,4.606861,0.998596,0.052975
177.165354,177.079265,4.782302,0.998542,0.053974
180.446194,180.355233,4.961020,0.998488,0.054972
183.727034,183.631021,5.143013,0.998432,0.055971
187.007874,186.906626,5.328282,0.998376,0.056969
190.288714,190.182043,5.516826,0.998318,0.057967
193.569554,193.457271,5.708646,0.998260,0.058966
196.850394,196.732305,5.903740,0.998201,0.059964
200.131234,200.007142,6.102110,0.998140,0.060962
203.412073,203.281779,6.303755,0.998079,0.061960
206.692913,206.556213,6.508674,0.998016,0.062958
209.973753,209.830441,6.716867,0.997953,0.063956
213.254593,213.104458,6.928334,0.997888,0.064954
216.535433,216.378263,7.143076,0.997823,0.065952
219.816273,219.651851,7.361091,0.997756,0.066950
223.097113,222.925219,7.582379,0.997689,0.067948
226.377953,226.198365,7.806941,0.997620,0.068945
229.658793,229.471284,8.034776,0.997551,0.069943
232.939633,232.743974,8.265884,0.997481,0.070940
236.220472,236.016431,8.500264,0.997409,0.071938
239.501312,239.288652,8.737917,0.997337,0.072935
242.782152,242.560634,8.978841,0.997263,0.073932
246.062992,245.832373,9.223038,0.997189,0.074930
249.343832,249.103866,9.470506,0.997113,0.075927
252.624672,252.375111,9.721245,0.997037,0.076924
255.905512,255.646103,9.975256,0.996960,0.077921
259.186352,258.916839,10.232537,0.996881,0.078918
262.467192,262.187316,10.493090,0.996802,0.079915
265.748031,265.457531,10.756912,0.996721,0.080911
269.028871,268.727481,11.024005,0.996640,0.081908
272.309711,271.997162,11.294367,0.996557,0.082905
275.590551,275.266571,11.567999,0.996474,0.083901
278.871391,278.535705,11.844900,0.996390,0.084898
282.152231,281.804560,12.125070,0.996304,0.085894
285.433071,285.073133,12.408509,0.996218,0.086890
288.713911,288.341422,12.695216,0.996130,0.087886
291.994751,291.609422,12.985192,0.996042,0.088883
295.275591,294.877130,13.278435,0.995953,0.089879
298.556430,298.144543,13.574946,0.995862,0.090874
301.837270,301.411659,13.874724,0.995771,0.091870
305.118110,304.678473,14.177769,0.995679,0.092866
308.398950,307.944982,14.484081,0.995585,0.093862
311.679790,311.211183,14.793659,0.995491,0.094857
314.960630,314.477073,15.106503,0.995396,0.095853
318.241470,317.742649,15.422613,0.995299,0.096848
321.522310,321.007907,15.741988,0.995202,0.097843
324.803150,324.272844,16.064629,0.995104,0.098838
328.083990,327.537456,16.390534,0.995004,0.099833
