dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280834,0.005468,0.999994,0.003333
6.561680,6.561631,0.021872,0.999978,0.006667
9.842520,9.842356,0.049212,0.999950,0.010000
13.123360,13.122971,0.087488,0.999911,0.013333
16.404199,16.403440,0.136698,0.999861,0.016666
19.685039,19.683727,0.196844,0.999800,0.019999
22.965879,22.963795,0.267923,0.999728,0.023331
26.246719,26.243609,0.349936,0.999644,0.026664
29.527559,29.523130,0.442880,0.999550,0.029996
32.808399,32.802324,0.546756,0.999444,0.033327
36.089239,36.081153,0.661562,0.999328,0.036658
39.370079,39.359581,0.787297,0.999200,0.039989
42.650919,42.637572,0.923959,0.999061,0.043320
45.931759,45.915089,1.071547,0.998911,0.046650
49.212598,49.192096,1.230059,0.998750,0.049979
52.493438,52.468556,1.399493,0.998578,0.053308
55.774278,55.744433,1.579848,0.998395,0.056636
59.055118,59.019691,1.771122,0.998201,0.059964
62.335958,62.294294,1.973312,0.997995,0.063291
65.616798,65.568204,2.186417,0.997779,0.066617
68.897638,68.841385,2.410433,0.997551,0.069943
72.178478,72.113802,2.645358,0.997312,0.073268
75.459318,75.385417,2.891191,0.997063,0.076592
78.740157,78.656195,3.147927,0.996802,0.079915
82.020997,81.926099,3.415564,0.996530,0.083237
85.301837,85.195092,3.694100,0.996247,0.086558
88.582677,88.463139,3.983531,0.995953,0.089879
91.863517,91.730203,4.283853,0.995648,0.093198
95.144357,94.996248,4.595064,0.995331,0.096516
98.425197,98.261237,4.917160,0.995004,0.099833
101.706037,101.525134,5.250138,0.994666,0.103150
104.986877,104.787904,5.593993,0.994317,0.106465
108.267717,108.049509,5.948722,0.993956,0.109778
111.548556,111.309913,6.314322,0.993585,0.113091
114.829396,114.569081,6.690787,0.993202,0.116402
118.110236,117.826976,7.078114,0.992809,0.119712
121.391076,121.083561,7.476299,0.992404,0.123021
124.671916,124.338801,7.885337,0.991988,0.126328
127.952756,127.592660,8.305223,0.991562,0.129634
131.233596,130.845101,8.735953,0.991124,0.132939
134.514436,134.096088,9.177522,0.990676,0.136242
137.795276,137.345585,9.629925,0.990216,0.139543
141.076115,140.593556,10.093157,0.989745,0.142843
144.356955,143.839965,10.567214,0.989264,0.146141
147.637795,147.084776,11.052089,0.988771,0.149438
150.918635,150.327953,11.547777,0.988267,0.152733
154.199475,153.569459,12.054273,0.987753,0.156027
157.480315,156.809258,12.571571,0.987227,0.159318
160.761155,160.047316,13.099666,0.986691,0.162608
164.041995,163.283595,13.638552,0.986143,0.165896
167.322835,166.518060,14.188222,0.985585,0.169182
170.603675,169.750675,14.748670,0.985015,0.172467
173.884514,172.981403,15.319891,0.984435,0.175749
177.165354,176.210210,15.901877,0.983844,0.179030
180.446194,179.437059,16.494623,0.983241,0.182308
183.727034,182.661914,17.098122,0.982628,0.185585
187.007874,185.884739,17.712367,0.982004,0.188859
190.288714,189.105499,18.337351,0.981369,0.192131
193.569554,192.324158,18.973068,0.980723,0.195401
196.850394,195.540680,19.619510,0.980067,0.198669
200.131234,198.755029,20.276670,0.979399,0.201935
203.412073,201.967170,20.944541,0.978720,0.205199
206.692913,205.177067,21.623115,0.978031,0.208460
209.973753,208.384684,22.312386,0.977331,0.211719
213.254593,211.589985,23.012344,0.976619,0.214975
216.535433,214.792936,23.722983,0.975897,0.218230
219.816273,217.993500,24.444294,0.975165,0.221481
223.097113,221.191642,25.176270,0.974421,0.224731
226.377953,224.387326,25.918903,0.973666,0.227978
229.658793,227.580517,26.672183,0.972901,0.231222
232.939633,230.771180,27.436103,0.972125,0.234464
236.220472,233.959278,28.210655,0.971338,0.237703
239.501312,237.144777,28.995829,0.970540,0.240939
242.782152,240.327640,29.791617,0.969732,0.244173
246.062992,243.507834,30.598010,0.968912,0.247404
249.343832,246.685322,31.414999,0.968082,0.250632
252.624672,249.860069,32.242576,0.967242,0.253858
255.905512,253.032039,33.080730,0.966390,0.257081
259.186352,256.201198,33.929453,0.965528,0.260300
262.467192,259.367511,34.788735,0.964655,0.263517
265.748031,262.530942,35.658567,0.963771,0.266731
269.028871,265.691455,36.538938,0.962876,0.269943
272.309711,268.849017,37.429840,0.961971,0.273151
275.590551,272.003591,38.331262,0.961055,0.276356
278.871391,275.155143,39.243194,0.960129,0.279558
282.152231,278.303638,40.165626,0.959192,0.282756
285.433071,281.449040,41.098548,0.958244,0.285952
288.713911,284.591316,42.041949,0.957285,0.289145
291.994751,287.730429,42.995820,0.956316,0.292334
295.275591,290.866345,43.960148,0.955336,0.295520
298.556430,293.999029,44.934925,0.954346,0.298703
301.837270,297.128447,45.920138,0.953345,0.301883
305.118110,300.254563,46.915778,0.952334,0.305059
308.398950,303.377344,47.921832,0.951311,0.308231
311.679790,306.496753,48.938290,0.950279,0.311401
314.960630,309.612757,49.965140,0.949235,0.314567
318.241470,312.725320,51.002371,0.948182,0.317729
321.522310,315.834409,52.049971,0.947117,0.320888
324.803150,318.939989,53.107930,0.946042,0.324043
328.083990,322.042024,54.176234,0.944957,0.327195
