dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280827,0.005468,0.999994,0.003333
6.561667,6.561618,0.021872,0.999978,0.006667
9.842500,9.842336,0.049212,0.999950,0.010000
13.123333,13.122944,0.087488,0.999911,0.013333
16.404167,16.403407,0.136698,0.999861,0.016666
19.685000,19.683688,0.196843,0.999800,0.019999
22.965833,22.963749,0.267923,0.999728,0.023331
26.246667,26.243556,0.349935,0.999644,0.026664
29.527500,29.523071,0.442879,0.999550,0.029996
32.808333,32.802258,0.546755,0.999444,0.033327
36.089167,36.081081,0.661561,0.999328,0.036658
39.370000,39.359502,0.787295,0.999200,0.039989
42.650833,42.637486,0.923957,0.999061,0.043320
45.931667,45.914997,1.071544,0.998911,0.046650
49.212500,49.191997,1.230056,0.998750,0.049979
52.493333,52.468451,1.399490,0.998578,0.053308
55.774167,55.744322,1.579845,0.998395,0.056636
59.055000,59.019573,1.771119,0.998201,0.059964
62.335833,62.294169,1.973308,0.997995,0.063291
65.616667,65.568073,2.186412,0.997779,0.066617
68.897500,68.841247,2.410428,0.997551,0.069943
72.178333,72.113658,2.645353,0.997312,0.073268
75.459167,75.385266,2.891185,0.997063,0.076592
78.740000,78.656038,3.147921,0.996802,0.079915
82.020833,81.925935,3.415557,0.996530,0.083237
85.301667,85.194922,3.694092,0.996247,0.086558
88.582500,88.462962,3.983523,0.995953,0.089879
91.863333,91.730019,4.283844,0.995648,0.093198
95.144167,94.996058,4.595055,0.995331,0.096516
98.425000,98.261040,4.917150,0.995004,0.099833
101.705833,101.524931,5.250127,0.994666,0.103150
104.986667,104.787694,5.593982,0.994317,0.106465
108.267500,108.049293,5.948711,0.993956,0.109778
111.548333,111.309691,6.314309,0.993585,0.113091
114.829167,114.568852,6.690774,0.993202,0.116402
118.110000,117.826740,7.078100,0.992809,0.119712
121.390833,121.083319,7.476284,0.992404,0.123021
124.671667,124.338553,7.885321,0.991988,0.126328
127.952500,127.592405,8.305206,0.991562,0.129634
131.233333,130.844839,8.735935,0.991124,0.132939
134.514167,134.095820,9.177503,0.990676,0.136242
137.795000,137.345311,9.629906,0.990216,0.139543
141.075833,140.593275,10.093137,0.989745,0.142843
144.356667,143.839678,10.567192,0.989264,0.146141
147.637500,147.084482,11.052067,0.988771,0.149438
150.918333,150.327652,11.547754,0.988267,0.152733
154.199167,153.569152,12.054249,0.987753,0.156027
157.480000,156.808945,12.571546,0.987227,0.159318
160.760833,160.046996,13.099640,0.986691,0.162608
164.041667,163.283269,13.638524,0.986143,0.165896
167.322500,166.517727,14.188193,0.985585,0.169182
170.603333,169.750335,14.748640,0.985015,0.172467
173.884167,172.981057,15.319860,0.984435,0.175749
177.165000,176.209858,15.901845,0.983844,0.179030
180.445833,179.436700,16.494590,0.983241,0.182308
183.726667,182.661548,17.098088,0.982628,0.185585
187.007500,185.884367,17.712332,0.982004,0.188859
190.288333,189.105121,18.337315,0.981369,0.192131
193.569167,192.323773,18.973030,0.980723,0.195401
196.850000,195.540289,19.619471,0.980067,0.198669
200.130833,198.754632,20.276630,0.979399,0.201935
203.411667,201.966766,20.944499,0.978720,0.205199
206.692500,205.176656,21.623072,0.978031,0.208460
209.973333,208.384267,22.312341,0.977331,0.211719
213.254167,211.589562,23.012298,0.976619,0.214975
216.535000,214.792507,23.722935,0.975897,0.218230
219.815833,217.993064,24.444245,0.975165,0.221481
223.096667,221.191200,25.176220,0.974421,0.224731
226.377500,224.386878,25.918851,0.973666,0.227978
229.658333,227.580062,26.672130,0.972901,0.231222
232.939167,230.770718,27.436048,0.972125,0.234464
236.220000,233.958810,28.210598,0.971338,0.237703
239.500833,237.144302,28.995771,0.970540,0.240939
242.781667,240.327160,29.791557,0.969732,0.244173
246.062500,243.507347,30.597949,0.968912,0.247404
249.343333,246.684828,31.414937,0.968082,0.250632
252.624167,249.859569,32.242511,0.967242,0.253858
255.905000,253.031533,33.080664,0.966390,0.257081
259.185833,256.200686,33.929385,0.965528,0.260300
262.466667,259.366992,34.788665,0.964655,0.263517
265.747500,262.530417,35.658495,0.963771,0.266731
269.028333,265.690924,36.538865,0.962876,0.269943
272.309167,268.848479,37.429765,0.961971,0.273151
275.590000,272.003047,38.331185,0.961055,0.276356
278.870833,275.154593,39.243115,0.960129,0.279558
282.151667,278.303081,40.165545,0.959192,0.282756
285.432500,281.448478,41.098466,0.958244,0.285952
288.713333,284.590747,42.041865,0.957285,0.289145
291.994167,287.729853,42.995734,0.956316,0.292334
295.275000,290.865763,43.960061,0.955336,0.295520
298.555833,293.998441,44.934835,0.954346,0.298703
301.836667,297.127853,45.920047,0.953345,0.301883
305.117500,300.253963,46.915684,0.952334,0.305059
308.398333,303.376737,47.921736,0.951311,0.308231
311.679167,306.496140,48.938192,0.950279,0.311401
314.960000,309.612137,49.965040,0.949235,0.314567
318.240833,312.724695,51.002269,0.948182,0.317729
321.521667,315.833777,52.049867,0.947117,0.320888
324.802500,318.939351,53.107823,0.946042,0.324043
328.083333,322.041380,54.176126,0.944957,0.327195
