dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280827,-0.005450,0.999994,-0.003317
6.561667,6.561619,-0.021726,0.999978,-0.006600
9.842500,9.842339,-0.048720,0.999951,-0.009850
13.123333,13.122956,-0.086321,0.999915,-0.013066
16.404167,16.403435,-0.134420,0.999868,-0.016249
19.685000,19.683746,-0.192906,0.999812,-0.019399
22.965833,22.963857,-0.261671,0.999747,-0.022515
26.246667,26.243739,-0.340604,0.999672,-0.025597
29.527500,29.523364,-0.429595,0.999590,-0.028646
32.808333,32.802704,-0.528533,0.999499,-0.031661
36.089167,36.081732,-0.637309,0.999400,-0.034643
39.370000,39.360424,-0.755813,0.999293,-0.037591
42.650833,42.638753,-0.883933,0.999179,-0.040506
45.931667,45.916697,-1.021560,0.999058,-0.043386
49.212500,49.194234,-1.168583,0.998931,-0.046234
52.493333,52.471340,-1.324892,0.998796,-0.049047
55.774167,55.747996,-1.490376,0.998656,-0.051827
59.055000,59.024182,-1.664925,0.998510,-0.054573
62.335833,62.299879,-1.848428,0.998358,-0.057285
65.616667,65.575068,-2.040775,0.998201,-0.059964
68.897500,68.849732,-2.241855,0.998038,-0.062609
72.178333,72.123856,-2.451558,0.997871,-0.065220
75.459167,75.397423,-2.669772,0.997699,-0.067798
78.740000,78.670420,-2.896388,0.997523,-0.070342
82.020833,81.942832,-3.131295,0.997343,-0.072852
85.301667,85.214646,-3.374382,0.997159,-0.075329
88.582500,88.485851,-3.625539,0.996971,-0.077771
91.863333,91.756436,-3.884655,0.996780,-0.080181
95.144167,95.026389,-4.151620,0.996586,-0.082556
98.425000,98.295701,-4.426323,0.996390,-0.084898
101.705833,101.564363,-4.708653,0.996190,-0.087206
104.986667,104.832367,-4.998501,0.995989,-0.089480
108.267500,108.099706,-5.295756,0.995785,-0.091721
111.548333,111.366373,-5.600306,0.995579,-0.093928
114.829167,114.632362,-5.912043,0.995372,-0.096101
118.110000,117.897667,-6.230855,0.995163,-0.098241
121.390833,121.162286,-6.556633,0.994952,-0.100347
124.671667,124.426212,-6.889265,0.994741,-0.102420
127.952500,127.689445,-7.228642,0.994529,-0.104459
131.233333,130.951981,-7.574654,0.994317,-0.106465
134.514167,134.213818,-7.927190,0.994103,-0.108436
137.795000,137.474955,-8.286141,0.993890,-0.110375
141.075833,140.735393,-8.651395,0.993677,-0.112279
144.356667,143.995131,-9.022844,0.993463,-0.114151
147.637500,147.254169,-9.400377,0.993251,-0.115988
150.918333,150.512510,-9.783884,0.993038,-0.117793
154.199167,153.770156,-10.173256,0.992827,-0.119563
157.480000,157.027108,-10.568382,0.992616,-0.121301
160.760833,160.283372,-10.969153,0.992406,-0.123004
164.041667,163.538948,-11.375459,0.992198,-0.124675
167.322500,166.793844,-11.787190,0.991991,-0.126312
170.603333,170.048062,-12.204237,0.991785,-0.127915
173.884167,173.301609,-12.626491,0.991581,-0.129485
177.165000,176.554490,-13.053841,0.991379,-0.131022
180.445833,179.806712,-13.486178,0.991180,-0.132526
183.726667,183.058282,-13.923394,0.990982,-0.133996
187.007500,186.309207,-14.365377,0.990787,-0.135433
190.288333,189.559496,-14.812020,0.990594,-0.136836
193.569167,192.809156,-15.263213,0.990403,-0.138206
196.850000,196.058196,-15.718847,0.990216,-0.139543
200.130833,199.306626,-16.178812,0.990031,-0.140847
203.411667,202.554456,-16.643000,0.989850,-0.142117
206.692500,205.801695,-17.111302,0.989671,-0.143354
209.973333,209.048354,-17.583608,0.989496,-0.144558
213.254167,212.294443,-18.059809,0.989325,-0.145729
216.535000,215.539975,-18.539798,0.989156,-0.146867
219.815833,218.784961,-19.023464,0.988992,-0.147971
223.096667,222.029413,-19.510700,0.988831,-0.149043
226.377500,225.273343,-20.001396,0.988674,-0.150081
229.658333,228.516764,-20.495444,0.988521,-0.151086
232.939167,231.759690,-20.992735,0.988372,-0.152058
236.220000,235.002134,-21.493160,0.988227,-0.152997
239.500833,238.244109,-21.996612,0.988086,-0.153903
242.781667,241.485630,-22.502981,0.987950,-0.154775
246.062500,244.726711,-23.012160,0.987818,-0.155615
249.343333,247.967366,-23.524039,0.987690,-0.156422
252.624167,251.207610,-24.038510,0.987568,-0.157195
255.905000,254.447460,-24.555466,0.987449,-0.157936
259.185833,257.686929,-25.074797,0.987336,-0.158644
262.466667,260.926034,-25.596396,0.987227,-0.159318
265.747500,264.164791,-26.120154,0.987124,-0.159960
269.028333,267.403215,-26.645963,0.987025,-0.160569
272.309167,270.641323,-27.173716,0.986931,-0.161144
275.590000,273.879132,-27.703303,0.986842,-0.161687
278.870833,277.116658,-28.234616,0.986758,-0.162197
282.151667,280.353917,-28.767549,0.986680,-0.162674
285.432500,283.590928,-29.301992,0.986607,-0.163118
288.713333,286.827707,-29.837838,0.986539,-0.163529
291.994167,290.064271,-30.374978,0.986476,-0.163907
295.275000,293.300638,-30.913305,0.986418,-0.164252
298.555833,296.536825,-31.452711,0.986366,-0.164565
301.836667,299.772850,-31.993088,0.986320,-0.164844
305.117500,303.008731,-32.534328,0.986278,-0.165091
308.398333,306.244486,-33.076322,0.986243,-0.165304
311.679167,309.480133,-33.618964,0.986212,-0.165485
314.960000,312.715688,-34.162145,0.986187,-0.165633
318.240833,315.951172,-34.705758,0.986168,-0.165748
321.521667,319.186601,-35.249694,0.986154,-0.165830
324.802500,322.421994,-35.793846,0.986146,-0.165880
328.083333,325.657368,-36.338105,0.986143,-0.165896
