dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280840,0.001653,0.999999,0.001012
6.561680,6.561676,0.006664,0.999998,0.002047
9.842520,9.842505,0.015108,0.999995,0.003105
13.123360,13.123322,0.027063,0.999991,0.004187
16.404199,16.404125,0.042605,0.999986,0.005292
19.685039,19.684909,0.061811,0.999979,0.006420
22.965879,22.965668,0.084757,0.999971,0.007572
26.246719,26.246399,0.111519,0.999962,0.008747
29.527559,29.527095,0.142174,0.999951,0.009945
32.808399,32.807752,0.176799,0.999938,0.011166
36.089239,36.088364,0.215470,0.999923,0.012411
39.370079,39.368924,0.258264,0.999906,0.013680
42.650919,42.649427,0.305257,0.999888,0.014971
45.931759,45.929866,0.356525,0.999867,0.016286
49.212598,49.210235,0.412145,0.999845,0.017624
52.493438,52.490525,0.472194,0.999820,0.018986
55.774278,55.770729,0.536748,0.999793,0.020370
59.055118,59.050840,0.605883,0.999763,0.021778
62.335958,62.330850,0.679675,0.999731,0.023210
65.616798,65.610750,0.758202,0.999696,0.024664
68.897638,68.890531,0.841539,0.999658,0.026142
72.178478,72.170184,0.929763,0.999618,0.027643
75.459318,75.449700,1.022950,0.999575,0.029168
78.740157,78.729069,1.121177,0.999528,0.030715
82.020997,82.008280,1.224519,0.999479,0.032286
85.301837,85.287324,1.333053,0.999426,0.033880
88.582677,88.566189,1.446855,0.999370,0.035498
91.863517,91.844865,1.566002,0.999310,0.037138
95.144357,95.123339,1.690569,0.999247,0.038802
98.425197,98.401599,1.820633,0.999180,0.040489
101.706037,101.679633,1.956270,0.999109,0.042199
104.986877,104.957429,2.097556,0.999035,0.043933
108.267717,108.234973,2.244566,0.998956,0.045689
111.548556,111.512252,2.397378,0.998873,0.047469
114.829396,114.789251,2.556067,0.998785,0.049272
118.110236,118.065957,2.720709,0.998694,0.051098
121.391076,121.342354,2.891379,0.998597,0.052947
124.671916,124.618428,3.068155,0.998496,0.054819
127.952756,127.894162,3.251111,0.998390,0.056715
131.233596,131.169541,3.440323,0.998280,0.058633
134.514436,134.444547,3.635867,0.998164,0.060575
137.795276,137.719165,3.837819,0.998043,0.062539
141.076115,140.993377,4.046254,0.997916,0.064527
144.356955,144.267164,4.261248,0.997784,0.066537
147.637795,147.540510,4.482877,0.997646,0.068571
150.918635,150.813394,4.711215,0.997503,0.070628
154.199475,154.085797,4.946339,0.997353,0.072707
157.480315,157.357700,5.188324,0.997198,0.074810
160.761155,160.629083,5.437244,0.997036,0.076936
164.041995,163.899925,5.693175,0.996868,0.079084
167.322835,167.170204,5.956193,0.996693,0.081255
170.603675,170.439900,6.226372,0.996512,0.083450
173.884514,173.708989,6.503787,0.996324,0.085667
177.165354,176.977450,6.788513,0.996129,0.087906
180.446194,180.245259,7.080626,0.995926,0.090169
183.727034,183.512393,7.380199,0.995717,0.092454
187.007874,186.778827,7.687307,0.995500,0.094763
190.288714,190.044536,8.002025,0.995275,0.097093
193.569554,193.309496,8.324428,0.995043,0.099447
196.850394,196.573680,8.654590,0.994803,0.101823
200.131234,199.837062,8.992584,0.994554,0.104222
203.412073,203.099616,9.338486,0.994297,0.106643
206.692913,206.361313,9.692369,0.994032,0.109087
209.973753,209.622127,10.054308,0.993758,0.111554
213.254593,212.882028,10.424376,0.993476,0.114043
216.535433,216.140987,10.802646,0.993184,0.116554
219.816273,219.398975,11.189194,0.992884,0.119088
223.097113,222.655962,11.584091,0.992574,0.121645
226.377953,225.911916,11.987411,0.992254,0.124223
229.658793,229.166806,12.399229,0.991925,0.126824
232.939633,232.420600,12.819616,0.991586,0.129447
236.220472,235.673267,13.248645,0.991237,0.132093
239.501312,238.924771,13.686391,0.990878,0.134760
242.782152,242.175081,14.132924,0.990509,0.137450
246.062992,245.424160,14.588319,0.990129,0.140162
249.343832,248.671975,15.052647,0.989738,0.142896
252.624672,251.918490,15.525980,0.989336,0.145652
255.905512,255.163669,16.008391,0.988923,0.148430
259.186352,258.407474,16.499951,0.988499,0.151229
262.467192,261.649868,17.000732,0.988063,0.154051
265.748031,264.890815,17.510806,0.987615,0.156894
269.028871,268.130273,18.030245,0.987156,0.159759
272.309711,271.368203,18.559119,0.986685,0.162646
275.590551,274.604567,19.097499,0.986201,0.165554
278.871391,277.839323,19.645456,0.985704,0.168484
282.152231,281.072429,20.203062,0.985195,0.171436
285.433071,284.303845,20.770386,0.984673,0.174408
288.713911,287.533527,21.347498,0.984138,0.177403
291.994751,290.761431,21.934469,0.983590,0.180418
295.275591,293.987514,22.531368,0.983028,0.183455
298.556430,297.211732,23.138265,0.982452,0.186513
301.837270,300.434038,23.755230,0.981863,0.189592
305.118110,303.654386,24.382331,0.981259,0.192692
308.398950,306.872731,25.019637,0.980641,0.195813
311.679790,310.089024,25.667218,0.980009,0.198955
314.960630,313.303217,26.325140,0.979361,0.202118
318.241470,316.515262,26.993474,0.978699,0.205301
321.522310,319.725109,27.672285,0.978021,0.208506
324.803150,322.932707,28.361643,0.977328,0.211730
328.083990,326.138006,29.061614,0.976619,0.214975
