dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,1.000000,0.000504,0.999999,0.001012
2.000000,1.999999,0.002031,0.999998,0.002047
3.000000,2.999995,0.004605,0.999995,0.003105
4.000000,3.999989,0.008249,0.999991,0.004187
5.000000,4.999977,0.012986,0.999986,0.005292
6.000000,5.999960,0.018840,0.999979,0.006420
7.000000,6.999936,0.025834,0.999971,0.007572
8.000000,7.999902,0.033991,0.999962,0.008747
9.000000,8.999859,0.043335,0.999951,0.009945
10.000000,9.999803,0.053888,0.999938,0.011166
11.000000,10.999733,0.065675,0.999923,0.012411
12.000000,11.999648,0.078719,0.999906,0.013680
13.000000,12.999545,0.093042,0.999888,0.014971
14.000000,13.999423,0.108669,0.999867,0.016286
15.000000,14.999279,0.125622,0.999845,0.017624
16.000000,15.999112,0.143925,0.999820,0.018986
17.000000,16.998918,0.163601,0.999793,0.020370
18.000000,17.998696,0.184673,0.999763,0.021778
19.000000,18.998443,0.207165,0.999731,0.023210
20.000000,19.998157,0.231100,0.999696,0.024664
21.000000,20.997834,0.256501,0.999658,0.026142
22.000000,21.997472,0.283392,0.999618,0.027643
23.000000,22.997069,0.311795,0.999575,0.029168
24.000000,23.996620,0.341735,0.999528,0.030715
25.000000,24.996124,0.373233,0.999479,0.032286
26.000000,25.995576,0.406315,0.999426,0.033880
27.000000,26.994975,0.441001,0.999370,0.035498
28.000000,27.994315,0.477317,0.999310,0.037138
29.000000,28.993594,0.515285,0.999247,0.038802
30.000000,29.992807,0.554929,0.999180,0.040489
31.000000,30.991952,0.596271,0.999109,0.042199
32.000000,31.991024,0.639335,0.999035,0.043933
33.000000,32.990020,0.684144,0.998956,0.045689
34.000000,33.988934,0.730721,0.998873,0.047469
35.000000,34.987764,0.779089,0.998785,0.049272
36.000000,35.986504,0.829272,0.998694,0.051098
37.000000,36.985150,0.881292,0.998597,0.052947
38.000000,37.983697,0.935174,0.998496,0.054819
39.000000,38.982141,0.990938,0.998390,0.056715
40.000000,39.980476,1.048610,0.998280,0.058633
41.000000,40.978698,1.108212,0.998164,0.060575
42.000000,41.976802,1.169767,0.998043,0.062539
43.000000,42.974781,1.233298,0.997916,0.064527
44.000000,43.972632,1.298828,0.997784,0.066537
45.000000,44.970347,1.366381,0.997646,0.068571
46.000000,45.967922,1.435978,0.997503,0.070628
47.000000,46.965351,1.507644,0.997353,0.072707
48.000000,47.962627,1.581401,0.997198,0.074810
49.000000,48.959744,1.657272,0.997036,0.076936
50.000000,49.956697,1.735280,0.996868,0.079084
51.000000,50.953478,1.815448,0.996693,0.081255
52.000000,51.950081,1.897798,0.996512,0.083450
53.000000,52.946500,1.982354,0.996324,0.085667
54.000000,53.942727,2.069139,0.996129,0.087906
55.000000,54.938755,2.158175,0.995926,0.090169
56.000000,55.934577,2.249485,0.995717,0.092454
57.000000,56.930186,2.343091,0.995500,0.094763
58.000000,57.925575,2.439017,0.995275,0.097093
59.000000,58.920734,2.537286,0.995043,0.099447
60.000000,59.915658,2.637919,0.994803,0.101823
61.000000,60.910337,2.740940,0.994554,0.104222
62.000000,61.904763,2.846371,0.994297,0.106643
63.000000,62.898928,2.954234,0.994032,0.109087
64.000000,63.892824,3.064553,0.993758,0.111554
65.000000,64.886442,3.177350,0.993476,0.114043
66.000000,65.879773,3.292647,0.993184,0.116554
67.000000,66.872808,3.410466,0.992884,0.119088
68.000000,67.865537,3.530831,0.992574,0.121645
69.000000,68.857952,3.653763,0.992254,0.124223
70.000000,69.850042,3.779285,0.991925,0.126824
71.000000,70.841799,3.907419,0.991586,0.129447
72.000000,71.833212,4.038187,0.991237,0.132093
73.000000,72.824270,4.171612,0.990878,0.134760
74.000000,73.814965,4.307715,0.990509,0.137450
75.000000,74.805284,4.446520,0.990129,0.140162
76.000000,75.795218,4.588047,0.989738,0.142896
77.000000,76.784756,4.732319,0.989336,0.145652
78.000000,77.773886,4.879357,0.988923,0.148430
79.000000,78.762598,5.029185,0.988499,0.151229
80.000000,79.750880,5.181823,0.988063,0.154051
81.000000,80.738720,5.337294,0.987615,0.156894
82.000000,81.726107,5.495619,0.987156,0.159759
83.000000,82.713028,5.656819,0.986685,0.162646
84.000000,83.699472,5.820918,0.986201,0.165554
85.000000,84.685426,5.987935,0.985704,0.168484
86.000000,85.670876,6.157893,0.985195,0.171436
87.000000,86.655812,6.330814,0.984673,0.174408
88.000000,87.640219,6.506717,0.984138,0.177403
89.000000,88.624084,6.685626,0.983590,0.180418
90.000000,89.607394,6.867561,0.983028,0.183455
91.000000,90.590136,7.052543,0.982452,0.186513
92.000000,91.572295,7.240594,0.981863,0.189592
93.000000,92.553857,7.431734,0.981259,0.192692
94.000000,93.534808,7.625985,0.980641,0.195813
95.000000,94.515134,7.823368,0.980009,0.198955
96.000000,95.494821,8.023903,0.979361,0.202118
97.000000,96.473852,8.227611,0.978699,0.205301
98.000000,97.452213,8.434513,0.978021,0.208506
99.000000,98.429889,8.644629,0.977328,0.211730
100.000000,99.406864,8.857980,0.976619,0.214975
