dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,0.001653,0.999999,0.001012
6.561667,6.561663,0.006664,0.999998,0.002047
9.842500,9.842485,0.015108,0.999995,0.003105
13.123333,13.123296,0.027063,0.999991,0.004187
16.404167,16.404093,0.042605,0.999986,0.005292
19.685000,19.684869,0.061811,0.999979,0.006420
22.965833,22.965622,0.084756,0.999971,0.007572
26.246667,26.246346,0.111519,0.999962,0.008747
29.527500,29.527036,0.142174,0.999951,0.009945
32.808333,32.807687,0.176799,0.999938,0.011166
36.089167,36.088292,0.215470,0.999923,0.012411
39.370000,39.368846,0.258263,0.999906,0.013680
42.650833,42.649342,0.305256,0.999888,0.014971
45.931667,45.929775,0.356524,0.999867,0.016286
49.212500,49.210136,0.412145,0.999845,0.017624
52.493333,52.490420,0.472193,0.999820,0.018986
55.774167,55.770617,0.536747,0.999793,0.020370
59.055000,59.050722,0.605882,0.999763,0.021778
62.335833,62.330726,0.679674,0.999731,0.023210
65.616667,65.610619,0.758201,0.999696,0.024664
68.897500,68.890393,0.841538,0.999658,0.026142
72.178333,72.170040,0.929761,0.999618,0.027643
75.459167,75.449549,1.022948,0.999575,0.029168
78.740000,78.728911,1.121174,0.999528,0.030715
82.020833,82.008116,1.224516,0.999479,0.032286
85.301667,85.287154,1.333050,0.999426,0.033880
88.582500,88.566012,1.446852,0.999370,0.035498
91.863333,91.844681,1.565999,0.999310,0.037138
95.144167,95.123148,1.690566,0.999247,0.038802
98.425000,98.401402,1.820629,0.999180,0.040489
101.705833,101.679430,1.956266,0.999109,0.042199
104.986667,104.957219,2.097551,0.999035,0.043933
108.267500,108.234757,2.244562,0.998956,0.045689
111.548333,111.512029,2.397373,0.998873,0.047469
114.829167,114.789022,2.556062,0.998785,0.049272
118.110000,118.065721,2.720703,0.998694,0.051098
121.390833,121.342112,2.891374,0.998597,0.052947
124.671667,124.618179,3.068149,0.998496,0.054819
127.952500,127.893906,3.251104,0.998390,0.056715
131.233333,131.169278,3.440316,0.998280,0.058633
134.514167,134.444278,3.635860,0.998164,0.060575
137.795000,137.718890,3.837811,0.998043,0.062539
141.075833,140.993095,4.046246,0.997916,0.064527
144.356667,144.266876,4.261240,0.997784,0.066537
147.637500,147.540215,4.482868,0.997646,0.068571
150.918333,150.813092,4.711206,0.997503,0.070628
154.199167,154.085489,4.946329,0.997353,0.072707
157.480000,157.357385,5.188313,0.997198,0.074810
160.760833,160.628762,5.437233,0.997036,0.076936
164.041667,163.899597,5.693164,0.996868,0.079084
167.322500,167.169870,5.956181,0.996693,0.081255
170.603333,170.439559,6.226359,0.996512,0.083450
173.884167,173.708642,6.503774,0.996324,0.085667
177.165000,176.977096,6.788500,0.996129,0.087906
180.445833,180.244899,7.080611,0.995926,0.090169
183.726667,183.512026,7.380184,0.995717,0.092454
187.007500,186.778453,7.687292,0.995500,0.094763
190.288333,190.044156,8.002009,0.995275,0.097093
193.569167,193.309109,8.324411,0.995043,0.099447
196.850000,196.573287,8.654572,0.994803,0.101823
200.130833,199.836662,8.992566,0.994554,0.104222
203.411667,203.099210,9.338468,0.994297,0.106643
206.692500,206.360901,9.692350,0.994032,0.109087
209.973333,209.621708,10.054288,0.993758,0.111554
213.254167,212.881602,10.424355,0.993476,0.114043
216.535000,216.140555,10.802625,0.993184,0.116554
219.815833,219.398536,11.189171,0.992884,0.119088
223.096667,222.655516,11.584068,0.992574,0.121645
226.377500,225.911464,11.987387,0.992254,0.124223
229.658333,229.166348,12.399204,0.991925,0.126824
232.939167,232.420136,12.819590,0.991586,0.129447
236.220000,235.672795,13.248619,0.991237,0.132093
239.500833,238.924293,13.686363,0.990878,0.134760
242.781667,242.174596,14.132896,0.990509,0.137450
246.062500,245.423670,14.588290,0.990129,0.140162
249.343333,248.671478,15.052616,0.989738,0.142896
252.624167,251.917987,15.525949,0.989336,0.145652
255.905000,255.163158,16.008359,0.988923,0.148430
259.185833,258.406957,16.499918,0.988499,0.151229
262.466667,261.649345,17.000698,0.988063,0.154051
265.747500,264.890285,17.510771,0.987615,0.156894
269.028333,268.129736,18.030209,0.987156,0.159759
272.309167,271.367661,18.559082,0.986685,0.162646
275.590000,274.604018,19.097461,0.986201,0.165554
278.870833,277.838767,19.645417,0.985704,0.168484
282.151667,281.071867,20.203021,0.985195,0.171436
285.432500,284.303276,20.770344,0.984673,0.174408
288.713333,287.532951,21.347455,0.984138,0.177403
291.994167,290.760849,21.934425,0.983590,0.180418
295.275000,293.986926,22.531323,0.983028,0.183455
298.555833,297.211137,23.138219,0.982452,0.186513
301.836667,300.433437,23.755182,0.981863,0.189592
305.117500,303.653779,24.382282,0.981259,0.192692
308.398333,306.872117,25.019587,0.980641,0.195813
311.679167,310.088404,25.667166,0.980009,0.198955
314.960000,313.302591,26.325088,0.979361,0.202118
318.240833,316.514629,26.993420,0.978699,0.205301
321.521667,319.724469,27.672230,0.978021,0.208506
324.802500,322.932061,28.361586,0.977328,0.211730
328.083333,326.137353,29.061556,0.976619,0.214975
