dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,0.001661,0.999994,0.003317
2.000000,1.999985,0.006622,0.999978,0.006600
3.000000,2.999951,0.014850,0.999951,0.009850
4.000000,3.999885,0.026311,0.999915,0.013066
5.000000,4.999777,0.040971,0.999868,0.016249
6.000000,5.999618,0.058798,0.999812,0.019399
7.000000,6.999398,0.079758,0.999747,0.022515
8.000000,7.999108,0.103816,0.999672,0.025597
9.000000,8.998739,0.130941,0.999590,0.028646
10.000000,9.998284,0.161097,0.999499,0.031661
11.000000,10.997734,0.194252,0.999400,0.034643
12.000000,11.997081,0.230372,0.999293,0.037591
13.000000,12.996318,0.269423,0.999179,0.040506
14.000000,13.995437,0.311372,0.999058,0.043386
15.000000,14.994432,0.356185,0.998931,0.046234
16.000000,15.993297,0.403828,0.998796,0.049047
17.000000,16.992023,0.454268,0.998656,0.051827
18.000000,17.990607,0.507470,0.998510,0.054573
19.000000,18.989041,0.563402,0.998358,0.057285
20.000000,19.987321,0.622029,0.998201,0.059964
21.000000,20.985440,0.683319,0.998038,0.062609
22.000000,21.983395,0.747236,0.997871,0.065220
23.000000,22.981181,0.813748,0.997699,0.067798
24.000000,23.978792,0.882821,0.997523,0.070342
25.000000,24.976225,0.954421,0.997343,0.072852
26.000000,25.973476,1.028514,0.997159,0.075329
27.000000,26.970541,1.105067,0.996971,0.077771
28.000000,27.967418,1.184045,0.996780,0.080181
29.000000,28.964101,1.265416,0.996586,0.082556
30.000000,29.960590,1.349146,0.996390,0.084898
31.000000,30.956880,1.435200,0.996190,0.087206
32.000000,31.952969,1.523546,0.995989,0.089480
33.000000,32.948856,1.614150,0.995785,0.091721
34.000000,33.944538,1.706977,0.995579,0.093928
35.000000,34.940014,1.801994,0.995372,0.096101
36.000000,35.935281,1.899168,0.995163,0.098241
37.000000,36.930338,1.998466,0.994952,0.100347
38.000000,37.925185,2.099852,0.994741,0.102420
39.000000,38.919821,2.203295,0.994529,0.104459
40.000000,39.914244,2.308759,0.994317,0.106465
41.000000,40.908453,2.416212,0.994103,0.108436
42.000000,41.902450,2.525621,0.993890,0.110375
43.000000,42.896234,2.636951,0.993677,0.112279
44.000000,43.889804,2.750168,0.993463,0.114151
45.000000,44.883161,2.865241,0.993251,0.115988
46.000000,45.876305,2.982134,0.993038,0.117793
47.000000,46.869237,3.100815,0.992827,0.119563
48.000000,47.861958,3.221249,0.992616,0.121301
49.000000,48.854469,3.343404,0.992406,0.123004
50.000000,49.846771,3.467247,0.992198,0.124675
51.000000,50.838865,3.592743,0.991991,0.126312
52.000000,51.830753,3.719859,0.991785,0.127915
53.000000,52.822436,3.848562,0.991581,0.129485
54.000000,53.813916,3.978819,0.991379,0.131022
55.000000,54.805195,4.110595,0.991180,0.132526
56.000000,55.796276,4.243859,0.990982,0.133996
57.000000,56.787160,4.378576,0.990787,0.135433
58.000000,57.777850,4.514713,0.990594,0.136836
59.000000,58.768348,4.652237,0.990403,0.138206
60.000000,59.758658,4.791114,0.990216,0.139543
61.000000,60.748781,4.931312,0.990031,0.140847
62.000000,61.738722,5.072797,0.989850,0.142117
63.000000,62.728482,5.215535,0.989671,0.143354
64.000000,63.718066,5.359494,0.989496,0.144558
65.000000,64.707476,5.504641,0.989325,0.145729
66.000000,65.696716,5.650942,0.989156,0.146867
67.000000,66.685789,5.798363,0.988992,0.147971
68.000000,67.674700,5.946873,0.988831,0.149043
69.000000,68.663452,6.096438,0.988674,0.150081
70.000000,69.652049,6.247024,0.988521,0.151086
71.000000,70.640495,6.398598,0.988372,0.152058
72.000000,71.628794,6.551128,0.988227,0.152997
73.000000,72.616950,6.704581,0.988086,0.153903
74.000000,73.604967,6.858922,0.987950,0.154775
75.000000,74.592851,7.014120,0.987818,0.155615
76.000000,75.580604,7.170141,0.987690,0.156422
77.000000,76.568233,7.326953,0.987568,0.157195
78.000000,77.555741,7.484521,0.987449,0.157936
79.000000,78.543133,7.642814,0.987336,0.158644
80.000000,79.530414,7.801797,0.987227,0.159318
81.000000,80.517589,7.961439,0.987124,0.159960
82.000000,81.504663,8.121706,0.987025,0.160569
83.000000,82.491640,8.282565,0.986931,0.161144
84.000000,83.478526,8.443984,0.986842,0.161687
85.000000,84.465326,8.605928,0.986758,0.162197
86.000000,85.452045,8.768366,0.986680,0.162674
87.000000,86.438688,8.931265,0.986607,0.163118
88.000000,87.425260,9.094591,0.986539,0.163529
89.000000,88.411767,9.258312,0.986476,0.163907
90.000000,89.398213,9.422394,0.986418,0.164252
91.000000,90.384605,9.586806,0.986366,0.164565
92.000000,91.370948,9.751513,0.986320,0.164844
93.000000,92.357246,9.916483,0.986278,0.165091
94.000000,93.343506,10.081683,0.986243,0.165304
95.000000,94.329733,10.247081,0.986212,0.165485
96.000000,95.315932,10.412643,0.986187,0.165633
97.000000,96.302110,10.578336,0.986168,0.165748
98.000000,97.288271,10.744128,0.986154,0.165830
99.000000,98.274420,10.909986,0.986146,0.165880
100.000000,99.260564,11.075877,0.986143,0.165896
