dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280840,0.000018,1.000000,0.000017
6.561680,6.561680,0.000146,1.000000,0.000067
9.842520,9.842520,0.000492,1.000000,0.000150
13.123360,13.123359,0.001167,1.000000,0.000267
16.404199,16.404199,0.002278,1.000000,0.000417
19.685039,19.685039,0.003937,1.000000,0.000600
22.965879,22.965878,0.006252,1.000000,0.000817
26.246719,26.246716,0.009332,0.999999,0.001067
29.527559,29.527554,0.013287,0.999999,0.001350
32.808399,32.808390,0.018227,0.999999,0.001667
36.089239,36.089224,0.024260,0.999998,0.002017
39.370079,39.370056,0.031496,0.999997,0.002400
42.650919,42.650885,0.040044,0.999996,0.002817
45.931759,45.931709,0.050015,0.999995,0.003267
49.212598,49.212529,0.061516,0.999993,0.003750
52.493438,52.493343,0.074657,0.999991,0.004267
55.774278,55.774149,0.089549,0.999988,0.004817
59.055118,59.054946,0.106299,0.999985,0.005400
62.335958,62.335732,0.125018,0.999982,0.006017
65.616798,65.616506,0.145815,0.999978,0.006667
68.897638,68.897265,0.168799,0.999973,0.007350
72.178478,72.178008,0.194079,0.999967,0.008067
75.459318,75.458731,0.221765,0.999961,0.008817
78.740157,78.739432,0.251967,0.999954,0.009600
82.020997,82.020107,0.284793,0.999946,0.010416
85.301837,85.300754,0.320353,0.999937,0.011266
88.582677,88.581369,0.358756,0.999926,0.012150
91.863517,91.861948,0.400112,0.999915,0.013066
95.144357,95.142488,0.444529,0.999902,0.014016
98.425197,98.422982,0.492118,0.999888,0.014999
101.706037,101.703427,0.542987,0.999872,0.016016
104.986877,104.983818,0.597246,0.999854,0.017066
108.267717,108.264150,0.655004,0.999835,0.018149
111.548556,111.544415,0.716371,0.999814,0.019265
114.829396,114.824609,0.781455,0.999792,0.020415
118.110236,118.104725,0.850365,0.999767,0.021598
121.391076,121.384756,0.923212,0.999740,0.022815
124.671916,124.664695,1.000105,0.999710,0.024064
127.952756,127.944533,1.081151,0.999679,0.025347
131.233596,131.224264,1.166462,0.999644,0.026664
134.514436,134.503877,1.256145,0.999608,0.028013
137.795276,137.783365,1.350310,0.999568,0.029396
141.076115,141.062718,1.449067,0.999525,0.030812
144.356955,144.341926,1.552524,0.999479,0.032261
147.637795,147.620979,1.660790,0.999431,0.033744
150.918635,150.899865,1.773975,0.999378,0.035259
154.199475,154.178575,1.892187,0.999322,0.036808
157.480315,157.457095,2.015536,0.999263,0.038391
160.761155,160.735413,2.144130,0.999199,0.040006
164.041995,164.013517,2.278079,0.999132,0.041655
167.322835,167.291393,2.417491,0.999061,0.043336
170.603675,170.569028,2.562475,0.998985,0.045051
173.884514,173.846406,2.713140,0.998904,0.046800
177.165354,177.123513,2.869595,0.998819,0.048581
180.446194,180.400333,3.031948,0.998729,0.050395
183.727034,183.676850,3.200309,0.998634,0.052243
187.007874,186.953046,3.374786,0.998534,0.054124
190.288714,190.228906,3.555487,0.998429,0.056037
193.569554,193.504409,3.742521,0.998318,0.057984
196.850394,196.779539,3.935996,0.998201,0.059964
200.131234,200.054275,4.136021,0.998078,0.061977
203.412073,203.328598,4.342705,0.997948,0.064023
206.692913,206.602486,4.556155,0.997813,0.066102
209.973753,209.875919,4.776480,0.997671,0.068214
213.254593,213.148874,5.003787,0.997522,0.070358
216.535433,216.421330,5.238186,0.997366,0.072536
219.816273,219.693261,5.479783,0.997203,0.074747
223.097113,222.964645,5.728687,0.997032,0.076990
226.377953,226.235456,5.985005,0.996853,0.079267
229.658793,229.505669,6.248846,0.996667,0.081576
232.939633,232.775258,6.520316,0.996473,0.083918
236.220472,236.044195,6.799524,0.996270,0.086293
239.501312,239.312453,7.086576,0.996058,0.088700
242.782152,242.580002,7.381580,0.995838,0.091140
246.062992,245.846813,7.684643,0.995609,0.093613
249.343832,249.112857,7.995873,0.995370,0.096118
252.624672,252.378102,8.315375,0.995122,0.098656
255.905512,255.642516,8.643257,0.994863,0.101226
259.186352,258.906066,8.979625,0.994595,0.103829
262.467192,262.168719,9.324586,0.994317,0.106465
265.748031,265.430441,9.678247,0.994027,0.109132
269.028871,268.691196,10.040712,0.993727,0.111832
272.309711,271.950947,10.412090,0.993416,0.114565
275.590551,275.209659,10.792484,0.993093,0.117329
278.871391,278.467293,11.182001,0.992759,0.120126
282.152231,281.723811,11.580746,0.992412,0.122955
285.433071,284.979172,11.988826,0.992054,0.125816
288.713911,288.233335,12.406344,0.991682,0.128709
291.994751,291.486260,12.833406,0.991298,0.131634
295.275591,294.737904,13.270116,0.990901,0.134590
298.556430,297.988223,13.716579,0.990491,0.137579
301.837270,301.237172,14.172899,0.990067,0.140599
305.118110,304.484707,14.639181,0.989628,0.143651
308.398950,307.730781,15.115528,0.989176,0.146735
311.679790,310.975346,15.602043,0.988709,0.149850
314.960630,314.218355,16.098831,0.988227,0.152997
318.241470,317.459757,16.605993,0.987729,0.156175
321.522310,320.699502,17.123634,0.987217,0.159384
324.803150,323.937539,17.651855,0.986688,0.162625
328.083990,327.173815,18.190758,0.986143,0.165896
