dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,1.000000,0.000006,1.000000,0.000017
2.000000,2.000000,0.000044,1.000000,0.000067
3.000000,3.000000,0.000150,1.000000,0.000150
4.000000,4.000000,0.000356,1.000000,0.000267
5.000000,5.000000,0.000694,1.000000,0.000417
6.000000,6.000000,0.001200,1.000000,0.000600
7.000000,7.000000,0.001906,1.000000,0.000817
8.000000,7.999999,0.002844,0.999999,0.001067
9.000000,8.999998,0.004050,0.999999,0.001350
10.000000,9.999997,0.005556,0.999999,0.001667
11.000000,10.999995,0.007394,0.999998,0.002017
12.000000,11.999993,0.009600,0.999997,0.002400
13.000000,12.999990,0.012206,0.999996,0.002817
14.000000,13.999985,0.015244,0.999995,0.003267
15.000000,14.999979,0.018750,0.999993,0.003750
16.000000,15.999971,0.022756,0.999991,0.004267
17.000000,16.999960,0.027294,0.999988,0.004817
18.000000,17.999947,0.032400,0.999985,0.005400
19.000000,18.999931,0.038105,0.999982,0.006017
20.000000,19.999911,0.044444,0.999978,0.006667
21.000000,20.999887,0.051450,0.999973,0.007350
22.000000,21.999857,0.059155,0.999967,0.008067
23.000000,22.999821,0.067594,0.999961,0.008817
24.000000,23.999779,0.076800,0.999954,0.009600
25.000000,24.999729,0.086805,0.999946,0.010416
26.000000,25.999670,0.097644,0.999937,0.011266
27.000000,26.999601,0.109349,0.999926,0.012150
28.000000,27.999522,0.121954,0.999915,0.013066
29.000000,28.999430,0.135493,0.999902,0.014016
30.000000,29.999325,0.149998,0.999888,0.014999
31.000000,30.999205,0.165503,0.999872,0.016016
32.000000,31.999068,0.182041,0.999854,0.017066
33.000000,32.998913,0.199645,0.999835,0.018149
34.000000,33.998738,0.218350,0.999814,0.019265
35.000000,34.998541,0.238187,0.999792,0.020415
36.000000,35.998320,0.259191,0.999767,0.021598
37.000000,36.998074,0.281395,0.999740,0.022815
38.000000,37.997799,0.304832,0.999710,0.024064
39.000000,38.997494,0.329535,0.999679,0.025347
40.000000,39.997156,0.355538,0.999644,0.026664
41.000000,40.996782,0.382873,0.999608,0.028013
42.000000,41.996370,0.411575,0.999568,0.029396
43.000000,42.995917,0.441676,0.999525,0.030812
44.000000,43.995419,0.473209,0.999479,0.032261
45.000000,44.994874,0.506209,0.999431,0.033744
46.000000,45.994279,0.540708,0.999378,0.035259
47.000000,46.993630,0.576739,0.999322,0.036808
48.000000,47.992922,0.614335,0.999263,0.038391
49.000000,48.992154,0.653531,0.999199,0.040006
50.000000,49.991320,0.694358,0.999132,0.041655
51.000000,50.990417,0.736851,0.999061,0.043336
52.000000,51.989440,0.781042,0.998985,0.045051
53.000000,52.988385,0.826965,0.998904,0.046800
54.000000,53.987247,0.874653,0.998819,0.048581
55.000000,54.986021,0.924138,0.998729,0.050395
56.000000,55.984704,0.975454,0.998634,0.052243
57.000000,56.983288,1.028635,0.998534,0.054124
58.000000,57.981770,1.083712,0.998429,0.056037
59.000000,58.980144,1.140720,0.998318,0.057984
60.000000,59.978403,1.199692,0.998201,0.059964
61.000000,60.976543,1.260659,0.998078,0.061977
62.000000,61.974557,1.323656,0.997948,0.064023
63.000000,62.972438,1.388716,0.997813,0.066102
64.000000,63.970180,1.455871,0.997671,0.068214
65.000000,64.967777,1.525154,0.997522,0.070358
66.000000,65.965221,1.596599,0.997366,0.072536
67.000000,66.962506,1.670238,0.997203,0.074747
68.000000,67.959624,1.746104,0.997032,0.076990
69.000000,68.956567,1.824230,0.996853,0.079267
70.000000,69.953328,1.904648,0.996667,0.081576
71.000000,70.949899,1.987392,0.996473,0.083918
72.000000,71.946271,2.072495,0.996270,0.086293
73.000000,72.942436,2.159988,0.996058,0.088700
74.000000,73.938385,2.249906,0.995838,0.091140
75.000000,74.934109,2.342279,0.995609,0.093613
76.000000,75.929599,2.437142,0.995370,0.096118
77.000000,76.924845,2.534526,0.995122,0.098656
78.000000,77.919839,2.634465,0.994863,0.101226
79.000000,78.914569,2.736990,0.994595,0.103829
80.000000,79.909026,2.842134,0.994317,0.106465
81.000000,80.903198,2.949930,0.994027,0.109132
82.000000,81.897076,3.060409,0.993727,0.111832
83.000000,82.890649,3.173605,0.993416,0.114565
84.000000,83.883904,3.289549,0.993093,0.117329
85.000000,84.876831,3.408274,0.992759,0.120126
86.000000,85.869418,3.529812,0.992412,0.122955
87.000000,86.861651,3.654194,0.992054,0.125816
88.000000,87.853521,3.781454,0.991682,0.128709
89.000000,88.845012,3.911622,0.991298,0.131634
90.000000,89.836113,4.044731,0.990901,0.134590
91.000000,90.826810,4.180813,0.990491,0.137579
92.000000,91.817090,4.319900,0.990067,0.140599
93.000000,92.806939,4.462022,0.989628,0.143651
94.000000,93.796342,4.607213,0.989176,0.146735
95.000000,94.785286,4.755503,0.988709,0.149850
96.000000,95.773754,4.906924,0.988227,0.152997
97.000000,96.761734,5.061507,0.987729,0.156175
98.000000,97.749208,5.219284,0.987217,0.159384
99.000000,98.736162,5.380285,0.986688,0.162625
100.000000,99.722579,5.544543,0.986143,0.165896
