dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,0.000018,1.000000,0.000017
6.561667,6.561667,0.000146,1.000000,0.000067
9.842500,9.842500,0.000492,1.000000,0.000150
13.123333,13.123333,0.001167,1.000000,0.000267
16.404167,16.404166,0.002278,1.000000,0.000417
19.685000,19.684999,0.003937,1.000000,0.000600
22.965833,22.965832,0.006252,1.000000,0.000817
26.246667,26.246664,0.009332,0.999999,0.001067
29.527500,29.527495,0.013287,0.999999,0.001350
32.808333,32.808324,0.018227,0.999999,0.001667
36.089167,36.089152,0.024260,0.999998,0.002017
39.370000,39.369977,0.031496,0.999997,0.002400
42.650833,42.650799,0.040044,0.999996,0.002817
45.931667,45.931618,0.050014,0.999995,0.003267
49.212500,49.212431,0.061516,0.999993,0.003750
52.493333,52.493238,0.074657,0.999991,0.004267
55.774167,55.774037,0.089548,0.999988,0.004817
59.055000,59.054828,0.106299,0.999985,0.005400
62.335833,62.335608,0.125018,0.999982,0.006017
65.616667,65.616375,0.145814,0.999978,0.006667
68.897500,68.897128,0.168798,0.999973,0.007350
72.178333,72.177863,0.194079,0.999967,0.008067
75.459167,75.458580,0.221765,0.999961,0.008817
78.740000,78.739274,0.251966,0.999954,0.009600
82.020833,82.019943,0.284792,0.999946,0.010416
85.301667,85.300584,0.320352,0.999937,0.011266
88.582500,88.581192,0.358755,0.999926,0.012150
91.863333,91.861765,0.400111,0.999915,0.013066
95.144167,95.142297,0.444529,0.999902,0.014016
98.425000,98.422785,0.492117,0.999888,0.014999
101.705833,101.703224,0.542986,0.999872,0.016016
104.986667,104.983608,0.597245,0.999854,0.017066
108.267500,108.263933,0.655003,0.999835,0.018149
111.548333,111.544192,0.716369,0.999814,0.019265
114.829167,114.824380,0.781453,0.999792,0.020415
118.110000,118.104489,0.850364,0.999767,0.021598
121.390833,121.384514,0.923211,0.999740,0.022815
124.671667,124.664446,1.000103,0.999710,0.024064
127.952500,127.944278,1.081149,0.999679,0.025347
131.233333,131.224001,1.166459,0.999644,0.026664
134.514167,134.503608,1.256143,0.999608,0.028013
137.795000,137.783090,1.350308,0.999568,0.029396
141.075833,141.062436,1.449064,0.999525,0.030812
144.356667,144.341637,1.552521,0.999479,0.032261
147.637500,147.620684,1.660787,0.999431,0.033744
150.918333,150.899564,1.773971,0.999378,0.035259
154.199167,154.178266,1.892183,0.999322,0.036808
157.480000,157.456780,2.015532,0.999263,0.038391
160.760833,160.735091,2.144126,0.999199,0.040006
164.041667,164.013189,2.278074,0.999132,0.041655
167.322500,167.291058,2.417486,0.999061,0.043336
170.603333,170.568687,2.562470,0.998985,0.045051
173.884167,173.846058,2.713135,0.998904,0.046800
177.165000,177.123159,2.869589,0.998819,0.048581
180.445833,180.399972,3.031942,0.998729,0.050395
183.726667,183.676482,3.200303,0.998634,0.052243
187.007500,186.952672,3.374779,0.998534,0.054124
190.288333,190.228525,3.555480,0.998429,0.056037
193.569167,193.504022,3.742513,0.998318,0.057984
196.850000,196.779145,3.935988,0.998201,0.059964
200.130833,200.053875,4.136013,0.998078,0.061977
203.411667,203.328191,4.342696,0.997948,0.064023
206.692500,206.602073,4.556146,0.997813,0.066102
209.973333,209.875499,4.776470,0.997671,0.068214
213.254167,213.148448,5.003777,0.997522,0.070358
216.535000,216.420897,5.238175,0.997366,0.072536
219.815833,219.692822,5.479772,0.997203,0.074747
223.096667,222.964199,5.728675,0.997032,0.076990
226.377500,226.235004,5.984993,0.996853,0.079267
229.658333,229.505210,6.248833,0.996667,0.081576
232.939167,232.774792,6.520303,0.996473,0.083918
236.220000,236.043723,6.799510,0.996270,0.086293
239.500833,239.311974,7.086562,0.996058,0.088700
242.781667,242.579517,7.381565,0.995838,0.091140
246.062500,245.846322,7.684628,0.995609,0.093613
249.343333,249.112359,7.995857,0.995370,0.096118
252.624167,252.377597,8.315358,0.995122,0.098656
255.905000,255.642004,8.643240,0.994863,0.101226
259.185833,258.905548,8.979607,0.994595,0.103829
262.466667,262.168195,9.324568,0.994317,0.106465
265.747500,265.429910,9.678227,0.994027,0.109132
269.028333,268.690658,10.040692,0.993727,0.111832
272.309167,271.950404,10.412069,0.993416,0.114565
275.590000,275.209109,10.792462,0.993093,0.117329
278.870833,278.466737,11.181979,0.992759,0.120126
282.151667,281.723247,11.580723,0.992412,0.122955
285.432500,284.978602,11.988802,0.992054,0.125816
288.713333,288.232759,12.406319,0.991682,0.128709
291.994167,291.485677,12.833380,0.991298,0.131634
295.275000,294.737314,13.270089,0.990901,0.134590
298.555833,297.987627,13.716552,0.990491,0.137579
301.836667,301.236570,14.172871,0.990067,0.140599
305.117500,304.484098,14.639152,0.989628,0.143651
308.398333,307.730165,15.115498,0.989176,0.146735
311.679167,310.974724,15.602012,0.988709,0.149850
314.960000,314.217726,16.098799,0.988227,0.152997
318.240833,317.459122,16.605960,0.987729,0.156175
321.521667,320.698860,17.123600,0.987217,0.159384
324.802500,323.936891,17.651819,0.986688,0.162625
328.083333,327.173161,18.190722,0.986143,0.165896
