dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,-0.001641,0.999999,-0.001000
6.561667,6.561662,-0.006564,0.999998,-0.002002
9.842500,9.842485,-0.014776,0.999995,-0.003005
13.123333,13.123298,-0.026287,0.999992,-0.004012
16.404167,16.404098,-0.041109,0.999987,-0.005024
19.685000,19.684881,-0.059259,0.999982,-0.006041
22.965833,22.965644,-0.080757,0.999975,-0.007066
26.246667,26.246383,-0.105629,0.999967,-0.008098
29.527500,29.527094,-0.133903,0.999958,-0.009139
32.808333,32.807774,-0.165609,0.999948,-0.010191
36.089167,36.088418,-0.200784,0.999937,-0.011254
39.370000,39.369024,-0.239466,0.999924,-0.012329
42.650833,42.649585,-0.281697,0.999910,-0.013418
45.931667,45.930098,-0.327524,0.999895,-0.014521
49.212500,49.210558,-0.376996,0.999878,-0.015640
52.493333,52.490960,-0.430166,0.999859,-0.016775
55.774167,55.771300,-0.487090,0.999839,-0.017929
59.055000,59.051571,-0.547827,0.999818,-0.019100
62.335833,62.331767,-0.612441,0.999794,-0.020292
65.616667,65.611884,-0.680997,0.999769,-0.021504
68.897500,68.891915,-0.753564,0.999741,-0.022737
72.178333,72.171852,-0.830214,0.999712,-0.023993
75.459167,75.451690,-0.911023,0.999681,-0.025272
78.740000,78.731421,-0.996068,0.999647,-0.026575
82.020833,82.011036,-1.085429,0.999611,-0.027904
85.301667,85.290530,-1.179192,0.999572,-0.029258
88.582500,88.569891,-1.277440,0.999531,-0.030639
91.863333,91.849113,-1.380264,0.999486,-0.032047
95.144167,95.128184,-1.487755,0.999439,-0.033484
98.425000,98.407096,-1.600005,0.999389,-0.034949
101.705833,101.685839,-1.717111,0.999336,-0.036444
104.986667,104.964400,-1.839171,0.999279,-0.037969
108.267500,108.242770,-1.966286,0.999219,-0.039525
111.548333,111.520936,-2.098556,0.999155,-0.041112
114.829167,114.798885,-2.236087,0.999087,-0.042732
118.110000,118.076604,-2.378983,0.999015,-0.044384
121.390833,121.354080,-2.527353,0.998938,-0.046068
124.671667,124.631299,-2.681306,0.998858,-0.047787
127.952500,127.908246,-2.840951,0.998772,-0.049539
131.233333,131.184904,-3.006402,0.998682,-0.051326
134.514167,134.461259,-3.177770,0.998587,-0.053147
137.795000,137.737292,-3.355171,0.998486,-0.055003
141.075833,141.012986,-3.538719,0.998380,-0.056894
144.356667,144.288324,-3.728530,0.998269,-0.058821
147.637500,147.563285,-3.924722,0.998151,-0.060784
150.918333,150.837851,-4.127411,0.998027,-0.062782
154.199167,154.112000,-4.336716,0.997897,-0.064817
157.480000,157.385712,-4.552755,0.997761,-0.066887
160.760833,160.658965,-4.775647,0.997617,-0.068994
164.041667,163.931735,-5.005510,0.997467,-0.071137
167.322500,167.204000,-5.242464,0.997309,-0.073316
170.603333,170.475735,-5.486627,0.997143,-0.075532
173.884167,173.746914,-5.738118,0.996970,-0.077783
177.165000,177.017512,-5.997055,0.996789,-0.080071
180.445833,180.287503,-6.263555,0.996600,-0.082394
183.726667,183.556859,-6.537737,0.996402,-0.084753
187.007500,186.825551,-6.819716,0.996195,-0.087148
190.288333,190.093551,-7.109608,0.995980,-0.089577
193.569167,193.360829,-7.407528,0.995755,-0.092041
196.850000,196.627354,-7.713590,0.995521,-0.094540
200.130833,199.893096,-8.027906,0.995277,-0.097073
203.411667,203.158022,-8.350587,0.995024,-0.099639
206.692500,206.422099,-8.681743,0.994760,-0.102239
209.973333,209.685293,-9.021482,0.994486,-0.104872
213.254167,212.947571,-9.369911,0.994201,-0.107536
216.535000,216.208898,-9.727135,0.993906,-0.110233
219.815833,219.469238,-10.093256,0.993599,-0.112960
223.096667,222.728554,-10.468377,0.993282,-0.115718
226.377500,225.986811,-10.852595,0.992953,-0.118506
229.658333,229.243970,-11.246007,0.992613,-0.121323
232.939167,232.499994,-11.648709,0.992261,-0.124169
236.220000,235.754844,-12.060791,0.991897,-0.127042
239.500833,239.008481,-12.482345,0.991522,-0.129942
242.781667,242.260865,-12.913456,0.991134,-0.132868
246.062500,245.511956,-13.354209,0.990734,-0.135820
249.343333,248.761715,-13.804686,0.990321,-0.138796
252.624167,252.010099,-14.264966,0.989896,-0.141795
255.905000,255.257069,-14.735124,0.989458,-0.144817
259.185833,258.502581,-15.215234,0.989008,-0.147862
262.466667,261.746596,-15.705365,0.988545,-0.150926
265.747500,264.989070,-16.205584,0.988069,-0.154011
269.028333,268.229962,-16.715954,0.987580,-0.157114
272.309167,271.469229,-17.236536,0.987079,-0.160236
275.590000,274.706830,-17.767386,0.986564,-0.163374
278.870833,277.942721,-18.308558,0.986037,-0.166528
282.151667,281.176860,-18.860102,0.985496,-0.169696
285.432500,284.409206,-19.422064,0.984943,-0.172879
288.713333,287.639715,-19.994487,0.984377,-0.176073
291.994167,290.868346,-20.577410,0.983798,-0.179279
295.275000,294.095057,-21.170870,0.983207,-0.182496
298.555833,297.319806,-21.774897,0.982602,-0.185721
301.836667,300.542552,-22.389521,0.981986,-0.188955
305.117500,303.763255,-23.014765,0.981357,-0.192196
308.398333,306.981874,-23.650651,0.980715,-0.195442
311.679167,310.198370,-24.297195,0.980062,-0.198693
314.960000,313.412701,-24.954411,0.979396,-0.201947
318.240833,316.624830,-25.622307,0.978719,-0.205204
321.521667,319.834718,-26.300890,0.978031,-0.208461
324.802500,323.042328,-26.990161,0.977331,-0.211719
328.083333,326.247623,-27.690119,0.976619,-0.214975
