dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280834,-0.005468,0.999994,-0.003333
6.561680,6.561631,-0.021869,0.999978,-0.006664
9.842520,9.842356,-0.049194,0.999950,-0.009992
13.123360,13.122971,-0.087430,0.999911,-0.013315
16.404199,16.403442,-0.136558,0.999862,-0.016632
19.685039,19.683732,-0.196553,0.999801,-0.019940
22.965879,22.963805,-0.267384,0.999730,-0.023237
26.246719,26.243628,-0.349017,0.999648,-0.026524
29.527559,29.523165,-0.441409,0.999556,-0.029797
32.808399,32.802383,-0.544516,0.999454,-0.033055
36.089239,36.081248,-0.658284,0.999341,-0.036296
39.370079,39.359729,-0.782658,0.999219,-0.039519
42.650919,42.637792,-0.917576,0.999087,-0.042723
45.931759,45.915407,-1.062970,0.998946,-0.045905
49.212598,49.192544,-1.218768,0.998796,-0.049065
52.493438,52.469174,-1.384894,0.998637,-0.052201
55.774278,55.745269,-1.561265,0.998469,-0.055311
59.055118,59.020800,-1.747794,0.998294,-0.058393
62.335958,62.295743,-1.944391,0.998110,-0.061447
65.616798,65.570073,-2.150960,0.997920,-0.064472
68.897638,68.843764,-2.367399,0.997722,-0.067464
72.178478,72.116796,-2.593604,0.997517,-0.070425
75.459318,75.389145,-2.829466,0.997306,-0.073351
78.740157,78.660793,-3.074872,0.997089,-0.076242
82.020997,81.931720,-3.329704,0.996867,-0.079097
85.301837,85.201909,-3.593841,0.996639,-0.081914
88.582677,88.471343,-3.867158,0.996407,-0.084693
91.863517,91.740008,-4.149526,0.996171,-0.087432
95.144357,95.007891,-4.440813,0.995930,-0.090130
98.425197,98.274978,-4.740884,0.995686,-0.092786
101.706037,101.541260,-5.049599,0.995439,-0.095399
104.986877,104.806728,-5.366816,0.995189,-0.097969
108.267717,108.071373,-5.692390,0.994938,-0.100494
111.548556,111.335188,-6.026175,0.994684,-0.102973
114.829396,114.598170,-6.368018,0.994429,-0.105407
118.110236,117.860313,-6.717767,0.994173,-0.107793
121.391076,121.121617,-7.075267,0.993917,-0.110131
124.671916,124.382079,-7.440360,0.993661,-0.112421
127.952756,127.641700,-7.812886,0.993405,-0.114663
131.233596,130.900482,-8.192685,0.993149,-0.116854
134.514436,134.158427,-8.579591,0.992895,-0.118996
137.795276,137.415541,-8.973442,0.992642,-0.121087
141.076115,140.671827,-9.374070,0.992391,-0.123127
144.356955,143.927294,-9.781309,0.992142,-0.125117
147.637795,147.181949,-10.194989,0.991896,-0.127054
150.918635,150.435800,-10.614941,0.991652,-0.128940
154.199475,153.688858,-11.040995,0.991412,-0.130774
157.480315,156.941133,-11.472980,0.991176,-0.132556
160.761155,160.192638,-11.910725,0.990943,-0.134285
164.041995,163.443386,-12.354060,0.990714,-0.135963
167.322835,166.693391,-12.802811,0.990490,-0.137588
170.603675,169.942667,-13.256808,0.990270,-0.139161
173.884514,173.191230,-13.715881,0.990055,-0.140681
177.165354,176.439096,-14.179857,0.989845,-0.142150
180.446194,179.686282,-14.648568,0.989641,-0.143567
183.727034,182.932806,-15.121844,0.989441,-0.144933
187.007874,186.178686,-15.599516,0.989248,-0.146248
190.288714,189.423941,-16.081418,0.989060,-0.147511
193.569554,192.668590,-16.567383,0.988879,-0.148725
196.850394,195.912653,-17.057247,0.988703,-0.149888
200.131234,199.156149,-17.550847,0.988533,-0.151002
203.412073,202.399100,-18.048021,0.988370,-0.152067
206.692913,205.641525,-18.548611,0.988213,-0.153084
209.973753,208.883445,-19.052458,0.988063,-0.154053
213.254593,212.124882,-19.559408,0.987918,-0.154976
216.535433,215.365856,-20.069307,0.987780,-0.155852
219.816273,218.606388,-20.582006,0.987649,-0.156682
223.097113,221.846500,-21.097357,0.987524,-0.157468
226.377953,225.086212,-21.615214,0.987405,-0.158210
229.658793,228.325545,-22.135436,0.987293,-0.158910
232.939633,231.564520,-22.657883,0.987187,-0.159567
236.220472,234.803157,-23.182421,0.987087,-0.160184
239.501312,238.041476,-23.708915,0.986993,-0.160761
242.782152,241.279498,-24.237238,0.986906,-0.161299
246.062992,244.517242,-24.767264,0.986824,-0.161799
249.343832,247.754726,-25.298870,0.986748,-0.162262
252.624672,250.991970,-25.831939,0.986677,-0.162691
255.905512,254.228992,-26.366356,0.986612,-0.163085
259.186352,257.465808,-26.902012,0.986552,-0.163446
262.467192,260.702438,-27.438801,0.986498,-0.163775
265.748031,263.938895,-27.976619,0.986448,-0.164074
269.028871,267.175198,-28.515371,0.986403,-0.164344
272.309711,270.411361,-29.054963,0.986363,-0.164587
275.590551,273.647399,-29.595307,0.986327,-0.164803
278.871391,276.883325,-30.136317,0.986295,-0.164994
282.152231,280.119153,-30.677917,0.986267,-0.165161
285.433071,283.354894,-31.220029,0.986242,-0.165307
288.713911,286.590562,-31.762586,0.986221,-0.165432
291.994751,289.826165,-32.305522,0.986203,-0.165538
295.275591,293.061716,-32.848777,0.986188,-0.165627
298.556430,296.297221,-33.392296,0.986176,-0.165700
301.837270,299.532690,-33.936030,0.986166,-0.165758
305.118110,302.768131,-34.479934,0.986159,-0.165804
308.398950,306.003551,-35.023968,0.986153,-0.165838
311.679790,309.238954,-35.568098,0.986149,-0.165862
314.960630,312.474345,-36.112295,0.986146,-0.165879
318.241470,315.709730,-36.656535,0.986144,-0.165889
321.522310,318.945110,-37.200799,0.986144,-0.165894
324.803150,322.180490,-37.745074,0.986143,-0.165896
328.083990,325.415868,-38.289353,0.986143,-0.165896
