dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,-0.001667,0.999994,-0.003333
2.000000,1.999985,-0.006666,0.999978,-0.006664
3.000000,2.999950,-0.014994,0.999950,-0.009992
4.000000,3.999882,-0.026649,0.999911,-0.013315
5.000000,4.999769,-0.041623,0.999862,-0.016632
6.000000,5.999601,-0.059909,0.999801,-0.019940
7.000000,6.999368,-0.081499,0.999730,-0.023237
8.000000,7.999058,-0.106380,0.999648,-0.026524
9.000000,8.998661,-0.134542,0.999556,-0.029797
10.000000,9.998166,-0.165968,0.999454,-0.033055
11.000000,10.997565,-0.200645,0.999341,-0.036296
12.000000,11.996845,-0.238554,0.999219,-0.039519
13.000000,12.995999,-0.279677,0.999087,-0.042723
14.000000,13.995016,-0.323993,0.998946,-0.045905
15.000000,14.993887,-0.371481,0.998796,-0.049065
16.000000,15.992604,-0.422116,0.998637,-0.052201
17.000000,16.991158,-0.475873,0.998469,-0.055311
18.000000,17.989540,-0.532728,0.998294,-0.058393
19.000000,18.987743,-0.592650,0.998110,-0.061447
20.000000,19.985758,-0.655612,0.997920,-0.064472
21.000000,20.983579,-0.721583,0.997722,-0.067464
22.000000,21.981199,-0.790530,0.997517,-0.070425
23.000000,22.978611,-0.862421,0.997306,-0.073351
24.000000,23.975810,-0.937221,0.997089,-0.076242
25.000000,24.972788,-1.014894,0.996867,-0.079097
26.000000,25.969542,-1.095403,0.996639,-0.081914
27.000000,26.966065,-1.178710,0.996407,-0.084693
28.000000,27.962354,-1.264776,0.996171,-0.087432
29.000000,28.958405,-1.353560,0.995930,-0.090130
30.000000,29.954213,-1.445021,0.995686,-0.092786
31.000000,30.949776,-1.539118,0.995439,-0.095399
32.000000,31.945091,-1.635805,0.995189,-0.097969
33.000000,32.940154,-1.735041,0.994938,-0.100494
34.000000,33.934965,-1.836778,0.994684,-0.102973
35.000000,34.929522,-1.940972,0.994429,-0.105407
36.000000,35.923824,-2.047575,0.994173,-0.107793
37.000000,36.917869,-2.156541,0.993917,-0.110131
38.000000,37.911658,-2.267822,0.993661,-0.112421
39.000000,38.905190,-2.381368,0.993405,-0.114663
40.000000,39.898467,-2.497130,0.993149,-0.116854
41.000000,40.891489,-2.615059,0.992895,-0.118996
42.000000,41.884257,-2.735105,0.992642,-0.121087
43.000000,42.876773,-2.857217,0.992391,-0.123127
44.000000,43.869039,-2.981343,0.992142,-0.125117
45.000000,44.861058,-3.107433,0.991896,-0.127054
46.000000,45.852832,-3.235434,0.991652,-0.128940
47.000000,46.844364,-3.365295,0.991412,-0.130774
48.000000,47.835657,-3.496964,0.991176,-0.132556
49.000000,48.826716,-3.630389,0.990943,-0.134285
50.000000,49.817544,-3.765517,0.990714,-0.135963
51.000000,50.808146,-3.902297,0.990490,-0.137588
52.000000,51.798525,-4.040675,0.990270,-0.139161
53.000000,52.788687,-4.180600,0.990055,-0.140681
54.000000,53.778636,-4.322021,0.989845,-0.142150
55.000000,54.768379,-4.464884,0.989641,-0.143567
56.000000,55.757919,-4.609138,0.989441,-0.144933
57.000000,56.747264,-4.754733,0.989248,-0.146248
58.000000,57.736417,-4.901616,0.989060,-0.147511
59.000000,58.725386,-5.049738,0.988879,-0.148725
60.000000,59.714177,-5.199049,0.988703,-0.149888
61.000000,60.702794,-5.349498,0.988533,-0.151002
62.000000,61.691246,-5.501037,0.988370,-0.152067
63.000000,62.679537,-5.653617,0.988213,-0.153084
64.000000,63.667674,-5.807189,0.988063,-0.154053
65.000000,64.655664,-5.961707,0.987918,-0.154976
66.000000,65.643513,-6.117125,0.987780,-0.155852
67.000000,66.631227,-6.273395,0.987649,-0.156682
68.000000,67.618813,-6.430474,0.987524,-0.157468
69.000000,68.606277,-6.588317,0.987405,-0.158210
70.000000,69.593626,-6.746881,0.987293,-0.158910
71.000000,70.580866,-6.906123,0.987187,-0.159567
72.000000,71.568002,-7.066002,0.987087,-0.160184
73.000000,72.555042,-7.226477,0.986993,-0.160761
74.000000,73.541991,-7.387510,0.986906,-0.161299
75.000000,74.528855,-7.549062,0.986824,-0.161799
76.000000,75.515641,-7.711096,0.986748,-0.162262
77.000000,76.502352,-7.873575,0.986677,-0.162691
78.000000,77.488997,-8.036465,0.986612,-0.163085
79.000000,78.475578,-8.199733,0.986552,-0.163446
80.000000,79.462103,-8.363346,0.986498,-0.163775
81.000000,80.448575,-8.527274,0.986448,-0.164074
82.000000,81.435000,-8.691485,0.986403,-0.164344
83.000000,82.421383,-8.855953,0.986363,-0.164587
84.000000,83.407727,-9.020649,0.986327,-0.164803
85.000000,84.394037,-9.185550,0.986295,-0.164994
86.000000,85.380318,-9.350629,0.986267,-0.165161
87.000000,86.366572,-9.515865,0.986242,-0.165307
88.000000,87.352803,-9.681236,0.986221,-0.165432
89.000000,88.339015,-9.846723,0.986203,-0.165538
90.000000,89.325211,-10.012307,0.986188,-0.165627
91.000000,90.311393,-10.177972,0.986176,-0.165700
92.000000,91.297564,-10.343702,0.986166,-0.165758
93.000000,92.283726,-10.509484,0.986159,-0.165804
94.000000,93.269882,-10.675306,0.986153,-0.165838
95.000000,94.256033,-10.841156,0.986149,-0.165862
96.000000,95.242180,-11.007028,0.986146,-0.165879
97.000000,96.228326,-11.172912,0.986144,-0.165889
98.000000,97.214470,-11.338804,0.986144,-0.165894
99.000000,98.200613,-11.504699,0.986143,-0.165896
100.000000,99.186757,-11.670595,0.986143,-0.165896
