dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280840,-0.000000,1.000000,-0.000000
6.561680,6.561680,-0.000004,1.000000,-0.000002
9.842520,9.842520,-0.000018,1.000000,-0.000007
13.123360,13.123360,-0.000058,1.000000,-0.000018
16.404199,16.404199,-0.000140,1.000000,-0.000034
19.685039,19.685039,-0.000291,1.000000,-0.000059
22.965879,22.965879,-0.000539,1.000000,-0.000094
26.246719,26.246719,-0.000919,1.000000,-0.000140
29.527559,29.527559,-0.001471,1.000000,-0.000199
32.808399,32.808399,-0.002241,1.000000,-0.000273
36.089239,36.089239,-0.003279,1.000000,-0.000363
39.370079,39.370078,-0.004641,1.000000,-0.000470
42.650919,42.650918,-0.006387,1.000000,-0.000597
45.931759,45.931757,-0.008583,1.000000,-0.000745
49.212598,49.212595,-0.011300,1.000000,-0.000915
52.493438,52.493434,-0.014613,0.999999,-0.001109
55.774278,55.774271,-0.018603,0.999999,-0.001328
59.055118,59.055107,-0.023355,0.999999,-0.001574
62.335958,62.335942,-0.028959,0.999998,-0.001847
65.616798,65.616776,-0.035508,0.999998,-0.002150
68.897638,68.897607,-0.043102,0.999997,-0.002484
72.178478,72.178435,-0.051844,0.999996,-0.002850
75.459318,75.459260,-0.061841,0.999995,-0.003250
78.740157,78.740080,-0.073205,0.999993,-0.003684
82.020997,82.020895,-0.086052,0.999991,-0.004153
85.301837,85.301703,-0.100500,0.999989,-0.004660
88.582677,88.582503,-0.116673,0.999986,-0.005205
91.863517,91.863293,-0.134698,0.999983,-0.005790
95.144357,95.144072,-0.154707,0.999979,-0.006414
98.425197,98.424837,-0.176832,0.999975,-0.007080
101.706037,101.705586,-0.201211,0.999970,-0.007789
104.986877,104.986317,-0.227986,0.999964,-0.008540
108.267717,108.267026,-0.257298,0.999956,-0.009336
111.548556,111.547710,-0.289295,0.999948,-0.010177
114.829396,114.828364,-0.324126,0.999939,-0.011064
118.110236,118.108986,-0.361943,0.999928,-0.011997
121.391076,121.389570,-0.402900,0.999916,-0.012978
124.671916,124.670112,-0.447153,0.999902,-0.014007
127.952756,127.950604,-0.494860,0.999886,-0.015084
131.233596,131.231042,-0.546184,0.999869,-0.016211
134.514436,134.511419,-0.601285,0.999849,-0.017387
137.795276,137.791728,-0.660329,0.999827,-0.018614
141.076115,141.071960,-0.723480,0.999802,-0.019891
144.356955,144.352107,-0.790905,0.999775,-0.021220
147.637795,147.632159,-0.862773,0.999745,-0.022600
150.918635,150.912107,-0.939253,0.999711,-0.024031
154.199475,154.191940,-1.020514,0.999674,-0.025514
157.480315,157.471647,-1.106727,0.999634,-0.027050
160.761155,160.751215,-1.198063,0.999590,-0.028637
164.041995,164.030631,-1.294693,0.999542,-0.030277
167.322835,167.309881,-1.396788,0.999489,-0.031969
170.603675,170.588951,-1.504521,0.999432,-0.033713
173.884514,173.867825,-1.618061,0.999369,-0.035510
177.165354,177.146487,-1.737581,0.999302,-0.037358
180.446194,180.424919,-1.863249,0.999229,-0.039258
183.727034,183.703103,-1.995236,0.999151,-0.041210
187.007874,186.981019,-2.133710,0.999066,-0.043213
190.288714,190.258646,-2.278839,0.998975,-0.045266
193.569554,193.535965,-2.430788,0.998877,-0.047370
196.850394,196.812952,-2.589723,0.998773,-0.049525
200.131234,200.089585,-2.755807,0.998661,-0.051728
203.412073,203.365839,-2.929201,0.998542,-0.053981
206.692913,206.641689,-3.110065,0.998415,-0.056282
209.973753,209.917109,-3.298557,0.998280,-0.058630
213.254593,213.192072,-3.494831,0.998136,-0.061026
216.535433,216.466549,-3.699041,0.997984,-0.063468
219.816273,219.740513,-3.911336,0.997823,-0.065955
223.097113,223.013931,-4.131865,0.997652,-0.068487
226.377953,226.286775,-4.360772,0.997472,-0.071062
229.658793,229.559012,-4.598198,0.997282,-0.073680
232.939633,232.830609,-4.844283,0.997082,-0.076340
236.220472,236.101532,-5.099161,0.996871,-0.079040
239.501312,239.371749,-5.362965,0.996650,-0.081781
242.782152,242.641221,-5.635822,0.996418,-0.084559
246.062992,245.909915,-5.917856,0.996175,-0.087375
249.343832,249.177793,-6.209190,0.995921,-0.090227
252.624672,252.444819,-6.509938,0.995655,-0.093115
255.905512,255.710953,-6.820215,0.995378,-0.096035
259.186352,258.976157,-7.140127,0.995089,-0.098989
262.467192,262.240392,-7.469780,0.994787,-0.101973
265.748031,265.503618,-7.809272,0.994474,-0.104987
269.028871,268.765796,-8.158700,0.994148,-0.108029
272.309711,272.026884,-8.518153,0.993809,-0.111098
275.590551,275.286841,-8.887718,0.993459,-0.114193
278.871391,278.545627,-9.267474,0.993095,-0.117311
282.152231,281.803200,-9.657499,0.992719,-0.120452
285.433071,285.059519,-10.057864,0.992330,-0.123614
288.713911,288.314541,-10.468634,0.991929,-0.126795
291.994751,291.568225,-10.889870,0.991515,-0.129994
295.275591,294.820530,-11.321629,0.991088,-0.133209
298.556430,298.071413,-11.763961,0.990648,-0.136439
301.837270,301.320834,-12.216912,0.990196,-0.139682
305.118110,304.568751,-12.680520,0.989732,-0.142936
308.398950,307.815125,-13.154822,0.989255,-0.146200
311.679790,311.059913,-13.639846,0.988766,-0.149472
314.960630,314.303077,-14.135616,0.988265,-0.152751
318.241470,317.544577,-14.642151,0.987752,-0.156034
321.522310,320.784374,-15.159464,0.987227,-0.159320
324.803150,324.022431,-15.687562,0.986691,-0.162608
328.083990,327.258710,-16.226448,0.986143,-0.165896
