dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280833,-0.000000,1.000000,-0.000000
6.561667,6.561667,-0.000004,1.000000,-0.000002
9.842500,9.842500,-0.000018,1.000000,-0.000007
13.123333,13.123333,-0.000058,1.000000,-0.000018
16.404167,16.404167,-0.000140,1.000000,-0.000034
19.685000,19.685000,-0.000291,1.000000,-0.000059
22.965833,22.965833,-0.000539,1.000000,-0.000094
26.246667,26.246667,-0.000919,1.000000,-0.000140
29.527500,29.527500,-0.001471,1.000000,-0.000199
32.808333,32.808333,-0.002241,1.000000,-0.000273
36.089167,36.089166,-0.003279,1.000000,-0.000363
39.370000,39.369999,-0.004641,1.000000,-0.000470
42.650833,42.650832,-0.006387,1.000000,-0.000597
45.931667,45.931665,-0.008583,1.000000,-0.000745
49.212500,49.212497,-0.011300,1.000000,-0.000915
52.493333,52.493329,-0.014613,0.999999,-0.001109
55.774167,55.774160,-0.018603,0.999999,-0.001328
59.055000,59.054989,-0.023355,0.999999,-0.001574
62.335833,62.335818,-0.028959,0.999998,-0.001847
65.616667,65.616645,-0.035508,0.999998,-0.002150
68.897500,68.897469,-0.043102,0.999997,-0.002484
72.178333,72.178291,-0.051844,0.999996,-0.002850
75.459167,75.459109,-0.061841,0.999995,-0.003250
78.740000,78.739922,-0.073205,0.999993,-0.003684
82.020833,82.020731,-0.086051,0.999991,-0.004153
85.301667,85.301532,-0.100499,0.999989,-0.004660
88.582500,88.582326,-0.116673,0.999986,-0.005205
91.863333,91.863109,-0.134698,0.999983,-0.005790
95.144167,95.143882,-0.154706,0.999979,-0.006414
98.425000,98.424640,-0.176832,0.999975,-0.007080
101.705833,101.705383,-0.201211,0.999970,-0.007789
104.986667,104.986107,-0.227985,0.999964,-0.008540
108.267500,108.266809,-0.257298,0.999956,-0.009336
111.548333,111.547487,-0.289295,0.999948,-0.010177
114.829167,114.828135,-0.324126,0.999939,-0.011064
118.110000,118.108750,-0.361942,0.999928,-0.011997
121.390833,121.389328,-0.402899,0.999916,-0.012978
124.671667,124.669862,-0.447152,0.999902,-0.014007
127.952500,127.950348,-0.494859,0.999886,-0.015084
131.233333,131.230780,-0.546183,0.999869,-0.016211
134.514167,134.511150,-0.601284,0.999849,-0.017387
137.795000,137.791453,-0.660327,0.999827,-0.018614
141.075833,141.071678,-0.723478,0.999802,-0.019891
144.356667,144.351818,-0.790904,0.999775,-0.021220
147.637500,147.631864,-0.862772,0.999745,-0.022600
150.918333,150.911805,-0.939251,0.999711,-0.024031
154.199167,154.191632,-1.020512,0.999674,-0.025514
157.480000,157.471332,-1.106725,0.999634,-0.027050
160.760833,160.750893,-1.198060,0.999590,-0.028637
164.041667,164.030303,-1.294690,0.999542,-0.030277
167.322500,167.309547,-1.396786,0.999489,-0.031969
170.603333,170.588610,-1.504518,0.999432,-0.033713
173.884167,173.867478,-1.618058,0.999369,-0.035510
177.165000,177.146133,-1.737577,0.999302,-0.037358
180.445833,180.424559,-1.863245,0.999229,-0.039258
183.726667,183.702735,-1.995232,0.999151,-0.041210
187.007500,186.980645,-2.133706,0.999066,-0.043213
190.288333,190.258266,-2.278834,0.998975,-0.045266
193.569167,193.535578,-2.430783,0.998877,-0.047370
196.850000,196.812559,-2.589718,0.998773,-0.049525
200.130833,200.089185,-2.755801,0.998661,-0.051728
203.411667,203.365432,-2.929195,0.998542,-0.053981
206.692500,206.641276,-3.110059,0.998415,-0.056282
209.973333,209.916689,-3.298550,0.998280,-0.058630
213.254167,213.191645,-3.494824,0.998136,-0.061026
216.535000,216.466116,-3.699033,0.997984,-0.063468
219.815833,219.740073,-3.911328,0.997823,-0.065955
223.096667,223.013485,-4.131857,0.997652,-0.068487
226.377500,226.286323,-4.360763,0.997472,-0.071062
229.658333,229.558553,-4.598189,0.997282,-0.073680
232.939167,232.830143,-4.844273,0.997082,-0.076340
236.220000,236.101060,-5.099151,0.996871,-0.079040
239.500833,239.371270,-5.362954,0.996650,-0.081781
242.781667,242.640736,-5.635810,0.996418,-0.084559
246.062500,245.909423,-5.917844,0.996175,-0.087375
249.343333,249.177295,-6.209177,0.995921,-0.090227
252.624167,252.444314,-6.509925,0.995655,-0.093115
255.905000,255.710441,-6.820201,0.995378,-0.096035
259.185833,258.975639,-7.140113,0.995089,-0.098989
262.466667,262.239867,-7.469765,0.994787,-0.101973
265.747500,265.503087,-7.809257,0.994474,-0.104987
269.028333,268.765258,-8.158684,0.994148,-0.108029
272.309167,272.026340,-8.518136,0.993809,-0.111098
275.590000,275.286291,-8.887700,0.993459,-0.114193
278.870833,278.545070,-9.267456,0.993095,-0.117311
282.151667,281.802637,-9.657480,0.992719,-0.120452
285.432500,285.058949,-10.057844,0.992330,-0.123614
288.713333,288.313964,-10.468613,0.991929,-0.126795
291.994167,291.567642,-10.889849,0.991515,-0.129994
295.275000,294.819940,-11.321607,0.991088,-0.133209
298.555833,298.070817,-11.763938,0.990648,-0.136439
301.836667,301.320231,-12.216887,0.990196,-0.139682
305.117500,304.568142,-12.680495,0.989732,-0.142936
308.398333,307.814509,-13.154796,0.989255,-0.146200
311.679167,311.059291,-13.639819,0.988766,-0.149472
314.960000,314.302448,-14.135588,0.988265,-0.152751
318.240833,317.543942,-14.642122,0.987752,-0.156034
321.521667,320.783733,-15.159434,0.987227,-0.159320
324.802500,324.021783,-15.687531,0.986691,-0.162608
328.083333,327.258056,-16.226416,0.986143,-0.165896
