dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,1.000000,0.000500,0.999999,0.001000
2.000000,1.999999,0.002001,0.999998,0.002002
3.000000,2.999995,0.004504,0.999995,0.003005
4.000000,3.999989,0.008012,0.999992,0.004012
5.000000,4.999979,0.012530,0.999987,0.005024
6.000000,5.999964,0.018062,0.999982,0.006041
7.000000,6.999942,0.024615,0.999975,0.007066
8.000000,7.999913,0.032196,0.999967,0.008098
9.000000,8.999876,0.040814,0.999958,0.009139
10.000000,9.999829,0.050478,0.999948,0.010191
11.000000,10.999772,0.061199,0.999937,0.011254
12.000000,11.999702,0.072989,0.999924,0.012329
13.000000,12.999619,0.085861,0.999910,0.013418
14.000000,13.999522,0.099830,0.999895,0.014521
15.000000,14.999408,0.114909,0.999878,0.015640
16.000000,15.999277,0.131115,0.999859,0.016775
17.000000,16.999126,0.148465,0.999839,0.017929
18.000000,17.998955,0.166978,0.999818,0.019100
19.000000,18.998761,0.186672,0.999794,0.020292
20.000000,19.998542,0.207568,0.999769,0.021504
21.000000,20.998298,0.229687,0.999741,0.022737
22.000000,21.998025,0.253050,0.999712,0.023993
23.000000,22.997721,0.277680,0.999681,0.025272
24.000000,23.997385,0.303602,0.999647,0.026575
25.000000,24.997014,0.330840,0.999611,0.027904
26.000000,25.996605,0.359418,0.999572,0.029258
27.000000,26.996157,0.389365,0.999531,0.030639
28.000000,27.995666,0.420705,0.999486,0.032047
29.000000,28.995129,0.453469,0.999439,0.033484
30.000000,29.994543,0.487683,0.999389,0.034949
31.000000,30.993906,0.523377,0.999336,0.036444
32.000000,31.993213,0.560581,0.999279,0.037969
33.000000,32.992462,0.599325,0.999219,0.039525
34.000000,33.991649,0.639641,0.999155,0.041112
35.000000,34.990770,0.681561,0.999087,0.042732
36.000000,35.989821,0.725116,0.999015,0.044384
37.000000,36.988798,0.770339,0.998938,0.046068
38.000000,37.987696,0.817264,0.998858,0.047787
39.000000,38.986511,0.865924,0.998772,0.049539
40.000000,39.985239,0.916353,0.998682,0.051326
41.000000,40.983874,0.968586,0.998587,0.053147
42.000000,41.982411,1.022658,0.998486,0.055003
43.000000,42.980844,1.078604,0.998380,0.056894
44.000000,43.979169,1.136458,0.998269,0.058821
45.000000,44.977379,1.196258,0.998151,0.060784
46.000000,45.975469,1.258037,0.998027,0.062782
47.000000,46.973432,1.321834,0.997897,0.064817
48.000000,47.971261,1.387682,0.997761,0.066887
49.000000,48.968950,1.455620,0.997617,0.068994
50.000000,49.966493,1.525682,0.997467,0.071137
51.000000,50.963881,1.597906,0.997309,0.073316
52.000000,51.961108,1.672327,0.997143,0.075532
53.000000,52.958165,1.748982,0.996970,0.077783
54.000000,53.955046,1.827906,0.996789,0.080071
55.000000,54.951741,1.909135,0.996600,0.082394
56.000000,55.948242,1.992706,0.996402,0.084753
57.000000,56.944542,2.078654,0.996195,0.087148
58.000000,57.940630,2.167013,0.995980,0.089577
59.000000,58.936499,2.257819,0.995755,0.092041
60.000000,59.932138,2.351107,0.995521,0.094540
61.000000,60.927537,2.446911,0.995277,0.097073
62.000000,61.922689,2.545264,0.995024,0.099639
63.000000,62.917582,2.646200,0.994760,0.102239
64.000000,63.912205,2.749753,0.994486,0.104872
65.000000,64.906550,2.855955,0.994201,0.107536
66.000000,65.900604,2.964837,0.993906,0.110233
67.000000,66.894357,3.076431,0.993599,0.112960
68.000000,67.887799,3.190768,0.993282,0.115718
69.000000,68.880918,3.307878,0.992953,0.118506
70.000000,69.873702,3.427790,0.992613,0.121323
71.000000,70.866140,3.550534,0.992261,0.124169
72.000000,71.858220,3.676137,0.991897,0.127042
73.000000,72.849931,3.804626,0.991522,0.129942
74.000000,73.841259,3.936029,0.991134,0.132868
75.000000,74.832194,4.070371,0.990734,0.135820
76.000000,75.822722,4.207677,0.990321,0.138796
77.000000,76.812832,4.347970,0.989896,0.141795
78.000000,77.802510,4.491275,0.989458,0.144817
79.000000,78.791744,4.637613,0.989008,0.147862
80.000000,79.780522,4.787005,0.988545,0.150926
81.000000,80.768830,4.939472,0.988069,0.154011
82.000000,81.756656,5.095033,0.987580,0.157114
83.000000,82.743987,5.253707,0.987079,0.160236
84.000000,83.730809,5.415510,0.986564,0.163374
85.000000,84.717111,5.580460,0.986037,0.166528
86.000000,85.702878,5.748571,0.985496,0.169696
87.000000,86.688099,5.919857,0.984943,0.172879
88.000000,87.672760,6.094332,0.984377,0.176073
89.000000,88.656849,6.272007,0.983798,0.179279
90.000000,89.640353,6.452894,0.983207,0.182496
91.000000,90.623258,6.637002,0.982602,0.185721
92.000000,91.605553,6.824340,0.981986,0.188955
93.000000,92.587225,7.014914,0.981357,0.192196
94.000000,93.568262,7.208733,0.980715,0.195442
95.000000,94.548652,7.405800,0.980062,0.198693
96.000000,95.528382,7.606120,0.979396,0.201947
97.000000,96.507441,7.809695,0.978719,0.205204
98.000000,97.485817,8.016527,0.978031,0.208461
99.000000,98.463499,8.226618,0.977331,0.211719
100.000000,99.440474,8.439965,0.976619,0.214975
