dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280839,0.001641,0.999999,0.001000
6.561680,6.561675,0.006564,0.999998,0.002002
9.842520,9.842505,0.014777,0.999995,0.003005
13.123360,13.123324,0.026287,0.999992,0.004012
16.404199,16.404131,0.041109,0.999987,0.005024
19.685039,19.684920,0.059259,0.999982,0.006041
22.965879,22.965689,0.080758,0.999975,0.007066
26.246719,26.246435,0.105630,0.999967,0.008098
29.527559,29.527153,0.133903,0.999958,0.009139
32.808399,32.807839,0.165609,0.999948,0.010191
36.089239,36.088491,0.200784,0.999937,0.011254
39.370079,39.369102,0.239466,0.999924,0.012329
42.650919,42.649670,0.281698,0.999910,0.013418
45.931759,45.930190,0.327525,0.999895,0.014521
49.212598,49.210657,0.376997,0.999878,0.015640
52.493438,52.491065,0.430167,0.999859,0.016775
55.774278,55.771411,0.487091,0.999839,0.017929
59.055118,59.051689,0.547829,0.999818,0.019100
62.335958,62.331892,0.612442,0.999794,0.020292
65.616798,65.612015,0.680998,0.999769,0.021504
68.897638,68.892052,0.753566,0.999741,0.022737
72.178478,72.171996,0.830216,0.999712,0.023993
75.459318,75.451841,0.911025,0.999681,0.025272
78.740157,78.731578,0.996070,0.999647,0.026575
82.020997,82.011200,1.085432,0.999611,0.027904
85.301837,85.290700,1.179194,0.999572,0.029258
88.582677,88.570068,1.277443,0.999531,0.030639
91.863517,91.849296,1.380267,0.999486,0.032047
95.144357,95.128375,1.487758,0.999439,0.033484
98.425197,98.407293,1.600008,0.999389,0.034949
101.706037,101.686042,1.717115,0.999336,0.036444
104.986877,104.964610,1.839175,0.999279,0.037969
108.267717,108.242986,1.966290,0.999219,0.039525
111.548556,111.521159,2.098560,0.999155,0.041112
114.829396,114.799114,2.236091,0.999087,0.042732
118.110236,118.076840,2.378988,0.999015,0.044384
121.391076,121.354323,2.527358,0.998938,0.046068
124.671916,124.631548,2.681311,0.998858,0.047787
127.952756,127.908501,2.840957,0.998772,0.049539
131.233596,131.185166,3.006408,0.998682,0.051326
134.514436,134.461528,3.177777,0.998587,0.053147
137.795276,137.737567,3.355178,0.998486,0.055003
141.076115,141.013268,3.538726,0.998380,0.056894
144.356955,144.288612,3.728538,0.998269,0.058821
147.637795,147.563580,3.924729,0.998151,0.060784
150.918635,150.838153,4.127419,0.998027,0.062782
154.199475,154.112309,4.336724,0.997897,0.064817
157.480315,157.386027,4.552764,0.997761,0.066887
160.761155,160.659286,4.775656,0.997617,0.068994
164.041995,163.932063,5.005520,0.997467,0.071137
167.322835,167.204334,5.242474,0.997309,0.073316
170.603675,170.476076,5.486638,0.997143,0.075532
173.884514,173.747262,5.738129,0.996970,0.077783
177.165354,177.017866,5.997067,0.996789,0.080071
180.446194,180.287864,6.263568,0.996600,0.082394
183.727034,183.557226,6.537750,0.996402,0.084753
187.007874,186.825925,6.819730,0.996195,0.087148
190.288714,190.093931,7.109623,0.995980,0.089577
193.569554,193.361216,7.407543,0.995755,0.092041
196.850394,196.627748,7.713606,0.995521,0.094540
200.131234,199.893496,8.027922,0.995277,0.097073
203.412073,203.158428,8.350604,0.995024,0.099639
206.692913,206.422512,8.681760,0.994760,0.102239
209.973753,209.685713,9.021500,0.994486,0.104872
213.254593,212.947997,9.369930,0.994201,0.107536
216.535433,216.209330,9.727154,0.993906,0.110233
219.816273,219.469677,10.093277,0.993599,0.112960
223.097113,222.729000,10.468398,0.993282,0.115718
226.377953,225.987263,10.852617,0.992953,0.118506
229.658793,229.244429,11.246030,0.992613,0.121323
232.939633,232.500459,11.648732,0.992261,0.124169
236.220472,235.755316,12.060816,0.991897,0.127042
239.501312,239.008959,12.482370,0.991522,0.129942
242.782152,242.261350,12.913482,0.991134,0.132868
246.062992,245.512448,13.354236,0.990734,0.135820
249.343832,248.762212,13.804714,0.990321,0.138796
252.624672,252.010603,14.264994,0.989896,0.141795
255.905512,255.257579,14.735154,0.989458,0.144817
259.186352,258.503098,15.215264,0.989008,0.147862
262.467192,261.747119,15.705396,0.988545,0.150926
265.748031,264.989600,16.205616,0.988069,0.154011
269.028871,268.230499,16.715987,0.987580,0.157114
272.309711,271.469772,17.236570,0.987079,0.160236
275.590551,274.707379,17.767422,0.986564,0.163374
278.871391,277.943277,18.308595,0.986037,0.166528
282.152231,281.177423,18.860140,0.985496,0.169696
285.433071,284.409774,19.422103,0.984943,0.172879
288.713911,287.640290,19.994527,0.984377,0.176073
291.994751,290.868927,20.577451,0.983798,0.179279
295.275591,294.095645,21.170912,0.983207,0.182496
298.556430,297.320401,21.774941,0.982602,0.185721
301.837270,300.543154,22.389565,0.981986,0.188955
305.118110,303.763863,23.014811,0.981357,0.192196
308.398950,306.982488,23.650698,0.980715,0.195442
311.679790,310.198990,24.297243,0.980062,0.198693
314.960630,313.413328,24.954460,0.979396,0.201947
318.241470,316.625463,25.622358,0.978719,0.205204
321.522310,319.835358,26.300943,0.978031,0.208461
324.803150,323.042974,26.990215,0.977331,0.211719
328.083990,326.248276,27.690174,0.976619,0.214975
