dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280834,0.005468,0.999994,0.003333
6.561680,6.561631,0.021870,0.999978,0.006665
9.842520,9.842356,0.049199,0.999950,0.009995
13.123360,13.122971,0.087447,0.999911,0.013321
16.404199,16.403441,0.136600,0.999862,0.016642
19.685039,19.683730,0.196640,0.999801,0.019957
22.965879,22.963802,0.267546,0.999729,0.023266
26.246719,26.243622,0.349292,0.999647,0.026566
29.527559,29.523155,0.441850,0.999554,0.029856
32.808399,32.802365,0.545188,0.999451,0.033136
36.089239,36.081220,0.659268,0.999337,0.036405
39.370079,39.359684,0.784050,0.999213,0.039660
42.650919,42.637726,0.919491,0.999079,0.042902
45.931759,45.915312,1.065543,0.998936,0.046129
49.212598,49.192410,1.222155,0.998782,0.049339
52.493438,52.468990,1.389274,0.998619,0.052533
55.774278,55.745019,1.566840,0.998447,0.055708
59.055118,59.020470,1.754793,0.998266,0.058864
62.335958,62.295312,1.953068,0.998076,0.062000
65.616798,65.569517,2.161597,0.997878,0.065115
68.897638,68.843057,2.380309,0.997671,0.068208
72.178478,72.115906,2.609131,0.997457,0.071278
75.459318,75.388039,2.847984,0.997234,0.074323
78.740157,78.659430,3.096789,0.997004,0.077344
82.020997,81.930055,3.355464,0.996768,0.080339
85.301837,85.199892,3.623921,0.996524,0.083308
88.582677,88.468918,3.902072,0.996274,0.086249
91.863517,91.737113,4.189828,0.996017,0.089162
95.144357,95.004457,4.487093,0.995755,0.092046
98.425197,98.270931,4.793773,0.995487,0.094901
101.706037,101.536517,5.109769,0.995213,0.097725
104.986877,104.801197,5.434980,0.994935,0.100518
108.267717,108.064958,5.769303,0.994652,0.103280
111.548556,111.327783,6.112636,0.994365,0.106010
114.829396,114.589659,6.464870,0.994074,0.108707
118.110236,117.850573,6.825897,0.993779,0.111370
121.391076,121.110514,7.195609,0.993481,0.114000
124.671916,124.369472,7.573893,0.993179,0.116596
127.952756,127.627437,7.960636,0.992875,0.119157
131.233596,130.884400,8.355724,0.992569,0.121683
134.514436,134.140355,8.759041,0.992261,0.124174
137.795276,137.395294,9.170472,0.991950,0.126629
141.076115,140.649212,9.589898,0.991638,0.129048
144.356955,143.902106,10.017201,0.991325,0.131430
147.637795,147.153971,10.452262,0.991012,0.133777
150.918635,150.404805,10.894961,0.990697,0.136086
154.199475,153.654607,11.345177,0.990382,0.138359
157.480315,156.903375,11.802791,0.990067,0.140596
160.761155,160.151111,12.267680,0.989752,0.142795
164.041995,163.397814,12.739723,0.989438,0.144957
167.322835,166.643487,13.218801,0.989124,0.147082
170.603675,169.888132,13.704790,0.988811,0.149171
173.884514,173.131752,14.197571,0.988500,0.151222
177.165354,176.374352,14.697022,0.988189,0.153237
180.446194,179.615937,15.203024,0.987881,0.155216
183.727034,182.856511,15.715457,0.987574,0.157157
187.007874,186.096080,16.234201,0.987268,0.159063
190.288714,189.334652,16.759140,0.986965,0.160933
193.569554,192.572233,17.290155,0.986664,0.162768
196.850394,195.808831,17.827130,0.986366,0.164567
200.131234,199.044453,18.369950,0.986070,0.166331
203.412073,202.279109,18.918501,0.985777,0.168060
206.692913,205.512808,19.472670,0.985486,0.169756
209.973753,208.745557,20.032347,0.985198,0.171418
213.254593,211.977367,20.597422,0.984914,0.173046
216.535433,215.208248,21.167786,0.984632,0.174642
219.816273,218.438210,21.743335,0.984353,0.176207
223.097113,221.667263,22.323963,0.984078,0.177739
226.377953,224.895416,22.909568,0.983805,0.179241
229.658793,228.122681,23.500049,0.983536,0.180712
232.939633,231.349068,24.095310,0.983270,0.182154
236.220472,234.574588,24.695254,0.983007,0.183567
239.501312,237.799250,25.299787,0.982748,0.184952
242.782152,241.023066,25.908819,0.982491,0.186309
246.062992,244.246046,26.522261,0.982238,0.187640
249.343832,247.468199,27.140026,0.981988,0.188945
252.624672,250.689537,27.762033,0.981740,0.190226
255.905512,253.910069,28.388199,0.981496,0.191482
259.186352,257.129804,29.018448,0.981255,0.192714
262.467192,260.348752,29.652705,0.981016,0.193925
265.748031,263.566922,30.290898,0.980781,0.195114
269.028871,266.784323,30.932958,0.980547,0.196282
272.309711,270.000963,31.578819,0.980317,0.197432
275.590551,273.216850,32.228420,0.980088,0.198562
278.871391,276.431991,32.881700,0.979862,0.199675
282.152231,279.646394,33.538604,0.979638,0.200771
285.433071,282.860065,34.199080,0.979416,0.201852
288.713911,286.073010,34.863077,0.979196,0.202918
291.994751,289.285235,35.530551,0.978977,0.203971
295.275591,292.496745,36.201458,0.978760,0.205012
298.556430,295.707543,36.875760,0.978543,0.206041
301.837270,298.917634,37.553421,0.978328,0.207060
305.118110,302.127021,38.234410,0.978114,0.208070
308.398950,305.335706,38.918698,0.977900,0.209071
311.679790,308.543690,39.606262,0.977687,0.210066
314.960630,311.750976,40.297079,0.977474,0.211055
318.241470,314.957563,40.991134,0.977261,0.212040
321.522310,318.163450,41.688411,0.977048,0.213020
324.803150,321.368637,42.388902,0.976834,0.213999
328.083990,324.573121,43.092599,0.976619,0.214975
