dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,0.001667,0.999994,0.003333
2.000000,1.999985,0.006666,0.999978,0.006665
3.000000,2.999950,0.014996,0.999950,0.009995
4.000000,3.999882,0.026654,0.999911,0.013321
5.000000,4.999769,0.041636,0.999862,0.016642
6.000000,5.999601,0.059936,0.999801,0.019957
7.000000,6.999367,0.081548,0.999729,0.023266
8.000000,7.999056,0.106464,0.999647,0.026566
9.000000,8.998658,0.134676,0.999554,0.029856
10.000000,9.998161,0.166173,0.999451,0.033136
11.000000,10.997556,0.200945,0.999337,0.036405
12.000000,11.996832,0.238978,0.999213,0.039660
13.000000,12.995979,0.280261,0.999079,0.042902
14.000000,13.994987,0.324777,0.998936,0.046129
15.000000,14.993847,0.372513,0.998782,0.049339
16.000000,15.992548,0.423451,0.998619,0.052533
17.000000,16.991082,0.477573,0.998447,0.055708
18.000000,17.989439,0.534861,0.998266,0.058864
19.000000,18.987611,0.595295,0.998076,0.062000
20.000000,19.985589,0.658855,0.997878,0.065115
21.000000,20.983364,0.725518,0.997671,0.068208
22.000000,21.980928,0.795263,0.997457,0.071278
23.000000,22.978274,0.868066,0.997234,0.074323
24.000000,23.975394,0.943901,0.997004,0.077344
25.000000,24.972281,1.022745,0.996768,0.080339
26.000000,25.968927,1.104571,0.996524,0.083308
27.000000,26.965326,1.189352,0.996274,0.086249
28.000000,27.961472,1.277060,0.996017,0.089162
29.000000,28.957359,1.367666,0.995755,0.092046
30.000000,29.952980,1.461142,0.995487,0.094901
31.000000,30.948330,1.557457,0.995213,0.097725
32.000000,31.943405,1.656582,0.994935,0.100518
33.000000,32.938199,1.758484,0.994652,0.103280
34.000000,33.932708,1.863131,0.994365,0.106010
35.000000,34.926928,1.970492,0.994074,0.108707
36.000000,35.920855,2.080534,0.993779,0.111370
37.000000,36.914485,2.193222,0.993481,0.114000
38.000000,37.907815,2.308522,0.993179,0.116596
39.000000,38.900843,2.426402,0.992875,0.119157
40.000000,39.893565,2.546825,0.992569,0.121683
41.000000,40.885980,2.669756,0.992261,0.124174
42.000000,41.878086,2.795160,0.991950,0.126629
43.000000,42.869880,2.923001,0.991638,0.129048
44.000000,43.861362,3.053243,0.991325,0.131430
45.000000,44.852530,3.185850,0.991012,0.133777
46.000000,45.843385,3.320784,0.990697,0.136086
47.000000,46.833924,3.458010,0.990382,0.138359
48.000000,47.824149,3.597491,0.990067,0.140596
49.000000,48.814059,3.739189,0.989752,0.142795
50.000000,49.803654,3.883068,0.989438,0.144957
51.000000,50.792935,4.029090,0.989124,0.147082
52.000000,51.781903,4.177220,0.988811,0.149171
53.000000,52.770558,4.327420,0.988500,0.151222
54.000000,53.758903,4.479652,0.988189,0.153237
55.000000,54.746938,4.633882,0.987881,0.155216
56.000000,55.734664,4.790071,0.987574,0.157157
57.000000,56.722085,4.948185,0.987268,0.159063
58.000000,57.709202,5.108186,0.986965,0.160933
59.000000,58.696017,5.270039,0.986664,0.162768
60.000000,59.682532,5.433709,0.986366,0.164567
61.000000,60.668749,5.599161,0.986070,0.166331
62.000000,61.654673,5.766359,0.985777,0.168060
63.000000,62.640304,5.935270,0.985486,0.169756
64.000000,63.625646,6.105859,0.985198,0.171418
65.000000,64.610702,6.278094,0.984914,0.173046
66.000000,65.595474,6.451941,0.984632,0.174642
67.000000,66.579966,6.627368,0.984353,0.176207
68.000000,67.564182,6.804344,0.984078,0.177739
69.000000,68.548123,6.982836,0.983805,0.179241
70.000000,69.531793,7.162815,0.983536,0.180712
71.000000,70.515196,7.344251,0.983270,0.182154
72.000000,71.498334,7.527113,0.983007,0.183567
73.000000,72.481211,7.711375,0.982748,0.184952
74.000000,73.463830,7.897008,0.982491,0.186309
75.000000,74.446195,8.083985,0.982238,0.187640
76.000000,75.428307,8.272280,0.981988,0.188945
77.000000,76.410171,8.461868,0.981740,0.190226
78.000000,77.391789,8.652723,0.981496,0.191482
79.000000,78.373164,8.844823,0.981255,0.192714
80.000000,79.354300,9.038145,0.981016,0.193925
81.000000,80.335198,9.232666,0.980781,0.195114
82.000000,81.315862,9.428366,0.980547,0.196282
83.000000,82.296294,9.625224,0.980317,0.197432
84.000000,83.276496,9.823222,0.980088,0.198562
85.000000,84.256471,10.022342,0.979862,0.199675
86.000000,85.236221,10.222567,0.979638,0.200771
87.000000,86.215748,10.423880,0.979416,0.201852
88.000000,87.195054,10.626266,0.979196,0.202918
89.000000,88.174140,10.829712,0.978977,0.203971
90.000000,89.153008,11.034204,0.978760,0.205012
91.000000,90.131659,11.239732,0.978543,0.206041
92.000000,91.110095,11.446283,0.978328,0.207060
93.000000,92.088316,11.653848,0.978114,0.208070
94.000000,93.066323,11.862419,0.977900,0.209071
95.000000,94.044117,12.071989,0.977687,0.210066
96.000000,95.021697,12.282550,0.977474,0.211055
97.000000,95.999065,12.494098,0.977261,0.212040
98.000000,96.976220,12.706628,0.977048,0.213020
99.000000,97.953160,12.920137,0.976834,0.213999
100.000000,98.929887,13.134624,0.976619,0.214975
