dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280827,0.005468,0.999994,0.003333
6.561667,6.561618,0.021869,0.999978,0.006664
9.842500,9.842336,0.049194,0.999950,0.009992
13.123333,13.122945,0.087430,0.999911,0.013315
16.404167,16.403409,0.136558,0.999862,0.016632
19.685000,19.683692,0.196552,0.999801,0.019940
22.965833,22.963759,0.267384,0.999730,0.023237
26.246667,26.243576,0.349016,0.999648,0.026524
29.527500,29.523106,0.441408,0.999556,0.029797
32.808333,32.802318,0.544514,0.999454,0.033055
36.089167,36.081176,0.658283,0.999341,0.036296
39.370000,39.359650,0.782657,0.999219,0.039519
42.650833,42.637707,0.917574,0.999087,0.042723
45.931667,45.915315,1.062968,0.998946,0.045905
49.212500,49.192446,1.218766,0.998796,0.049065
52.493333,52.469069,1.384891,0.998637,0.052201
55.774167,55.745157,1.561261,0.998469,0.055311
59.055000,59.020682,1.747791,0.998294,0.058393
62.335833,62.295619,1.944387,0.998110,0.061447
65.616667,65.569941,2.150955,0.997920,0.064472
68.897500,68.843627,2.367394,0.997722,0.067464
72.178333,72.116651,2.593599,0.997517,0.070425
75.459167,75.388994,2.829460,0.997306,0.073351
78.740000,78.660636,3.074866,0.997089,0.076242
82.020833,81.931556,3.329697,0.996867,0.079097
85.301667,85.201738,3.593834,0.996639,0.081914
88.582500,88.471166,3.867150,0.996407,0.084693
91.863333,91.739825,4.149518,0.996171,0.087432
95.144167,95.007701,4.440804,0.995930,0.090130
98.425000,98.274782,4.740874,0.995686,0.092786
101.705833,101.541057,5.049588,0.995439,0.095399
104.986667,104.806518,5.366805,0.995189,0.097969
108.267500,108.071156,5.692379,0.994938,0.100494
111.548333,111.334966,6.026163,0.994684,0.102973
114.829167,114.597941,6.368005,0.994429,0.105407
118.110000,117.860078,6.717754,0.994173,0.107793
121.390833,121.121374,7.075253,0.993917,0.110131
124.671667,124.381830,7.440345,0.993661,0.112421
127.952500,127.641445,7.812871,0.993405,0.114663
131.233333,130.900220,8.192668,0.993149,0.116854
134.514167,134.158159,8.579574,0.992895,0.118996
137.795000,137.415266,8.973424,0.992642,0.121087
141.075833,140.671546,9.374052,0.992391,0.123127
144.356667,143.927006,9.781289,0.992142,0.125117
147.637500,147.181654,10.194968,0.991896,0.127054
150.918333,150.435499,10.614919,0.991652,0.128940
154.199167,153.688550,11.040973,0.991412,0.130774
157.480000,156.940819,11.472957,0.991176,0.132556
160.760833,160.192318,11.910702,0.990943,0.134285
164.041667,163.443059,12.354035,0.990714,0.135963
167.322500,166.693058,12.802785,0.990490,0.137588
170.603333,169.942327,13.256782,0.990270,0.139161
173.884167,173.190883,13.715853,0.990055,0.140681
177.165000,176.438743,14.179829,0.989845,0.142150
180.445833,179.685923,14.648539,0.989641,0.143567
183.726667,182.932440,15.121814,0.989441,0.144933
187.007500,186.178314,15.599485,0.989248,0.146248
190.288333,189.423563,16.081386,0.989060,0.147511
193.569167,192.668205,16.567350,0.988879,0.148725
196.850000,195.912261,17.057213,0.988703,0.149888
200.130833,199.155751,17.550812,0.988533,0.151002
203.411667,202.398695,18.047985,0.988370,0.152067
206.692500,205.641113,18.548574,0.988213,0.153084
209.973333,208.883027,19.052420,0.988063,0.154053
213.254167,212.124457,19.559369,0.987918,0.154976
216.535000,215.365425,20.069267,0.987780,0.155852
219.815833,218.605951,20.581965,0.987649,0.156682
223.096667,221.846056,21.097314,0.987524,0.157468
226.377500,225.085761,21.615171,0.987405,0.158210
229.658333,228.325088,22.135392,0.987293,0.158910
232.939167,231.564057,22.657838,0.987187,0.159567
236.220000,234.802687,23.182374,0.987087,0.160184
239.500833,238.041000,23.708868,0.986993,0.160761
242.781667,241.279016,24.237190,0.986906,0.161299
246.062500,244.516753,24.767214,0.986824,0.161799
249.343333,247.754231,25.298819,0.986748,0.162262
252.624167,250.991468,25.831887,0.986677,0.162691
255.905000,254.228483,26.366304,0.986612,0.163085
259.185833,257.465293,26.901959,0.986552,0.163446
262.466667,260.701916,27.438746,0.986498,0.163775
265.747500,263.938367,27.976563,0.986448,0.164074
269.028333,267.174663,28.515314,0.986403,0.164344
272.309167,270.410820,29.054905,0.986363,0.164587
275.590000,273.646851,29.595247,0.986327,0.164803
278.870833,276.882771,30.136257,0.986295,0.164994
282.151667,280.118592,30.677855,0.986267,0.165161
285.432500,283.354328,31.219967,0.986242,0.165307
288.713333,286.589988,31.762523,0.986221,0.165432
291.994167,289.825586,32.305457,0.986203,0.165538
295.275000,293.061129,32.848711,0.986188,0.165627
298.555833,296.296629,33.392230,0.986176,0.165700
301.836667,299.532091,33.935962,0.986166,0.165758
305.117500,302.767526,34.479865,0.986159,0.165804
308.398333,306.002939,35.023898,0.986153,0.165838
311.679167,309.238336,35.568027,0.986149,0.165862
314.960000,312.473720,36.112223,0.986146,0.165879
318.240833,315.709099,36.656462,0.986144,0.165889
321.521667,318.944472,37.200725,0.986144,0.165894
324.802500,322.179846,37.744999,0.986143,0.165896
328.083333,325.415218,38.289276,0.986143,0.165896
