dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,1.000000,0.000000,1.000000,0.000000
2.000000,2.000000,0.000001,1.000000,0.000002
3.000000,3.000000,0.000006,1.000000,0.000007
4.000000,4.000000,0.000018,1.000000,0.000018
5.000000,5.000000,0.000043,1.000000,0.000034
6.000000,6.000000,0.000089,1.000000,0.000059
7.000000,7.000000,0.000164,1.000000,0.000094
8.000000,8.000000,0.000280,1.000000,0.000140
9.000000,9.000000,0.000448,1.000000,0.000199
10.000000,10.000000,0.000683,1.000000,0.000273
11.000000,11.000000,0.000999,1.000000,0.000363
12.000000,12.000000,0.001415,1.000000,0.000470
13.000000,13.000000,0.001947,1.000000,0.000597
14.000000,13.999999,0.002616,1.000000,0.000745
15.000000,14.999999,0.003444,1.000000,0.000915
16.000000,15.999999,0.004454,0.999999,0.001109
17.000000,16.999998,0.005670,0.999999,0.001328
18.000000,17.999997,0.007119,0.999999,0.001574
19.000000,18.999995,0.008827,0.999998,0.001847
20.000000,19.999993,0.010823,0.999998,0.002150
21.000000,20.999991,0.013138,0.999997,0.002484
22.000000,21.999987,0.015802,0.999996,0.002850
23.000000,22.999982,0.018849,0.999995,0.003250
24.000000,23.999976,0.022313,0.999993,0.003684
25.000000,24.999969,0.026229,0.999991,0.004153
26.000000,25.999959,0.030632,0.999989,0.004660
27.000000,26.999947,0.035562,0.999986,0.005205
28.000000,27.999932,0.041056,0.999983,0.005790
29.000000,28.999913,0.047155,0.999979,0.006414
30.000000,29.999890,0.053898,0.999975,0.007080
31.000000,30.999863,0.061329,0.999970,0.007789
32.000000,31.999829,0.069490,0.999964,0.008540
33.000000,32.999789,0.078424,0.999956,0.009336
34.000000,33.999742,0.088177,0.999948,0.010177
35.000000,34.999685,0.098794,0.999939,0.011064
36.000000,35.999619,0.110320,0.999928,0.011997
37.000000,36.999541,0.122804,0.999916,0.012978
38.000000,37.999450,0.136292,0.999902,0.014007
39.000000,38.999344,0.150833,0.999886,0.015084
40.000000,39.999222,0.166477,0.999869,0.016211
41.000000,40.999081,0.183272,0.999849,0.017387
42.000000,41.998919,0.201268,0.999827,0.018614
43.000000,42.998733,0.220517,0.999802,0.019891
44.000000,43.998522,0.241068,0.999775,0.021220
45.000000,44.998282,0.262973,0.999745,0.022600
46.000000,45.998010,0.286284,0.999711,0.024031
47.000000,46.997703,0.311053,0.999674,0.025514
48.000000,47.997358,0.337330,0.999634,0.027050
49.000000,48.996970,0.365170,0.999590,0.028637
50.000000,49.996536,0.394622,0.999542,0.030277
51.000000,50.996052,0.425741,0.999489,0.031969
52.000000,51.995512,0.458578,0.999432,0.033713
53.000000,52.994913,0.493185,0.999369,0.035510
54.000000,53.994249,0.529615,0.999302,0.037358
55.000000,54.993515,0.567918,0.999229,0.039258
56.000000,55.992706,0.608148,0.999151,0.041210
57.000000,56.991814,0.650355,0.999066,0.043213
58.000000,57.990835,0.694590,0.998975,0.045266
59.000000,58.989762,0.740904,0.998877,0.047370
60.000000,59.988588,0.789348,0.998773,0.049525
61.000000,60.987306,0.839970,0.998661,0.051728
62.000000,61.985908,0.892821,0.998542,0.053981
63.000000,62.984387,0.947948,0.998415,0.056282
64.000000,63.982735,1.005400,0.998280,0.058630
65.000000,64.980943,1.065224,0.998136,0.061026
66.000000,65.979004,1.127468,0.997984,0.063468
67.000000,66.976908,1.192175,0.997823,0.065955
68.000000,67.974646,1.259392,0.997652,0.068487
69.000000,68.972209,1.329163,0.997472,0.071062
70.000000,69.969587,1.401531,0.997282,0.073680
71.000000,70.966769,1.476537,0.997082,0.076340
72.000000,71.963747,1.554224,0.996871,0.079040
73.000000,72.960509,1.634632,0.996650,0.081781
74.000000,73.957044,1.717798,0.996418,0.084559
75.000000,74.953342,1.803763,0.996175,0.087375
76.000000,75.949391,1.892561,0.995921,0.090227
77.000000,76.945181,1.984229,0.995655,0.093115
78.000000,77.940698,2.078801,0.995378,0.096035
79.000000,78.935933,2.176311,0.995089,0.098989
80.000000,79.930871,2.276789,0.994787,0.101973
81.000000,80.925503,2.380266,0.994474,0.104987
82.000000,81.919815,2.486772,0.994148,0.108029
83.000000,82.913794,2.596333,0.993809,0.111098
84.000000,83.907429,2.708976,0.993459,0.114193
85.000000,84.900707,2.824726,0.993095,0.117311
86.000000,85.893616,2.943606,0.992719,0.120452
87.000000,86.886141,3.065637,0.992330,0.123614
88.000000,87.878272,3.190840,0.991929,0.126795
89.000000,88.869995,3.319232,0.991515,0.129994
90.000000,89.861297,3.450833,0.991088,0.133209
91.000000,90.852167,3.585655,0.990648,0.136439
92.000000,91.842590,3.723715,0.990196,0.139682
93.000000,92.832555,3.865023,0.989732,0.142936
94.000000,93.822050,4.009590,0.989255,0.146200
95.000000,94.811061,4.157425,0.988766,0.149472
96.000000,95.799578,4.308536,0.988265,0.152751
97.000000,96.787587,4.462928,0.987752,0.156034
98.000000,97.775077,4.620605,0.987227,0.159320
99.000000,98.762037,4.781569,0.986691,0.162608
100.000000,99.748455,4.945821,0.986143,0.165896
