dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280839,-0.001641,0.999999,-0.001000
6.561680,6.561675,-0.006564,0.999998,-0.002001
9.842520,9.842505,-0.014774,0.999995,-0.003004
13.123360,13.123324,-0.026279,0.999992,-0.004010
16.404199,16.404131,-0.041090,0.999987,-0.005019
19.685039,19.684920,-0.059220,0.999982,-0.006034
22.965879,22.965690,-0.080687,0.999975,-0.007053
26.246719,26.246436,-0.105509,0.999967,-0.008080
29.527559,29.527154,-0.133710,0.999958,-0.009113
32.808399,32.807842,-0.165316,0.999948,-0.010155
36.089239,36.088494,-0.200357,0.999937,-0.011207
39.370079,39.369108,-0.238863,0.999925,-0.012268
42.650919,42.649679,-0.280871,0.999911,-0.013341
45.931759,45.930202,-0.326418,0.999896,-0.014426
49.212598,49.210674,-0.375546,0.999879,-0.015524
52.493438,52.491090,-0.428299,0.999862,-0.016636
55.774278,55.771444,-0.484725,0.999842,-0.017763
59.055118,59.051733,-0.544874,0.999821,-0.018906
62.335958,62.331950,-0.608799,0.999799,-0.020066
65.616798,65.612089,-0.676557,0.999774,-0.021243
68.897638,68.892147,-0.748208,0.999748,-0.022439
72.178478,72.172115,-0.823814,0.999720,-0.023654
75.459318,75.451988,-0.903442,0.999690,-0.024890
78.740157,78.731760,-0.987159,0.999658,-0.026147
82.020997,82.011422,-1.075037,0.999624,-0.027427
85.301837,85.290969,-1.167152,0.999587,-0.028730
88.582677,88.570391,-1.263581,0.999548,-0.030057
91.863517,91.849681,-1.364406,0.999507,-0.031410
95.144357,95.128830,-1.469709,0.999462,-0.032788
98.425197,98.407830,-1.579579,0.999415,-0.034193
101.706037,101.686670,-1.694106,0.999365,-0.035627
104.986877,104.965340,-1.813381,0.999312,-0.037089
108.267717,108.243831,-1.937503,0.999255,-0.038581
111.548556,111.522131,-2.066569,0.999196,-0.040103
114.829396,114.800228,-2.200682,0.999132,-0.041657
118.110236,118.078111,-2.339947,0.999065,-0.043244
121.391076,121.355765,-2.484472,0.998993,-0.044864
124.671916,124.633179,-2.634369,0.998917,-0.046519
127.952756,127.910337,-2.789753,0.998837,-0.048209
131.233596,131.187224,-2.950739,0.998752,-0.049935
134.514436,134.463825,-3.117449,0.998663,-0.051698
137.795276,137.740124,-3.290006,0.998568,-0.053499
141.076115,141.016102,-3.468537,0.998468,-0.055339
144.356955,144.291742,-3.653170,0.998362,-0.057220
147.637795,147.567025,-3.844038,0.998250,-0.059140
150.918635,150.841930,-4.041276,0.998131,-0.061103
154.199475,154.116437,-4.245023,0.998007,-0.063108
157.480315,157.390523,-4.455420,0.997875,-0.065157
160.761155,160.664165,-4.672611,0.997736,-0.067250
164.041995,163.937340,-4.896744,0.997590,-0.069389
167.322835,167.210037,-5.127742,0.997440,-0.071504
170.603675,170.482215,-5.365981,0.997278,-0.073734
173.884514,173.753847,-5.611608,0.997107,-0.076008
177.165354,177.024904,-5.864767,0.996928,-0.078325
180.446194,180.295358,-6.125598,0.996740,-0.080685
183.727034,183.565180,-6.394240,0.996542,-0.083086
187.007874,186.834340,-6.670825,0.996336,-0.085527
190.288714,190.102807,-6.955486,0.996120,-0.088008
193.569554,193.370548,-7.248350,0.995894,-0.090528
196.850394,196.637533,-7.549542,0.995658,-0.093085
200.131234,199.903727,-7.859183,0.995412,-0.095678
203.412073,203.169098,-8.177392,0.995156,-0.098308
206.692913,206.433611,-8.504284,0.994889,-0.100971
209.973753,209.697232,-8.839970,0.994612,-0.103669
213.254593,212.959924,-9.184559,0.994324,-0.106399
216.535433,216.221652,-9.538158,0.994024,-0.109160
219.816273,219.482380,-9.900868,0.993714,-0.111953
223.097113,222.742070,-10.272788,0.993392,-0.114775
226.377953,226.000685,-10.654014,0.993058,-0.117625
229.658793,229.258186,-11.044639,0.992713,-0.120504
232.939633,232.514536,-11.444752,0.992356,-0.123409
236.220472,235.769695,-11.854439,0.991987,-0.126340
239.501312,239.023623,-12.273785,0.991606,-0.129296
242.782152,242.276282,-12.702867,0.991213,-0.132276
246.062992,245.527632,-13.141763,0.990808,-0.135279
249.343832,248.777631,-13.590547,0.990390,-0.138303
252.624672,252.026240,-14.049288,0.989960,-0.141349
255.905512,255.273417,-14.518053,0.989517,-0.144414
259.186352,258.519122,-14.996906,0.989062,-0.147498
262.467192,261.763313,-15.485908,0.988595,-0.150600
265.748031,265.005950,-15.985115,0.988115,-0.153719
269.028871,268.246991,-16.494582,0.987622,-0.156854
272.309711,271.486394,-17.014360,0.987116,-0.160004
275.590551,274.724118,-17.544495,0.986598,-0.163169
278.871391,277.960122,-18.085034,0.986067,-0.166346
282.152231,281.194363,-18.636016,0.985524,-0.169535
285.433071,284.426802,-19.197480,0.984968,-0.172735
288.713911,287.657396,-19.769461,0.984400,-0.175946
291.994751,290.886105,-20.351990,0.983819,-0.179165
295.275591,294.112888,-20.945095,0.983226,-0.182393
298.556430,297.337704,-21.548802,0.982620,-0.185628
301.837270,300.560512,-22.163134,0.982002,-0.188869
305.118110,303.781274,-22.788108,0.981372,-0.192116
308.398950,306.999950,-23.423741,0.980730,-0.195367
311.679790,310.216499,-24.070044,0.980076,-0.198621
314.960630,313.430885,-24.727029,0.979411,-0.201877
318.241470,316.643067,-25.394700,0.978734,-0.205135
321.522310,319.853009,-26.073060,0.978045,-0.208394
324.803150,323.060673,-26.762111,0.977345,-0.211651
328.083990,326.266023,-27.461848,0.976634,-0.214908
