dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280834,-0.005468,0.999994,-0.003333
6.561680,6.561631,-0.021870,0.999978,-0.006665
9.842520,9.842356,-0.049202,0.999950,-0.009996
13.123360,13.122971,-0.087455,0.999911,-0.013323
16.404199,16.403441,-0.136619,0.999861,-0.016646
19.685039,19.683730,-0.196678,0.999801,-0.019965
22.965879,22.963801,-0.267617,0.999729,-0.023278
26.246719,26.243620,-0.349413,0.999647,-0.026584
29.527559,29.523150,-0.442043,0.999553,-0.029882
32.808399,32.802358,-0.545481,0.999450,-0.033172
36.089239,36.081207,-0.659695,0.999335,-0.036452
39.370079,39.359665,-0.784652,0.999211,-0.039721
42.650919,42.637698,-0.920317,0.999076,-0.042978
45.931759,45.915271,-1.066649,0.998931,-0.046223
49.212598,49.192353,-1.223605,0.998776,-0.049455
52.493438,52.468911,-1.391139,0.998612,-0.052672
55.774278,55.744914,-1.569203,0.998438,-0.055873
59.055118,59.020330,-1.757744,0.998255,-0.059058
62.335958,62.295130,-1.956707,0.998062,-0.062226
65.616798,65.569285,-2.166032,0.997861,-0.065376
68.897638,68.842764,-2.385659,0.997651,-0.068506
72.178478,72.115540,-2.615523,0.997432,-0.071616
75.459318,75.387586,-2.855555,0.997206,-0.074704
78.740157,78.658876,-3.105685,0.996971,-0.077771
82.020997,81.929384,-3.365838,0.996729,-0.080815
85.301837,85.199085,-3.635938,0.996480,-0.083834
88.582677,88.467957,-3.915903,0.996223,-0.086829
91.863517,91.735976,-4.205652,0.995960,-0.089797
95.144357,95.003121,-4.505096,0.995690,-0.092739
98.425197,98.269371,-4.814147,0.995415,-0.095654
101.706037,101.534707,-5.132713,0.995133,-0.098539
104.986877,104.799110,-5.460696,0.994846,-0.101395
108.267717,108.062564,-5.798000,0.994554,-0.104220
111.548556,111.325052,-6.144521,0.994258,-0.107014
114.829396,114.586558,-6.500156,0.993956,-0.109776
118.110236,117.847071,-6.864797,0.993651,-0.112504
121.391076,121.106576,-7.238332,0.993343,-0.115198
124.671916,124.365063,-7.620649,0.993031,-0.117856
127.952756,127.622522,-8.011629,0.992716,-0.120479
131.233596,130.878944,-8.411154,0.992399,-0.123065
134.514436,134.134322,-8.819101,0.992079,-0.125613
137.795276,137.388649,-9.235344,0.991758,-0.128122
141.076115,140.641921,-9.659753,0.991436,-0.130592
144.356955,143.894135,-10.092199,0.991113,-0.133020
147.637795,147.145289,-10.532545,0.990790,-0.135408
150.918635,150.395382,-10.980655,0.990467,-0.137753
154.199475,153.644414,-11.436387,0.990144,-0.140054
157.480315,156.892389,-11.899599,0.989822,-0.142312
160.761155,160.139310,-12.370144,0.989501,-0.144524
164.041995,163.385182,-12.847872,0.989182,-0.146691
167.322835,166.630221,-13.331221,0.988930,-0.148381
170.603675,169.874228,-13.821451,0.988617,-0.150455
173.884514,173.117211,-14.318411,0.988306,-0.152485
177.165354,176.359178,-14.821957,0.987998,-0.154470
180.446194,179.600137,-15.331946,0.987692,-0.156412
183.727034,182.840099,-15.848237,0.987389,-0.158312
187.007874,186.079071,-16.370695,0.987089,-0.160171
190.288714,189.317065,-16.899186,0.986792,-0.161990
193.569554,192.554090,-17.433580,0.986499,-0.163770
196.850394,195.790156,-17.973750,0.986208,-0.165511
200.131234,199.025274,-18.519571,0.985920,-0.167215
203.412073,202.259454,-19.070924,0.985636,-0.168883
206.692913,205.492706,-19.627689,0.985355,-0.170515
209.973753,208.725041,-20.189753,0.985077,-0.172113
213.254593,211.956471,-20.757003,0.984803,-0.173677
216.535433,215.187004,-21.329332,0.984531,-0.175209
219.816273,218.416653,-21.906634,0.984263,-0.176709
223.097113,221.645427,-22.488806,0.983998,-0.178178
226.377953,224.873338,-23.075749,0.983736,-0.179618
229.658793,228.100395,-23.667368,0.983478,-0.181028
232.939633,231.326608,-24.263569,0.983222,-0.182411
236.220472,234.551988,-24.864262,0.982970,-0.183767
239.501312,237.776545,-25.469360,0.982720,-0.185097
242.782152,241.000288,-26.078779,0.982474,-0.186401
246.062992,244.223226,-26.692438,0.982230,-0.187682
249.343832,247.445369,-27.310261,0.981989,-0.188939
252.624672,250.666725,-27.932171,0.981750,-0.190174
255.905512,253.887303,-28.558098,0.981515,-0.191388
259.186352,257.107112,-29.187972,0.981281,-0.192581
262.467192,260.326158,-29.821729,0.981050,-0.193754
265.748031,263.544451,-30.459306,0.980821,-0.194909
269.028871,266.761996,-31.100642,0.980595,-0.196047
272.309711,269.978800,-31.745683,0.980370,-0.197167
275.590551,273.194871,-32.394374,0.980147,-0.198272
278.871391,276.410213,-33.046665,0.979926,-0.199362
282.152231,279.624832,-33.702510,0.979706,-0.200438
285.433071,282.838734,-34.361862,0.979488,-0.201501
288.713911,286.051922,-35.024682,0.979272,-0.202552
291.994751,289.264401,-35.690931,0.979056,-0.203592
295.275591,292.476175,-36.360573,0.978841,-0.204621
298.556430,295.687245,-37.033577,0.978628,-0.205641
301.837270,298.897616,-37.709914,0.978414,-0.206652
305.118110,302.107288,-38.389556,0.978202,-0.207656
308.398950,305.316263,-39.072482,0.977990,-0.208654
311.679790,308.524542,-39.758670,0.977777,-0.209646
314.960630,311.732125,-40.448104,0.977565,-0.210633
318.241470,314.939012,-41.140769,0.977353,-0.211616
321.522310,318.145202,-41.836655,0.977140,-0.212596
324.803150,321.350693,-42.535752,0.976927,-0.213574
328.083990,324.555483,-43.238057,0.976713,-0.214551
