dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280833,3.280827,-0.005468,0.999994,-0.003333
6.561667,6.561618,-0.021869,0.999978,-0.006665
9.842500,9.842336,-0.049197,0.999950,-0.009994
13.123333,13.122945,-0.087441,0.999911,-0.013319
16.404167,16.403409,-0.136584,0.999862,-0.016638
19.685000,19.683691,-0.196607,0.999801,-0.019951
22.965833,22.963758,-0.267485,0.999730,-0.023255
26.246667,26.243572,-0.349188,0.999647,-0.026550
29.527500,29.523100,-0.441684,0.999555,-0.029834
32.808333,32.802306,-0.544933,0.999452,-0.033105
36.089167,36.081159,-0.658893,0.999339,-0.036363
39.370000,39.359623,-0.783517,0.999215,-0.039606
42.650833,42.637666,-0.918754,0.999082,-0.042832
45.931667,45.915257,-1.064547,0.998940,-0.046041
49.212500,49.192364,-1.220836,0.998787,-0.049230
52.493333,52.468957,-1.387556,0.998626,-0.052399
55.774167,55.745007,-1.564638,0.998456,-0.055546
59.055000,59.020484,-1.752007,0.998277,-0.058670
62.335833,62.295361,-1.949586,0.998090,-0.061770
65.616667,65.569612,-2.157292,0.997895,-0.064843
68.897500,68.843211,-2.375037,0.997693,-0.067890
72.178333,72.116132,-2.602730,0.997483,-0.070908
75.459167,75.388353,-2.840276,0.997266,-0.073895
78.740000,78.659852,-3.087574,0.997043,-0.076852
82.020833,81.930607,-3.344518,0.996813,-0.079776
85.301667,85.200599,-3.611002,0.996577,-0.082666
88.582500,88.469809,-3.886910,0.996336,-0.085521
91.863333,91.738220,-4.172125,0.996090,-0.088340
95.144167,95.005817,-4.466524,0.995840,-0.091120
98.425000,98.272585,-4.769983,0.995585,-0.093862
101.705833,101.538511,-5.082369,0.995327,-0.096562
104.986667,104.803585,-5.403547,0.995065,-0.099221
108.267500,108.067796,-5.733379,0.994801,-0.101837
111.548333,111.331135,-6.071720,0.994534,-0.104408
114.829167,114.593598,-6.418423,0.994266,-0.106934
118.110000,117.855177,-6.773334,0.993996,-0.109413
121.390833,121.115870,-7.136298,0.993726,-0.111843
124.671667,124.375675,-7.507154,0.993455,-0.114223
127.952500,127.634591,-7.885736,0.993185,-0.116552
131.233333,130.892621,-8.271875,0.992915,-0.118830
134.514167,134.149768,-8.665398,0.992646,-0.121053
137.795000,137.406035,-9.066127,0.992379,-0.123222
141.075833,140.661431,-9.473878,0.992115,-0.125335
144.356667,143.915963,-9.888468,0.991853,-0.127390
147.637500,147.169642,-10.309704,0.991594,-0.129386
150.918333,150.422479,-10.737391,0.991340,-0.131323
154.199167,153.674487,-11.171332,0.991089,-0.133198
157.480000,156.925683,-11.611323,0.990844,-0.135010
160.760833,160.176082,-12.057156,0.990604,-0.136759
164.041667,163.425705,-12.508620,0.990414,-0.138132
167.322500,166.674713,-12.964479,0.990187,-0.139749
170.603333,169.922988,-13.425538,0.989967,-0.141302
173.884167,173.170550,-13.891586,0.989753,-0.142791
177.165000,176.417423,-14.362417,0.989546,-0.144218
180.445833,179.663629,-14.837828,0.989346,-0.145583
183.726667,182.909189,-15.317621,0.989153,-0.146889
187.007500,186.154128,-15.801603,0.988967,-0.148137
190.288333,189.398468,-16.289585,0.988788,-0.149328
193.569167,192.642231,-16.781383,0.988616,-0.150463
196.850000,195.885441,-17.276815,0.988450,-0.151544
200.130833,199.128121,-17.775707,0.988292,-0.152572
203.411667,202.370294,-18.277888,0.988141,-0.153549
206.692500,205.611981,-18.783189,0.987997,-0.154475
209.973333,208.853206,-19.291450,0.987859,-0.155353
213.254167,212.093990,-19.802511,0.987728,-0.156183
216.535000,215.334356,-20.316218,0.987604,-0.156967
219.815833,218.574325,-20.832423,0.987486,-0.157705
223.096667,221.813918,-21.350981,0.987375,-0.158401
226.377500,225.053157,-21.871750,0.987270,-0.159054
229.658333,228.292061,-22.394595,0.987171,-0.159666
232.939167,231.530651,-22.919384,0.987078,-0.160239
236.220000,234.768946,-23.445989,0.986991,-0.160774
239.500833,238.006965,-23.974286,0.986910,-0.161271
242.781667,241.244727,-24.504157,0.986835,-0.161733
246.062500,244.482250,-25.035488,0.986764,-0.162161
249.343333,247.719552,-25.568168,0.986699,-0.162556
252.624167,250.956648,-26.102092,0.986639,-0.162919
255.905000,254.193556,-26.637158,0.986584,-0.163252
259.185833,257.430291,-27.173268,0.986534,-0.163556
262.466667,260.666868,-27.710330,0.986488,-0.163833
265.747500,263.903302,-28.248256,0.986447,-0.164083
269.028333,267.139606,-28.786961,0.986409,-0.164308
272.309167,270.375792,-29.326365,0.986375,-0.164510
275.590000,273.611876,-29.866393,0.986346,-0.164689
278.870833,276.847867,-30.406974,0.986319,-0.164847
282.151667,280.083778,-30.948041,0.986296,-0.164985
285.432500,283.319617,-31.489530,0.986276,-0.165105
288.713333,286.555395,-32.031385,0.986259,-0.165208
291.994167,289.791122,-32.573551,0.986244,-0.165295
295.275000,293.026804,-33.115978,0.986232,-0.165367
298.555833,296.262450,-33.658621,0.986222,-0.165427
301.836667,299.498066,-34.201439,0.986214,-0.165474
305.117500,302.733660,-34.744396,0.986208,-0.165511
308.398333,305.969236,-35.287458,0.986203,-0.165539
311.679167,309.204799,-35.830599,0.986200,-0.165559
314.960000,312.440348,-36.373794,0.986198,-0.165572
318.240833,315.675900,-36.917024,0.986196,-0.165580
321.521667,318.911444,-37.460273,0.986196,-0.165585
324.802500,322.146988,-38.003532,0.986195,-0.165586
328.083333,325.382530,-38.546793,0.986195,-0.165586
