dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,1.000000,-0.000000,1.000000,-0.000000
2.000000,2.000000,-0.000001,1.000000,-0.000002
3.000000,3.000000,-0.000005,1.000000,-0.000006
4.000000,4.000000,-0.000014,1.000000,-0.000014
5.000000,5.000000,-0.000035,1.000000,-0.000028
6.000000,6.000000,-0.000072,1.000000,-0.000048
7.000000,7.000000,-0.000133,1.000000,-0.000076
8.000000,8.000000,-0.000228,1.000000,-0.000114
9.000000,9.000000,-0.000365,1.000000,-0.000162
10.000000,10.000000,-0.000556,1.000000,-0.000222
11.000000,11.000000,-0.000813,1.000000,-0.000296
12.000000,12.000000,-0.001152,1.000000,-0.000384
13.000000,13.000000,-0.001587,1.000000,-0.000488
14.000000,14.000000,-0.002134,1.000000,-0.000610
15.000000,14.999999,-0.002813,1.000000,-0.000750
16.000000,15.999999,-0.003641,1.000000,-0.000910
17.000000,16.999999,-0.004640,0.999999,-0.001092
18.000000,17.999998,-0.005832,0.999999,-0.001296
19.000000,18.999997,-0.007240,0.999999,-0.001524
20.000000,19.999995,-0.008889,0.999998,-0.001778
21.000000,20.999994,-0.010804,0.999998,-0.002058
22.000000,21.999991,-0.013014,0.999997,-0.002366
23.000000,22.999988,-0.015547,0.999996,-0.002704
24.000000,23.999984,-0.018432,0.999995,-0.003072
25.000000,24.999978,-0.021701,0.999994,-0.003472
26.000000,25.999972,-0.025388,0.999992,-0.003906
27.000000,26.999963,-0.029524,0.999990,-0.004374
28.000000,27.999952,-0.034148,0.999988,-0.004878
29.000000,28.999939,-0.039293,0.999985,-0.005420
30.000000,29.999923,-0.045000,0.999982,-0.006000
31.000000,30.999903,-0.051307,0.999978,-0.006620
32.000000,31.999879,-0.058254,0.999973,-0.007282
33.000000,32.999850,-0.065884,0.999968,-0.007986
34.000000,33.999815,-0.074241,0.999962,-0.008734
35.000000,34.999773,-0.083368,0.999955,-0.009528
36.000000,35.999724,-0.093311,0.999946,-0.010368
37.000000,36.999665,-0.104119,0.999937,-0.011256
38.000000,37.999596,-0.115840,0.999926,-0.012193
39.000000,38.999516,-0.128523,0.999913,-0.013182
40.000000,39.999422,-0.142220,0.999899,-0.014222
41.000000,40.999313,-0.156984,0.999883,-0.015315
42.000000,41.999187,-0.172869,0.999864,-0.016463
43.000000,42.999041,-0.189929,0.999844,-0.017667
44.000000,43.998874,-0.208223,0.999821,-0.018929
45.000000,44.998682,-0.227806,0.999795,-0.020249
46.000000,45.998463,-0.248740,0.999766,-0.021629
47.000000,46.998213,-0.271084,0.999734,-0.023070
48.000000,47.997929,-0.294900,0.999698,-0.024574
49.000000,48.997608,-0.320252,0.999658,-0.026141
50.000000,49.997244,-0.347204,0.999614,-0.027774
51.000000,50.996835,-0.375818,0.999566,-0.029469
52.000000,51.996374,-0.406164,0.999512,-0.031233
53.000000,52.995857,-0.438305,0.999453,-0.033061
54.000000,53.995279,-0.472307,0.999389,-0.034952
55.000000,54.994633,-0.508230,0.999319,-0.036904
56.000000,55.993914,-0.546134,0.999243,-0.038915
57.000000,56.993116,-0.586080,0.999160,-0.040985
58.000000,57.992232,-0.628124,0.999070,-0.043113
59.000000,58.991254,-0.672324,0.998974,-0.045296
60.000000,59.990176,-0.718734,0.998870,-0.047533
61.000000,60.988991,-0.767408,0.998758,-0.049823
62.000000,61.987690,-0.818398,0.998638,-0.052165
63.000000,62.986265,-0.871755,0.998511,-0.054558
64.000000,63.984708,-0.927530,0.998374,-0.056999
65.000000,64.983010,-0.985770,0.998229,-0.059488
66.000000,65.981163,-1.046521,0.998075,-0.062023
67.000000,66.979157,-1.109831,0.997911,-0.064603
68.000000,67.976982,-1.175742,0.997738,-0.067226
69.000000,68.974629,-1.244298,0.997555,-0.069892
70.000000,69.972087,-1.315540,0.997361,-0.072598
71.000000,70.969348,-1.389507,0.997158,-0.075344
72.000000,71.966399,-1.466240,0.996943,-0.078127
73.000000,72.963231,-1.545774,0.996718,-0.080947
74.000000,73.959832,-1.628146,0.996482,-0.083803
75.000000,74.956192,-1.713391,0.996235,-0.086692
76.000000,75.952299,-1.801541,0.995977,-0.089614
77.000000,76.948141,-1.892629,0.995707,-0.092566
78.000000,77.943708,-1.986684,0.995425,-0.095549
79.000000,78.938987,-2.083736,0.995131,-0.098560
80.000000,79.933966,-2.183813,0.994826,-0.101598
81.000000,80.928634,-2.286940,0.994508,-0.104661
82.000000,81.922978,-2.393143,0.994178,-0.107748
83.000000,82.916986,-2.502445,0.993836,-0.110859
84.000000,83.910646,-2.614868,0.993482,-0.113991
85.000000,84.903946,-2.730433,0.993115,-0.117142
86.000000,85.896872,-2.849159,0.992736,-0.120313
87.000000,86.889414,-2.971064,0.992344,-0.123501
88.000000,87.881557,-3.096166,0.991940,-0.126705
89.000000,88.873291,-3.224478,0.991524,-0.129923
90.000000,89.864601,-3.356016,0.991095,-0.133154
91.000000,90.855477,-3.490791,0.990654,-0.136398
92.000000,91.845906,-3.628815,0.990201,-0.139651
93.000000,92.835874,-3.770097,0.989735,-0.142914
94.000000,93.825372,-3.914645,0.989257,-0.146184
95.000000,94.814385,-4.062467,0.988768,-0.149461
96.000000,95.802903,-4.213569,0.988266,-0.152743
97.000000,96.790913,-4.367954,0.987753,-0.156028
98.000000,97.778404,-4.525626,0.987228,-0.159315
99.000000,98.765365,-4.686585,0.986691,-0.162604
100.000000,99.751783,-4.850833,0.986144,-0.165892
